統合ID,文字,通典卷一,字体数,用例数,部首
09979,董,0973,1,3,140
09788,若,0974,1,8,140
09844,荊,0975,1,3,140
09954,萬,0976,1,15,140
09886,莫,0977,1,4,140
09972,著,0978,1,6,140
09851,荒,0979,1,2,140
10004,蒔,0980,1,3,140
10139,薄,0981,1,2,140
09789,苦,0982,1,2,140
10040,蓋,0983,1,4,140
10272,虛,0984,1,3,141
10270,處,0985,1,9,141
10275,虞,0986,1,2,141
10618,術,0987,1,3,144
10614,行,0988,1,12,144
10637,衣,0989,1,10,145
10683,被,0990,1,2,145
10828,覈,0991,1,2,146
10820,西,0992,1,3,146
10826,覆,0993,1,2,146
10848,親,0994,1,5,147
10831,見,0995,1,4,147
10890,言,0996,1,8,149
11058,論,0997,1,5,149
10928,設,0998,1,5,149
10959,詔,0999,1,14,149
11095,謂,1000,1,8,149
11029,課,1001,1,13,149
11155,證,1002,1,3,149
11015,誼,1003,1,2,149
11085,諸,1004,1,25,149
11195,議,1005,1,5,149
11025,説,1006,1,4,149
10896,計,1007,1,3,149
10984,詳,1008,1,4,149
11261,豐,1009,1,2,151
11282,豪,1010,1,10,152
11356,買,1011,1,8,154
11397,賢,1012,1,2,154
11355,貴,1013,1,5,154
11353,貲,1014,1,3,154
11398,賣,1015,1,14,154
11386,賓,1016,1,2,154
11374,賈,1017,1,3,154
11394,賞,1018,1,2,154
11433,贍,1019,1,4,154
11403,賦,1020,1,9,154
11339,貨,1021,1,4,154
11373,資,1022,1,5,154
11334,財,1023,1,5,154
11338,貧,1024,1,18,154
11357,貸,1025,1,2,154
11402,賤,1026,1,2,154
11461,起,1027,1,3,156
11490,趨,1028,1,4,156
11593,踰,1029,1,3,157
11495,足,1030,1,22,157
11715,身,1031,1,5,158
11716,躬,1032,1,2,158
11740,車,1033,1,4,159
11801,輔,1034,1,6,159
11795,載,1035,1,4,159
11802,輕,1036,1,2,159
11800,輓,1037,1,2,159
11908,辨,1038,1,2,160
12022,進,1039,1,2,162
12108,還,1040,1,13,162
11979,追,1041,1,2,162
12074,遣,1042,1,2,162
12051,道,1043,1,10,162
12091,遵,1044,1,3,162
12054,違,1045,1,3,162
12103,避,1046,1,6,162
12097,遺,1047,1,3,162
12010,連,1048,1,2,162
12115,邊,1049,1,6,162
12000,通,1050,1,8,162
11948,近,1051,1,8,162
12095,選,1052,1,2,162
12093,遷,1053,1,5,162
12046,過,1054,1,14,162
12070,遠,1055,1,8,162
12079,適,1056,1,3,162
12027,逸,1057,1,2,162
12037,遂,1058,1,4,162
12123,邑,1059,1,6,163
12160,郊,1060,1,4,163
12170,郡,1061,1,16,163
12188,都,1062,1,5,163
12205,鄕,1063,1,6,163
12176,部,1064,1,2,163
12372,里,1065,1,9,166
12373,重,1066,1,5,166
12376,量,1067,1,4,166
12374,野,1068,1,4,166
12380,金,1069,1,2,167
12491,鋤,1070,1,3,167
12528,錯,1071,1,2,167
12507,錐,1072,1,2,167
12698,長,1073,1,9,168
12797,闢,1074,1,3,169
12724,間,1075,1,7,169
12716,開,1076,1,4,169
12939,隴,1077,1,3,170
12834,附,1078,1,5,170
12839,限,1079,1,13,170
12876,陽,1080,1,2,170
12833,陂,1081,1,2,170
12855,除,1082,1,5,170
12808,阡,1083,1,5,170
12837,陌,1084,1,5,170
12935,隱,1085,1,3,170
12838,降,1086,1,2,170
12862,陰,1087,1,3,170
12822,防,1088,1,3,170
12927,隨,1089,1,4,170
13001,離,1090,1,3,172
13002,難,1091,1,9,172
12991,雖,1092,1,14,172
13073,露,1093,1,3,173
13095,青,1094,1,3,174
13104,非,1095,1,6,175
13107,靡,1096,1,2,175
13121,革,1097,1,3,177
13150,鞅,1098,1,4,177
13304,須,1099,1,3,181
13302,順,1100,1,2,181
13346,頭,1101,1,3,181
13297,頃,1102,1,28,181
13423,風,1103,1,2,182
13503,食,1104,1,25,184
13565,餘,1105,1,15,184
13551,養,1106,1,5,184
13508,飢,1107,1,7,184
13661,首,1108,1,6,185
13680,馬,1109,1,6,187
13940,高,1110,1,3,189
14084,魏,1111,1,2,194
14101,魚,1112,1,2,195
14612,鹵,1113,1,2,197
14661,麥,1114,1,5,199
14681,麻,1115,1,2,200
14693,黃,1116,1,2,201
14700,黎,1117,1,3,202
00455,備,1118a,2,2,009
00455b,備,1118b,2,2,009
00405,假,1119a,2,3,009
00405b,假,1119b,2,1,009
00900,勤,1120a,2,3,019
00900b,勤,1120b,2,3,019
02327,宜,1121a,2,11,040
02327b,宜,1121b,2,3,040
03066,強,1122a,2,10,057
03066b,強,1122b,2,1,057
03049,弛,1123a,2,1,057
03049b,弛,1123b,2,1,057
03164,徭,1124a,2,1,060
03164b,徭,1124b,2,1,060
03799,振,1125a,2,1,064
03799b,振,1125b,2,1,064
05014,棄,1126a,2,2,075
05014b,棄,1126b,2,1,075
05152,業,1127a,2,10,075
05152b,業,1127b,2,1,075
05645,步,1128a,2,3,077
05645b,步,1128b,2,1,077
05935,民,1129a,2,33,083
05935b,民,1129b,2,9,083
07514,畝,1130a,2,40,102
07514b,畝,1130b,2,4,102
08117,祖,1131a,2,1,113
08117b,祖,1131b,2,1,113
08497,範,1132a,2,1,118
08497b,範,1132b,2,1,118
09175,羣,1133a,2,3,123
09175b,羣,1133b,2,2,123
09630,興,1134a,2,8,134
09630b,興,1134b,2,3,134
09939,萊,1135a,2,1,140
09939b,萊,1135b,2,1,140
11049,請,1136a,2,2,149
11049b,請,1136b,2,1,149
11917,辰,1137a,2,2,161
11917b,辰,1137b,2,1,161
11919,農,1138a,2,20,161
11919b,農,1138b,2,12,161
12790,關,1139a,2,5,169
12790b,關,1139b,2,1,169
12937,隳,1140a,2,2,170
12937b,隳,1140b,2,1,170
01326,哲,1141,0,1,030
05832,毋,1142,0,1,080
00092,乎,1143,1,11,004
00078,乃,1144,1,13,004
