統合ID,文字,通典卷一,字体数,用例数,部首
07258,玆,0216,0,1,095
07291,珠,0217,0,1,096
07346,瑞,0218,0,1,096
07456,甘,0219,0,1,099
07480,甲,0220,0,1,102
07525,畫,0221,0,1,102
07507,畔,0222,0,1,102
07548,疆,0223,0,1,102
07508,留,0224,0,1,102
07557,疏,0225,0,1,103
07559,疑,0226,0,1,103
07578,疫,0227,0,1,104
07648,瘠,0228,0,1,104
07781,監,0229,0,1,108
07790,目,0230,0,1,109
07862,督,0231,0,1,109
07807,省,0232,0,1,109
07951,矯,0233,0,1,111
08124,神,0234,0,1,113
08148,福,0235,0,1,113
08159,禦,0236,0,1,113
08289,穰,0237,0,1,115
08285,穫,0238,0,1,115
08259,稾,0239,0,1,115
08257,稼,0240,0,1,115
08239,稠,0241,0,1,115
08353,竊,0242,0,1,116
08329,窮,0243,0,1,116
11258,豎,0244,0,1,151
08366,章,0245,0,1,117
08376,端,0246,0,1,117
08365,竟,0247,0,1,117
08500,篇,0248,0,1,118
08477,管,0249,0,1,118
08469,算,0250,0,1,118
08382,竹,0251,0,1,118
08408,符,0252,0,1,118
08426,等,0253,0,1,118
08519,簒,0254,0,1,118
08603,籍,0255,0,1,118
08659,粗,0256,0,1,119
08685,精,0257,0,1,119
08747,納,0258,0,1,120
08979,縮,0259,0,1,120
08962,縗,0260,0,1,120
08994,績,0261,0,1,120
09012,織,0262,0,1,120
09030,繋,0263,0,1,120
08984,縵,0264,0,1,120
08993,總,0265,0,1,120
08997,繁,0266,0,1,120
08833,統,0267,0,1,120
09073,纔,0268,0,1,120
08760,紛,0269,0,1,120
09104,罔,0270,0,1,122
09155,美,0271,0,1,123
09228,翦,0272,0,1,124
09232,翫,0273,0,1,124
09278,耜,0274,0,1,127
09328,聲,0275,0,1,128
09512,腴,0276,0,1,130
09535,膏,0277,0,1,130
09516,腹,0278,0,1,130
09539,膚,0279,0,1,130
09414,胥,0280,0,1,130
09486,腐,0281,0,1,130
09596,臣,0283,0,1,131
09653,舜,0284,0,1,136
09765,芻,0285,0,1,140
09782,苟,0286,0,1,140
09807,茂,0287,0,1,140
09837,荀,0288,0,1,140
09941,萌,0289,0,1,140
