カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0067,境,0,,,,01839,032
0068,塵,0,,,,01831,032
0069,01892,0,,,,01892,032
0070,壯,0,,,,01905,033
0071,夭,0,,,,01952,037
0072,夷,0,,,,01961,037
0073,奬,0,,,,02015,037
0074,奪,0,,,,02013,037
0075,姦,0,,,,02092,038
0076,妨,0,,,,02051,038
0077,孅,0,,,,02259,038
0078,嫁,0,,,,02196,038
0079,姚,0,,,,02081,038
0080,孟,0,,,,02275,039
0081,孥,0,,,,02278,039
0082,孤,0,,,,02277,039
0083,存,0,,,,02268,039
0084,字,0,,,,02267,039
0085,宋,0,,,,02312,040
0086,冗,0,,,,02303,040
0087,它,0,,,,02304,040
0088,宣,0,,,,02333,040
0089,寧,0,,,,02392,040
0090,宰,0,,,,02344,040
0091,寢,0,,,,02387,040
0092,尋,0,,,,02430,041
0093,尊,0,,,,02429,041
0094,尉,0,,,,02427,041
0095,尤,0,,,,02456,043
0096,尹,0,,,,02470,044
0097,嶺,0,,,,02734,046
0098,崔,0,,,,02617,046
0099,巡,0,,,,02767,047
0100,巨,0,,,,02776,048
0101,己,0,,,,02782,049
0102,幣,0,,,,02883,050
0103,席,0,,,,02839,050
0104,帛,0,,,,02819,050
0105,幼,0,,,,02909,052
0106,幽,0,,,,02912,052
0107,幾,0,,,,02915,052
0108,廉,0,,,,02973,053
0109,庸,0,,,,02963,053
0110,廛,0,,,,02986,053
0111,式,0,,,,03037,056
0112,弘,0,,,,03047,057
0113,弟,0,,,,03052,057
0114,弔,0,,,,03043,057
0115,引,0,,,,03044,057
0116,彊,0,,,,03081,057
0117,徑,0,,,,03142,060
0118,征,0,,,,03129,060
0119,徴,0,,,,03171,060
0120,情,0,,,,03348,061
0121,慮,0,,,,03466,061
0122,慕,0,,,,03450,061
0123,思,0,,,,03239,061
0124,恤,0,,,,03288,061
0125,恥,0,,,,03289,061
0126,慢,0,,,,03458,061
0127,慈,0,,,,03439,061
0128,怠,0,,,,03240,061
0129,恃,0,,,,03265,061
0130,愚,0,,,,03404,061
0131,怛,0,,,,03237,061
0132,愁,0,,,,03387,061
0133,悦,0,,,,03309,061
0134,憂,0,,,,03486,061
0135,感,0,,,,03409,061
0136,惰,0,,,,03371,061
0137,悔,0,,,,03320,061
0138,憑,0,,,,03501,061
0139,性,0,,,,03244,061
0140,戰,0,,,,03633,062
0141,搜,0,,,,03952,064
0142,掾,0,,,,03888,064
0143,據,0,,,,04106,064
0144,擬,0,,,,04122,064
0145,抵,0,,,,03722,064
0146,投,0,,,,03708,064
0147,撓,0,,,,04047,064
0148,捐,0,,,,03825,064
0149,放,0,,,,04233,066
0150,攻,0,,,,04231,066
0151,敢,0,,,,04277,066
0152,敦,0,,,,04281,066
0153,救,0,,,,04263,066
0154,斷,0,,,,04381,069
0155,斥,0,,,,04363,069
0156,新,0,,,,04376,069
0157,旁,0,,,,04394,070
0159,暖,0,,,,04590,072
0160,暇,0,,,,04577,072
0161,昌,0,,,,04484,072
0162,暮,0,,,,04606,072
0163,晩,0,,,,04539,072
0164,會,0,,,,04667,073
0165,替,0,,,,04662,073
0166,期,0,,,,04699,074
0167,朕,0,,,,04688,074
0168,朔,0,,,,04686,074
0169,木,0,,,,04707,075
0170,樵,0,,,,05319,075
0171,李,0,,,,04735,075
0172,格,0,,,,04924,075
0173,枯,0,,,,04813,075
0174,染,0,,,,04848,075
0175,株,0,,,,04908,075
0176,標,0,,,,05302,075
0177,柔,0,,,,04849,075
0178,棘,0,,,,05031,075
0179,植,0,,,,05080,075
0180,杜,0,,,,04747,075
0181,榮,0,,,,05210,075
0182,椁,0,,,,05069,075
0183,05650,0,,,,05650,077
0184,殿,0,,,,05809,079
0185,殺,0,,,,05796,079
0186,殷,0,,,,05795,079
0187,母,0,,,,05834,080
2002,毋,0,,,,05833,080
0188,氏,0,,,,05932,083
0189,永,0,,,,05957,085
0190,溝,0,,,,06404,085
0191,涕,0,,,,06202,085
0192,泣,0,,,,06087,085
0193,清,0,,,,06290,085
0194,泉,0,,,,06063,085
0195,淳,0,,,,06286,085
0196,泰,0,,,,06098,085
0197,漂,0,,,,06480,085
0198,漁,0,,,,06477,085
0199,渠,0,,,,06317,085
