カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0316,刹,018,1,5,,,00781
0317,列,018,1,3,,,00754
0318,前,018,1,22,,,00794
0319,判,018,1,3,,,00761
0320-0322,分,018,1,115,,,00734
0323,初,018,1,50,,,00759
0324,則,018,1,5,,,00789
0325,制,018,1,5,,,00776
0326,利,018,1,3,,,00767
0327,力,019,1,6,,,00856
0328,動,019,1,7,,,00887
0329,加,019,1,3,,,00858
0330,劣,019,1,2,,,00859
0331,劫,019,1,3,,,00865
0332,功,019,1,4,,,00857
0333,化,021,1,16,,,00938
0334-0336,十,024,1,122,,,00985
0337,千,024,1,8,,,00987
0338,卷,026,1,2,,,01040
0339-0342,即,026,1,195,,,01049
0343,原,027,1,4,,,01074
0344,去,028,1,20,,,01101
0345,又,029,1,40,,,01108
0346,及,029,1,70,,,01111
0348,取,029,1,21,,,01127
0349-0350,受,029,1,70,,,01128
0351,名,030,1,131,,,01175
0354,合,030,1,11,,,01170
0355-0356,同,030,1,66,,,01174
0357,嚴,030,1,4,,,01581
0358,問,030,1,33,,,01369
0359,口,030,1,7,,,01141
0360-0361,可,030,1,65,,,01154
0362,品,030,1,11,,,01296
0363,善,030,1,37,,,01395
0364,和,030,1,5,,,01263
0365,喩,030,1,3,,,01421
0366,器,030,1,3,,,01523
0367,句,030,1,6,,,01143
0368,味,030,1,3,,,01242
0369,命,030,1,8,,,01252
0370,向,030,1,13,,,01179
0371-0372,唯,030,1,70,,,01349
0373,各,030,1,15,,,01168
0374-0375,四,031,1,93,,,01607
0376-0378,因,031,1,148,,,01611
0379,圓,031,1,23,,,01645
0380,土,032,1,31,,,01654
0381,堪,032,1,3,,,01789
0382,垢,032,1,4,,,01726
0383,壞,032,1,10,,,01895
0384-0385,境,032,1,57,,,01839
0386,地,032,1,35,,,01666
0387,執,032,1,30,,,01755
0388,塵,032,1,11,,,01831
0389-0390,在,032,1,51,,,01659
0391,堅,032,1,12,,,01767
0392,増,032,1,25,,,01853
0393,士,033,1,2,,,01903
0394,多,036,1,8,,,01938
0395,外,036,1,34,,,01934
0396,天,037,1,14,,,01947
0397,夫,037,1,15,,,01949
0398,大,037,1,35,,,01946
0399,失,037,1,3,,,01957
0400,女,038,1,6,,,02022
0401,妨,038,1,2,,,02051
0402,婆,038,1,3,,,02142
0403,始,038,1,17,,,02069
0404-0408,如,038,1,247,,,02031
0409,妙,038,1,9,,,02045
0410,子,039,1,37,,,02262
0411,學,039,1,4,,,02293
0412,字,039,1,5,,,02267
0413,寶,040,1,8,,,02407
0414-0415,實,040,1,80,,,02390
0416,容,040,1,3,,,02352
0417,守,040,1,3,,,02308
0418,寄,040,1,4,,,02358
0419,寂,040,1,19,,,02357
0420,密,040,1,5,,,02361
0421,害,040,1,2,,,02346
0422,客,040,1,4,,,02331
0423,察,040,1,5,,,02383
0424,審,040,1,5,,,02395
0425,宗,040,1,8,,,02322
0426,定,040,1,48,,,02325
0427,尋,041,1,3,,,02430
0428,對,041,1,30,,,02435
0429,尊,041,1,5,,,02429
0430,將,041,1,2,,,02425
0431,小,042,1,47,,,02439
0432,少,042,1,4,,,02440
0433,屬,044,1,9,,,02515
0434,局,044,1,5,,,02480
0435,居,044,1,2,,,02482
0436,工,048,1,2,,,02773
0437,差,048,1,44,,,02780
0438,巧,048,1,7,,,02775
0439,常,050,1,13,,,02847
0440,師,050,1,4,,,02835
0441,希,050,1,2,,,02806
0442,干,051,1,2,,,02897
0443,并,051,1,9,,,02902
0444,平,051,1,4,,,02899
0445,幾,052,1,2,,,02915
0446,幻,052,1,5,,,02907
0447,度,053,1,4,,,02944
0448,廣,053,1,23,,,02993
0449,建,054,1,37,,,03006
0450,弁,055,1,2,,,03012
0451,式,056,1,2,,,03037
0452,彌,057,1,2,,,03084
0453,引,057,1,21,,,03044
0454,形,059,1,7,,,03101
0455,03157,060,2,13,3,,03157
0456,微,060,1,10,,,03165
0457,從,060,1,28,,,03151
0458-0459,彼,060,1,53,,,03124
0460,徳,060,1,11,,,03172
0461,復,060,1,32,,,03159
0462,後,060,1,10,,,03138
0463,待,060,1,5,,,03132
