カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0328,時,1,21,,04523,072
0329,智,1,35,,04569,072
0330,昧,1,6,,04505,072
0331,曰,1,11,,04650,073
0332,會,1,18,,04667,073
0333,最,1,2,,04664,073
0334,月,1,2,,04673,074
0335-0336,有,1,77,,04674,074
0337,服,1,2,,04679,074
0338,枝,1,2,,04807,075
0339,樹,1,21,,05323,075
0340,末,1,2,,04712,075
0341,未,1,3,,04711,075
0342,東,1,6,,04765,075
0343,樂,1,10,,05279,075
0344,樓,1,12,,05293,075
0345,檀,1,5,,05391,075
0346,栴,1,2,,04918,075
0347,次,1,11,,05558,076
0348,歡,1,4,,05639,076
0349,欲,1,3,,05580,076
0350,正,1,8,,05643,077
0351,此,1,30,,05644,077
0352,殊,1,2,,05717,078
0353,歿,1,2,,05692,078
0354,毘,1,7,,05845,081
0355,毛,1,12,,05850,082
0356,深,1,12,,06285,085
0357,淨,1,20,,06272,085
0358,滿,1,36,,06476,085
0359,波,1,4,,06086,085
0360,演,1,23,,06490,085
0361,滅,1,25,,06432,085
0362,測,1,2,,06335,085
0363,汝,1,3,,05983,085
0364,浮,1,3,,06175,085
0365,永,1,3,,05957,085
0366,治,1,3,,06055,085
0367,清,1,13,,06290,085
0368-0370,法,1,121,,06074,085
0371-0373,海,1,136,,06182,085
0374-0376,無,1,112,,06872,086
0377,燒,1,2,,06978,086
0378,焔,1,29,,06882,086
0379,照,1,18,,06918,086
0380,然,1,6,,06885,086
0381,燈,1,12,,06971,086
0382,爲,1,33,,07032,087
0383,爾,1,17,,07043,089
0384,獲,1,4,,07241,094
0385-0388,現,1,182,,07304,096
0389,珞,1,6,,07290,096
0390,瓔,1,6,,07397,096
0391,璃,1,3,,07366,096
0392,瑠,1,3,,07348,096
0393,珠,1,3,,07291,096
0394,王,1,31,,07262,096
0395,理,1,2,,07307,096
0396,甚,1,3,,07457,099
0397-0398,生,1,73,,07461,100
0399-0401,界,1,123,,07501,102
0402,當,1,2,,07535,102
0403,畏,1,3,,07503,102
0404,疑,1,2,,07559,103
0405,發,1,6,,07707,105
0406,皆,1,26,,07717,106
0407,盡,1,15,,07779,108
0408,益,1,2,,07759,108
0409,盧,1,6,,07785,108
0410-0412,衆,1,128,,07844,109
0413,眞,1,9,,07827,109
0414,眼,1,6,,07843,109
0415,相,1,23,,07801,109
0416,瞻,1,2,,07907,109
0417,知,1,14,,07941,111
0418,礙,1,11,,08077,112
0419,禮,1,13,,08165,113
0420,神,1,45,,08124,113
0421,示,1,21,,08097,113
0422,福,1,2,,08148,113
0423-0425,種,1,146,,08244,115
0426,空,1,27,,08296,116
0427,立,1,6,,08354,117
0428,等,1,27,,08426,118
0429,第,1,2,,08412,118
0430,精,1,2,,08685,119
0431,結,1,11,,08807,120
0432,經,1,3,,08856,120
0433,網,1,9,,08885,120
0434,羅,1,5,,09144,122
0435,羣,1,3,,09175,123
0436,耀,1,7,,09249,124
0437,者,1,12,,09255,125
0438-0439,而,1,52,,09264,126
0440,聞,1,8,,09315,128
0441,耳,1,2,,09290,128
0442,聽,1,2,,09335,128
0443,聲,1,15,,09328,128
0444,能,1,48,,09429,130
0445,脱,1,7,,09463,130
0446,脩,1,16,,09462,130
0447,自,1,7,,09602,132
0448,至,1,3,,09610,133
0449,臺,1,3,,09617,133
0450,興,1,2,,09630,134
0451,與,1,13,,09629,134
0452,舌,1,2,,09636,135
0453,色,1,22,,09716,139
0454-0456,薩,1,113,,10163,140
0457,蓮,1,20,,10050,140
0458-0459,菩,1,100,,09919,140
0460-461,莊,1,51,,09869,140
0462,藏,1,42,,10191,140
0463,若,1,4,,09788,140
0464,苦,1,3,,09789,140
0465-0466,華,1,51,,09921,140
0467,葉,1,3,,09966,140
0468,蓋,1,13,,10040,140
0469,莖,1,2,,09874,140
0470,莫,1,2,,09886,140
0471,處,1,20,,10270,141
0472,虚,1,26,,10272,141
0473,號,1,16,,10276,141
0474,蜜,1,4,,10414,142
0475,行,1,33,,10614,144
0476,衣,1,2,,10637,145
0477,西,1,6,,10820,146
0478,覆,1,2,,10826,146
0479,觀,1,23,,10859,147
0480,親,1,2,,10848,147
0481,覺,1,9,,10856,147
0482,見,1,36,,10831,147
0483,解,1,11,,10875,148
0484,言,1,5,,10890,149
0485,説,1,40,,11025,149
0486,謂,1,3,,11095,149
0487,證,1,5,,11155,149
0488,訶,1,22,,10936,149
0489,議,1,10,,11195,149
0490,詣,1,14,,10974,149
0491,讚,1,2,,11229,149
0492,調,1,5,,11038,149
0493-0495,諸,1,144,,11085,149
0496,賢,1,11,,11397,154
0497,起,1,3,,11461,156
0498,趣,1,5,,11485,156
0499,趺,1,11,,11502,157
0500,跏,1,11,,11519,157
0501,足,1,6,,11495,157
0502-0503,身,1,52,,11715,158
0504,輪,1,12,,11827,159
0505,轉,1,12,,11856,159
0506,辭,1,2,,11914,160
0507,遠,1,2,,12070,162
0508,遶,1,6,,12092,162
0509,進,1,2,,12022,162
0510,道,1,20,,12051,162
