統合ID,文字,再麗華6,字体数,用例数,部首
09610,至,0448,1,3,133
09617,臺,0449,1,3,133
09630,興,0450,1,2,134
09629,與,0451,1,13,134
09636,舌,0452,1,2,135
09716,色,0453,1,22,139
10163,薩,0454,1,113,140
10050,蓮,0457,1,20,140
09919,菩,0458,1,100,140
09869,莊,0460,1,51,140
10191,藏,0462,1,42,140
09788,若,0463,1,4,140
09789,苦,0464,1,3,140
09921,華,0465,1,51,140
09966,葉,0467,1,3,140
10040,蓋,0468,1,13,140
09874,莖,0469,1,2,140
09886,莫,0470,1,2,140
10270,處,0471,1,20,141
10272,虛,0472,1,26,141
10276,號,0473,1,16,141
10414,蜜,0474,1,4,142
10614,行,0475,1,33,144
10637,衣,0476,1,2,145
10820,西,0477,1,6,146
10826,覆,0478,1,2,146
10859,觀,0479,1,23,147
10848,親,0480,1,2,147
10856,覺,0481,1,9,147
10831,見,0482,1,36,147
10875,解,0483,1,11,148
10890,言,0484,1,5,149
11025,説,0485,1,40,149
11095,謂,0486,1,3,149
11155,證,0487,1,5,149
10936,訶,0488,1,22,149
11195,議,0489,1,10,149
10974,詣,0490,1,14,149
11229,讚,0491,1,2,149
11038,調,0492,1,5,149
11085,諸,0493,1,144,149
11397,賢,0496,1,11,154
11461,起,0497,1,3,156
11485,趣,0498,1,5,156
11502,趺,0499,1,11,157
11519,跏,0500,1,11,157
11495,足,0501,1,6,157
11715,身,0502,1,52,158
11827,輪,0504,1,12,159
11856,轉,0505,1,12,159
11914,辭,0506,1,2,160
12070,遠,0507,1,2,162
12092,遶,0508,1,6,162
12022,進,0509,1,2,162
12051,道,0510,1,20,162
12000,通,0511,1,19,162
12003,速,0512,1,3,162
11948,近,0513,1,2,162
12083,遮,0514,1,6,162
11937,迅,0515,1,2,162
12115,邊,0516,1,25,162
12052,達,0517,1,4,162
12134,那,0518,1,8,163
12376,量,0519,1,23,166
12380,金,0520,1,8,167
12528,錯,0521,1,2,167
12657,鐸,0522,1,3,167
12739,閣,0523,1,12,169
12757,閻,0524,1,3,169
12724,間,0525,1,9,169
12709,門,0526,1,20,169
12716,開,0527,1,20,169
12927,隨,0528,1,23,170
12855,除,0529,1,2,170
12913,際,0530,1,2,170
13001,離,0531,1,4,172
12963,集,0532,1,5,172
13002,難,0533,1,3,172
13012,雨,0534,1,14,173
13023,雷,0535,1,2,173
13020,雲,0536,1,135,173
13095,青,0539,1,4,174
13107,靡,0540,1,3,175
13108,面,0541,1,2,176
13281,音,0542,1,44,180
13416,顯,0543,1,6,181
13304,須,0544,1,12,181
13307,頌,0545,1,14,181
13391,願,0546,1,26,181
13565,餘,0547,1,3,184
13542,飾,0548,1,3,184
13551,養,0549,1,18,184
13667,香,0550,1,23,186
13934,體,0551,1,6,188
14002,鬚,0552,1,2,190
13970,髻,0553,1,2,190
13999,鬘,0554,1,2,190
14809,鼻,0555,1,2,209
01639,國,0556a,2,38,031
01639b,國,0556b,2,1,031
03159,復,0557a,2,102,060
03159b,復,0557b,2,1,060
08248,稱,0560a,2,3,115
08248b,稱,0560b,2,2,115
13036,震,0561a,2,3,173
13036b,震,0561b,2,1,173
