統合ID,文字,光武帝紀,字体数,用例数,部首
08664,粟,0286,0,1,119
08685,精,0287,0,1,119
08735,紀,0288,0,1,120
08787,紹,0289,0,1,120
08778,累,0290,0,1,120
08792,紿,0291,0,1,120
09022,繍,0292,0,1,120
08856,經,0293,0,1,120
08938,練,0294,0,1,120
08835,絳,0295,0,1,120
08833,統,0296,0,1,120
08963,縛,0297,0,1,120
09031,繭,0298,0,1,120
08795,終,0299,0,1,120
09002,繆,0300,0,1,120
08884,綱,0301,0,1,120
09133,罷,0302,0,1,122
09162,羛,0303,0,1,123
09219,翟,0304,0,1,124
09245,翼,0305,0,1,124
09290,耳,0306,0,1,128
09292,耶,0307,0,1,128
09328,聲,0308,0,1,128
09314,聚,0309,0,1,128
09587,臚,0310,0,1,130
09462,脩,0311,0,1,130
09364,股,0312,0,1,130
09370,肩,0313,0,1,130
09516,腹,0314,0,1,130
09449,脛,0315,0,1,130
09394,背,0316,0,1,130
09361,肜,0317,0,1,130
09393,胊,0318,0,1,130
09611,致,0319,0,1,133
09643,舒,0320,0,1,135
09656,舞,0321,0,1,136
09675,船,0322,0,1,137
09772,苑,0323,0,1,140
10031,蒼,0324,0,1,140
10093,蕃,0325,0,1,140
09778,苗,0326,0,1,140
09779,苛,0327,0,1,140
10088,蔽,0328,0,1,140
09985,葬,0329,0,1,140
09921,華,0330,0,1,140
10026,蒲,0331,0,1,140
09851,荒,0332,0,1,140
09844,荊,0333,0,1,140
10139,薄,0334,0,1,140
10206,藩,0335,0,1,140
09972,著,0336,0,1,140
10500,融,0337,0,1,142
10390,蜀,0338,0,1,142
10599,蠶,0339,0,1,142
10806,襲,0340,0,1,145
10683,被,0341,0,1,145
10698,裂,0342,0,1,145
10720,裨,0343,0,1,145
10860,角,0344,0,1,148
10875,解,0345,0,1,148
10914,記,0346,0,1,149
11079,諱,0347,0,1,149
11171,識,0348,0,1,149
11090,諾,0349,0,1,149
11177,譟,0350,0,1,149
10954,詎,0351,0,1,149
10930,許,0352,0,1,149
10957,詐,0353,0,1,149
10919,訟,0354,0,1,149
11028,誰,0355,0,1,149
10928,設,0356,0,1,149
11116,謗,0357,0,1,149
11153,䜌,0358,0,1,149
11275,象,0359,0,1,152
11344,責,0360,0,1,154
11386,賓,0361,1,2,154
11339,貨,0362,0,1,154
11332,負,0363,0,1,154
11418,購,0364,0,1,154
11350,貰,0365,0,1,154
11373,資,0366,0,1,154
11355,貴,0367,0,1,154
11354,貳,0368,0,1,154
11631,蹙,0369,0,1,157
11541,跨,0370,0,1,157
11569,踐,0371,0,1,157
11548,路,0372,0,1,157
11616,蹇,0373,0,1,157
11820,輣,0374,0,1,159
11852,轅,0375,0,1,159
11846,輿,0376,0,1,159
11834,輯,0377,0,1,159
11780,軹,0378,0,1,159
11919,農,0379,0,1,161
12070,遠,0380,0,1,162
12115,邊,0381,0,1,162
11988,逋,0382,0,1,162
12103,避,0383,0,1,162
12095,選,0384,0,1,162
12079,適,0385,0,1,162
12027,逸,0386,0,1,162
12062,遙,0387,0,1,162
11965,迫,0388,0,1,162
12049,遑,0389,0,1,162
12035,遁,0390,0,1,162
12082,遭,0391,0,1,162
12220,鄡,0392,0,1,163
12160,郊,0393,0,1,163
12263,配,0394,0,1,164
12294,酬,0395,0,1,164
12301,酷,0396,0,1,164
12443,鉦,0397,0,1,167
12472,鋭,0398,0,1,167
12654,鐵,0399,0,1,167
12641,鐔,0400,0,1,167
12499,錄,0401,0,1,167
12485,鋒,0402,0,1,167
12587,鎭,0403,0,1,167
12705x,镼,0404,0,1,168
12716,開,0405,0,1,169
12721,閏,0406,0,1,169
12819,阯,0407,0,1,170
12868,陶,0408,0,1,170
12913,際,0409,0,1,170
12837,陌,0410,0,1,170
12830,阿,0411,0,1,170
12822,防,0412,0,1,170
12862,陰,0413,0,1,170
12899,隕,0414,0,1,170
12851,陟,0415,0,1,170
12889,隊,0416,0,1,170
12855,除,0417,0,1,170
12939,隴,0418,0,1,170
12963,集,0419,0,1,172
12964,雇,0420,0,1,172
13052,霜,0421,0,1,173
13015,雪,0422,0,1,173
13293,響,0423,0,1,180
13359,頻,0424,0,1,181
13302,順,0425,0,1,181
13346,頭,0426,0,1,181
13297,頃,0427,0,1,181
13416,顯,0428,0,1,181
13423,風,0429,0,1,182
13495,飛,0430,0,1,183
13647,饗,0431,0,1,184
13584,館,0432,0,1,184
13635,饋,0433,0,1,184
13526,飮,0434,0,1,184
13508,飢,0435,0,1,184
13839,驅,0436,0,1,187
13820,騰,0437,0,1,187
13797,騖,0438,0,1,187
13845,驕,0439,0,1,187
14033,鬭,0440,0,1,191
14039,鬱,0441,0,1,192
