,,mam_P2160,mam_P2160,mam_P2160,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
11542b,跪,0936b,2,1,157
11565,踊,0937,1,2,157
11689,躍,0938,1,2,157
11548,路,0939,1,5,157
11552,跱,0940,1,2,157
11515,跋,0941,1,3,157
11715,身,0942,1,19,158
11801,輔,0943,1,4,159
11827,輪,0944,1,8,159
11740,車,0945,1,2,159
11856,轉,0946,1,11,159
11802,輕,0947,1,2,159
11908,辨,0948,1,2,160
11893,辛,0949,1,2,160
12042,遊,0950,1,3,162
12054,違,0951,1,2,162
11974,迷,0952,1,6,162
12070,遠,0953,1,3,162
11965,迫,0954,1,2,162
11948,近,0955,1,2,162
12003,速,0956,1,7,162
12000,通,0957,1,3,162
12004,造,0958,1,3,162
12083,遮,0959,1,9,162
12108,還,0960,1,13,162
12046,過,0961,1,5,162
12052,達,0962,1,5,162
12120,邏,0963,1,13,162
12001,逝,0964,1,2,162
12062,遙,0965,1,2,162
12030,逼,0966,1,2,162
03157,徧,0967,1,4,060
12051,道,0968,1,15,162
11960,迦,0969,1,18,162
12027,逸,0970,1,2,162
11986,逆,0971,1,2,162
12134,那,0972,1,20,163
12176,部,0973,1,3,163
12341,醫,0974a,2,3,164
12341b,醫,0974b,2,1,164
12371,釋,0975a,2,4,165
12371b,釋,0975b,2,1,165
12376,量,0976,1,5,166
12373,重,0977,1,2,166
12380,金,0978,1,5,167
12654,鐵,0979,1,3,167
12698,長,0980,1,22,168
12709,門,0981,1,6,169
12724,間,0982,1,11,169
12757,閻,0983,1,19,169
12716,開,0984,1,4,169
12736,閡,0985,1,2,169
12800,闥,0986,1,4,169
12774,闍,0987,1,6,169
12831,陀,0988,1,21,170
12830,阿,0989,1,27,170
12935,隱,0990,1,2,170
12892,階,0991,1,6,170
12855,除,0992,1,2,170
12927,隨,0993,1,14,170
12838,降,0994,1,4,170
12913,際,0995,1,2,170
12963,集,0996,1,7,172
13002,難,0997,1,6,172
12991,雖,0998,1,2,172
12997,雜,0999,1,7,172
13073,露,1000,1,5,173
13095,青,1001,1,3,174
13104,非,1002,1,13,175
13108,面,1003,1,5,176
13281,音,1004,1,2,180
13304,須,1005,1,14,181
13327,領,1006,1,3,181
13416,顯,1007,1,3,181
13359,頻,1008,0,1,181
13380,顏,1009,1,2,181
13302,順,1010,1,4,181
13346,頭,1011,1,11,181
13307,頌,1012,1,3,181
13391,願,1013,1,13,181
13296,頂,1014,1,6,181
13423,風,1015,1,3,182
13551,養,1016,1,2,184
13559,餓,1017,1,2,184
13565,餘,1018,1,7,184
13641,饒,1019,1,2,184
13508,飢,1020,1,2,184
13526,飮,1021,1,5,184
13503,食,1022,1,4,184
13661,首,1023,1,2,185
13667,香,1024,1,5,186
13680,馬,1025,1,5,187
13688,馳,1026,1,4,187
13709,駈,1027,1,2,187
13852,驚,1028,1,2,187
13933,髓,1029,1,2,188
13940,高,1030,1,4,189
14039,鬱,1031,1,3,192
14061,鬼,1032,1,14,194
14073,魅,1033,1,2,194
14366,鳩,1034,1,5,196
14693,黃,1035,1,2,201
14809,鼻,1036,1,2,209
14876,龍,1037,1,4,212
01088,厭,1038a,2,1,027
01088b,厭,1038b,2,1,027
01323,哭,1039a,3,1,030
01323b,哭,1039b,3,1,030
01323c,哭,1039c,3,1,030
01682,坐,1040a,2,3,032
01682b,坐,1040b,2,2,032
01957,失,1041a,2,3,037
01957b,失,1041b,2,2,037
02425,將,1042a,2,3,041
02425b,將,1042b,2,2,041
03005,延,1043a,2,2,054
03005b,延,1043b,2,1,054
03367,惡,1044a,2,4,061
03367b,惡,1044b,2,1,061
03402,愍,1045a,2,9,061
03402b,愍,1045b,2,1,061
04667,會,1046a,2,7,073
04667b,會,1046b,2,1,073
04870,柰,1047a,2,1,075
04870b,柰,1047b,2,1,075
05639,歡,1048a,2,2,076
05639b,歡,1048b,2,1,076
06957,熱,1049a,2,3,086
06957b,熱,1049b,2,1,086
07043,爾,1050a,2,21,089
07043b,爾,1050b,2,1,089
07087,牽,1051a,2,1,093
07087b,牽,1051b,2,1,093
08107,祇,1052a,2,3,113
08107b,祇,1052b,2,1,113
09972,著,1053a,2,4,140
09972b,著,1053b,2,1,140
10276,號,1054a,2,1,141
10276b,號,1054b,2,1,141
10887,觸,1055a,2,5,148
10887b,觸,1055b,2,1,148
11189,譬,1056a,2,9,149
11189b,譬,1056b,2,1,149
13001,離,1057a,2,12,172
13001b,離,1057b,2,1,172
13398,類,1058,0,1,181
