,,mam_P2160,mam_P2160,mam_P2160,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
06147,洽,0185,0,1,085
06292,淺,0186,0,1,085
06063,泉,0187,0,1,085
06193,涉,0188,0,1,085
06411,溪,0189,0,1,085
06816,炬,0190,0,1,086
06867,焚,0191,0,1,086
06969,燃,0192,0,1,086
06974,燋,0193,0,1,086
06840,烔,0194,0,1,086
06895,煮,0195,0,1,086
07028,爭,0196,0,1,087
07035,父,0197,0,1,088
07074,牟,0198,0,1,093
07076,牢,0199,0,1,093
07125,狂,0200,0,1,094
07198,猲,0201,0,1,094
07248,獸,0202,0,1,094
07112,犯,0203,0,1,094
07134,狎,0204,0,1,094
07348,瑠,0205,0,1,096
07366,璃,0206,0,1,096
07346,瑞,0207,0,1,096
07307,理,0208,0,1,096
07459,甜,0209,0,1,099
07520,畢,0210,0,1,102
07508,留,0211,0,1,102
07481,申,0212,0,1,102
07557,疏,0213,0,1,103
07613,痛,0214,0,1,104
07673,癇,0215,0,1,104
07655,瘧,0216,0,1,104
07707,發,0217,0,1,105
07706,登,0218,0,1,105
07770,盛,0219,0,1,108
07785,盧,0220,0,1,108
07758,盈,0221,0,1,108
07898,瞬,0222,0,1,109
07839,眷,0223,0,1,109
07796,盲,0224,0,1,109
07878,瞋,0225,0,1,109
07882,瞑,0226,0,1,109
07910,瞿,0227,0,1,109
07930,矜,0228,0,1,110
07948,短,0229,0,1,111
08016,碎,0230,0,1,112
07986,破,0231,0,1,112
13079,霹,0232,0,1,173
08167,禱,0233,0,1,113
08123,祝,0234,0,1,113
08104,祁,0235,0,1,113
08130,祥,0236,0,1,113
08117,祖,0237,0,1,113
08258,稽,0238,0,1,115
08180,私,0239,0,1,115
08187,秋,0240,0,1,115
08303,突,0241,0,1,116
08361,竝,0242,0,1,117
08428,筋,0243,0,1,118
08718,糧,0244,0,1,119
08778,累,0245,0,1,120
08739,紅,0246,0,1,120
09011,繒,0247,0,1,120
08822,給,0248,0,1,120
08799,絆,0249,0,1,120
08982,縱,0250,0,1,120
08997,繁,0251,0,1,120
08773,紫,0252,0,1,120
08748,紐,0253,0,1,120
09085,缺,0254,0,1,121
09148,羈,0255,0,1,122
09150,羊,0256,0,1,123
09155,美,0257,0,1,123
09249,耀,0258,0,1,124
09214,習,0259,0,1,124
09286,耨,0260,0,1,127
09272,耕,0261,0,1,127
09554,膳,0262,0,1,130
09395,胎,0263,0,1,130
09503,腫,0264,0,1,130
09408,胞,0265,0,1,130
09433,脂,0266,0,1,130
09394,背,0267,0,1,130
09675,船,0268,0,1,137
09715,艱,0269,0,1,138
09941,萌,0270,0,1,140
10075,蔗,0271,0,1,140
09904,菓,0272,0,1,140
09961,落,0273,0,1,140
09758,花,0274,0,1,140
10251,蘭,0275,0,1,140
10086,蔭,0276,0,1,140
10008,蒙,0277,0,1,140
10201,藝,0278,0,1,140
10139,薄,0279,0,1,140
09976,葛,0280,0,1,140
10264,虎,0281,0,1,141
10475,蝦,0282,0,1,142
10530,蟇,0283,0,1,142
10500,融,0284,0,1,142
10349,蛇,0285,0,1,142
10630,衞,0286,0,1,144
10678,袢,0287,0,1,145
10794,襠,0288,0,1,145
10822,要,0289,0,1,146
10905,訐,0290,0,1,149
10928,設,0291,0,1,149
11058,論,0292,0,1,149
10902,討,0293,0,1,149
10912,訖,0294,0,1,149
10975,試,0295,0,1,149
10985,詰,0296,0,1,149
11234,谷,0297,0,1,150
11261,豐,0298,0,1,151
11282,豪,0299,0,1,152
11373,資,0300,0,1,154
11386,賓,0301,0,1,154
11355,貴,0302,0,1,154
11397,賢,0303,0,1,154
11411,賴,0304,0,1,154
11471,越,0305,0,1,156
11675,躁,0306,0,1,157
11976,迹,0307,0,1,162
11593,踰,0308,0,1,157
11708,躡,0309,0,1,157
11564,踉,0310,0,1,157
11618,蹈,0311,0,1,157
11553,跳,0312,0,1,157
11646,蹤,0313,0,1,157
11619,蹉,0314,0,1,157
11716,躬,0315,0,1,158
11795,載,0316,0,1,159
11898,辟,0317,0,1,160
11916,辯,0318,0,1,160
