カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号,,
0148,曜,,,,0,072,04636,,
0149,星,,,,0,072,04499,,
0150,曼,,,,0,073,04660,,
0151,曲,,,,0,073,04651,,
0152,望,,,,0,074,04693,,
0153,柱,,,,0,075,04871,,
0154,樹,,,,0,075,05323,,
0155,槁,,,,0,075,05226,,
0156,柯,,,,0,075,04869,,
0157,榮,,,,0,075,05210,,
0158,械,,,,0,075,05001,,
0159,楚,,,,0,075,05134,,
0160,柏,,,,0,075,04850,,
0161,04772,,,,0,075,04772,,
0162,桓,,,,0,075,04942,,
0163,枷,,,,0,075,04821,,
0164,04775,,,,0,075,04775,,
0165,條,,,,0,075,04984,,
0166,欣,,,,0,076,05561,,
0167,止,,,,0,077,05641,,
0168,歳,,,,0,077,05666,,
0169,殖,,,,0,078,05734,,
0170,殿,,,,0,079,05809,,
0171,氣,,,,0,084,05947,,
0172,潤,,,,0,085,06553,,
0173,涕,,,,0,085,06202,,
0174,溺,,,,0,085,06422,,
0175,漂,,,,0,085,06480,,
0176,涙,,,,0,085,06253,,
0177,涸,,,,0,085,06227,,
0178,淪,,,,0,085,06275,,
0179,潔,,,,0,085,06532,,
0180,洗,,,,0,085,06120,,
0181,浴,,,,0,085,06179,,
0182,治,,,,0,085,06055,,
0183,湯,,,,0,085,06381,,
0184,源,,,,0,085,06396,,
0185,洽,,,,0,085,06147,,
0186,淺,,,,0,085,06292,,
0187,泉,,,,0,085,06063,,
0188,渉,,,,0,085,06193,,
0189,溪,,,,0,085,06411,,
0190,炬,,,,0,086,06816,,
0191,焚,,,,0,086,06867,,
0192,燃,,,,0,086,06969,,
0193,06974,,,,0,086,06974,,
0194,06840,,,,0,086,06840,,
0195,煮,,,,0,086,06895,,
0196,爭,,,,0,087,07028,,
0197,父,,,,0,088,07035,,
0198,牟,,,,0,093,07074,,
0199,牢,,,,0,093,07076,,
0200,狂,,,,0,094,07125,,
0201,07198,,,,0,094,07198,,
0202,獸,,,,0,094,07248,,
0203,犯,,,,0,094,07112,,
0204,狎,,,,0,094,07134,,
0205,瑠,,,,0,096,07348,,
0206,璃,,,,0,096,07366,,
0207,瑞,,,,0,096,07346,,
0208,理,,,,0,096,07307,,
0209,甜,,,,0,099,07459,,
0210,畢,,,,0,102,07520,,
0211,留,,,,0,102,07508,,
0212,申,,,,0,102,07481,,
0213,疏,,,,0,103,07557,,
0214,痛,,,,0,104,07613,,
0215,癇,,,,0,104,07673,,
0216,瘧,,,,0,104,07655,,
0217,發,,,,0,105,07707,,
0218,登,,,,0,105,07706,,
0219,盛,,,,0,108,07770,,
0220,盧,,,,0,108,07785,,
0221,盈,,,,0,108,07758,,
0222,瞬,,,,0,109,07898,,
0223,眷,,,,0,109,07839,,
0224,盲,,,,0,109,07796,,
0225,瞋,,,,0,109,07878,,
0226,瞑,,,,0,109,07882,,
0227,瞿,,,,0,109,07910,,
0228,矜,,,,0,110,07930,,
0229,短,,,,0,111,07948,,
0230,碎,,,,0,112,08016,,
0231,破,,,,0,112,07986,,
0232,霹,,,,0,173,13079,,
0233,祷,,,,0,113,08167,,
0234,祝,,,,0,113,08123,,
0235,祁,,,,0,113,08104,,
0236,祥,,,,0,113,08130,,
0237,祖,,,,0,113,08117,,
0238,稽,,,,0,115,08258,,
0239,私,,,,0,115,08180,,
0240,秋,,,,0,115,08187,,
0241,突,,,,0,116,08303,,
0242,竝,,,,0,117,08361,,
0243,筋,,,,0,118,08428,,
0244,糧,,,,0,119,08718,,
0245,累,,,,0,120,08778,,
0246,紅,,,,0,120,08739,,
0247,09011,,,,0,120,09011,,
0248,給,,,,0,120,08822,,
0249,絆,,,,0,120,08799,,
0250,縱,,,,0,120,08982,,
0251,繁,,,,0,120,08997,,
0252,紫,,,,0,120,08773,,
0253,紐,,,,0,120,08748,,
0254,缺,,,,0,121,09085,,
0255,羈,,,,0,122,09148,,
0256,羊,,,,0,123,09150,,
0257,美,,,,0,123,09155,,
0258,耀,,,,0,124,09249,,
0259,習,,,,0,124,09214,,
0260,耨,,,,0,127,09286,,
0261,耕,,,,0,127,09272,,
0262,膳,,,,0,130,09554,,
0263,胎,,,,0,130,09395,,
0264,腫,,,,0,130,09503,,
0265,胞,,,,0,130,09408,,
0266,脂,,,,0,130,09433,,
0267,背,,,,0,130,09394,,
0268,船,,,,0,137,09675,,
0269,艱,,,,0,138,09715,,
0270,萌,,,,0,140,09941,,
0271,蔗,,,,0,140,10075,,
0272,菓,,,,0,140,09904,,
0273,落,,,,0,140,09961,,
0274,花,,,,0,140,09758,,
0275,蘭,,,,0,140,10251,,
0276,蔭,,,,0,140,10086,,
0277,蒙,,,,0,140,10008,,
0278,藝,,,,0,140,10201,,
0279,薄,,,,0,140,10139,,
0280,葛,,,,0,140,09976,,
0281,虎,,,,0,141,10264,,
0282,蝦,,,,0,142,10475,,
0283,蟇,,,,0,142,10530,,
0284,融,,,,0,142,10500,,
0285,蛇,,,,0,142,10349,,
0286,衞,,,,0,144,10630,,
