カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号,,
0773,用,5,,,1,101,07469,,
0774,田,4,,,1,102,07478,,
0775,異,3,,,1,102,07530,,
0776,由,8,,,1,102,07479,,
0777,界,6,,,1,102,07501,,
0778,畜,2,,,1,102,07513,,
0779,男,2,,,1,102,07483,,
0780,畏,2,,,1,102,07503,,
0781,當,11,,,1,102,07535,,
0782,病,8,,,1,104,07598,,
0783,07574,3,,,1,104,07574,,
0784,療,3,,,1,104,07668,,
0785,疾,6,,,1,104,07591,,
0786,癡,7,,,1,104,07685,,
0787,皆,26,,,1,106,07717,,
0788,白,15,,,1,106,07709,,
0789,百,3,,,1,106,07710,,
0790,皮,3,,,1,107,07739,,
0791,盡,9,,,1,108,07779,,
0792,益,4,,,1,108,07759,,
0793,盜,2,,,1,108,07771,,
0794-0795,衆,51,,,1,109,07844,,
0796,目,4,,,1,109,07790,,
0797,眼,5,,,1,109,07843,,
0798,直,2,,,1,109,07799,,
0799,相,17,,,1,109,07801,,
0800,眠,2,,,1,109,07828,,
0801,M23523,5,,,1,109,,,
0802,知,16,,,1,111,07941,,
0803,石,2,,,1,112,07954,,
0804,示,7,,,1,113,08097,,
0805,禮,8,,,1,113,08165,,
0806,福,6,,,1,113,08148,,
0807,神,22,,,1,113,08124,,
0808,種,19,,,1,115,08244,,
0809,稱,15,,,1,115,08248,,
0810,積,5,,,1,115,08269,,
0811,移,3,,,1,115,08212,,
0812,空,3,,,1,116,08296,,
0813,窮,6,,,1,116,08329,,
0814,究,3,,,1,116,08293,,
0815,立,3,,,1,117,08354,,
0816,競,3,,,1,117,08380,,
0817,竟,3,,,1,117,08365,,
0818,童,2,,,1,117,08371,,
0819,端,3,,,1,117,08376,,
0820,答,2,,,1,118,08437,,
0821,等,35,,,1,118,08426,,
0822,第,5,,,1,118,08412,,
0823,精,2,,,1,119,08685,,
0824,繞,3,,,1,120,09020,,
0825,絶,4,,,1,120,08809,,
0826,緊,4,,,1,120,08906,,
0827,經,4,,,1,120,08856,,
0828,終,4,,,1,120,08795,,
0829,纏,2,,,1,120,09064,,
0830,縁,17,,,1,120,08924,,
0831,純,5,,,1,120,08753,,
0832,結,5,,,1,120,08807,,
0833,縛,5,,,1,120,08963,,
0834,統,5,,,1,120,08833,,
0835,罪,3,,,1,122,09125,,
0836-0837,羅,81,,,1,122,09144,,
0838,義,2,,,1,123,09177,,
0839,羣,2,,,1,123,09175,,
0840,翅,2,,,1,124,09204,,
0841,耆,2,,,1,125,09257,,
0842,者,37,,,1,125,09255,,
0843,老,5,3,,2,125,09250,,
0844,而,46,,,1,126,09264,,
0845,聖,6,,,1,128,09308,,
0846,聰,3,,,1,128,09326,,
0847,聽,5,1,,2,128,09335,,
0848,聲,5,,,1,128,09328,,
0849,聚,6,,,1,128,09314,,
0850,聞,19,,,1,128,09315,,
0851,耶,28,,,1,128,09292,,
0852,脱,12,,,1,130,09463,,
0853,脩,13,,,1,130,09462,,
0854,能,24,,,1,130,09429,,
0855,肉,2,1,,2,130,09348,,
0856,腦,2,1,,2,130,09501,,
0857,臣,11,,,1,131,09596,,
0858,臨,2,,,1,131,09601,,
0859,臥,4,,,1,131,09599,,
0860,自,21,,,1,132,09602,,
0861,致,2,,,1,133,09611,,
0862,至,20,,,1,133,09610,,
0863,與,5,,,1,134,09629,,
0864,臾,5,,,1,134,09621,誤字含,
0865,擧,4,,,1,134,09632,,
0866,舍,12,,,1,135,09638,,
0867,良,3,,,1,138,09714,,
0868,色,14,,,1,139,09716,,
0869,苦,25,,,1,140,09789,,
0870,若,23,,,1,140,09788,,
0871,薩,4,,,1,140,10163,,
0872,莊,2,,,1,140,09869,,
0873,萬,2,,,1,140,09954,,
0874,莫,5,,,1,140,09886,,
0875,蓮,2,,,1,140,10050,,
0876,葉,2,,,1,140,09966,,
0877,藥,5,,,1,140,10204,,
0878,草,2,,,1,140,09846,,
0879,藏,2,,,1,140,10191,,
0880,茂,2,,,1,140,09807,,
0881,華,4,,,1,140,09921,,
0882,菩,2,,,1,140,09919,,
0883,藐,6,,,1,140,10192,,
0884,藍,5,,,1,140,10189,,
0885,蓋,2,,,1,140,10040,,
0886,處,6,,,1,141,10270,,
0887,虚,2,,,1,141,10272,,
0888,蜜,2,,,1,142,10414,,
0889,行,19,,,1,144,10614,,
0890,術,2,,,1,144,10618,,
0891,衣,4,,,1,145,10637,,
0892,被,2,,,1,145,10683,,
0893,西,4,,,1,146,10820,,
0894,見,12,,,1,147,10831,,
0895,視,2,,,1,147,10837,,
0896,親,3,,,1,147,10848,,
0897,覓,2,,,1,147,10834,,
0898,觀,3,,,1,147,10859,,
0899,覺,4,,,1,147,10856,,
0900,解,11,,,1,148,10875,,
0901,請,2,,,1,149,11049,,
0902,讀,3,,,1,149,11207,,
0903,讚,6,,,1,149,11229,,
0904,語,21,,,1,149,11017,,
0905,諦,11,,,1,149,11072,,
0906,許,2,,,1,149,10930,,
0907,計,5,,,1,149,10896,,
0908,調,2,,,1,149,11038,,
0909,言,33,,,1,149,10890,,
0910,謂,3,,,1,149,11095,,
0911,訶,26,,,1,149,10936,,
0912-0913,諸,56,,,1,149,11085,,
0914,護,4,,,1,149,11200,,
0915,誦,3,,,1,149,11023,,
0916,識,9,,,1,149,11171,,
0917,證,2,,,1,149,11155,,
0918,説,30,,,1,149,11025,,
0919,誠,2,,,1,149,11018,,
0920,豈,2,,,1,151,11253,,
0921,象,3,,,1,152,11275,,
0922,11306,3,,,1,153,11306,,
0923,質,5,,,1,154,11404,,
0924,貧,2,,,1,154,11338,,
0925,賤,2,,,1,154,11402,,
0926,貪,5,,,1,154,11342,,
0927,責,3,,,1,154,11344,,
0928,賊,3,,,1,154,11377,,
0929,財,2,,,1,154,11334,,
0930,赤,3,,,1,155,11445,,
0931,趣,3,,,1,156,11485,,
0932,超,2,,,1,156,11467,,
0933,走,3,,,1,156,11454,,
0934,起,3,,,1,156,11461,,
0935,足,10,,,1,157,11495,,
0936,跪,1,1,,2,157,11542,,
0937,踊,2,,,1,157,11565,,
0938,躍,2,,,1,157,11689,,
0939,路,5,,,1,157,11548,,
0940,11552,2,,,1,157,11552,,
0941,跋,3,,,1,157,11515,,
0942,身,19,,,1,158,11715,,
0943,輔,4,,,1,159,11801,,
0944,輪,8,,,1,159,11827,,
0945,車,2,,,1,159,11740,,
0946,轉,11,,,1,159,11856,,
0947,輕,2,,,1,159,11802,,
0948,辨,2,,,1,160,11908,,
0949,辛,2,,,1,160,11893,,
0950,遊,3,,,1,162,12042,,
0951,違,2,,,1,162,12054,,
0952,迷,6,,,1,162,11974,,
0953,遠,3,,,1,162,12070,,
0954,迫,2,,,1,162,11965,,
0955,近,2,,,1,162,11948,,
0956,速,7,,,1,162,12003,,
0957,通,3,,,1,162,12000,,
0958,造,3,,,1,162,12004,,
0959,遮,9,,,1,162,12083,,
0960,還,13,,,1,162,12108,,
0961,過,5,,,1,162,12046,,
0962,達,5,,,1,162,12052,,
0963,邏,13,,,1,162,12120,,
0964,逝,2,,,1,162,12001,,
0965,遙,2,,,1,162,12062,,
0966,逼,2,,,1,162,12030,,
0967,03157,4,,,1,060,03157,,
0968,道,15,,,1,162,12051,,
0969,迦,18,,,1,162,11960,,
0970,逸,2,,,1,162,12027,,
0971,逆,2,,,1,162,11986,,
0972,那,20,,,1,163,12134,,
0973,部,3,,,1,163,12176,,
0974,醫,3,1,,2,164,12341,,
0975,釋,4,1,,2,165,12371,,
0976,量,5,,,1,166,12376,,
0977,重,2,,,1,166,12373,,
0978,金,5,,,1,167,12380,,
0979,鐵,3,,,1,167,12654,,
0980,長,22,,,1,168,12698,,
0981,門,6,,,1,169,12709,,
0982,間,11,,,1,169,12724,,
0983,閻,19,,,1,169,12757,,
0984,開,4,,,1,169,12716,,
0985,12736,2,,,1,169,12736,,
0986,闥,4,,,1,169,12800,,
0987,闍,6,,,1,169,12774,,
0988,陀,21,,,1,170,12831,,
0989,阿,27,,,1,170,12830,,
0990,隱,2,,,1,170,12935,,
0991,階,6,,,1,170,12892,,
0992,除,2,,,1,170,12855,,
0993,隨,14,,,1,170,12927,,
0994,降,4,,,1,170,12838,,
0995,際,2,,,1,170,12913,,
0996,集,7,,,1,172,12963,,
0997,難,6,,,1,172,13002,,
0998,雖,2,,,1,172,12991,,
0999,雜,7,,,1,172,12997,,
1000,露,5,,,1,173,13073,,
1001,青,3,,,1,174,13095,,
1002,非,13,,,1,175,13104,,
1003,面,5,,,1,176,13108,,
1004,音,2,,,1,180,13281,,
1005,須,14,,,1,181,13304,,
1006,領,3,,,1,181,13327,,
1007,顯,3,,,1,181,13416,,
1008,頻,,,,0,181,13359,,
1009,顏,2,,,1,181,13380,,
1010,順,4,,,1,181,13302,,
1011,頭,11,,,1,181,13346,,
1012,頌,3,,,1,181,13307,,
1013,願,13,,,1,181,13391,,
1014,頂,6,,,1,181,13296,,
1015,風,3,,,1,182,13423,,
1016,養,2,,,1,184,13551,,
1017,餓,2,,,1,184,13559,,
1018,餘,7,,,1,184,13565,,
1019,饒,2,,,1,184,13641,,
1020,飢,2,,,1,184,13508,,
1021,飮,5,,,1,184,13526,,
1022,食,4,,,1,184,13503,,
1023,首,2,,,1,185,13661,,
1024,香,5,,,1,186,13667,,
1025,馬,5,,,1,187,13680,,
1026,馳,4,,,1,187,13688,,
1027,駈,2,,,1,187,13709,,
1028,驚,2,,,1,187,13852,,
1029,髓,2,,,1,188,13933,,
1030,高,4,,,1,189,13940,,
1031,鬱,3,,,1,192,14039,,
1032,鬼,14,,,1,194,14061,,
1033,魅,2,,,1,194,14073,,
1034,鳩,5,,,1,196,14366,,
1035,黄,2,,,1,201,14693,,
1036,鼻,2,,,1,209,14809,,
1037,龍,4,,,1,212,14876,,
1038,厭,1,1,,2,027,01088,,
1039,哭,1,1,1,3,030,01323,,
1040,坐,3,2,,2,032,01682,,
1041,失,3,2,,2,037,01957,,
1042,將,3,2,,2,041,02425,,
1043,延,2,1,,2,054,03005,,
1044,惡,4,1,,2,061,03367,,
1045,愍,9,1,,2,061,03402,,
1046,會,7,1,,2,073,04667,,
1047,04870,1,1,,2,075,04870,,
1048,歡,2,1,,2,076,05639,,
1049,熱,3,1,,2,086,06957,,
1050,爾,21,1,,2,089,07043,,
1051,牽,1,1,,2,093,07087,,
1052,祇,3,1,,2,113,08107,,
1053,著,4,1,,2,140,09972,,
1054,號,1,1,,2,141,10276,,
1055,觸,5,1,,2,148,10887,,
1056,譬,9,1,,2,149,11189,,
1057,離,12,1,,2,172,13001,,
1058,類,,,,0,181,13398,,
