統合ID,文字,S.2577,字体数,用例数,部首
07857,睞,0157,0,1,109
07813,眉,0158,0,1,109
08057,磨,0159,0,1,112
08162,禪,0160,0,1,113
08143,禁,0161,0,1,113
08116,祕,0162,0,1,113
08279,穢,0163,0,1,115
08376,端,0164,0,1,117
08423,筆,0165,0,1,118
08587,簸,0166,0,1,118
08437,答,0167,0,1,118
08767,索,0168,0,1,120
08924,緣,0169,0,1,120
08788,紺,0170,0,1,120
08807,結,0171,0,1,120
08809,絶,0172,0,1,120
09017,繚,0173,0,1,120
09150,羊,0174,0,1,123
09175,羣,0175,0,1,123
09194,羼,0176,0,1,123
09250,老,0177,0,1,125
09290,耳,0178,0,1,128
09308,聖,0179,0,1,128
09370,肩,0180,0,1,130
09377,肯,0181,0,1,130
09348,肉,0182,0,1,130
09516,腹,0183,0,1,130
09447,脚,0184,0,1,130
09565,膿,0185,0,1,130
09596,臣,0186,0,1,131
09601,臨,0187,0,1,131
09605,臭,0188,0,1,132
09630,興,0189,0,1,134
09665,般,0190,0,1,137
09758,花,0191,0,1,140
09870,莎,0192,0,1,140
09904,菓,0193,0,1,140
09977,葡,0194,0,1,140
10050,蓮,0195,0,1,140
10251,蘭,0196,0,1,140
10040,蓋,0197,0,1,140
10270,處,0198,0,1,141
10302,蚖,0199,0,1,142
10349,蛇,0200,0,1,142
10453,蝎,0201,0,1,142
10478,蝮,0202,0,1,142
10580,蠡,0203,0,1,142
10605,血,0204,0,1,143
10669,袒,0205,0,1,145
10617,衒,0206,0,1,144
10826,覆,0207,0,1,146
10837,視,0208,0,1,147
10860,角,0209,0,1,148
10919,訟,0210,0,1,149
11038,調,0211,0,1,149
11008,誓,0212,0,1,149
11006,誑,0213,0,1,149
11051,諍,0214,0,1,149
11253,豈,0215,0,1,151
11282,豪,0216,0,1,152
11404,質,0217,0,1,154
11398,賣,0218,0,1,154
11373,資,0219,0,1,154
11377,賊,0220,0,1,154
11445,赤,0221,0,1,155
07557,疏,0222,0,1,103
11502,趺,0223,0,1,157
11519,跏,0224,0,1,157
11515,跋,0225,0,1,157
11565,踊,0226,0,1,157
11653,蹬,0227,0,1,157
11827,輪,0228,0,1,159
11893,辛,0229,0,1,160
11948,近,0230,0,1,162
12062,遙,0231,0,1,162
12042,遊,0232,0,1,162
12083,遮,0233,0,1,162
12082,遭,0234,0,1,162
12030,逼,0235,0,1,162
11993,逐,0236,0,1,162
11982,退,0237,0,1,162
03008,廻,0238,0,1,054
12153,郁,0239,0,1,163
12327,醜,0240,0,1,164
12573,鎖,0241,0,1,167
12768,闇,0242,0,1,169
12854,陣,0243,0,1,170
12838,降,0244,0,1,170
14542,鷄,0245,0,1,196
13026,電,0246,0,1,173
13024,雹,0247,0,1,173
13073,露,0248,0,1,173
13095,青,0249,0,1,174
13416,顯,0250,0,1,181
13304,須,0251,0,1,181
13302,順,0252,0,1,181
13423,風,0253,0,1,182
13503,食,0254,0,1,184
13526,飮,0255,0,1,184
13661,首,0256,0,1,185
13970,髻,0257,0,1,190
13959,髮,0258,0,1,190
14101,魚,0259,0,1,195
14709,黑,0260,0,1,203
14809,鼻,0261,0,1,209
14828,齊,0262,0,1,210
14887,龜,0263,0,1,213
00026,丘,0264,1,6,001
00009,下,0265,1,5,001
00013,不,0266,1,35,001
00007,三,0267,1,40,001
00008,上,0268,1,14,001
09954,萬,0269,1,18,140
00001,一,0270,1,27,001
00004,七,0271,1,11,001
00051,中,0272,1,26,002
00102,乘,0273,1,3,004
00088,之,0274,1,28,004
00078,乃,0275,1,5,004
00085,久,0276,1,4,004
00128,事,0277,1,4,006
00129,二,0278,1,26,007
00133,云,0279,1,3,007
00135,五,0280,1,5,007
00154,亦,0281,1,22,008
00168,人,0282,1,70,009
00520,億,0284,1,14,009
00282,來,0285,1,14,009
00256,作,0286,1,18,009
00255,佛,0287,1,101,009
00542,優,0290,1,5,009
00345,信,0291,1,4,009
00206,任,0292,1,2,009
00503,僧,0293,1,9,009
00216,伎,0294,1,3,009
00213,伊,0295,1,5,009
00279,使,0296,1,4,009
00321,便,0297,1,9,009
09462,脩,0298,1,21,130
00385,値,0299,1,8,009
00406,偈,0300,1,7,009
00513,價,0301,1,2,009
00194,以,0302,1,33,009
00233,伺,0303,1,3,009
00240,但,0304,1,2,009
00288,侍,0305,1,2,009
00236,伽,0306,1,18,009
00350,倶,0307,1,8,009
00299,供,0308,1,12,009
00250,何,0309,1,10,009
00245,住,0310,1,5,009
00183,他,0311,1,3,009
00193,令,0312,1,17,009
00175,今,0313,1,12,009
00170,仁,0314,1,2,009
00579,兜,0315,1,3,010
00567,光,0316,1,8,010
09911,菟,0317,1,3,140
00582,入,0318,1,3,011
00585,内,0319,1,2,011
00594,八,0320,1,8,012
00597,六,0321,1,6,012
00605,其,0322,1,41,012
00606,具,0323,1,8,012
00599,共,0324,1,6,012
06058,況,0325,1,2,085
00671,冶,0326,1,2,015
00723,出,0327,1,13,017
00729,刀,0328,1,2,018
00789,則,0329,1,3,018
00734,分,0330,1,4,018
00787,剃,0331,1,2,018
00803,剛,0332,1,2,018
00767,利,0333,1,17,018
00781,刹,0334,1,10,018
00735,切,0335,1,10,018
00769,到,0336,1,4,018
00794,前,0337,1,11,018
00885,勒,0338,1,3,019
00856,力,0339,1,25,019
00857,功,0340,1,13,019
00865,劫,0341,1,5,019
00863,助,0342,1,3,019
00938,化,0343,1,4,021
00987,千,0344,1,24,024
00985,十,0345,1,10,024
01040,卷,0346,1,2,026
01049,卽,0347,1,30,026
01058,厄,0348,1,2,027
01101,去,0349,1,3,028
01128,受,0350,1,32,029
01111,及,0351,1,13,029
01109,叉,0352,1,14,029
01108,又,0353,1,3,029
01175,名,0354,1,25,030
01179,向,0355,1,2,030
01172,吉,0356,1,7,030
01158,右,0357,1,2,030
01154,可,0358,1,6,030
01143,句,0359,1,2,030
01168,各,0360,1,2,030
01170,合,0361,1,8,030
01219,告,0362,1,11,030
01236,呪,0363,1,15,030
01252,命,0364,1,2,030
01302,哆,0365,1,6,030
01296,品,0366,1,5,030
01305,哉,0367,1,8,030
01369,問,0368,1,2,030
01349,唯,0369,1,2,030
01412,喜,0370,1,11,030
01466,嘆,0371,1,2,030
01581,嚴,0372,1,18,030
01607,四,0373,1,16,031
01639,國,0374,1,8,031
01641,圍,0375,1,4,031
01682,坐,0376,1,5,032
01666,地,0377,1,14,032
01659,在,0378,1,8,032
01683,坑,0379,1,2,032
01726,垢,0380,1,2,032
01895,壞,0381,1,2,032
01863,墮,0382,1,3,032
01789,堪,0383,1,2,032
01837,墀,0384,1,2,032
01755,執,0385,1,3,032
01796,報,0386,1,3,032
01934,外,0387,1,2,036
01938,多,0388,1,28,036
01939,夜,0389,1,9,036
01946,大,0390,1,36,037
01949,夫,0391,1,6,037
01947,天,0392,1,17,037
01961,夷,0393,1,3,037
02022,女,0394,1,23,038
02142,婆,0395,1,37,038
02110,娑,0396,1,10,038
02029,好,0397,1,3,038
02031,如,0398,1,45,038
02045,妙,0399,1,21,038
02155,婦,0400,1,2,038
02262,子,0401,1,36,039
02361,密,0402,1,2,040
02342,宮,0403,1,2,040
02355,宿,0404,1,9,040
02349,家,0405,1,9,040
02407,寶,0406,1,8,040
