カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,,
0607,祇,113,1,2,,,,08107,,,,,,
0608,福,113,1,8,,,,08148,,,,,,
0609,神,113,1,21,,,,08124,,,,,,
0610,禮,113,1,7,,,,08165,,,,,,
0611,禰,113,2,5,3,,,08166,,,,,,
0612,示,113,1,4,,,,08097,,,,,,
0613,稱,115,1,2,,,,08248,,,,,,
0614,種,115,1,15,,,,08244,,,,,,
0615,究,116,1,2,,,,08293,,,,,,
0616,空,116,1,11,,,,08296,,,,,,
0617,童,117,1,5,,,,08371,,,,,,
0618,立,117,1,2,,,,08354,,,,,,
0619,等,118,1,41,,,,08426,,,,,,
0620,第,118,1,2,,,,08412,,,,,,
0621,精,119,1,5,,,,08685,,,,,,
0622,繞,120,1,3,,,,09020,,,,,,
0623,緊,120,1,2,,,,08906,,,,,,
0624,綵,120,2,1,1,,,08889,,,,,,
0625,終,120,1,4,,,,08795,,,,,,
0626,罪,122,1,3,,,,09125,,,,,,
0627-0628,羅,122,1,71,,,,09144,,,,,,
0629,羶,123,1,3,,,,09190,,,,,,
0630,義,123,1,4,,,,09177,,,,,,
0631,習,124,1,3,,,,09214,,,,,,
0632-0633,者,125,1,64,,,,09255,,,,,,
0634,而,126,1,33,,,,09264,,,,,,
0635,耨,127,1,6,,,,09286,,,,,,
0636,耶,128,1,6,,,,09292,,,,,,
0637,聲,128,1,5,,,,09328,,,,,,
0638,聽,128,1,9,,,,09335,,,,,,
0639,聞,128,1,9,,,,09315,,,,,,
0640,聚,128,1,2,,,,09314,,,,,,
0641,膩,130,1,2,,,,09548,,,,,,
0642,能,130,1,19,,,,09429,,,,,,
0643,脱,130,1,3,,,,09463,,,,,,
0644,脣,130,1,2,,,,09459,,,,,,
0645,臥,131,1,2,,,,09599,,,,,,
0646,自,132,1,12,,,,09602,,,,,,
0647,至,133,1,5,,,,09610,,,,,,
0648,臺,133,1,2,,,,09617,,,,,,
0649,舍,135,1,7,,,,09638,,,,,,
0650,色,139,1,5,,,,09716,,,,,,
0651,藏,140,1,6,,,,10191,,,,,,
0652,藐,140,2,4,3,,,10192,,,,,,
0653,藍,140,1,2,,,,10189,,,,,,
0654,蘇,140,1,2,,,,10231,,,,,,
0655,落,140,1,2,,,,09961,,,,,,
0657-0658,若,140,1,84,,,,09788,,,,,,
0659,蔗,140,1,6,,,,10075,,,,,,
0660,華,140,1,36,,,,09921,,,,,,
0661,荼,140,1,2,,,,09863,,,,,,
0662,苦,140,1,6,,,,09789,,,,,,
0663,莫,140,1,2,,,,09886,,,,,,
0664-0665,薩,140,1,51,,,,10163,,,,,,
0666,藥,140,1,11,,,,10204,,,,,,
0667,菩,140,1,50,,,,09919,,,,,,
0668,著,140,1,6,,,,09972,,,,,,
0669,虛,141,1,8,,,,10272,,,,,,
0670,蜜,142,1,7,,,,10414,,,,,,
0671,行,144,1,17,,,,10614,,,,,,
0672,衰,145,1,4,,,,10649,,,,,,
0673,被,145,1,3,,,,10683,,,,,,
0674,裔,145,1,2,,,,10708,,,,,,
0675,衣,145,1,3,,,,10637,,,,,,
0676,見,147,1,21,,,,10831,,,,,,
0677,覲,147,1,3,,,,10852,,,,,,
0678,親,147,1,4,,,,10848,,,,,,
0679,讀,149,1,16,,,,11207,,,,,,
0680,讚,149,1,5,,,,11229,,,,,,
0681,護,149,1,22,,,,11200,,,,,,
0682,識,149,1,5,,,,11171,,,,,,
0683,變,066,1,5,,,,04319,,,,,,
0684,議,149,1,5,,,,11195,,,,,,
0685,謂,149,1,2,,,,11095,,,,,,
0686,誰,149,1,2,,,,11028,,,,,,
0687-0688,諸,149,1,54,,,,11085,,,,,,
0689,誦,149,1,16,,,,11023,,,,,,
0690,語,149,1,3,,,,11017,,,,,,
0691,説,149,1,48,,,,11025,,,,,,
0692,訶,149,1,3,,,,10936,,,,,,
0693,詣,149,1,7,,,,10974,,,,,,
0694,諦,149,1,2,,,,11072,,,,,,
0695,言,149,1,32,,,,10890,,,,,,
0696,貪,154,1,2,,,,11342,,,,,,
0697,11384,154,1,3,,,,11384,,,,,,
0698,賢,154,1,16,,,,11397,,,,,,
0699,趣,156,1,7,,,,11485,,,,,,
0700,起,156,1,5,,,,11461,,,,,,
0701,足,157,1,8,,,,11495,,,,,,
0702,身,158,1,33,,,,11715,,,,,,
0703,輕,159,1,2,,,,11802,,,,,,
0704,轉,159,1,3,,,,11856,,,,,,
0705,軍,159,1,2,,,,11745,,,,,,
0706,輸,159,1,2,,,,11841,,,,,,
0707,迎,162,1,2,,,,11947,,,,,,
0708,匝,022,1,2,,,,00951,,,,,,
0709,還,162,1,2,,,,12108,,,,,,
0710,邏,162,1,4,,,,12120,,,,,,
0711,邊,162,1,5,,,,12115,,,,,,
0712,遶,162,1,4,,,,12092,,,,,,
0713,遇,162,1,2,,,,12040,,,,,,
0714,過,162,1,4,,,,12046,,,,,,
0715,迦,162,1,12,,,,11960,,,,,,
0716,道,162,1,9,,,,12051,,,,,,
0717,遠,162,1,3,,,,12070,,,,,,
0718,通,162,1,15,,,,12000,,,,,,
0719,達,162,1,7,,,,12052,,,,,,
0720,進,162,1,3,,,,12022,,,,,,
0721,那,163,1,15,,,,12134,,,,,,
0722,郵,163,1,2,,,,12186,,,,,,
0723,醯,164,1,9,,,,12345,,,,,,
0724,釋,165,1,10,,,,12371,,,,,,
0725,量,166,1,15,,,,12376,,,,,,
0726,重,166,1,3,,,,12373,,,,,,
0727,金,167,1,3,,,,12380,,,,,,
0728,長,168,1,4,,,,12698,,,,,,
0729,閻,169,1,2,,,,12757,,,,,,
0730,闍,169,1,2,,,,12774,,,,,,
0731,門,169,1,8,,,,12709,,,,,,
0732,間,169,1,6,,,,12724,,,,,,
0733,闥,169,1,4,,,,12800,,,,,,
0734,阿,170,1,37,,,,12830,,,,,,
0735,除,170,1,3,,,,12855,,,,,,
0736,陀,170,1,36,,,,12831,,,,,,
0737,隨,170,1,3,,,,12927,,,,,,
0738,隱,170,1,3,,,,12935,,,,,,
0739,離,172,1,4,,,,13001,,,,,,
0740,難,172,1,10,,,,13002,,,,,,
0741,雲,173,1,8,,,,13020,,,,,,
0742,雷,173,1,8,,,,13023,,,,,,
0743,震,173,1,2,,,,13036,,,,,,
0744,雨,173,1,5,,,,13012,,,,,,
0745,非,175,1,6,,,,13104,,,,,,
0746,面,176,1,3,,,,13108,,,,,,
0747,韋,178,1,2,,,,13237,,,,,,
0748,音,180,1,35,,,,13281,,,,,,
0749,頸,181,1,2,,,,13355,,,,,,
0750,頂,181,1,2,,,,13296,,,,,,
0751,願,181,1,11,,,,13391,,,,,,
0752,頻,181,1,2,,,,13359,,,,,,
0753,頭,181,1,6,,,,13346,,,,,,
0754,餓,184,1,2,,,,13559,,,,,,
0755,養,184,1,11,,,,13551,,,,,,
0756,饒,184,1,2,,,,13641,,,,,,
0757,香,186,1,5,,,,13667,,,,,,
0758,高,189,1,3,,,,13940,,,,,,
0759,魔,194,1,6,,,,14088,,,,,,
0760,鬼,194,1,6,,,,14061,,,,,,
0761,鳩,196,1,3,,,,14366,,,,,,
0762,鼓,207,1,2,,,,14775,,,,,,
0763,齒,211,1,5,,,,14833,,,,,,
0764-0765,世,001,2,50,10,,,00025,,,,,,
0766,乾,005,2,4,1,,,00118,,,,,,
0767,亂,005,2,1,1,,,00121,,,,,,
0768,侵,009,2,5,1,,,00317,,,,,,
0769,典,012,2,3,1,,,00608,,,,,,
0770,單,030,2,2,1,,,01427,,,,,,
0771,善,030,2,23,10,,,01395,,,,,,
0772,因,031,2,1,1,,,01611,,,,,,
0773,塵,032,2,1,1,,,01831,,,,,,
0774,害,040,2,3,1,,,02346,,,,,,
0775,尼,044,2,34,2,,,02473,,,,,,
0776,驕,187,2,2,1,,,13845,,,,,,
0777,惡,061,2,12,3,,,03367,,,,,,
0778,04838,075,2,3,2,,,04838,,,,,,
0779,民,083,2,1,1,,,05935,,,,,,
0780,當,102,2,22,12,,,07535,,,,,,
0781,直,109,2,1,1,,,07799,,,,,,
0782,經,120,2,38,2,,,08856,,,,,,
0783,緻,120,2,2,1,,,08944,,,,,,
0784,耆,125,2,2,1,,,09257,,,,,,
0785,與,134,2,9,7,,,09629,,,,,,
0786,莊,140,2,12,5,,,09869,,,,,,
0787,觀,147,2,14,12,,,10859,,,,,,
0788,象,152,2,2,1,,,11275,,,,,,
0789,隸,171,2,10,6,,,12945,,,,,,
0790,駄,187,2,3,1,,,13708,,,,,,
0791,體,188,2,1,1,,,13934,,,,,,
0792,龍,212,2,5,2,,,14876,,,,,,
0793,散,066,3,1,1,1,,04280,,,,,,
0794,解,148,4,4,3,2,1,10875,,,,,,
0795,炎,086,0,,,,,06801,,,,,,
0796,未,075,1,2,,,,04711,,,,,,
