カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,用例数4,大字典,,,,,,
0088,捨,064,0,,,,,03835,,,,,,
0089,掣,064,0,,,,,03875,,,,,,
0090,損,064,0,,,,,03939,,,,,,
0091,授,064,0,,,,,03855,,,,,,
0092,擊,064,0,,,,,04087,,,,,,
0093,撻,064,0,,,,,04075,,,,,,
0094,敢,066,0,,,,,04277,,,,,,
0095,敷,066,0,,,,,04296,,,,,,
0096,斗,068,0,,,,,04339,,,,,,
0097,斷,069,0,,,,,04381,,,,,,
0098,旃,070,0,,,,,04398,,,,,,
0099,旬,072,0,,,,,04453,,,,,,
0100,昇,072,0,,,,,04480,,,,,,
0101,星,072,0,,,,,04499,,,,,,
0102,曲,073,0,,,,,04651,,,,,,
0103,月,074,0,,,,,04673,,,,,,
0104,服,074,0,,,,,04679,,,,,,
0105,木,075,0,,,,,04707,,,,,,
0106,枝,075,0,,,,,04807,,,,,,
0107,柱,075,0,,,,,04871,,,,,,
0108,04775,075,0,,,,,04775,,,,,,
0109,東,075,0,,,,,04765,,,,,,
0110,桑,075,0,,,,,04941,,,,,,
0111,枷,075,0,,,,,04821,,,,,,
0112,集,172,0,,,,,12963,,,,,,
0113,械,075,0,,,,,05001,,,,,,
0114,業,075,0,,,,,05152,,,,,,
0115,果,075,0,,,,,04806,,,,,,
0116,欺,076,0,,,,,05587,,,,,,
0117,缺,121,0,,,,,09085,,,,,,
0118,止,077,0,,,,,05641,,,,,,
0119,歷,077,0,,,,,05670,,,,,,
0120,殊,078,0,,,,,05717,,,,,,
0121,毛,082,0,,,,,05850,,,,,,
0122,池,085,0,,,,,05986,,,,,,
0123,沒,085,0,,,,,06023,,,,,,
0124,泯,085,0,,,,,06096,,,,,,
0125,浪,085,0,,,,,06173,,,,,,
0126,漸,085,0,,,,,06517,,,,,,
0127,漂,085,0,,,,,06480,,,,,,
0128,潮,085,0,,,,,06554,,,,,,
0129,湧,085,0,,,,,06374,,,,,,
0130,06494,085,0,,,,,06494,,,,,,
0131,煩,086,0,,,,,06921,,,,,,
0132,燒,086,0,,,,,06978,,,,,,
0133,燃,086,0,,,,,06969,,,,,,
0134,殺,079,0,,,,,05796,,,,,,
0136,災,086,0,,,,,06792,,,,,,
0137,烏,086,0,,,,,06835,,,,,,
0138,烟,086,0,,,,,06847,,,,,,
0139,床,053,0,,,,,02924,,,,,,
0140,物,093,0,,,,,07080,,,,,,
0141,特,093,0,,,,,07086,,,,,,
0142,猪,094,0,,,,,07192,,,,,,
0143,07198,094,0,,,,,07198,,,,,,
0144,狂,094,0,,,,,07125,,,,,,
0145,狗,094,0,,,,,07139,,,,,,
0146,獄,094,0,,,,,07212,,,,,,
0147,犯,094,0,,,,,07112,,,,,,
0148,率,095,0,,,,,07259,,,,,,
0149,珂,096,0,,,,,07281,,,,,,
0150,07336,096,0,,,,,07336,,,,,,
0151,甘,099,0,,,,,07456,,,,,,
0152,異,102,0,,,,,07530,,,,,,
0153,疑,103,0,,,,,07559,,,,,,
0154,瘡,104,0,,,,,07649,,,,,,
0155,癩,104,0,,,,,07690,,,,,,
0156,瞋,109,0,,,,,07878,,,,,,
0157,07857,109,0,,,,,07857,,,,,,
0158,眉,109,0,,,,,07813,,,,,,
0159,磨,112,0,,,,,08057,,,,,,
0160,禪,113,0,,,,,08162,,,,,,
0161,禁,113,0,,,,,08143,,,,,,
0162,祕,113,0,,,,,08116,,,,,,
0163,穢,115,0,,,,,08279,,,,,,
0164,端,117,0,,,,,08376,,,,,,
0165,筆,118,0,,,,,08423,,,,,,
0166,簸,118,0,,,,,08587,,,,,,
0167,答,118,0,,,,,08437,,,,,,
0168,索,120,0,,,,,08767,,,,,,
0169,緣,120,0,,,,,08924,,,,,,
0170,紺,120,0,,,,,08788,,,,,,
0171,結,120,0,,,,,08807,,,,,,
0172,絶,120,0,,,,,08809,,,,,,
0173,繚,120,0,,,,,09017,,,,,,
0174,羊,123,0,,,,,09150,,,,,,
0175,羣,123,0,,,,,09175,,,,,,
0176,09194,123,0,,,,,09194,,,,,,
0177,老,125,0,,,,,09250,,,,,,
0178,耳,128,0,,,,,09290,,,,,,
0179,聖,128,0,,,,,09308,,,,,,
0180,肩,130,0,,,,,09370,,,,,,
0181,肯,130,0,,,,,09377,,,,,,
0182,肉,130,0,,,,,09348,,,,,,
0183,腹,130,0,,,,,09516,,,,,,
0184,脚,130,0,,,,,09447,,,,,,
0185,膿,130,0,,,,,09565,,,,,,
0186,臣,131,0,,,,,09596,,,,,,
0187,臨,131,0,,,,,09601,,,,,,
0188,臭,132,0,,,,,09605,,,,,,
0189,興,134,0,,,,,09630,,,,,,
0190,般,137,0,,,,,09665,,,,,,
0191,花,140,0,,,,,09758,,,,,,
0192,莎,140,0,,,,,09870,,,,,,
0193,菓,140,0,,,,,09904,,,,,,
0194,葡,140,0,,,,,09977,,,,,,
0195,蓮,140,0,,,,,10050,,,,,,
0196,蘭,140,0,,,,,10251,,,,,,
0197,蓋,140,0,,,,,10040,,,,,,
0198,處,141,0,,,,,10270,,,,,,
0199,10302,142,0,,,,,10302,,,,,,
0200,蛇,142,0,,,,,10349,,,,,,
0201,蝎,142,0,,,,,10453,,,,,,
0202,蝮,142,0,,,,,10478,,,,,,
0203,蠡,142,0,,,,,10580,,,,,,
0204,血,143,0,,,,,10605,,,,,,
0205,袒,145,0,,,,,10669,,,,,,
0206,衒,144,0,,,,,10617,,,,,,
0207,覆,146,0,,,,,10826,,,,,,
0208,視,147,0,,,,,10837,,,,,,
0209,角,148,0,,,,,10860,,,,,,
0210,訟,149,0,,,,,10919,,,,,,
0211,調,149,0,,,,,11038,,,,,,
0212,誓,149,0,,,,,11008,,,,,,
0213,誑,149,0,,,,,11006,,,,,,
0214,諍,149,0,,,,,11051,,,,,,
0215,豈,151,0,,,,,11253,,,,,,
0216,豪,152,0,,,,,11282,,,,,,
0217,質,154,0,,,,,11404,,,,,,
0218,賣,154,0,,,,,11398,,,,,,
0219,資,154,0,,,,,11373,,,,,,
0220,賊,154,0,,,,,11377,,,,,,
0221,赤,155,0,,,,,11445,,,,,,
0222,疏,103,0,,,,,07557,,,,,,
0223,趺,157,0,,,,,11502,,,,,,
0224,跏,157,0,,,,,11519,,,,,,
0225,跋,157,0,,,,,11515,,,,,,
0226,踊,157,0,,,,,11565,,,,,,
0227,11653,157,0,,,,,11653,,,,,,
0228,輪,159,0,,,,,11827,,,,,,
0229,辛,160,0,,,,,11893,,,,,,
0230,近,162,0,,,,,11948,,,,,,
0231,遙,162,0,,,,,12062,,,,,,
0232,遊,162,0,,,,,12042,,,,,,
0233,遮,162,0,,,,,12083,,,,,,
0234,遭,162,0,,,,,12082,,,,,,
0235,逼,162,0,,,,,12030,,,,,,
0236,逐,162,0,,,,,11993,,,,,,
0237,退,162,0,,,,,11982,,,,,,
0238,廻,054,0,,,,,03008,,,,,,
0239,郁,163,0,,,,,12153,,,,,,
0240,醜,164,0,,,,,12327,,,,,,
0241,鎖,167,0,,,,,12573,,,,,,
0242,闇,169,0,,,,,12768,,,,,,
0243,陣,170,0,,,,,12854,,,,,,
0244,降,170,0,,,,,12838,,,,,,
0245,鷄,196,0,,,,,14542,,,,,,
0246,電,173,0,,,,,13026,,,,,,
0247,雹,173,0,,,,,13024,,,,,,
0248,露,173,0,,,,,13073,,,,,,
0249,青,174,0,,,,,13095,,,,,,
0250,顯,181,0,,,,,13416,,,,,,
0251,須,181,0,,,,,13304,,,,,,
0252,順,181,0,,,,,13302,,,,,,
0253,風,182,0,,,,,13423,,,,,,
0254,食,184,0,,,,,13503,,,,,,
0255,飮,184,0,,,,,13526,,,,,,
0256,首,185,0,,,,,13661,,,,,,
0257,髻,190,0,,,,,13970,,,,,,
0258,髮,190,0,,,,,13959,,,,,,
0259,魚,195,0,,,,,14101,,,,,,
0260,黑,203,0,,,,,14709,,,,,,
0261,鼻,209,0,,,,,14809,,,,,,
0262,齊,210,0,,,,,14828,,,,,,
0263,龜,213,0,,,,,14887,,,,,,
0264,丘,001,1,6,,,,00026,,,,,,
0265,下,001,1,5,,,,00009,,,,,,
0266,不,001,1,35,,,,00013,,,,,,
0267,三,001,1,40,,,,00007,,,,,,
0268,上,001,1,14,,,,00008,,,,,,
0269,萬,140,1,18,,,,09954,,,,,,
0270,一,001,1,27,,,,00001,,,,,,
