カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,大字典
0129,忽,061,0,,,,03219
0130,思,061,0,,,,03239
0131,急,061,0,,,,03243
0132,性,061,0,,,,03244
0133,恨,061,0,,,,03291
0134,恭,061,0,,,,03297
0135,悔,061,0,,,,03320
0136,患,061,0,,,,03329
0137,情,061,0,,,,03348
0138,惑,061,0,,,,03355
0139,愈,061,0,,,,03391
0140,愚,061,0,,,,03404
0141,感,061,0,,,,03409
0142,慈,061,0,,,,03439
0143,慰,061,0,,,,03469
0144,懼,061,0,,,,03589
0145,戒,062,0,,,,03612
0146,房,063,0,,,,03646
0147,把,064,0,,,,03700
0148,抱,064,0,,,,03720
0149,拒,064,0,,,,03747
0150,拾,064,0,,,,03778
0151,挺,064,0,,,,03804
0152,挾,064,0,,,,03809
0153,掃,064,0,,,,03851
0154,掉,064,0,,,,03856
0155,掌,064,0,,,,03858
0156,掛,064,0,,,,03867
0157,採,064,0,,,,03872
0158,推,064,0,,,,03880
0159,掩,064,0,,,,03881
0160,換,064,0,,,,03907
0161,揮,064,0,,,,03921
0162,撲,064,0,,,,04072
0163,擅,064,0,,,,04084
0164,擬,064,0,,,,04122
0165,擲,064,0,,,,04130
0166,懾,061,0,,,,03592
0167,敏,066,0,,,,04262
0168,敢,066,0,,,,04277
0169,散,066,0,,,,04280
0170,敷,066,0,,,,04296
0171,旅,070,0,,,,04402
0172,旋,070,0,,,,04406
0173,族,070,0,,,,04412
0174,旦,072,0,,,,04447
0175,旱,072,0,,,,04461
0176,星,072,0,,,,04499
0177,昵,072,0,,,,04518
0178,晩,072,0,,,,04539
0179,暴,072,0,,,,04608
0180,曼,073,0,,,,04660
0181,曳,073,0,,,,04653
0182,服,074,0,,,,04679
0183,朕,074,0,,,,04688
0184,期,074,0,,,,04699
0185,末,075,0,,,,04712
0186,杜,075,0,,,,04747
0187,板,075,0,,,,04781
0188,林,075,0,,,,04803
0189,枚,075,0,,,,04805
0190,枯,075,0,,,,04813
0191,柵,075,0,,,,04875
0192,桂,075,0,,,,04929
0193,桃,075,0,,,,04930
0194,桙,075,0,,,,
0195,椒,075,0,,,,05087
0196,槍,075,0,,,,05237
0197,槻,075,0,,,,05272
0198,樂,075,0,,,,05279
0199,橘,075,0,,,,05361
0200,檀,075,0,,,,05391
0201,檮,075,0,,,,05428
0202,欠,076,0,,,,05557
0203,欣,076,0,,,,05561
0204,歎,076,0,,,,05612
0205,殆,078,0,,,,05707
0206,殊,078,0,,,,05717
0207,殘,078,0,,,,05737
0208,毘,081,0,,,,05845
0209,毛,082,0,,,,05850
0210,永,085,0,,,,05957
0211,汁,085,0,,,,05963
0212,決,085,0,,,,06003
0213,泣,085,0,,,,06087
0214,派,085,0,,,,06149
0215,消,085,0,,,,06192
0216,淨,085,0,,,,06272
0217,淹,085,0,,,,06291
0218,渡,085,0,,,,06318
0219,溝,085,0,,,,06404
0220,溢,085,0,,,,06408
0221,溥,085,0,,,,06409
0222,滅,085,0,,,,06432
0223,滑,085,0,,,,06445
0224,漸,085,0,,,,06517
0225,潦,085,0,,,,06541
0226,潛,085,0,,,,06548
0227,潤,085,0,,,,06553
0228,澤,085,0,,,,06603
0229,涜,085,0,,,,06681
0230,沃,085,0,,,,06009
0231,火,086,0,,,,06776
0232,灰,086,0,,,,06784
0233,灼,086,0,,,,06791
0234,煮,086,0,,,,06895
0235,照,086,0,,,,06918
0236,煩,086,0,,,,06921
0237,熟,086,0,,,,06949
0238,爛,086,0,,,,07017
0239,牛,093,0,,,,07072
0240,特,093,0,,,,07086
0241,犯,094,0,,,,07112
0242,状,094,0,,,,07122
0243,猪,094,0,,,,07192
0244,猶,094,0,,,,07203
0245,獵,094,0,,,,07244
0246,獸,094,0,,,,07248
0247,珠,096,0,,,,07291
0248,瑞,096,0,,,,07346
0249,甘,099,0,,,,07456
0250,産,100,0,,,,07464
0251,男,102,0,,,,07483
0252,町,102,0,,,,07487
0253,畜,102,0,,,,07513
0254,畝,102,0,,,,07514
0255,疋,103,0,,,,07554
0256,疏,103,0,,,,07557
0257,痛,104,0,,,,07613
0258,癡,104,0,,,,07685
0259,登,105,0,,,,07706
0260,皆,106,0,,,,07717
0261,皮,107,0,,,,07739
0262,益,108,0,,,,07759
0263,盜,108,0,,,,07771
0264,盛,108,0,,,,07770
0265,看,109,0,,,,07817
0266,眞,109,0,,,,07827
0267,眷,109,0,,,,07839
0268,眼,109,0,,,,07843
0269,睡,109,0,,,,07860
0270,睹,109,0,,,,07870
0271,矢,111,0,,,,07937
0272,破,112,0,,,,07986
0273,磐,112,0,,,,08047
0274,磨,112,0,,,,08057
0275,禮,113,0,,,,08165
0276,祇,113,0,,,,08107
0277,祝,113,0,,,,08123
0278,祿,113,0,,,,08141
0279,祷,113,0,,,,08167
0280,禹,114,0,,,,08172
0281,禽,114,0,,,,08176
0282,秦,115,0,,,,08204
0283,稜,115,0,,,,08235
0284,稷,115,0,,,,08252
0285,稻,115,0,,,,08256
0286,穗,115,0,,,,08273
0287,究,116,0,,,,08293
0288,穿,116,0,,,,08300
0289,竊,116,0,,,,08353
0290,竟,117,0,,,,08365
0291,符,118,0,,,,08408
0292,答,118,0,,,,08437
0293,箱,118,0,,,,08483
0294,籠,118,0,,,,08619
0295,粟,119,0,,,,08664
0296,緑,120,0,,,,08870
0297,紀,120,0,,,,08735
0298,級,120,0,,,,08759
0299,細,120,0,,,,08779
0300,縁,120,0,,,,08924
0301,縣,120,0,,,,08972
