カード番号,文字,部首番号,字体数,用例数1,用例数2,用例数3,大字典
0870,聞,128,1,6,,,09315
0871,聲,128,1,2,,,09328
0872,聽,128,1,3,,,09335
0873,肩,130,1,2,,,09370
0874,能,130,1,20,,,09429
0875,脚,130,1,2,,,09447
0876-0877,臣,131,1,86,,,09596
0878,臥,131,1,3,,,09599
0879,自,132,1,17,,,09602
0880,臭,132,1,3,,,09605
0881,至,133,1,2,,,09610
0882,致,133,1,2,,,09611
0883,與,134,1,18,,,09629
0884,擧,134,1,8,,,09632
0885,舍,135,1,4,,,09638
0886,舶,137,1,2,,,09672
0887,船,137,1,10,,,09675
0888,良,138,1,2,,,09714
0889,色,139,1,6,,,09716
0890,華,140,1,4,,,09921
0891,茨,140,1,4,,,09823
0892,草,140,1,6,,,09846
0893,莖,140,1,2,,,09874
0894,菌,140,1,3,,,09901
0895,薨,140,1,3,,,10162
0896,萬,140,1,2,,,09954
0897,葉,140,1,4,,,09966
0898,葬,140,1,6,,,09985
0899,10381x2,142,1,10,,,10381x2
0900,蝦,142,2,9,2,,10475
0901,蟲,142,1,6,,,10549
0902,行,144,1,6,,,10614
0903,術,144,1,2,,,10618
0904,衞,144,1,3,,,10630
0905,表,145,1,3,,,10643
0906,被,145,1,5,,,10683
0907,西,146,1,5,,,10820
0908,見,147,1,13,,,10831
0909,視,147,1,3,,,10837
0910,覡,147,1,3,,,10843
0911,親,147,1,2,,,10848
0912,角,148,2,3,1,,10860
0913,解,148,1,4,,,10875
0914,言,149,1,14,,,10890
0915,訖,149,1,2,,,10912
0916,記,149,1,3,,,10914
0917,設,149,1,2,,,10928
0918,許,149,1,8,,,10930
0919,詔,149,1,6,,,10959
0920,詣,149,1,2,,,10974
0921,誄,149,1,4,,,10998
0922,誅,149,1,3,,,10999
0923,語,149,1,6,,,11017
0924,誰,149,1,2,,,11028
0925,調,149,1,7,,,11038
0926,請,149,1,4,,,11049
0927,諮,149,1,2,,,11076
0928,諸,149,1,7,,,11085
0929,謀,149,1,12,,,11092
0930,謂,149,1,13,,,11095
0931,謠,149,1,6,,,11123
0932,讀,149,1,5,,,11207
0933,谷,150,1,2,,,11234
0934,豆,151,1,2,,,11250
0935,豈,151,1,4,,,11253
0936,豐,151,1,4,,,11261
0937,貢,154,1,2,,,11335
0938,財,154,1,4,,,11334
0939,賀,154,1,2,,,11364
0940,質,154,1,2,,,11404
0941,賊,154,1,3,,,11377
0942,走,156,1,3,,,11454
0943,起,156,1,12,,,11461
0944,越,156,1,2,,,11471
0945,足,157,1,6,,,11495
0946,跪,157,1,3,,,11542
0947,路,157,1,4,,,11548
0948,身,158,1,10,,,11715
0949,軍,159,1,9,,,11745
0950,輪,159,1,5,,,11827
0951,轉,159,1,2,,,11856
0952,辛,160,1,14,,,11893
0953,辰,161,1,9,,,11917
0954,近,162,1,4,,,11948
0955,述,162,1,2,,,11968
0956,退,162,1,4,,,11982
0957,送,162,1,4,,,11983
0958,速,162,1,2,,,12003
0959,造,162,1,11,,,12004
0960,連,162,1,35,,,12010
0961,進,162,1,9,,,12022
0962,遂,162,1,10,,,12037
0963,過,162,1,2,,,12046
0964,達,162,1,3,,,12052
0965,遙,162,1,2,,,12062
0966,還,162,1,9,,,12108
0967,邊,162,1,3,,,12115
0968,郡,163,1,4,,,12170
0969,部,163,1,9,,,12176
0970,都,163,1,7,,,12188
0971,酉,164,1,11,,,12259
0972,野,166,1,10,,,12374
0973,重,166,1,2,,,12373
0974,金,167,1,4,,,12380
0975,針,167,1,3,,,12386
0976,鎌,167,1,12,,,12568
0977,長,168,1,15,,,12698
0978,門,169,1,11,,,12709
0979,間,169,1,4,,,12724
0980,阿,170,1,7,,,12830
0981,陀,170,1,3,,,12831
0982,附,170,1,2,,,12834
0983,限,170,1,3,,,12839
0984,陳,170,1,8,,,12864
0985,陵,170,1,3,,,12867
0986,隨,170,2,4,1,,12927
0987,雀,172,1,2,,,12955
0988,雖,172,1,2,,,12991
0989,難,172,1,8,,,13002
0990,雨,173,1,20,,,13012
0991,雪,173,1,2,,,13015
0992,震,173,1,4,,,13036
0993,青,174,1,2,,,13095
0994,鞍,177,1,9,,,13160
0995,韓,178,1,3,,,13249
0996,順,181,1,2,,,13302
0997,須,181,1,7,,,13304
0998,預,181,2,2,1,,13313
0999,頭,181,1,4,,,13346
1000,頻,181,1,2,,,13359
1001,額,181,1,5,,,13377
1002,願,181,1,2,,,13391
1003,風,182,1,12,,,13423
1004,飼,184,1,2,,,13540
1005,餘,184,1,5,,,13565
1006,香,186,1,2,,,13667
1007,馬,187,1,7,,,13680
1008,馳,187,1,2,,,13688
1009,駒,187,1,3,,,13720
1010,騰,187,1,23,,,13820
1011,驚,187,1,3,,,13852
1012,驛,187,1,3,,,13853
1013,骨,188,1,2,,,13873
1014,高,189,1,18,,,13940
1015,魯,195,1,4,,,14116
1016,鳩,196,1,3,,,14366
1017,鳴,196,1,10,,,14379
1018,鹿,198,1,31,,,14621
1019,麻,200,1,24,,,14681
1020,黄,201,1,2,,,14693
1021,黒,203,1,3,,,14709
1022,世,001,2,4,2,,00025
1023,佐,009,1,13,,,00246
1024,備,009,2,4,1,,00455
1025,儒,009,2,1,1,,00530
1026,兆,010,1,3,,,00564
1027,兒,010,1,9,,,00574
1028,劍,018,2,5,2,,00843
1029,勢,019,2,4,2,,00898
1030,即,026,2,16,1,,01049
1031,卯,026,2,4,3,,01033
1032,又,029,2,5,1,,01108
1033,吉,030,2,6,2,,01172
1034,君,030,2,4,2,,01185
1035,善,030,1,3,,,01395
1036,報,032,2,3,1,,01796
1037,壽,033,2,1,1,,01913
1038,夏,035,2,5,1,,01927
1039,子,039,2,62,3,,02262
1041,宮,040,2,23,1,,02342
1042,將,041,2,15,2,,02425
1043,屡,044,2,3,3,,02504
1044,岡,046,2,2,1,,02545
1045,座,053,2,2,1,,02946
1046,弊,055,2,1,1,,03027
1047,往,060,2,4,1,,03128
1048,恩,061,2,1,1,,03292
1049,惠,061,2,1,1,,03366
1050,03751,064,2,5,1,,03751
1051,拜,064,2,3,1,,03761
1052,改,066,2,1,1,,04228
1053,斑,067,1,4,,,04332
1054,梅,075,2,3,1,,04971
1055,歳,077,2,3,1,,05666
1056,歸,077,2,4,2,,05676
1057,殺,079,2,4,1,,05796
1058,渠,085,2,5,2,,06317
1059,津,085,2,3,2,,06128
1060,率,095,1,5,,,07259
1061,珍,096,2,1,1,,07287
1062,疑,103,2,1,1,,07559
1063,癸,105,1,9,,,07703
1064,直,109,2,7,1,,07799
1065,矣,111,2,5,1,,07938
1066,等,118,3,22,17,4,08426
1067,經,120,2,5,1,,08856
1068,綿,120,2,2,1,,08899
1069,總,120,2,2,1,,08993
1070,羣,123,2,3,1,,09175
1071,者,125,2,13,2,,09255
1072,聚,128,2,2,1,,09314
1073,背,130,2,10,1,,09394
1074,膩,130,2,1,1,,09548
1075,臨,131,2,2,1,,09601
1076,興,134,2,3,1,,09630
1077,菟,140,2,1,1,,09911
1078,葛,140,2,3,1,,09976
1079,蓋,140,2,2,2,,10040
1080,蘇,140,2,12,10,,10231
1081,10705,145,1,2,,,10705
1082,覆,146,3,2,1,1,10826
1083,觀,147,2,2,1,,10859
1084,議,149,2,2,1,,11195
1085,賜,154,1,8,,,11393
1086,輕,159,2,3,2,,11802
1087,遣,162,2,10,1,,12074
1088,隱,170,1,3,,,12935
1089,雙,172,1,1,,,12994
1090,雲,173,1,4,,,13020
1091,雷,173,1,12,,,13023
1092,雹,173,1,4,,,13024
1093,霖,173,2,2,1,,13048
1094,饗,184,2,4,1,,13647
1095,麗,198,3,8,2,1,14645
1096,愼,061,3,1,1,1,03429
1097,數,066,2,3,2,,04298
1098,曾,073,3,6,1,1,04661
1099,獻,094,1,5,,,07250
1100,發,105,3,6,3,1,07707
1101,衆,109,3,1,1,1,07844
1102,虎,141,2,2,1,,10264
1103,説,149,2,7,3,,11025
1104,養,184,3,5,2,1,13551
1105,々,部外,〓,2,,,00066
,,,,,,,
