,,k24_寛文紀24,k24_寛文紀24,k24_寛文紀24,
11893,辛,0952,1,14,160
11917,辰,0953,1,9,161
11948,近,0954,1,4,162
11968,述,0955,1,2,162
11982,退,0956,1,4,162
11983,送,0957,1,4,162
12003,速,0958,1,2,162
12004,造,0959,1,11,162
12010,連,0960,1,35,162
12022,進,0961,1,9,162
12037,遂,0962,1,10,162
12046,過,0963,1,2,162
12052,達,0964,1,3,162
12062,遙,0965,1,2,162
12108,還,0966,1,9,162
12115,邊,0967,1,3,162
12170,郡,0968,1,4,163
12176,部,0969,1,9,163
12188,都,0970,1,7,163
12259,酉,0971,1,11,164
12374,野,0972,1,10,166
12373,重,0973,1,2,166
12380,金,0974,1,4,167
12386,針,0975,1,3,167
12568,鎌,0976,1,12,167
12698,長,0977,1,15,168
12709,門,0978,1,11,169
12724,間,0979,1,4,169
12830,阿,0980,1,7,170
12831,陀,0981,1,3,170
12834,附,0982,1,2,170
12839,限,0983,1,3,170
12864,陳,0984,1,8,170
12867,陵,0985,1,3,170
12927,隨,0986a,2,4,170
12927b,隨,0986b,2,1,170
12955,雀,0987,1,2,172
12991,雖,0988,1,2,172
13002,難,0989,1,8,172
13012,雨,0990,1,20,173
13015,雪,0991,1,2,173
13036,震,0992,1,4,173
13095,青,0993,1,2,174
13160,鞍,0994,1,9,177
13249,韓,0995,1,3,178
13302,順,0996,1,2,181
13304,須,0997,1,7,181
13313,預,0998a,2,2,181
13313b,預,0998b,2,1,181
13346,頭,0999,1,4,181
13359,頻,1000,1,2,181
13377,額,1001,1,5,181
13391,願,1002,1,2,181
13423,風,1003,1,12,182
13540,飼,1004,1,2,184
13565,餘,1005,1,5,184
13667,香,1006,1,2,186
13680,馬,1007,1,7,187
13688,馳,1008,1,2,187
13720,駒,1009,1,3,187
13820,騰,1010,1,23,187
13852,驚,1011,1,3,187
13853,驛,1012,1,3,187
13873,骨,1013,1,2,188
13940,高,1014,1,18,189
14116,魯,1015,1,4,195
14366,鳩,1016,1,3,196
14379,鳴,1017,1,10,196
14621,鹿,1018,1,31,198
14681,麻,1019,1,24,200
14693,黃,1020,1,2,201
14709,黑,1021,1,3,203
00025,世,1022a,2,4,001
00025b,世,1022b,2,2,001
00246,佐,1023,1,13,009
00455,備,1024a,2,4,009
00455b,備,1024b,2,1,009
00530,儒,1025a,2,1,009
00530b,儒,1025b,2,1,009
00564,兆,1026a,2,3,010
00564b,兆,1026b,2,3,010
00574,兒,1027,1,9,010
00843,劍,1028a,2,5,018
00843b,劍,1028b,2,2,018
00898,勢,1029a,2,4,019
00898b,勢,1029b,2,2,019
01049,卽,1030a,2,16,026
01049b,卽,1030b,2,1,026
01033,卯,1031a,2,4,026
01033b,卯,1031b,2,3,026
01108,又,1032a,2,5,029
01108b,又,1032b,2,1,029
01172,吉,1033a,2,6,030
01172b,吉,1033b,2,2,030
01185,君,1034a,2,4,030
01185b,君,1034b,2,2,030
01395,善,1035,1,3,030
01796,報,1036a,2,3,032
01796b,報,1036b,2,1,032
01913,壽,1037a,2,1,033
01913b,壽,1037b,2,1,033
01927,夏,1038a,2,5,035
01927b,夏,1038b,2,1,035
02262,子,1039a,2,62,039
02262b,子,1039b,2,3,039
02342,宮,1041a,2,23,040
02342b,宮,1041b,2,1,040
02425,將,1042a,2,15,041
02425b,將,1042b,2,2,041
02504,屢,1043a,2,3,044
02504b,屡,1043b,2,3,044
02545,岡,1044a,2,2,046
02545b,岡,1044b,2,1,046
02946,座,1045a,2,2,053
02946b,座,1045b,2,1,053
03027,弊,1046a,2,1,055
03027b,弊,1046b,2,1,055
03128,往,1047a,2,4,060
03128b,往,1047b,2,1,060
03292,恩,1048a,2,1,061
03292b,恩,1048b,2,1,061
03366,惠,1049a,2,1,061
03366b,惠,1049b,2,1,061
03751,拕,1050a,2,5,064
03751b,拕,1050b,2,1,064
03761,拜,1051a,2,3,064
03761b,拜,1051b,2,1,064
04228,改,1052a,2,1,066
04228b,改,1052b,2,1,066
04332,斑,1053,1,4,067
04971,梅,1054a,2,3,075
04971b,梅,1054b,2,1,075
05666,歳,1055a,2,3,077
05666b,歳,1055b,2,1,077
05676,歸,1056a,2,4,077
05676b,歸,1056b,2,2,077
05796,殺,1057a,2,4,079
05796b,殺,1057b,2,1,079
06317,渠,1058a,2,5,085
06317b,渠,1058b,2,2,085
06128,津,1059a,2,3,085
06128b,津,1059b,2,2,085
07259,率,1060,1,5,095
07287,珍,1061a,2,1,096
07287b,珍,1061b,2,1,096
07559,疑,1062a,2,1,103
07559b,疑,1062b,2,1,103
07703,癸,1063,1,9,105
07799,直,1064a,2,7,109
07799b,直,1064b,2,1,109
07938,矣,1065a,2,5,111
07938b,矣,1065b,2,1,111
08426,等,1066a,3,22,118
08426b,等,1066b,3,17,118
08426c,等,1066c,3,4,118
08856,經,1067a,2,5,120
08856b,經,1067b,2,1,120
08899,綿,1068a,2,2,120
08899b,綿,1068b,2,1,120
08993,總,1069a,2,2,120
08993b,總,1069b,2,1,120
09175,羣,1070a,2,3,123
09175b,羣,1070b,2,1,123
09255,者,1071a,2,13,125
09255b,者,1071b,2,2,125
09314,聚,1072a,2,2,128
09314b,聚,1072b,2,1,128
09394,背,1073a,2,10,130
09394b,背,1073b,2,1,130
09548,膩,1074a,2,1,130
09548b,膩,1074b,2,1,130
09601,臨,1075a,2,2,131
09601b,臨,1075b,2,1,131
09630,興,1076a,2,3,134
09630b,興,1076b,2,1,134
09911,菟,1077a,2,1,140
09911b,菟,1077b,2,1,140
09976,葛,1078a,2,3,140
09976b,葛,1078b,2,1,140
10040,蓋,1079a,2,2,140
10040b,蓋,1079b,2,2,140
10231,蘇,1080a,2,12,140
10231b,蘇,1080b,2,10,140
10705,裒,1081,1,2,145
10826,覆,1082a,3,2,146
10826b,覆,1082b,3,1,146
10826c,覆,1082c,3,1,146
10859,觀,1083a,2,2,147
10859b,觀,1083b,2,1,147
11195,議,1084a,2,2,149
11195b,議,1084b,2,1,149
11393,賜,1085,1,8,154
11802,輕,1086a,2,3,159
11802b,輕,1086b,2,2,159
12074,遣,1087a,2,10,162
12074b,遣,1087b,2,1,162
12935,隱,1088,1,3,170
12994,雙,1089a,2,1,172
12994b,雙,1089b,2,1,172
13020,雲,1090,1,4,173
13023,雷,1091,1,12,173
13024,雹,1092,1,4,173
13048,霖,1093,1,2,173
13647,饗,1094a,2,4,184
13647b,饗,1094b,2,1,184
14645,麗,1095a,3,8,198
14645b,麗,1095b,3,2,198
14645c,麗,1095c,3,1,198
03429,愼,1096a,3,1,061
03429b,愼,1096b,3,1,061
03429c,愼,1096c,3,1,061
04298,數,1097a,2,3,066
04298b,數,1097b,2,2,066
04661,曾,1098a,3,6,073
04661b,曾,1098b,3,1,073
04661c,曾,1098c,3,1,073
07250,獻,1099,1,5,094
07707,發,1100a,3,6,105
07707b,發,1100b,3,3,105
07707c,發,1100c,3,1,105
07844,眾,1101a,3,1,109
07844b,眾,1101b,3,1,109
07844c,眾,1101c,3,1,109
10264,虎,1102a,2,2,141
10264b,虎,1102b,2,1,141
11025,虔,1103a,2,7,149
11025b,説,1103b,2,3,149
13551,養,1104a,3,5,184
13551b,養,1104b,3,2,184
13551c,養,1104c,3,1,184
S00066,々,1105,〓,2,000
