統合ID,文字,花嚴新羅,字体数,用例数,部首
01981,奏,0241,1,2,037
02105,威,0242,1,9,038
02029,好,0243,1,3,038
02045,妙,0244,1,51,038
02031,如,0246,1,68,038
02262,子,0248,1,27,039
02407,寶,0249,1,135,040
02309,安,0252,1,7,040
02333,宣,0253,1,10,040
02342,宮,0254,1,4,040
02383,察,0255,1,8,040
02429,尊,0256,1,4,041
02473,尼,0257,1,90,044
02469,尸,0259,1,3,044
02564,岸,0260,1,5,046
02528,山,0261,1,10,046
02780,差,0262,1,4,048
00951,匝,0263,1,27,022
02800,布,0264,1,31,050
02882,幢,0265,1,18,050
02820,帝,0266,1,5,050
02835,師,0267,1,6,050
02847,常,0268,1,7,050
02843,帳,0269,1,4,050
02899,平,0270,1,6,051
02946,座,0271,1,7,053
02932,底,0272,1,3,053
02993,廣,0273,1,19,053
03008,廻,0274,1,5,054
03020,弈,0275,1,2,055
03084,彌,0276,1,15,057
03116,影,0277,1,7,059
03109,彩,0278,1,2,059
03101,形,0279,1,59,059
03128,往,0281,1,5,060
03159,復,0282,1,18,060
03151,從,0283,1,3,060
03124,彼,0284,1,6,060
03172,德,0285,1,10,060
03173,徹,0286,1,4,060
03165,微,0287,1,91,060
03179,心,0289,1,2,061
03239,思,0290,1,6,061
03312,悉,0291,1,31,061
03267,恆,0292,1,12,061
03244,性,0293,1,4,061
03610,成,0294,1,13,062
03617,或,0295,1,56,062
03647,所,0297,1,50,063
03947,搖,0298,1,2,064
03690,承,0299,1,8,064
03896,提,0300,1,2,064
03780,持,0301,1,18,064
04009,摩,0302,1,90,064
04008,摧,0304,1,2,064
04298,數,0305a,3,93,066
04298b,數,0305b,3,2,066
04298c,數,0305c,3,2,066
04296,敷,0307,1,4,066
04319,變,0308,1,7,066
04233,放,0309,1,9,066
04243,故,0310,1,3,066
04280,散,0311,1,7,066
04385,方,0312,1,45,070
04389,於,0313,1,19,070
04406,旋,0314,1,11,070
04398,旃,0315,1,7,070
04636,曜,0316,1,4,072
04490,昔,0317,1,9,072
04603,暫,0318,1,2,072
04485,明,0319,1,44,072
04557,普,0320,1,66,072
04512,是,0322,1,30,072
04569,智,0323,1,8,072
04523,時,0324,1,18,072
04500,映,0325,1,3,072
04446,日,0326,1,7,072
04664,最,0327a,2,5,073
04664b,最,0327b,2,3,073
04673,月,0328,1,3,074
04674,有,0329,1,107,074
05391,檀,0331,1,8,075
05323,樹,0332,1,16,075
05152,業,0333,1,4,075
05161,極,0334,1,4,075
04712,末,0335,1,7,075
05279,樂,0336,1,3,075
05010,梵,0337,1,4,075
04984,條,0338,1,2,075
05293,樓,0339a,2,3,075
05293b,樓,0339b,2,2,075
05519,欄,0340,1,4,075
05210,榮,0341,1,2,075
04713,本,0342,1,4,075
05154,楯,0343,1,4,075
04803,林,0344,1,6,075
04806,果,0345,1,2,075
05558,次,0346,1,10,076
05580,欲,0347,1,8,076
05644,此,0348,1,58,077
05717,殊,0350,1,3,078
05809,殿,0351,1,4,079
05845,毗,0352,1,7,081
06031,沙,0353,1,3,085
05952,水,0354,1,27,085
06490,演,0355,1,12,085
06182,海,0356,1,88,085
06074,法,0358,1,16,085
06272,淨,0359,1,52,085
06045,河,0361,1,16,085
06564,澄,0362,1,2,085
06476,滿,0363,1,19,085
06290,清,0364,1,33,085
06151,流,0365,1,10,085
05985,江,0366,1,2,085
