文字,カード番号,字体数,用例数1,用例数2,部首,大字典,,
極,0093,0,,,075,05161,,
權,0094,0,,,075,05529,,
末,0095,0,,,075,04712,,
楚,0096,0,,,075,05134,,
辛,0097,0,,,160,11893,,
杖,0098,0,,,075,04743,,
巣,0099,0,,,047,02771,,
村,0100,0,,,075,04739,,
次,0101,0,,,076,05558,,
欣,0102,0,,,076,05561,,
止,0103,0,,,077,05641,,
歸,0104,0,,,077,05676,,
殘,0105,0,,,078,05737,,
殺,0106,0,,,079,05796,,
民,0107,0,,,083,05935,,
潤,0108,0,,,085,06553,,
淳,0109,0,,,085,06286,,
潔,0110,0,,,085,06532,,
流,0111,0,,,085,06151,,
涼,0112,0,,,085,06230,,
泰,0113,0,,,085,06098,,
淡,0115,0,,,085,06266,,
池,0116,0,,,085,05986,,
消,0117,0,,,085,06192,,
浴,0118,0,,,085,06179,,
澤,0119,0,,,085,06603,,
炎,0120,0,,,086,06801,,
火,0122,0,,,086,06776,,
熾,0123,0,,,086,06965,,
07063,0124,0,,,091,07063,,
牙,0125,0,,,092,07065,,
狩,0126,0,,,094,07153,,
犯,0127,0,,,094,07112,,
猛,0128,0,,,094,07180,,
甚,0130,0,,,099,07457,,
用,0131,0,,,101,07469,,
畜,0132,0,,,102,07513,,
當,0133,0,,,102,07535,,
男,0134,0,,,102,07483,,
疑,0135,0,,,103,07559,,
盛,0136,0,,,108,07770,,
瞻,0137,0,,,109,07907,,
目,0138,0,,,109,07790,,
睦,0139,0,,,109,07865,,
禮,0140,0,,,113,08165,,
窓,0141,0,,,116,08316,,
立,0142,0,,,117,08354,,
綵,0143,0,,,120,08889,,
終,0144,0,,,120,08795,,
09011,0145,0,,,120,09011,,
經,0146,0,,,120,08856,,
纏,0147,0,,,120,09064,,
繁,0148,0,,,120,08997,,
耳,0149,0,,,128,09290,,
職,0150,0,,,128,09332,,
腸,0151,0,,,130,09515,,
肌,0152,0,,,130,09351,,
育,0153,0,,,130,09379,,
肝,0154,0,,,130,09362,,
腎,0155,0,,,130,09485,,
肺,0156,0,,,130,09384,,
舌,0157,0,,,135,09636,,
般,0158,0,,,137,09665,,
萬,0159,0,,,140,09954,,
薄,0160,0,,,140,10139,,
茂,0161,0,,,140,09807,,
血,0162,0,,,143,10605,,
要,0163,0,,,146,10822,,
證,0164,0,,,149,11155,,
謂,0165,0,,,149,11095,,
謝,0166,0,,,149,11121,,
請,0167,0,,,149,11049,,
譬,0168,0,,,149,11189,,
誓,0169,0,,,149,11008,,
