カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0047,墨,0 ,,,,,01859,032,1 
0048,壽,0 ,,,,,01913,033,1 
0049,外,0 ,,,,,01934,036,1 
0050,奇,0 ,,,,,01972,037,1 
0051,妄,0 ,,,,,02033,038,1 
0052,妹,0 ,,,,,02059,038,1 
0053,妾,0 ,,,,,02062,038,1 
0054,威,0 ,,,,,02105,038,1 
0055,孝,0 ,,,,,02273,039,1 
0056,孫,0 ,,,,,02282,039,1 
0057,守,0 ,,,,,02308,040,1 
0058,官,0 ,,,,,02323,040,1 
0059,家,0 ,,,,,02349,040,1 
0060,寐,0 ,,,,,02369,040,1 
0061,寛,0 ,,,,,02397,040,1 
0062,寺,0 ,,,,,02415,041,1 
0063,屋,0 ,,,,,02488,044,1 
0064,巖,0 ,,,,,02757,046,1 
0065,己,0 ,,,,,02782,049,1 
0066,市,0 ,,,,,02799,050,1 
0067,希,0 ,,,,,02806,050,1 
0068,幡,0 ,,,,,02881,050,1 
0069,并,0 ,,,,,02902,051,1 
0070,幻,0 ,,,,,02907,052,1 
0071,02964,0 ,,,,,02964,053,1 
0072,廛,0 ,,,,,02986,053,1 
0073,引,0 ,,,,,03044,057,1 
0074,弗,0 ,,,,,03046,057,1 
0075,影,0 ,,,,,03116,059,1 
0076,待,0 ,,,,,03132,060,1 
0077,後,0 ,,,,,03138,060,1 
0078,忍,0 ,,,,,03184,061,1 
0079,志,0 ,,,,,03194,061,1 
0080,忽,0 ,,,,,03219,061,1 
0081,怛,0 ,,,,,03237,061,1 
0082,怯,0 ,,,,,03252,061,1 
0083,悦,0 ,,,,,03309,061,1 
0084,03363,0 ,,,,,03363,061,1 
0085,惜,0 ,,,,,03364,061,1 
0086,愍,0 ,,,,,03402,061,1 
0087,愚,0 ,,,,,03404,061,1 
0088,慮,0 ,,,,,03466,061,1 
0089,慰,0 ,,,,,03469,061,1 
0090,懈,0 ,,,,,03549,061,1 
0091,懷,0 ,,,,,03585,061,1 
0092,懸,0 ,,,,,03586,061,1 
0093,戀,0 ,,,,,03595,061,1 
0094,截,0 ,,,,,03628,062,1 
0095,戸,0 ,,,,,03640,063,1 
0096,手,0 ,,,,,03659,064,1 
0097,抱,0 ,,,,,03720,064,1 
0098,拔,0 ,,,,,03750,064,1 
0099,推,0 ,,,,,03880,064,1 
0100,撃,0 ,,,,,04087,064,1 
0101,敘,0 ,,,,,04258,066,1 
0102,敷,0 ,,,,,04296,066,1 
0103,斯,0 ,,,,,04373,069,1 
0104,旋,0 ,,,,,04406,070,1 
0105,昇,0 ,,,,,04480,072,1 
0106,曠,0 ,,,,,04640,072,1 
0107,更,0 ,,,,,04654,073,1 
0108,服,0 ,,,,,04679,074,1 
0109,望,0 ,,,,,04693,074,1 
0110,柔,0 ,,,,,04849,075,1 
0111,梁,0 ,,,,,04967,075,1 
0112,棄,0 ,,,,,05014,075,1 
0113,植,0 ,,,,,05080,075,1 
0114,樓,0 ,,,,,05293,075,1 
0115,橋,0 ,,,,,05348,075,1 
0116,歎,0 ,,,,,05612,076,1 
0117,歸,0 ,,,,,05676,077,1 
0118,05826,0 ,,,,,05826,079,1 
0119,毒,0 ,,,,,05839,080,1 
0120,永,0 ,,,,,05957,085,1 
0121,沈,0 ,,,,,06015,085,1 
0122,沒,0 ,,,,,06023,085,1 
0123,沮,0 ,,,,,06041,085,1 
0124,泥,0 ,,,,,06088,085,1 
0125,注,0 ,,,,,06091,085,1 
0126,洛,0 ,,,,,06123,085,1 
0127,洫,0 ,,,,,06135,085,1 
0128,活,0 ,,,,,06145,085,1 
0129,渉,0 ,,,,,06193,085,1 
0130,涼,0 ,,,,,06230,085,1 
0131,溝,0 ,,,,,06404,085,1 
0132,潔,0 ,,,,,06532,085,1 
0133,灌,0 ,,,,,06748,085,1 
0134,灑,0 ,,,,,06750,085,1 
0135,炬,0 ,,,,,06816,086,1 
0136,熱,0 ,,,,,06957,086,1 
0137,燒,0 ,,,,,06978,086,1 
0138,牆,0 ,,,,,07047,090,1 
0139,07063,0 ,,,,,07063,091,1 
0140,牙,0 ,,,,,07065,092,1 
0141,牛,0 ,,,,,07072,093,1 
0142,牟,0 ,,,,,07074,093,1 
0143,犯,0 ,,,,,07112,094,1 
0144,獨,0 ,,,,,07230,094,1 
0145,理,0 ,,,,,07307,096,1 
0146,瑟,0 ,,,,,07347,096,1 
0147,瑠,0 ,,,,,07348,096,1 
0148,璃,0 ,,,,,07366,096,1 
0149,用,0 ,,,,,07469,101,1 
0150,由,0 ,,,,,07479,102,1 
0151,申,0 ,,,,,07481,102,1 
0152,疑,0 ,,,,,07559,103,1 
0153,疲,0 ,,,,,07580,104,1 
0154,癡,0 ,,,,,07685,104,1 
0155,皮,0 ,,,,,07739,107,1 
0156,盜,0 ,,,,,07771,108,1 
0157,睡,0 ,,,,,07860,109,1 
0158,短,0 ,,,,,07948,111,1 
0159,祇,0 ,,,,,08107,113,1 
0160,禍,0 ,,,,,08146,113,1 
0161,移,0 ,,,,,08212,115,1 
0162,積,0 ,,,,,08269,115,1 
0163,穢,0 ,,,,,08279,115,1 
0164,窓,0 ,,,,,08316,116,1 
0165,筏,0 ,,,,,08432,118,1 
0166,箭,0 ,,,,,08479,118,1 
0167,精,0 ,,,,,08685,119,1 
0168,紺,0 ,,,,,08788,120,1 
0169,終,0 ,,,,,08795,120,1 
0170,絶,0 ,,,,,08809,120,1 
0171,08950,0 ,,,,,08950,120,1 
0172,總,0 ,,,,,08993,120,1 
0173,09011,0 ,,,,,09011,120,1 
0174,繋,0 ,,,,,09030,120,1 
0175,纔,0 ,,,,,09073,120,1 
0176,罪,0 ,,,,,09125,122,1 
0177,置,0 ,,,,,09128,122,1 
0178,羣,0 ,,,,,09175,123,1 
0179,習,0 ,,,,,09214,124,1 
0180,翳,0 ,,,,,09238,124,1 
0181,耶,0 ,,,,,09292,128,1 
0182,胝,0 ,,,,,09407,130,1 
0183,胸,0 ,,,,,09425,130,1 
0184,脣,0 ,,,,,09459,130,1 
0185,膚,0 ,,,,,09539,130,1 
0186,臨,0 ,,,,,09601,131,1 
0187,興,0 ,,,,,09630,134,1 
0188,擧,0 ,,,,,09632,134,1 
0189,舌,0 ,,,,,09636,135,1 
0190,船,0 ,,,,,09675,137,1 
0191,草,0 ,,,,,09846,140,1 
0192,菓,0 ,,,,,09904,140,1 
0193,蓊,0 ,,,,,10039,140,1 
0194,蓋,0 ,,,,,10040,140,1 
0195,蔽,0 ,,,,,10088,140,1 
0196,藤,0 ,,,,,10203,140,1 
0197,藥,0 ,,,,,10204,140,1 
0198,蘿,0 ,,,,,10258,140,1 
0199,衣,0 ,,,,,10637,145,1 
0200,被,0 ,,,,,10683,145,1 
0201,補,0 ,,,,,10714,145,1 
0202,西,0 ,,,,,10820,146,1 
0203,記,0 ,,,,,10914,149,1 
