統合ID,文字,カード番号,字体数,用例数,部首
05839,毒,0119,0,1,080
05957,永,0120,0,1,085
06015,沈,0121,0,1,085
06023,沒,0122,0,1,085
06041,沮,0123,0,1,085
06088,泥,0124,0,1,085
06091,注,0125,0,1,085
06123,洛,0126,0,1,085
06135,洫,0127,0,1,085
06145,活,0128,0,1,085
06193,渉,0129,0,1,085
06230,涼,0130,0,1,085
06404,溝,0131,0,1,085
06532,潔,0132,0,1,085
06748,灌,0133,0,1,085
06750,灑,0134,0,1,085
06816,炬,0135,0,1,086
06957,熱,0136,0,1,086
06978,燒,0137,0,1,086
07047,牆,0138,0,1,090
07063,07063,0139,0,1,091
07065,牙,0140,0,1,092
07072,牛,0141,0,1,093
07074,牟,0142,0,1,093
07112,犯,0143,0,1,094
07230,獨,0144,0,1,094
07307,理,0145,0,1,096
07347,瑟,0146,0,1,096
07348,瑠,0147,0,1,096
07366,璃,0148,0,1,096
07469,用,0149,0,1,101
07479,由,0150,0,1,102
07481,申,0151,0,1,102
07559,疑,0152,0,1,103
07580,疲,0153,0,1,104
07685,癡,0154,0,1,104
07739,皮,0155,0,1,107
07771,盜,0156,0,1,108
07860,睡,0157,0,1,109
07948,短,0158,0,1,111
08107,祇,0159,0,1,113
08146,禍,0160,0,1,113
08212,移,0161,0,1,115
08269,積,0162,0,1,115
08279,穢,0163,0,1,115
08316,窓,0164,0,1,116
08432,筏,0165,0,1,118
08479,箭,0166,0,1,118
08685,精,0167,0,1,119
08788,紺,0168,0,1,120
08795,終,0169,0,1,120
08809,絶,0170,0,1,120
08950,08950,0171,0,1,120
08993,總,0172,0,1,120
09011,09011,0173,0,1,120
09030,繋,0174,0,1,120
09073,纔,0175,0,1,120
09125,罪,0176,0,1,122
09128,置,0177,0,1,122
09175,羣,0178,0,1,123
09214,習,0179,0,1,124
09238,翳,0180,0,1,124
09292,耶,0181,0,1,128
09407,胝,0182,0,1,130
09425,胸,0183,0,1,130
09459,脣,0184,0,1,130
09539,膚,0185,0,1,130
09601,臨,0186,0,1,131
09630,興,0187,0,1,134
09632,擧,0188,0,1,134
09636,舌,0189,0,1,135
09675,船,0190,0,1,137
09846,草,0191,0,1,140
09904,菓,0192,0,1,140
10039,蓊,0193,0,1,140
10040,蓋,0194,0,1,140
10088,蔽,0195,0,1,140
10203,藤,0196,0,1,140
10204,藥,0197,0,1,140
10258,蘿,0198,0,1,140
10637,衣,0199,0,1,145
10683,被,0200,0,1,145
10714,補,0201,0,1,145
10820,西,0202,0,1,146
10914,記,0203,0,1,149
11008,誓,0204,0,1,149
11012,誘,0205,0,1,149
11046,談,0206,0,1,149
11058,論,0207,0,1,149
11229,讚,0208,0,1,149
11234,谷,0209,0,1,150
11253,豈,0210,0,1,151
11275,象,0211,0,1,152
