統合ID,文字,カード番号,字体数,用例数,部首,枚数,
08212,移,0161,0 ,1 ,115,1 ,
08269,積,0162,0 ,1 ,115,1 ,
08279,穢,0163,0 ,1 ,115,1 ,
08316,窓,0164,0 ,1 ,116,1 ,
08432,筏,0165,0 ,1 ,118,1 ,
08479,箭,0166,0 ,1 ,118,1 ,
08685,精,0167,0 ,1 ,119,1 ,
08788,紺,0168,0 ,1 ,120,1 ,
08795,終,0169,0 ,1 ,120,1 ,
08809,絶,0170,0 ,1 ,120,1 ,
08950,08950,0171,0 ,1 ,120,1 ,
08993,總,0172,0 ,1 ,120,1 ,
09011,09011,0173,0 ,1 ,120,1 ,
09030,繋,0174,0 ,1 ,120,1 ,
09073,纔,0175,0 ,1 ,120,1 ,
09125,罪,0176,0 ,1 ,122,1 ,
09128,置,0177,0 ,1 ,122,1 ,
09175,羣,0178,0 ,1 ,123,1 ,
09214,習,0179,0 ,1 ,124,1 ,
09238,翳,0180,0 ,1 ,124,1 ,
09292,耶,0181,0 ,1 ,128,1 ,
09407,胝,0182,0 ,1 ,130,1 ,
09425,胸,0183,0 ,1 ,130,1 ,
09459,脣,0184,0 ,1 ,130,1 ,
09539,膚,0185,0 ,1 ,130,1 ,
09601,臨,0186,0 ,1 ,131,1 ,
09630,興,0187,0 ,1 ,134,1 ,
09632,擧,0188,0 ,1 ,134,1 ,
09636,舌,0189,0 ,1 ,135,1 ,
09675,船,0190,0 ,1 ,137,1 ,
09846,草,0191,0 ,1 ,140,1 ,
09904,菓,0192,0 ,1 ,140,1 ,
10039,蓊,0193,0 ,1 ,140,1 ,
10040,蓋,0194,0 ,1 ,140,1 ,
10088,蔽,0195,0 ,1 ,140,1 ,
10203,藤,0196,0 ,1 ,140,1 ,
10204,藥,0197,0 ,1 ,140,1 ,
10258,蘿,0198,0 ,1 ,140,1 ,
10637,衣,0199,0 ,1 ,145,1 ,
10683,被,0200,0 ,1 ,145,1 ,
10714,補,0201,0 ,1 ,145,1 ,
10820,西,0202,0 ,1 ,146,1 ,
10914,記,0203,0 ,1 ,149,1 ,
11008,誓,0204,0 ,1 ,149,1 ,
11012,誘,0205,0 ,1 ,149,1 ,
11046,談,0206,0 ,1 ,149,1 ,
11058,論,0207,0 ,1 ,149,1 ,
11229,讚,0208,0 ,1 ,149,1 ,
11234,谷,0209,0 ,1 ,150,1 ,
11253,豈,0210,0 ,1 ,151,1 ,
11275,象,0211,0 ,1 ,152,1 ,
11402,賤,0212,0 ,1 ,154,1 ,
11502,趺,0213,0 ,1 ,157,1 ,
11618,蹈,0214,0 ,1 ,157,1 ,
11744,軌,0215,0 ,1 ,159,1 ,
11745,軍,0216,0 ,1 ,159,1 ,
11831,11831,0217,0 ,1 ,159,1 ,
11802,輕,0218,0 ,1 ,159,1 ,
11918,辱,0219,0 ,1 ,161,1 ,
11986,逆,0220,0 ,1 ,162,1 ,
11993,逐,0221,0 ,1 ,162,1 ,
12022,進,0222,0 ,1 ,162,1 ,
12052,達,0223,0 ,1 ,162,1 ,
12054,違,0224,0 ,1 ,162,1 ,
12062,遙,0225,0 ,1 ,162,1 ,
12070,遠,0226,0 ,1 ,162,1 ,
12082,遭,0227,0 ,1 ,162,1 ,
12083,遮,0228,0 ,1 ,162,1 ,
12093,遷,0229,0 ,1 ,162,1 ,
12102,遽,0230,0 ,1 ,162,1 ,
12123,邑,0231,0 ,1 ,163,1 ,
12176,部,0232,0 ,1 ,163,1 ,
12188,都,0233,0 ,1 ,163,1 ,
12371,釋,0234,0 ,1 ,165,1 ,
12418,鈴,0235,0 ,1 ,167,1 ,
12440,鉢,0236,0 ,1 ,167,1 ,
12518,錢,0237,0 ,1 ,167,1 ,
12528,錯,0238,0 ,1 ,167,1 ,
12657,鐸,0239,0 ,1 ,167,1 ,
12665,鑑,0240,0 ,1 ,167,1 ,
12739,閣,0241,0 ,1 ,169,1 ,
12748,12748,0242,0 ,1 ,169,1 ,
12768,闇,0243,0 ,1 ,169,1 ,
12800,闥,0244,0 ,1 ,169,1 ,
12914,障,0245,0 ,1 ,170,1 ,
12935,隱,0246,0 ,1 ,170,1 ,
12963,集,0247,0 ,1 ,172,1 ,
12997,雜,0248,0 ,1 ,172,1 ,
13026,電,0249,0 ,1 ,173,1 ,
13063,霧,0250,0 ,1 ,173,1 ,
13092,靈,0251,0 ,1 ,173,1 ,
13095,青,0252,0 ,1 ,174,1 ,
13107,靡,0253,0 ,1 ,175,1 ,
13108,面,0254,0 ,1 ,176,1 ,
13176,13176,0255,0 ,1 ,177,1 ,
13297,頃,0256,0 ,1 ,181,1 ,
13302,順,0257,0 ,1 ,181,1 ,
13359,頻,0258,0 ,1 ,181,1 ,
13380,顏,0259,0 ,1 ,181,1 ,
13395,顛,0260,0 ,1 ,181,1 ,
13416,顯,0261,0 ,1 ,181,1 ,
