カード番号,文字,用例数1,用例数2,用例数3,字体数,部首番号,大字典番号
0109,越,,,,0,156,11471
0110,跪,,,,0,157,11542
0111,轉,,,,0,159,11856
0112,03157,,,,0,060,03157
0113,達,,,,0,162,12052
0114,進,,,,0,162,12022
0115,逼,,,,0,162,12030
0116,逕,,,,0,162,11996
0117,違,,,,0,162,12054
0118,醒,,,,0,164,12322
0119,重,,,,0,166,12373
0120,鈍,,,,0,167,12406
0121,12664,,,,0,167,12664
0122,長,,,,0,168,12698
0123,降,,,,0,170,12838
0124,除,,,,0,170,12855
0125,隱,,,,0,170,12935
0126,雪,,,,0,173,13015
0127,青,,,,0,174,13095
0128,順,,,,0,181,13302
0129,頭,,,,0,181,13346
0130,飛,,,,0,183,13495
0131,餘,,,,0,184,13565
0132,養,,,,0,184,13551
0133,飯,,,,0,184,13527
0134,騰,,,,0,187,13820
0135,驚,,,,0,187,13852
0136,鬪,,,,0,191,14027
0137,黄,,,,0,201,14693
0138,哭,,,,0,030,01323
0139,一,74,,,1,001,00001
0140,上,3,,,1,001,00008
0141,下,4,,,1,001,00009
0142,世,64,,,1,001,00025
0143-0145,不,156,,,1,001,00013
0146,三,19,,,1,001,00007
0147,丘,2,,,1,001,00026
0148,中,41,,,1,002,00051
0149,之,5,,,1,004,00088
0150,乃,5,,,1,004,00078
0151,乾,6,,,1,005,00118
0152,也,9,,,1,005,00109
0153,事,4,,,1,006,00128
0154,二,12,,,1,007,00129
0155,五,3,,,1,007,00135
0156,云,29,,,1,007,00133
0157,亦,37,,,1,008,00154
0158,今,5,,,1,009,00175
0159,以,19,,,1,009,00194
0160,何,51,,,1,009,00250
0161,人,26,,,1,009,00168
0162,住,15,,,1,009,00245
0163,來,50,,,1,009,00282
0164,作,21,,,1,009,00256
0165,佛,106,,,1,009,00255
0166,令,5,,,1,009,00193
0167,但,3,,,1,009,00240
0168,假,3,,,1,009,00405
0169,他,3,,,1,009,00183
0170,位,2,,,1,009,00243
0171,依,8,,,1,009,00301
0172,倶,2,,,1,009,00350
0173,倒,8,,,1,009,00373
0174,伏,2,,,1,009,00217
0175,伽,11,,,1,009,00236
0176,僧,4,,,1,009,00503
0177,光,2,,,1,010,00567
0178,入,47,,,1,011,00582
0179,内,11,,,1,011,00585
0180,共,5,,,1,012,00599
0181,六,4,,,1,012,00597
0182,凡,18,,,1,016,00701
0183,出,4,,,1,017,00723
0184,分,19,,,1,018,00734
0185-0187,利,151,,,1,018,00767
0188,切,56,,,1,018,00735
0189,刹,4,,,1,018,00781
0190,別,18,,,1,018,00763
0191,到,3,,,1,018,00769
0192,則,2,,,1,018,00789
0193,初,3,,,1,018,00759
0194,力,4,,,1,019,00856
0195,劫,2,,,1,019,00865
0196,勝,2,,,1,019,00893
0197,動,2,,,1,019,00887
0198,功,4,,,1,019,00857
0199,化,8,,,1,021,00938
0200,北,3,,,1,021,00941
0201,十,3,,,1,024,00985
0202,千,10,,,1,024,00987
0203,南,3,,,1,024,01010
0204,卩,23,,,1,026,01027
0205,即,16,,,1,026,01049
0206,去,10,,,1,028,01101
0207,受,18,,,1,029,01128
0208,及,29,,,1,029,01111
0209,叉,6,,,1,029,01109
0210,取,19,,,1,029,01127
0211,向,4,,,1,030,01179
0212,唯,2,,,1,030,01349
0213,可,40,,,1,030,01154
0214,味,7,,,1,030,01242
0215,唱,2,,,1,030,01350
0216,同,10,,,1,030,01174
0217,合,6,,,1,030,01170
0218-0219,名,63,,,1,030,01175
0220,咲,2,,,1,030,01312
0221,各,9,,,1,030,01168
0222,告,19,,,1,030,01219
0223,句,10,,,1,030,01143
0224,問,3,,,1,030,01369
0225,和,4,,,1,030,01263
0226,喜,5,,,1,030,01412
0227,嚴,4,,,1,030,01581
0228,善,9,,,1,030,01395
0229,哉,3,,,1,030,01305
0230,因,3,,,1,031,01611
0231,四,5,,,1,031,01607
0232,墮,4,,,1,032,01863
0233,在,24,,,1,032,01659
0234,地,25,,,1,032,01666
0235,坐,6,,,1,032,01682
0236,場,23,,,1,032,01798
0237,壞,3,,,1,032,01895
0238,執,2,,,1,032,01755
0239,増,2,,,1,032,01853
0240,垢,3,,,1,032,01726
0241,外,10,,,1,036,01934
0242,夜,6,,,1,036,01939
0243,多,2,,,1,036,01938
0244,夢,5,,,1,036,01943
0245,大,18,,,1,037,01946
0246,天,11,,,1,037,01947
0247,失,5,,,1,037,01957
0248,夫,18,,,1,037,01949
0249-0250,如,58,,,1,038,02031
0251,婆,14,,,1,038,02142
0252,婦,3,,,1,038,02155
0253,女,9,,,1,038,02022
0254,妙,5,,,1,038,02045
0255,妄,5,,,1,038,02033
0256,子,11,,,1,039,02262
0257,字,22,,,1,039,02267
0258,實,9,,,1,040,02390
0259,定,8,,,1,040,02325
0260,02419,3,,,1,041,02419
0261,尊,55,,,1,041,02429
0262,就,3,,,1,043,02464
0263,屬,3,,,1,044,02515
0264-0265,尼,94,,,1,044,02473
0266,岸,3,,,1,046,02564
0267-0269,師,147,,,1,050,02835
0270,希,2,,,1,050,02806
0271,常,6,,,1,050,02847
0272,平,12,,,1,051,02899
0273,幻,6,,,1,052,02907
0274,廣,3,,,1,053,02993
0275,建,4,,,1,054,03006
0276-0277,得,68,,,1,060,03145
0278,彼,42,,,1,060,03124
0279,從,14,,,1,060,03151
0280,後,5,,,1,060,03138
0281,復,11,,,1,060,03159
0282,微,2,,,1,060,03165
0283,徳,2,,,1,060,03172
0284,心,20,,,1,061,03179
0285,念,14,,,1,061,03214
0286,應,7,,,1,061,03550
0287,忻,2,,,1,061,03217
0288,悉,2,,,1,061,03312
0289,忽,3,,,1,061,03219
0290,惚,42,,,1,061,03362
0291,意,11,,,1,061,03395
0292,性,4,,,1,061,03244
0293,思,4,,,1,061,03239
0294,忍,4,,,1,061,03184
0295,怠,2,,,1,061,03240
0296,惟,3,,,1,061,03365
0297,想,4,,,1,061,03373
0298,怨,2,,,1,061,03245
0299,怖,2,,,1,061,03233
0300,愛,11,,,1,061,03405
0301,成,5,,,1,062,03610
0302,或,7,,,1,062,03617
0303,我,30,,,1,062,03611
0304,所,43,,,1,063,03647
0305,提,35,,,1,064,03896
