,,okd_金剛小川,okd_金剛小川,okd_金剛小川,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
01154,可,0213,1,40,030
01242,味,0214,1,7,030
01350,唱,0215,1,2,030
01174,同,0216,1,10,030
01170,合,0217,1,6,030
01175,名,0218,1,63,030
01312,咲,0220,1,2,030
01168,各,0221,1,9,030
01219,告,0222,1,19,030
01143,句,0223,1,10,030
01369,問,0224,1,3,030
01263,和,0225,1,4,030
01412,喜,0226,1,5,030
01581,嚴,0227,1,4,030
01395,善,0228,1,9,030
01305,哉,0229,1,3,030
01611,因,0230,1,3,031
01607,四,0231,1,5,031
01863,墮,0232,1,4,032
01659,在,0233,1,24,032
01666,地,0234,1,25,032
01682,坐,0235,1,6,032
01798,場,0236,1,23,032
01895,壞,0237,1,3,032
01755,執,0238,1,2,032
01853,增,0239,1,2,032
01726,垢,0240,1,3,032
01934,外,0241,1,10,036
01939,夜,0242,1,6,036
01938,多,0243,1,2,036
01943,夢,0244,1,5,036
01946,大,0245,1,18,037
01947,天,0246,1,11,037
01957,失,0247,1,5,037
01949,夫,0248,1,18,037
02031,如,0249,1,58,038
02142,婆,0251,1,14,038
02155,婦,0252,1,3,038
02022,女,0253,1,9,038
02045,妙,0254,1,5,038
02033,妄,0255,1,5,038
02262,子,0256,1,11,039
02267,字,0257,1,22,039
02390,實,0258,1,9,040
02325,定,0259,1,8,040
02429,尊,0261,1,55,041
02464,就,0262,1,3,043
02515,屬,0263,1,3,044
02473,尼,0264,1,94,044
02564,岸,0266,1,3,046
02835,師,0267,1,147,050
02806,希,0270,1,2,050
02847,常,0271,1,6,050
02899,平,0272,1,12,051
02907,幻,0273,1,6,052
02993,廣,0274,1,3,053
03006,建,0275,1,4,054
03145,得,0276,1,68,060
03124,彼,0278,1,42,060
03151,從,0279,1,14,060
03138,後,0280,1,5,060
03159,復,0281,1,11,060
03165,微,0282,1,2,060
03172,德,0283,1,2,060
03179,心,0284,1,20,061
03214,念,0285,1,14,061
03550,應,0286,1,7,061
03217,忻,0287,1,2,061
03312,悉,0288,1,2,061
03219,忽,0289,1,3,061
03362,惚,0290,1,42,061
03395,意,0291,1,11,061
03244,性,0292,1,4,061
03239,思,0293,1,4,061
03184,忍,0294,1,4,061
03240,怠,0295,1,2,061
03365,惟,0296,1,3,061
03373,想,0297,1,4,061
03245,怨,0298,1,2,061
