,,kyo_教行信証,kyo_教行信証,kyo_教行信証,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
02783,已,0334,1,12,049
02800,布,0335,1,2,050
02835,師,0336,1,4,050
02847,常,0337,1,17,050
02899,平,0338,1,13,051
02944,度,0339,1,18,053
02946,座,0340,1,4,053
02993,廣,0341,1,11,053
03047,弘,0342,1,4,057
03084,彌,0343,1,20,057
03101,形,0344,1,2,059
03124,彼,0345,1,44,060
03128,往,0346,1,10,060
03138,後,0347,1,8,060
03145,得,0348,1,40,060
03151,從,0349,1,4,060
03157,徧,0350,1,9,060
03159,復,0351,1,8,060
03165,微,0352,1,4,060
03172,德,0353,1,40,060
03179,心,0354,1,68,061
03180,必,0356,1,11,061
03214,念,0357,1,8,061
03239,思,0358,1,12,061
03244,性,0359,1,10,061
03297,恭,0360,1,4,061
03312,悉,0361,1,3,061
03335,悲,0362,1,13,061
03367,惡,0363,1,2,061
03372,惱,0364,1,11,061
03373,想,0365,1,3,061
03395,意,0366,1,12,061
03402,愍,0367,1,2,061
03439,慈,0368,1,9,061
03462,慧,0369,1,26,061
03544,懃,0370,1,2,061
03499,憐,0371,1,2,061
03550,應,0372,1,36,061
03610,成,0373,1,46,062
03611,我,0374,1,12,062
03617,或,0375,1,4,062
03636,戲,0376,1,7,062
03647,所,0377,1,30,063
03750,拔,0378,1,9,064
03761,拜,0379,1,3,064
03780,持,0380,1,14,064
03835,捨,0381,1,3,064
03896,提,0382,1,27,064
04009,摩,0383,1,4,064
04144,擿,0384,1,3,064
04192,攝,0385,1,14,064
04243,故,0386,1,112,066
04235,政,0389,1,2,066
04261,教,0390,1,13,066
04286,敬,0391a,2,2,066
04286b,敬,0391b,2,2,066
04298,數,0392,1,6,066
04277,敢,0393,1,2,066
04321,文,0394,1,3,067
04385,方,0395,1,42,070
04389,於,0396,1,15,070
04391,施,0397,1,2,070
04442,旣,0398,1,8,071
04446,日,0399,1,8,072
04485,明,0400,1,8,072
04505,昧,0401,1,7,072
04512,是,0402,1,110,072
04523,時,0405,1,13,072
04557,普,0406,1,4,072
04569,智,0407,1,33,072
04650,曰,0408,1,19,073
04667,會,0409,1,10,073
04674,有,0410,1,33,074
04707,木,0411,1,3,075
04711,未,0412,1,9,075
04713,本,0413,1,11,075
04725,朽,0414,1,3,075
04803,林,0415,1,5,075
04806,果,0416,1,5,075
04780,松,0417,1,2,075
04848,染,0418,1,5,075
04849,柔,0419,1,2,075
04933,案,0420,1,3,075
05152,業,0421,1,20,075
05161,極,0422,1,3,075
05323,樹,0423,1,4,075
05529,權,0424,1,3,075
05228,槃,0425,1,10,075
05279,樂,0426,1,55,075
05558,次,0428,1,16,076
05580,欲,0429,1,6,076
05641,止,0430,1,2,077
05644,此,0431,1,50,077
05666,歳,0432,1,2,077
05676,歸,0433a,2,4,077
05676b,歸,0433b,2,2,077
05686,死,0434,1,6,078
05717,殊,0435,1,4,078
05841,比,0436,1,3,081
05845,毗,0437,1,4,081
05952,水,0438,1,3,085
05964,求,0439,1,7,085
06074,法,0440,1,86,085
06088,泥,0442,1,4,085
06125,洞,0443,1,2,085
06182,海,0444,1,4,085
06189,涅,0445,1,9,085
06269,淤,0446,1,3,085
06285,深,0447,1,3,085
06290,清,0448,1,48,085
06432,滅,0449,1,20,085
06476,滿,0450,1,4,085
06633,濕,0451,1,3,085
06517,漸,0452,1,3,085
06643,濡,0453,1,2,085
06776,火,0454,1,6,086
06861,焉,0455,1,3,086
06885,然,0456,1,10,086
06978,燒,0457,1,2,086
06918,照,0458,1,2,086
06921,煩,0459,1,9,086
07032,爲,0460,1,50,087
07043,爾,0461,1,3,089
07262,王,0462,1,6,096
07304,現,0463,1,12,096
07461,生,0464,1,129,100
07469,用,0467,1,7,101
07479,由,0468,1,3,102
07501,界,0469,1,21,102
07520,畢,0470,1,20,102
07522,略,0471,1,13,102
07530,異,0472,1,7,102
07535,當,0473,1,11,102
07707,發,0474,1,4,105
07710,百,0475,1,6,106
07717,皆,0476,1,14,106
07759,益,0477,1,4,108
07779,盡,0478,1,5,108
07799,直,0479,1,2,109
07801,相,0480,1,46,109
07807,省,0481,1,2,109
07827,眞,0482,1,21,109
07839,眷,0483,1,3,109
07844,眾,0484,1,71,109
07941,知,0486,1,56,111
08097,示,0488,1,14,113
08124,神,0489,1,8,113
08162,禪,0490,1,3,113
08244,種,0491,1,64,115
08248,稱,0493,1,5,115
08283,穩,0494,1,2,115
08293,究,0495,1,2,116
08354,立,0496,1,2,117
08365,竟,0497,1,21,117
08376,端,0498,1,2,117
08412,第,0499,1,22,118
08426,等,0500,1,33,118
08437,答,0501,1,3,118
08603,籍,0502,1,2,118
08831,絯,0503,1,2,120
08924,緣,0504,1,6,120
08856,經,0505,1,11,120
09125,罪,0506,1,2,122
09144,羅,0507,1,3,122
09177,義,0508,1,14,123
09214,習,0509,1,2,124
09255,者,0510,1,110,125
09264,而,0513,1,27,126
09290,耳,0514,1,4,128
09308,聖,0515,1,3,128
09314,聚,0516,1,11,128
09315,聞,0517,1,11,128
09328,聲,0518,1,7,128
09429,能,0519,1,23,130
09462,脩,0520a,2,18,130
09462b,脩,0520b,2,1,130
09463,脱,0521,1,3,130
09602,自,0522,1,26,132
09610,至,0523,1,23,133
09638,舍,0524,1,5,135
09665,般,0525,1,5,137
09716,色,0526,1,3,139
09788,若,0527,1,42,140
09789,苦,0528,1,12,140
09846,草,0529,1,3,140
09869,莊,0530,1,33,140
09886,莫,0531,1,5,140
09921,華,0532,1,11,140
09919,菩,0533,1,82,140
09941,萌,0535,1,2,140
09972,著,0536,1,3,140
10040,蓋,0537,1,2,140
10050,蓮,0538,1,3,140
10163,薩,0539,1,57,140
10204,藥,0541,1,2,140
10270,處,0542,1,16,141
10272,虛,0543,1,7,141
10614,行,0544,1,27,144
10714,補,0545,1,3,145
10820,西,0546,1,2,146
10822,要,0547,1,3,146
10831,見,0548,1,9,147
10856,覺,0549,1,10,147
10859,觀,0550a,2,23,147
10859b,觀,0550b,2,1,147
10875,解,0551,1,2,148
10890,言,0552,1,53,149
10928,設,0554,1,2,149
10939,註,0555,1,3,149
11025,虔,0556,1,15,149
11028,誰,0557,1,2,149
11058,論,0558,1,8,149
11085,諸,0559,1,33,149
11095,謂,0560,1,19,149
11155,證,0561,1,13,149
11171,識,0562,1,2,149
11189,譬,0563,1,6,149
11195,議,0564,1,12,149
11229,讚,0565,1,4,149
11253,豈,0566,1,3,151
11342,貪,0567,1,3,154
11397,賢,0568,1,2,154
11432,贊,0569,1,3,154
11461,起,0570,1,4,156
11467,超,0571,1,3,156
11485,趣,0572,1,2,156
