カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0091,殺,0,,,,05796,079
0092,母,0,,,,05834,080
0093,毛,0,,,,05850,082
0094,氣,0,,,,05947,084
0095,決,0,,,,06003,085
0096,況,0,,,,06058,085
0097,沒,0,,,,06023,085
0098,06144,0,,,,06144,085
0099,流,0,,,,06151,085
0100,浮,0,,,,06175,085
0101,溜,0,,,,06403,085
0102,渡,0,,,,06318,085
0103,漢,0,,,,06499,085
0104,潔,0,,,,06532,085
0105,06586,0,,,,06586,085
0106,濁,0,,,,06617,085
0107,灌,0,,,,06748,085
0108,熏,0,,,,06941,086
0109,06974,0,,,,06974,086
0110,父,0,,,,07035,088
0111,状,0,,,,07122,094
0112,物,0,,,,07080,093
0113,特,0,,,,07086,093
0114,牽,0,,,,07087,093
0115,獲,0,,,,07241,094
0116,玄,0,,,,07256,095
0117,理,0,,,,07307,096
0118,申,0,,,,07481,102
0119,疏,0,,,,07557,103
0120,疑,0,,,,07559,103
0121,登,0,,,,07706,105
0122,目,0,,,,07790,109
0123,矣,0,,,,07938,111
0124,沙,0,,,,06031,085
0125,稠,0,,,,08239,115
0126,積,0,,,,08269,115
0127,穢,0,,,,08279,115
0128,空,0,,,,08296,116
0129,竝,0,,,,08361,117
0130,M25886,0,,,,,118
0131,精,0,,,,08685,119
0132,級,0,,,,08759,120
0133,累,0,,,,08778,120
0134,紹,0,,,,08787,120
0135,終,0,,,,08795,120
0136,絶,0,,,,08809,120
0137,繋,0,,,,09030,120
0138,耨,0,,,,09286,127
0139,聽,0,,,,09335,128
0140,肇,0,,,,09347,129
0141,胎,0,,,,09395,130
0142,藐,0,,,,10192,140
0143,藏,0,,,,10191,140
0144,藪,0,,,,10207,140
0145,蘭,0,,,,10251,140
0146,蜜,0,,,,10414,142
0147,衣,0,,,,10637,145
0148,被,0,,,,10683,145
0149,計,0,,,,10896,149
0150,訶,0,,,,10936,149
0151,詳,0,,,,10984,149
0152,誘,0,,,,11012,149
0153,誠,0,,,,11018,149
0154,誓,0,,,,11008,149
0155,諒,0,,,,11056,149
0156,謀,0,,,,11092,149
0157,謹,0,,,,11142,149
0158,貌,0,,,,11311,153
0159,資,0,,,,11373,154
0160,賊,0,,,,11377,154
0161,越,0,,,,11471,156
0162,路,0,,,,11548,157
0163,暫,0,,,,04603,072
0165,輕,0,,,,11802,159
0166,迎,0,,,,11947,162
0167,退,0,,,,11982,162
0168,逍,0,,,,11990,162
0169,遙,0,,,,12062,162
0170,郷,0,,,,12205,163
0171,重,0,,,,12373,166
0172,鎧,0,,,,12582,167
0173,閻,0,,,,12757,169
0174,M41490,0,,,,,169
0175,陸,0,,,,12870,170
0176,隆,0,,,,12886,170
0177,雨,0,,,,13012,173
0178,音,0,,,,13281,180
0179,韻,0,,,,13290,180
0180,頭,0,,,,13346,181
0181,風,0,,,,13423,182
0182,香,0,,,,13667,186
0183,魔,0,,,,14088,194
0184,鸞,0,,,,14611,196
0185,鹿,0,,,,14621,198
0186,黒,0,,,,14709,203
0187,鼓,0,,,,14775,207
0188,龍,0,,,,14876,212
0189-0190,一,1,91,,,00001,001
0191,七,1,6,,,00004,001
0192,三,1,50,,,00007,001
0193,上,1,30,,,00008,001
0194,下,1,3,,,00009,001
0195-0196,不,1,99,,,00013,001
0197,世,1,20,,,00025,001
0198,丘,1,2,,,00026,001
0199,中,1,21,,,00051,002
0200,主,1,7,,,00070,003
0201,乃,1,5,,,00078,004
0202-0203,之,1,57,,,00088,004
0204,乘,1,8,,,00102,004
0205-0206,也,1,61,,,00109,005
0207,二,1,28,,,00129,007
0208,云,1,12,,,00133,007
0209,五,1,19,,,00135,007
0210,亦,1,19,,,00154,008
0211,人,1,17,,,00168,009
0212,今,1,2,,,00175,009
0213,他,1,16,,,00183,009
0214,令,1,4,,,00193,009
0215-0216,以,1,51,,,00194,009
0217,仰,1,2,,,00199,009
0218,似,1,2,,,00235,009
0219,但,1,6,,,00240,009
0220,住,1,15,,,00245,009
0221,何,1,32,,,00250,009
0222-0223,佛,1,86,,,00255,009
