カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号,,
0054,府,0,1,,,02938,053,,
0055,廢,0,1,,,02992,053,,
0056,庫,0,1,,,02949,053,,
0057,影,0,1,,,03116,059,,
0058,形,0,1,,,03101,059,,
0059,憶,0,1,,,03534,061,,
0060,悲,0,1,,,03335,061,,
0061,慈,0,1,,,03439,061,,
0062,懷,0,1,,,03585,061,,
0063,懼,0,1,,,03589,061,,
0064,愚,0,1,,,03404,061,,
0065,愧,0,1,,,03414,061,,
0066,慙,0,1,,,03453,061,,
0067,惑,0,1,,,03355,061,,
0068,恆,0,1,,,03267,061,,
0069,愁,0,1,,,03387,061,,
0070,恭,0,1,,,03297,061,,
0071,患,0,1,,,03329,061,,
0072,悶,0,1,,,03339,061,,
0073,抱,0,1,,,03720,064,,
0074,手,0,1,,,03659,064,,
0075,按,0,1,,,03785,064,,
0076,打,0,1,,,03666,064,,
0077,摩,0,1,,,04009,064,,
0078,摧,0,1,,,04008,064,,
0079,拘,0,1,,,03757,064,,
0080,承,0,1,,,03690,064,,
0081,提,0,1,,,03896,064,,
0082,支,0,1,,,04216,065,,
0083,教,0,1,,,04261,066,,
0084,敵,0,1,,,04293,066,,
0085,敬,0,1,,,04286,066,,
0086,文,0,1,,,04321,067,,
0087,暫,0,1,,,04603,072,,
0088,曜,0,1,,,04636,072,,
0089,明,0,1,,,04485,072,,
0090,普,0,1,,,04557,072,,
0091,曇,0,1,,,04621,072,,
0092,最,0,1,,,04664,073,,
0093,望,0,1,,,04693,074,,
0094,橋,0,1,,,05348,075,,
0095,梁,0,1,,,04967,075,,
0096,棄,0,1,,,05014,075,,
0097,椎,0,1,,,05081,075,,
0098,05588,0,1,,,05588,076,,
0099,歌,0,1,,,05609,076,,
0100,歎,0,1,,,05612,076,,
0101,死,0,1,,,05686,078,,
0102,況,0,1,,,06058,085,,
0103,渇,0,1,,,06338,085,,
0104,消,0,1,,,06192,085,,
0105,照,0,1,,,06918,086,,
0106,灰,0,1,,,06784,086,,
0107,焔,0,1,,,06882,086,,
0108,燥,0,1,,,06986,086,,
0109,爛,0,1,,,07017,086,,
0110,熏,0,1,,,06941,086,,
0111,狂,0,1,,,07125,094,,
0112,珍,0,1,,,07287,096,,
0113,瓮,0,1,,,07420,098,,
0114,畢,0,1,,,07520,102,,
0115,疥,0,1,,,07573,104,,
0116,癲,0,1,,,07697,104,,
0117,癩,0,1,,,07690,104,,
0118,疲,0,1,,,07580,104,,
0119,盧,0,1,,,07785,108,,
0120,石,0,1,,,07954,112,,
0121,祥,0,1,,,08130,113,,
0122,積,0,1,,,08269,115,,
0123,穢,0,1,,,08279,115,,
0124,空,0,1,,,08296,116,,
0125,究,0,1,,,08293,116,,
0126,築,0,1,,,08501,118,,
0127,縛,0,1,,,08963,120,,
0128,結,0,1,,,08807,120,,
0129,續,0,1,,,09061,120,,
0130,缺,0,1,,,09085,121,,
0131,羈,0,1,,,09148,122,,
0132,翫,0,1,,,09232,124,,
0133,老,0,1,,,09250,125,,
0134,耳,0,1,,,09290,128,,
0135,腹,0,1,,,09516,130,,
0136,肩,0,1,,,09370,130,,
0137,胎,0,1,,,09395,130,,
0138,興,0,1,,,09630,134,,
0139,舊,0,1,,,09633,134,,
0140,舞,0,1,,,09656,136,,
0141,花,0,1,,,09758,140,,
0142,草,0,1,,,09846,140,,
0143,薩,0,1,,,10163,140,,
0144,虚,0,1,,,10272,141,,
0145,衞,0,1,,,10630,144,,
0146,衰,0,1,,,10649,145,,
0147,要,0,1,,,10822,146,,
0148,親,0,1,,,10848,147,,
0149,角,0,1,,,10860,148,,
0150,護,0,1,,,11200,149,,
0151,論,0,1,,,11058,149,,
0152,譬,0,1,,,11189,149,,
0153,訟,0,1,,,10919,149,,
0154,貧,0,1,,,11338,154,,
0155,貝,0,1,,,11328,154,,
0156,賊,0,1,,,11377,154,,
0157,11621,0,1,,,11621,157,,
0158,輪,0,1,,,11827,159,,
0159,軍,0,1,,,11745,159,,
0160,車,0,1,,,11740,159,,
0161,辯,0,1,,,11916,160,,
0162,逼,0,1,,,12030,162,,
0163,遮,0,1,,,12083,162,,
