統合ID,文字,カード番号,字体数,用例数,部首,枚数
00858,加,0194,1 ,14 ,019,1 
00879,勅,0195,1 ,2 ,019,1 
00881,勇,0196,1 ,2 ,019,1 
00887,動,0197,1 ,4 ,019,1 
00893,勝,0198,1 ,15 ,019,1 
01010,南,0199,1 ,26 ,024,1 
01034,印,0200,1 ,44 ,026,1 
01049,即,0201,1 ,12 ,026,1 
01112,友,0202,1 ,5 ,029,1 
01128,受,0203,1 ,6 ,029,1 
01141,口,0204,1 ,2 ,030,1 
01158,右,0205,1 ,2 ,030,1 
01168,各,0206,1 ,2 ,030,1 
01170,合,0207,1 ,2 ,030,1 
01175,名,0208,1 ,44 ,030,1 
01235,周,0209,1 ,2 ,030,1 
01305,哉,0210,1 ,19 ,030,1 
01395,善,0211,1 ,7 ,030,1 
01455,01455,0212,1 ,26 ,030,1 
01523,器,0213,1 ,5 ,030,1 
01569,01569,0214,1 ,27 ,030,1 
01581,嚴,0215,1 ,17 ,030,1 
01594,01594,0216,1 ,17 ,030,1 
01607,四,0217,1 ,8 ,031,1 
01627,固,0218,1 ,9 ,031,1 
01641,圍,0219,1 ,2 ,031,1 
01659,在,0220,1 ,3 ,032,1 
01666,地,0221,1 ,36 ,032,1 
01748,01748,0222,1 ,23 ,032,1 
01798,場,0223,1 ,2 ,032,1 
01839,境,0224a,2 ,2 ,032,1 
01839b,境,0224b,2 ,1 ,032,1 
01878,壇,0225a,2 ,10 ,032,1 
01878b,壇,0225b,2 ,1 ,032,1 
01934,外,0226,1 ,3 ,036,1 
01938,多,0227,1 ,5 ,036,1 
01946,大,0228,1 ,92 ,037,2 
01947,天,0230,1 ,14 ,037,1 
01972,奇,0231,1 ,23 ,037,1 
01974,奉,0232,1 ,5 ,037,1 
02022,女,0233,1 ,17 ,038,1 
02031,如,0234,1 ,214 ,038,5 
02045,妙,0239,1 ,9 ,038,1 
02069,始,0240,1 ,2 ,038,1 
02105,威,0241,1 ,5 ,038,1 
02142,婆,0242,1 ,26 ,038,1 
02151,婢,0243,1 ,2 ,038,1 
02308,守,0244,1 ,3 ,040,1 
02344,宰,0245,1 ,3 ,040,1 
02357,寂,0246,1 ,2 ,040,1 
02361,密,0247,1 ,6 ,040,1 
02407,寶,0248,1 ,31 ,040,1 
02429,尊,0249,1 ,53 ,041,2 
02464,就,0251,1 ,8 ,043,1 
02473,尼,0252a,2 ,8 ,044,1 
02473b,尼,0252b,2 ,1 ,044,1 
02589,峰,0253,1 ,10 ,046,1 
02774,左,0254,1 ,10 ,048,1 
02775,巧,0255,1 ,2 ,048,1 
02783,已,0256,1 ,43 ,049,1 
02820,帝,0257,1 ,2 ,050,1 
02835,師,0258,1 ,3 ,050,1 
02882,幢,0259,1 ,2 ,050,1 
02899,平,0260,1 ,3 ,051,1 
02902,并,0261,1 ,2 ,051,1 
02993,廣,0262,1 ,8 ,053,1 
03044,引,0263,1 ,7 ,057,1 
03079,彈,0264,1 ,3 ,057,1 
03101,形,0265,1 ,18 ,059,1 
03124,彼,0266,1 ,58 ,060,2 
03138,後,0268,1 ,2 ,060,1 
03145,得,0269,1 ,6 ,060,1 
03151,從,0270,1 ,65 ,060,2 
