カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0361,衆,1 ,11 ,,,,07844,109,1 
0362,磨,1 ,33 ,,,,08057,112,1 
0363,神,1 ,7 ,,,,08124,113,1 
0364,禮,1 ,18 ,,,,08165,113,1 
0365,種,1 ,6 ,,,,08244,115,1 
0366,稱,1 ,3 ,,,,08248,115,1 
0367,空,1 ,13 ,,,,08296,116,1 
0368,立,1 ,8 ,,,,08354,117,1 
0369,端,1 ,3 ,,,,08376,117,1 
0370,笑,1 ,3 ,,,,08396,118,1 
0371,等,1 ,44 ,,,,08426,118,1 
0372,答,1 ,4 ,,,,08437,118,1 
0373,精,1 ,10 ,,,,08685,119,1 
0374,索,1 ,2 ,,,,08767,120,1 
0375,結,1 ,3 ,,,,08807,120,1 
0376,線,1 ,4 ,,,,08916,120,1 
0377,縛,1 ,18 ,,,,08963,120,1 
0378,纔,1 ,20 ,,,,09073,120,1 
0379,羅,1 ,24 ,,,,09144,122,1 
0380,羯,1 ,31 ,,,,09182,123,1 
0381,者,1 ,6 ,,,,09255,125,1 
0382,而,1 ,31 ,,,,09264,126,1 
0383-0384,耶,1 ,52 ,,,,09292,128,2 
0385,聚,1 ,24 ,,,,09314,128,1 
0386,能,1 ,7 ,,,,09429,130,1 
0387,脱,1 ,4 ,,,,09463,130,1 
0388,自,1 ,34 ,,,,09602,132,1 
0389,至,1 ,6 ,,,,09610,133,1 
0390,舒,1 ,4 ,,,,09643,135,1 
0391,舞,1 ,5 ,,,,09656,136,1 
0392,花,1 ,2 ,,,,09758,140,1 
0393,若,1 ,2 ,,,,09788,140,1 
0394,荼,1 ,17 ,,,,09863,140,1 
0395,莊,2 ,4 ,1 ,,,09869,140,1 
0396,菩,1 ,32 ,,,,09919,140,1 
0397,華,1 ,5 ,,,,09921,140,1 
0398,蓮,1 ,4 ,,,,10050,140,1 
0399-0400,薩,1 ,66 ,,,,10163,140,2 
0401,藏,1 ,3 ,,,,10191,140,1 
0402,處,1 ,6 ,,,,10270,141,1 
0403,虚,1 ,2 ,,,,10272,141,1 
0404,號,1 ,4 ,,,,10276,141,1 
0405,蜜,1 ,2 ,,,,10414,142,1 
0406,行,1 ,2 ,,,,10614,144,1 
0407,見,1 ,2 ,,,,10831,147,1 
0408,覺,1 ,2 ,,,,10856,147,1 
0409,解,1 ,4 ,,,,10875,148,1 
0410,言,1 ,2 ,,,,10890,149,1 
0411,訶,1 ,11 ,,,,10936,149,1 
0412,詠,1 ,5 ,,,,10969,149,1 
0413,誓,1 ,2 ,,,,11008,149,1 
0414,語,1 ,2 ,,,,11017,149,1 
0415,誦,1 ,4 ,,,,11023,149,1 
0416,説,1 ,33 ,,,,11025,149,1 
0417,調,1 ,6 ,,,,11038,149,1 
0418,請,1 ,9 ,,,,11049,149,1 
0419,諸,1 ,20 ,,,,11085,149,1 
0420,證,1 ,2 ,,,,11155,149,1 
0421,護,1 ,6 ,,,,11200,149,1 
0422,讚,1 ,5 ,,,,11229,149,1 
0423,貪,1 ,2 ,,,,11342,154,1 
0424,11384,1 ,2 ,,,,11384,154,1 
0425,起,1 ,2 ,,,,11461,156,1 
0426,趣,1 ,3 ,,,,11485,156,1 
0427,路,1 ,2 ,,,,11548,157,1 
0428,身,1 ,44 ,,,,11715,158,1 
0429,軌,1 ,3 ,,,,11744,159,1 
0430,輪,1 ,29 ,,,,11827,159,1 
0431,轉,1 ,5 ,,,,11856,159,1 
0432,速,1 ,5 ,,,,12003,162,1 
0433,進,1 ,11 ,,,,12022,162,1 
0434,遊,1 ,4 ,,,,12042,162,1 
0435,達,1 ,2 ,,,,12052,162,1 
0436,適,1 ,2 ,,,,12079,162,1 
0437,遮,1 ,28 ,,,,12083,162,1 
0438,邊,2 ,8 ,1 ,,,12115,162,1 
0439,量,1 ,8 ,,,,12376,166,1 
0440-0444,金,1 ,236 ,,,,12380,167,5 
0445,鉤,1 ,10 ,,,,12441,167,1 
0446,鎖,1 ,3 ,,,,12573,167,1 
0447,門,1 ,11 ,,,,12709,169,1 
0448,閉,1 ,2 ,,,,12714,169,1 
0449,閣,1 ,10 ,,,,12739,169,1 
0450,陀,1 ,26 ,,,,12831,170,1 
0451,隅,1 ,7 ,,,,12883,170,1 
0452,隨,1 ,2 ,,,,12927,170,1 
0453,集,1 ,12 ,,,,12963,172,1 
0454,雙,1 ,4 ,,,,12994,172,1 
0455,離,1 ,4 ,,,,13001,172,1 
0456,難,1 ,8 ,,,,13002,172,1 
0457,雲,1 ,4 ,,,,13020,173,1 
0458,靜,1 ,2 ,,,,13103,174,1 
0459,頂,1 ,10 ,,,,13296,181,1 
0460,願,1 ,3 ,,,,13391,181,1 
0461,飾,1 ,9 ,,,,13542,184,1 
0462,餘,1 ,5 ,,,,13565,184,1 
0463,首,1 ,6 ,,,,13661,185,1 
0464,香,1 ,10 ,,,,13667,186,1 
0465,體,1 ,24 ,,,,13934,188,1 
0466,鬘,1 ,4 ,,,,13999,190,1 
0467,魔,1 ,7 ,,,,14088,194,1 
0468,冑,2 ,6 ,1 ,,,00635,013,1 
0469-0473,剛,2 ,232 ,4 ,,,00803,018,5 
0474,召,2 ,6 ,3 ,,,01150,030,1 
0475,喜,2 ,7 ,1 ,,,01412,030,1 
0476,堅,2 ,20 ,2 ,,,01767,032,1 
0477,塗,2 ,5 ,1 ,,,01818,032,1 
0478,安,2 ,16 ,2 ,,,02309,040,1 
0479,復,2 ,28 ,6 ,,,03159,060,1 
0480,怛,2 ,2 ,1 ,,,03237,061,1 
0481,戲,2 ,5 ,1 ,,,03636,062,1 
0482,提,2 ,2 ,1 ,,,03896,064,1 
0483,敵,2 ,4 ,2 ,,,04293,066,1 
0484,族,2 ,4 ,1 ,,,04412,070,1 
0485,是,2 ,9 ,2 ,,,04512,072,1 
0486,暴,2 ,4 ,1 ,,,04608,072,1 
0487,灌,2 ,8 ,1 ,,,06748,085,1 
0488,牙,2 ,6 ,1 ,,,07065,092,1 
0489-0490,界,2 ,46 ,5 ,,,07501,102,2 
0491,與,2 ,3 ,3 ,,,09629,134,1 
0492,觀,2 ,2 ,2 ,,,10859,147,1 
0493,賢,2 ,1 ,1 ,,,11397,154,1 
0494,那,2 ,20 ,12 ,,,12134,163,1 
0495,養,2 ,28 ,10 ,,,13551,184,1 
0496,通,3 ,6 ,1 ,1 ,,12000,162,1 
0497,塵,4 ,16 ,3 ,3 ,1 ,01831,032,1 
