統合ID,文字,院政大教,字体数,用例数,部首
11495,足,0118,0,1,157
11960,迦,0119,0,1,162
12120,邏,0120,0,1,162
M53244,啷,0121,0,1,030
12421,鈿,0122,0,1,167
M55984,鑁,0123,0,1,167
12724,間,0124,0,1,169
12742,閦,0125,0,1,169
12830,阿,0126,0,1,170
12838,降,0127,0,1,170
13047,霓,0128,0,1,173
13108,面,0129,0,1,176
13293,響,0130,0,1,180
13297,頃,0131,0,1,181
13304,須,0132,0,1,181
13376,題,0133,0,1,181
13409,顧,0134,0,1,181
13849,驗,0135,0,1,187
00001,一,0136,1,286,001
00007,三,0142,1,86,001
00008,上,0144,1,2,001
00009,下,0145,1,4,001
00013,不,0146,1,14,001
00025,世,0147,1,83,001
00051,中,0149,1,18,002
00070,主,0150,1,6,003
00078,乃,0151,1,5,004
00088,之,0152,1,2,004
00102,乘,0153,1,2,004
00108,乞,0154,1,2,005
00128,事,0155,1,3,006
00154,亦,0156,1,2,008
00184,仗,0157,1,4,009
00193,令,0158,1,15,009
00194,以,0159,1,20,009
00217,伏,0160,1,7,009
00236,伽,0161,1,27,009
00245,住,0162,1,30,009
00255,佛,0163,1,53,009
00256,作,0165,1,22,009
00279,使,0166,1,4,009
00282,來,0167,1,198,009
00299,供,0171,1,40,009
00301,依,0172,1,21,009
00321,便,0173,1,6,009
00493,僕,0174,1,2,009
00506,僮,0175,1,2,009
00516,儀,0176,1,11,009
00567,光,0177,1,19,010
00582,入,0178,1,48,011
00594,八,0179,1,5,012
00606,具,0180,1,4,012
00723,出,0181,1,83,017
00734,分,0183,1,2,018
00735,切,0184,1,257,018
00767,利,0190,1,7,018
00781,刹,0191,1,3,018
00789,則,0192,1,28,018
00794,前,0193,1,2,018
00858,加,0194,1,14,019
00879,勅,0195,1,2,019
00881,勇,0196,1,2,019
00887,動,0197,1,4,019
00893,勝,0198,1,15,019
01010,南,0199,1,26,024
01034,印,0200,1,44,026
01049,卽,0201,1,12,026
01112,友,0202,1,5,029
01128,受,0203,1,6,029
01141,口,0204,1,2,030
01158,右,0205,1,2,030
01168,各,0206,1,2,030
01170,合,0207,1,2,030
01175,名,0208,1,44,030
01235,周,0209,1,2,030
01305,哉,0210,1,19,030
01395,善,0211,1,7,030
01455,嗢,0212,1,26,030
01523,器,0213,1,5,030
01569,嚩,0214,1,27,030
01581,嚴,0215,1,17,030
01594,囉,0216,1,17,030
01607,四,0217,1,8,031
01627,固,0218,1,9,031
01641,圍,0219,1,2,031
01659,在,0220,1,3,032
01666,地,0221,1,36,032
01748,埵,0222,1,23,032
01798,場,0223,1,2,032
01839,境,0224a,2,2,032
01839b,境,0224b,2,1,032
01878,壇,0225a,2,10,032
01878b,壇,0225b,2,1,032
01934,外,0226,1,3,036
01938,多,0227,1,5,036
01946,大,0228,1,92,037
01947,天,0230,1,14,037
01972,奇,0231,1,23,037
01974,奉,0232,1,5,037
02022,女,0233,1,17,038
02031,如,0234,1,214,038
02045,妙,0239,1,9,038
02069,始,0240,1,2,038
02105,威,0241,1,5,038
02142,婆,0242,1,26,038
02151,婢,0243,1,2,038
02308,守,0244,1,3,040
02344,宰,0245,1,3,040
02357,寂,0246,1,2,040
02361,密,0247,1,6,040
02407,寶,0248,1,31,040
02429,尊,0249,1,53,041
02464,就,0251,1,8,043
02473,尼,0252a,2,8,044
02473b,尼,0252b,2,1,044
02589,峯,0253,1,10,046
02774,左,0254,1,10,048
02775,巧,0255,1,2,048
02783,已,0256,1,43,049
02820,帝,0257,1,2,050
02835,師,0258,1,3,050
02882,幢,0259,1,2,050
02899,平,0260,1,3,051
02902,并,0261,1,2,051
02993,廣,0262,1,8,053
03044,引,0263,1,7,057
03079,彈,0264,1,3,057
03101,形,0265,1,18,059
03124,彼,0266,1,58,060
03138,後,0268,1,2,060
03145,得,0269,1,6,060
03151,從,0270,1,65,060
03157,徧,0272,1,19,060
03165,微,0273a,2,22,060
03165b,微,0273b,2,1,060
03179,心,0274,1,64,061
03229,怒,0276,1,6,061
03233,怖,0277,1,2,061
03244,性,0278,1,7,061
03309,悦,0279a,2,6,061
03309b,悦,0279b,2,3,061
03312,悉,0280,1,4,061
03348,情,0281,1,8,061
03395,意,0282,1,9,061
03402,愍,0283,1,2,061
03405,愛,0284,1,2,061
03439,慈,0285,1,8,061
03462,慧,0286,1,2,061
03550,應,0287,1,19,061
03610,成,0288,1,19,062
03611,我,0289,1,36,062
03647,所,0290,1,18,063
03659,手,0291,1,5,064
03690,承,0292,1,2,064
03713,抨,0293,1,3,064
03770,拳,0294,1,10,064
03780,持,0295,1,39,064
03783,指,0296,1,3,064
03855,授,0297,1,6,064
03858,掌,0298,1,5,064
04008,摧,0299,1,7,064
04009,摩,0300,1,53,064
04069,播,0302,1,2,064
04243,故,0303a,2,21,066
04243b,故,0303b,2,16,066
04261,教,0304,1,10,066
04385,方,0305,1,9,070
04389,於,0306,1,19,070
04446,日,0307,1,22,072
04450,旨,0308,1,2,072
04485,明,0309,1,17,072
04505,昧,0310,1,51,072
04523,時,0312,1,36,072
04557,普,0313,1,3,072
04569,智,0314,1,20,072
04660,曼,0315,1,17,073
04664,最,0316,1,5,073
04667,會,0317,1,5,073
04673,月,0318,1,20,074
04674,有,0319,1,12,074
04806,果,0320,1,4,075
04848,染,0321,1,3,075
04871,柱,0322,1,2,075
05010,梵,0323,1,27,075
05152,業,0324,1,16,075
05161,極,0325,1,5,075
05279,樂,0326,1,8,075
05293,樓,0327,1,10,075
05558,次,0328,1,2,076
05609,歌,0329,1,4,076
05644,此,0330,1,39,077
05841,比,0331,1,2,081
05845,毗,0332,1,35,081
06074,法,0333,1,12,085
06086,波,0334,1,6,085
06182,海,0335,1,3,085
06272,淨,0336,1,4,085
06476,滿,0337,1,3,085
06603,澤,0338,1,2,085
06872,無,0339,1,21,086
06978,燒,0340,1,3,086
07032,爲,0341,1,62,087
07043,爾,0343,1,24,089
07076,牢,0344,1,4,093
07241,獲,0345,1,5,094
07262,王,0346,1,8,096
07304,現,0347,1,3,096
07307,理,0348,1,3,096
07461,生,0349,1,39,100
07479,由,0350,1,19,102
07480,甲,0351,1,9,102
07525,畫,0352,1,5,102
07535,當,0353,1,2,102
07591,疾,0354,1,3,104
07710,百,0355,1,4,106
07759,益,0356,1,2,108
07779,盡,0357,1,8,108
07785,盧,0358,1,28,108
07801,相,0359,1,2,109
07843,眼,0360,1,4,109
07844,眾,0361,1,11,109
08057,磨,0362,1,33,112
08124,神,0363,1,7,113
08165,禮,0364,1,18,113
08244,種,0365,1,6,115
08248,稱,0366,1,3,115
08296,空,0367,1,13,116
08354,立,0368,1,8,117
08376,端,0369,1,3,117
08396,笑,0370,1,3,118
08426,等,0371,1,44,118
08437,答,0372,1,4,118
08685,精,0373,1,10,119
08767,索,0374,1,2,120
08807,結,0375,1,3,120
08916,線,0376,1,4,120
08963,縛,0377,1,18,120
09073,纔,0378,1,20,120
09144,羅,0379,1,24,122
09182,羯,0380,1,31,123
09255,者,0381,1,6,125
09264,而,0382,1,31,126
09292,耶,0383,1,52,128
09314,聚,0385,1,24,128
09429,能,0386,1,7,130
09463,脱,0387,1,4,130
09602,自,0388,1,34,132
09610,至,0389,1,6,133
09643,舒,0390,1,4,135
09656,舞,0391,1,5,136
09758,花,0392,1,2,140
09788,若,0393,1,2,140
09863,荼,0394,1,17,140
09869,莊,0395a,2,4,140
09869b,莊,0395b,2,1,140
09919,菩,0396,1,32,140
09921,華,0397,1,5,140
10050,蓮,0398,1,4,140
10163,薩,0399,1,66,140
10191,藏,0401,1,3,140
10270,處,0402,1,6,141
10272,虛,0403,1,2,141
10276,號,0404,1,4,141
10414,蜜,0405,1,2,142
10614,行,0406,1,2,144
10831,見,0407,1,2,147
10856,覺,0408,1,2,147
10875,解,0409,1,4,148
10890,言,0410,1,2,149
10936,訶,0411,1,11,149
10969,詠,0412,1,5,149
11008,誓,0413,1,2,149
11017,語,0414,1,2,149
11023,誦,0415,1,4,149
11025,説,0416,1,33,149
11038,調,0417,1,6,149
11049,請,0418,1,9,149
11085,諸,0419,1,20,149
11155,證,0420,1,2,149
11200,護,0421,1,6,149
11229,讚,0422,1,5,149
11342,貪,0423,1,2,154
11384,賒,0424,1,2,154
11461,起,0425,1,2,156
11485,趣,0426,1,3,156
11548,路,0427,1,2,157
11715,身,0428,1,44,158
11744,軌,0429,1,3,159
11827,輪,0430,1,29,159
11856,轉,0431,1,5,159
12003,速,0432,1,5,162
12022,進,0433,1,11,162
12042,遊,0434,1,4,162
12052,達,0435,1,2,162
12079,適,0436,1,2,162
12083,遮,0437,1,28,162
12115,邊,0438a,2,8,162
12115b,邊,0438b,2,1,162
12376,量,0439,1,8,166
12380,金,0440,1,236,167
12441,鉤,0445,1,10,167
12573,鎖,0446,1,3,167
12709,門,0447,1,11,169
12714,閉,0448,1,2,169
12739,閣,0449,1,10,169
12831,陀,0450,1,26,170
12883,隅,0451,1,7,170
12927,隨,0452,1,2,170
12963,集,0453,1,12,172
12994,雙,0454,1,4,172
13001,離,0455,1,4,172
13002,難,0456,1,8,172
13020,雲,0457,1,4,173
13103,靜,0458,1,2,174
13296,頂,0459,1,10,181
13391,願,0460,1,3,181
13542,飾,0461,1,9,184
13565,餘,0462,1,5,184
13661,首,0463,1,6,185
13667,香,0464,1,10,186
13934,體,0465,1,24,188
13999,鬘,0466,1,4,190
14088,魔,0467,1,7,194
00635,冑,0468a,2,6,013
00635b,冑,0468b,2,1,013
00803,剛,0469a,2,232,018
00803b,剛,0469b,2,4,018
01150,召,0474a,2,6,030
01150b,召,0474b,2,3,030
01412,喜,0475a,2,7,030
01412b,喜,0475b,2,1,030
01767,堅,0476a,2,20,032
01767b,堅,0476b,2,2,032
01818,塗,0477a,2,5,032
01818b,塗,0477b,2,1,032
02309,安,0478a,2,16,040
02309b,安,0478b,2,2,040
03159,復,0479a,2,28,060
03159b,復,0479b,2,6,060
03237,怛,0480a,2,2,061
03237b,怛,0480b,2,1,061
03636,戲,0481a,2,5,062
03636b,戲,0481b,2,1,062
03896,提,0482a,2,2,064
03896b,提,0482b,2,1,064
04293,敵,0483a,2,4,066
04293b,敵,0483b,2,2,066
04412,族,0484a,2,4,070
04412b,族,0484b,2,1,070
04512,是,0485a,2,9,072
04512b,是,0485b,2,2,072
04608,暴,0486a,2,4,072
04608b,暴,0486b,2,1,072
06748,灌,0487a,2,8,085
06748b,灌,0487b,2,1,085
07065,牙,0488a,2,6,092
07065b,牙,0488b,2,1,092
07501,界,0489a,2,46,102
07501b,界,0489b,2,5,102
09629,與,0491a,2,3,134
09629b,與,0491b,2,3,134
10859,觀,0492a,2,2,147
10859b,觀,0492b,2,2,147
11397,賢,0493a,2,1,154
11397b,賢,0493b,2,1,154
12134,那,0494a,2,20,163
12134b,那,0494b,2,12,163
13551,養,0495a,2,28,184
13551b,養,0495b,2,10,184
12000,通,0496a,3,6,162
12000b,通,0496b,3,1,162
12000c,通,0496c,3,1,162
01831,塵,0497a,4,16,032
01831b,塵,0497b,4,3,032
01831c,塵,0497c,4,3,032
01831d,塵,0497d,4,1,032
