統合ID,文字,P2179,字体数,用例数,部首
02142,婆,0302,1,4,038
02061,妻,0303,1,3,038
02159,婬,0304,1,8,038
02029,好,0305,1,6,038
02262,子,0306,1,4,039
02267,字,0307,1,5,039
02346,害,0308,1,14,040
02327,宜,0309,1,2,040
02366,富,0310a,2,3,040
02366b,富,0310b,2,1,040
02308,守,0311,1,2,040
02325,定,0312,1,24,040
02349,家,0313,1,3,040
02390,實,0314,1,6,040
02407,寶,0315,1,4,040
02439,小,0316,1,3,042
02446,尚,0317,1,5,042
02440,少,0318,1,5,042
02456,尤,0319,1,2,043
02502,屠,0320,1,5,044
02783,已,0321,1,8,049
02847,常,0322,1,9,050
02835,師,0323,1,10,050
02800,布,0324,1,6,050
02900,年,0325,1,2,051
03084,彌,0326,1,3,057
03145,得,0327,1,111,060
03159,復,0330,1,7,060
03137,律,0331,1,2,060
03151,從,0332,1,23,060
03138,後,0333,1,11,060
03172,德,0334,1,16,060
03179,心,0335,1,57,061
03550,應,0337,1,42,061
03239,思,0338,1,10,061
03395,意,0339,1,23,061
03180,必,0340,1,7,061
03362,惚,0341,1,10,061
03462,慧,0342,1,4,061
03244,性,0343,1,11,061
03320,悔,0344,1,4,061
03214,念,0345,1,3,061
03298,息,0346,1,2,061
03329,患,0347,1,2,061
03439,慈,0348,1,3,061
03245,怨,0349,1,5,061
03405,愛,0350,1,7,061
03335,悲,0351,1,2,061
03367,惡,0352,1,30,061
03278,恚,0353,1,4,061
03194,志,0354,1,2,061
03610,成,0355,1,6,062
03612,戒,0356,1,11,062
03617,或,0357,1,12,062
03633,戰,0358,1,2,062
03611,我,0359,1,3,062
03647,所,0360,1,59,063
03835,捨,0362,1,14,064
03939,損,0363,1,3,064
04192,攝,0364,1,3,064
04099,擔,0365,1,2,064
M12091,M12091,0366,1,2,064
03896,提,0367,1,7,064
03761,拜,0368,1,2,064
03780,持,0369,1,6,064
04216,支,0370,1,3,065
04243,故,0371,1,156,066
04286,敬,0375,1,2,066
04261,教,0376,1,7,066
04298,數,0377a,2,3,066
04298b,數,0377b,2,1,066
04373,斯,0378,1,3,069
04381,斷,0379,1,12,069
04391,施,0380,1,30,070
04389,於,0381,1,15,070
04398,旃,0382,1,3,070
04446,日,0383,1,8,072
04523,時,0384,1,22,072
04485,明,0385,1,3,072
04569,智,0386,1,15,072
04512,是,0387,1,173,072
04650,曰,0391,1,104,073
04654,更,0393,1,5,073
04657,書,0394,1,4,073
04664,最,0395,1,4,073
04674,有,0396,1,101,074
04848,染,0399,1,2,075
04806,果,0400,1,9,075
05279,樂,0401,1,26,075
05323,樹,0402,1,3,075
05152,業,0403,1,130,075
04711,未,0406,1,3,075
04922,根,0407,1,9,075
05010,梵,0408,1,4,075
05558,次,0409,1,12,076
05580,欲,0410,1,19,076
05644,此,0411,1,48,077
05666,歳,0412,1,4,077
05686,死,0413,1,15,078
05834,母,0414,1,5,080
05839,毒,0415,1,3,080
05935,民,0416,1,4,083
06144,洹,0417,1,6,085
05957,永,0418,1,2,085
06145,活,0419,1,2,085
06272,淨,0420,1,5,085
06058,況,0421,1,4,085
06003,決,0422,1,7,085
06499,漢,0423,1,6,085
06031,沙,0424,1,2,085
06432,滅,0425,1,10,085
06074,法,0426,1,80,085
05983,汝,0428,1,10,085
06175,浮,0429,1,3,085
06285,深,0430,1,9,085
06872,無,0431,1,97,086
06788,灸,0433,1,3,086
06805,炙,0434,1,2,086
06921,煩,0435,1,5,086
06885,然,0436,1,17,086
07032,爲,0437,1,67,087
07035,父,0439,1,4,088
07043,爾,0440,1,12,089
07080,物,0441,1,2,093
07198,猲,0442,1,3,094
07165,狼,0443,1,2,094
07212,獄,0444,1,9,094
07203,猶,0445,1,4,094
07304,現,0446,1,13,096
07262,王,0447,1,10,096
07426,瓶,0448,1,7,098
07461,生,0449,1,124,100
07535,當,0452,1,15,102
07513,畜,0453,1,4,102
07478,田,0454,1,11,102
07479,由,0455,1,11,102
07501,界,0456,1,2,102
07530,異,0457,1,13,102
07559,疑,0458,1,2,103
07707,發,0459,1,2,105
07717,皆,0460,1,21,106
07710,百,0461,1,4,106
07779,盡,0462,1,10,108
07759,益,0463,1,2,108
07771,盜,0464,1,5,108
07844,眾,0465,1,25,109
07843,眼,0466,1,2,109
07801,相,0467,1,23,109
07941,知,0468,1,33,111
07986,破,0469,1,4,112
08148,福,0470,1,85,113
08126,祠,0472,1,5,113
08123,祝,0473,1,3,113
08124,神,0474,1,5,113
08165,禮,0475,1,3,113
08244,種,0476,1,11,115
08296,空,0477,1,2,116
08365,竟,0478,1,2,117
08361,竝,0479,1,2,117
08426,等,0480,1,93,118
08437,答,0482,1,57,118
08412,第,0484,1,6,118
08635,米,0485,1,2,119
08678,粳,0486,1,2,119
08856,經,0487,1,30,120
08924,緣,0488,1,34,120
09061,續,0489,1,3,120
08807,結,0490,1,3,120
09144,羅,0491,1,23,122
09125,罪,0492,1,80,122
09150,羊,0494,1,3,123
09177,義,0495,1,6,123
09255,者,0496,1,78,125
09250,老,0498,1,2,125
09264,而,0499,1,16,126
09286,耨,0500,1,3,127
09335,聽,0501,1,3,128
09328,聲,0502,1,7,128
09308,聖,0503,1,4,128
09292,耶,0504,1,20,128
09315,聞,0505,1,8,128
09462,脩,0506,1,7,130
09463,脱,0507,1,3,130
09429,能,0508a,2,37,130
09429b,能,0508b,2,6,130
09602,自,0509,1,27,132
09610,至,0510,1,6,133
09629,與,0511,1,12,134
09638,舍,0512,1,2,135
09714,良,0513,1,2,138
09716,色,0514,1,19,139
10192,藐,0515,1,3,140
10139,薄,0516,1,8,140
10163,薩,0517,1,3,140
09919,菩,0518,1,9,140
09788,若,0519,1,86,140
09789,苦,0521,1,15,140
09954,萬,0522,1,6,140
10270,處,0523,1,9,141
10264,虎,0524,1,2,141
10549,蟲,0525,1,2,142
10414,蜜,0526,1,2,142
10614,行,0527,1,29,144
10637,衣,0528,1,3,145
10822,要,0529,1,4,146
10831,見,0530,1,13,147
10875,解,0531,1,3,148
11200,護,0532,1,4,149
11095,謂,0533,1,14,149
11085,諸,0534,1,32,149
11017,語,0535,1,13,149
11025,説,0536,1,55,149
10890,言,0538,1,22,149
11116,謗,0539,1,3,149
10914,記,0540,1,4,149
11195,議,0541,1,2,149
11207,讀,0542,1,2,149
11072,諦,0543,1,3,149
11058,論,0544,1,3,149
11253,豈,0545,1,2,151
13398,類,0546,1,2,181
11355,貴,0547a,2,3,154
11355b,貴,0547b,2,1,154
11397,賢,0548,1,2,154
11334,財,0549,1,6,154
11461,起,0550,1,14,156
11495,足,0551,1,2,157
11715,身,0552,1,50,158
11802,輕,0553,1,7,159
11856,轉,0554,1,6,159
11898,辟,0555,1,3,160
12000,通,0556,1,5,162
12051,道,0557,1,6,162
12052,達,0558,1,3,162
12046,過,0559,1,4,162
12108,還,0560,1,2,162
12054,違,0561,1,15,162
12004,造,0562,1,11,162
11996,逕,0563,1,2,162
11986,逆,0564,1,7,162
12188,都,0565,1,6,163
12341,醫,0566,1,4,164
12373,重,0567,1,17,166
12376,量,0568,1,7,166
12440,鉢,0569,1,2,167
12406,鈍,0570,1,3,167
12386,針,0571,1,3,167
12698,長,0572,1,4,168
12709,門,0573,1,5,169
12864,陳,0574,1,3,170
12830,阿,0575,1,15,170
12831,陀,0576,1,16,170
12927,隨,0577,1,20,170
12862,陰,0578,1,9,170
12855,除,0579,1,5,170
13001,離,0580,1,18,172
12991,雖,0581,1,13,172
13002,難,0582,1,2,172
12963,集,0583,1,27,172
13104,非,0584,1,35,175
13281,音,0585,1,2,180
13296,頂,0586,1,4,181
13304,須,0587,1,5,181
13526,飮,0588,1,5,184
13503,食,0589,1,10,184
13551,養,0590,1,10,184
13565,餘,0591,1,15,184
13559,餓,0592,1,2,184
13661,首,0593,1,4,185
13708,駄,0594,1,6,187
13934,體,0595,1,4,188
14061,鬼,0596,1,2,194
14809,鼻,0597,1,4,209
S00066,々,0598,〓,16,000
01174,同,0599a,2,3,030
01174b,同,0599b,2,1,030
05796,殺,0600a,2,91,079
05796b,殺,0600b,2,23,079
11377,賊,0603a,2,5,154
11377b,賊,0603b,2,1,154
11342,貪,0604a,2,5,154
11342b,貪,0604b,2,1,154
