カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0100,油,0,,,,06052,085
0101,濁,0,,,,06617,085
0102,汚,0,,,,05979,085
0103,溢,0,,,,06408,085
0104,求,0,,,,05964,085
0105,洗,0,,,,06120,085
0106,涯,0,,,,06218,085
0107,焦,0,,,,06874,085
0108,牛,0,,,,07072,093
0109,獲,0,,,,07241,094
0110,獸,0,,,,07248,094
0111,理,0,,,,07307,096
0112,甚,0,,,,07457,099
0113,用,0,,,,07469,101
0115,癡,0,,,,07685,104
0116,監,0,,,,07781,108
0117,眠,0,,,,07828,109
0118,眞,0,,,,07827,109
0119,睡,0,,,,07860,109
0120,目,0,,,,07790,109
0121,石,0,,,,07954,112
0122,礙,0,,,,08077,112
0123,示,0,,,,08097,113
0124,穢,0,,,,08279,115
0125,稗,0,,,,08231,115
0126,08221,0,,,,08221,115
0127,禾,0,,,,08177,115
0128,稻,0,,,,08256,115
0129,窮,0,,,,08329,116
0130,竹,0,,,,08382,118
0131,籌,0,,,,08602,118
0132,精,0,,,,08685,119
0133,粟,0,,,,08664,119
0134,繋,0,,,,09030,120
0135,網,0,,,,08885,120
0136,縛,0,,,,08963,120
0137,給,0,,,,08822,120
0138,纏,0,,,,09064,120
0139,習,0,,,,09214,124
0140,脅,0,,,,09438,130
0141,致,0,,,,09611,133
0142,草,0,,,,09846,140
0143,蘇,0,,,,10231,140
0144,蘭,0,,,,10251,140
0145,藏,0,,,,10191,140
0146,虚,0,,,,10272,141
0147,蟻,0,,,,10558,142
0148,術,0,,,,10618,144
0149,襄,0,,,,10775,145
0150,被,0,,,,10683,145
0151,親,0,,,,10848,147
0152,覺,0,,,,10856,147
0153,觸,0,,,,10887,148
0154,誘,0,,,,11012,149
0155,誹,0,,,,11035,149
0156,諍,0,,,,11051,149
0157,譬,0,,,,11189,149
0158,識,0,,,,11171,149
0159,譏,0,,,,11162,149
0160,蹈,0,,,,11618,157
0161,踐,0,,,,11569,157
0162,辯,0,,,,11916,160
0164,退,0,,,,11982,162
0165,進,0,,,,12022,162
0166,迎,0,,,,11947,162
0167,遠,0,,,,12070,162
0168,邊,0,,,,12115,162
0169,逐,0,,,,11993,162
0170,那,0,,,,12134,163
0171,酒,0,,,,12266,164
0172,醜,0,,,,12327,164
0173,間,0,,,,12724,169
0174,開,0,,,,12716,169
0175,閻,0,,,,12757,169
0176,際,0,,,,12913,170
0177,障,0,,,,12914,170
0178,雜,0,,,,12997,172
0179,顛,0,,,,13395,181
0180,飛,0,,,,13495,183
0181,香,0,,,,13667,186
0182,鬱,0,,,,14039,192
0183,M47035,0,,,,,196
0184,鳥,0,,,,14361,196
0185,麥,0,,,,14661,199
0186-0189,不,1,165,,,00013,001
0190,一,1,23,,,00001,001
0191,上,1,10,,,00008,001
0192,世,1,20,,,00025,001
0193,下,1,3,,,00009,001
0194,三,1,20,,,00007,001
0195-0196,中,1,59,,,00051,002
0197,主,1,5,,,00070,003
0198,久,1,5,,,00085,004
0199,乃,1,4,,,00078,004
0200,之,1,12,,,00088,004
0201,乎,1,5,,,00092,004
0202,也,1,10,,,00109,005
0203,事,1,29,,,00128,006
0204,二,1,8,,,00129,007
0205,云,1,16,,,00133,007
0206,五,1,14,,,00135,007
0207-0208,亦,1,86,,,00154,008
