,,ink_岩崎紀24,ink_岩崎紀24,ink_岩崎紀24,
11471,越,0961,1,2,156
11542,跪,0962,1,3,157
11495,足,0963,1,5,157
11548,路,0964,1,4,157
11715,身,0965,1,10,158
11745,軍,0966,1,10,159
11802,輕,0967,1,5,159
11827,輪,0968,1,5,159
11856,轉,0969,1,2,159
11893,辛,0970,1,15,160
11948,近,0971,1,4,162
11968,述,0972,1,2,162
11982,退,0973,1,4,162
11983,送,0974,1,4,162
12003,速,0975,1,2,162
12004,造,0976,1,11,162
12010,連,0977,1,35,162
12022,進,0978,1,8,162
12037,遂,0979,1,10,162
12046,過,0980,1,2,162
12051,道,0981a,2,2,162
12051b,道,0981b,2,1,162
12052,達,0982,1,4,162
12062,遙,0983,1,2,162
12074,遣,0984,1,11,162
12108,還,0985,1,9,162
12115,邊,0986,1,3,162
12170,郡,0987,1,5,163
12176,部,0988,1,9,163
12188,都,0989,1,7,163
12259,酉,0990,1,12,164
12373,重,0991,1,2,166
12374,野,0992,1,10,166
12380,金,0993,1,4,167
12386,針,0994,1,3,167
12568,鎌,0995,1,12,167
12698,長,0996,1,14,168
12709,門,0997,1,11,169
12724,間,0998,1,4,169
12830,阿,0999,1,7,170
12831,陀,1000,1,4,170
12834,附,1001,1,2,170
12839,限,1002,1,3,170
12864,陳,1003,1,8,170
12867,陵,1004,1,3,170
12927,隨,1005,1,5,170
12935,隱,1006,1,3,170
12955,雀,1007,1,2,172
12991,雖,1008,1,2,172
12994,雙,1009,1,2,172
13002,難,1010,1,8,172
13012,雨,1011,1,21,173
13015,雪,1012,1,2,173
13020,雲,1013,1,5,173
13023,雷,1014,1,12,173
13024,雹,1015,1,4,173
13048,霖,1016,1,2,173
13095,青,1017,1,2,174
13160,鞍,1018,1,9,177
13249,韓,1019,1,3,178
13302,順,1020,1,2,181
13304,須,1021,1,7,181
13313,預,1022,1,3,181
13346,頭,1023,1,4,181
13359,頻,1024,1,2,181
13377,額,1025,1,5,181
13391,願,1026,1,2,181
13423,風,1027,1,12,182
13527,飯,1028,1,2,184
13540,飼,1029,1,2,184
13565,餘,1030,1,5,184
13667,香,1031,1,2,186
13680,馬,1032,1,7,187
13688,馳,1033,1,2,187
13820,騰,1034,1,21,187
13852,驚,1035,1,3,187
13853,驛,1036,1,3,187
13873,骨,1037,1,2,188
13940,高,1038,1,18,189
14116,魯,1039,1,3,195
14366,鳩,1040,1,3,196
14379,鳴,1041,1,10,196
14681,麻,1042,1,23,200
14684,麼,1043,1,2,200
14693,黃,1044,1,2,201
14709,黑,1045,1,3,203
00219,休,1046a,2,1,009
00219b,休,1046b,2,1,009
00421,健,1047a,2,1,009
00421b,健,1047b,2,1,009
00561,兄,1048a,2,24,010
00561b,兄,1048b,2,5,010
00589,全,1049a,2,2,011
00589b,全,1049b,2,1,011
00701,凡,1050a,2,1,016
00701b,凡,1050b,2,1,016
00898,勢,1051a,2,3,019
00898b,勢,1051b,2,3,019
00913,勸,1052a,2,3,019
00913b,勸,1052b,2,1,019
01104,參,1053a,3,1,028
01104b,參,1053b,3,1,028
01104c,參,1053c,3,1,028
01410,喚,1054a,2,1,030
01410b,喚,1054b,2,1,030
01421,喩,1055a,2,5,030
01421b,喩,1055b,2,1,030
01430,喪,1056a,2,4,030
01430b,喪,1056b,2,2,030
01594,囉,1057a,2,1,030
01594b,囉,1057b,2,1,030
01823,塞,1058a,2,1,032
01823b,塞,1058b,2,1,032
02282,孫,1059a,2,2,039
02282b,孫,1059b,2,1,039
02359,寅,1060a,2,7,040
02359b,寅,1060b,2,1,040
02366,富,1061a,2,2,040
02366b,富,1061b,2,1,040
02435,對,1062a,2,3,041
02435b,對,1062b,2,1,041
02540,岐,1063a,2,15,046
02540b,岐,1063b,2,1,046
02545,岡,1064a,2,2,046
02545b,岡,1064b,2,1,046
02903,幸,1065a,2,1,051
02903b,幸,1065b,2,1,051
03027,弊,1066a,2,1,055
03027b,弊,1066b,2,1,055
03145,得,1067a,2,4,060
03145b,得,1067b,2,2,060
03153,御,1068a,2,2,060
03153b,御,1068b,2,1,060
03172,德,1069a,2,7,060
03172b,德,1069b,2,3,060
03292,恩,1070a,2,2,061
03292b,恩,1070b,2,1,061
03633,戰,1071a,2,4,062
03633b,戰,1071b,2,1,062
04235,政,1072a,2,2,066
04235b,政,1072b,2,1,066
04298,數,1073a,2,3,066
04298b,數,1073b,2,2,066
04442,旣,1074a,2,2,071
04442b,旣,1074b,2,1,071
05161,極,1075a,2,4,075
05161b,極,1075b,2,1,075
05420,檢,1076a,2,1,075
05420b,檢,1076b,2,1,075
05643,正,1077a,2,5,077
05643b,正,1077b,2,1,077
06151,流,1078a,2,3,085
06151b,流,1078b,2,2,085
06317,渠,1079a,2,6,085
06317b,渠,1079b,2,1,085
06641,濟,1080a,2,20,085
06641b,濟,1080b,2,6,085
07250,獻,1081a,3,3,094
07250b,獻,1081b,3,2,094
07250c,獻,1081c,3,1,094
07287,珍,1082,0,1,096
07508,留,1083a,2,1,102
07508b,留,1083b,2,1,102
07703,癸,1084a,2,6,105
07703b,癸,1084b,2,3,105
07799,直,1085a,2,7,109
07799b,直,1085b,2,1,109
07907,瞻,1086a,2,1,109
07907b,瞻,1086b,2,1,109
08148,福,1087a,2,1,113
08148b,福,1087b,2,1,113
08412,第,1088a,2,1,118
08412b,第,1088b,2,1,118
08885,網,1089a,2,4,120
08885b,網,1089b,2,1,120
09144,羅,1090a,2,16,122
09144b,羅,1090b,2,3,122
09335,聽,1091a,2,2,128
09335b,聽,1091b,2,1,128
09675,船,1092a,2,7,137
09675b,船,1092b,2,3,137
09911,菟,1093a,2,2,140
09911b,菟,1093b,2,1,140
10270,處,1094a,2,1,141
10270b,處,1094b,2,1,141
10475,蝦,1095a,2,10,142
10475b,蝦,1095b,2,1,142
10826,覆,1096a,2,3,146
10826b,覆,1096b,2,1,146
10843,覡,1097a,2,3,147
10843b,覡,1097b,2,1,147
10875,解,1098a,2,2,148
10875b,解,1098b,2,2,148
10912,訖,1099a,2,1,149
10912b,訖,1099b,2,1,149
11335,貢,1100,1,2,154
12205,鄕,1101a,2,1,163
12205b,鄕,1101b,2,1,163
09672,舶,1102a,2,2,137
09672b,舶,1102b,2,1,137
11917,辰,1103a,2,6,161
11917b,辰,1103b,2,2,161
13036,震,1104a,2,3,173
13036b,震,1104b,2,1,173
13551,養,1105a,2,4,184
13551b,養,1105b,2,4,184
13647,饗,1106a,2,4,184
13647b,饗,1106b,2,1,184
14621,鹿,1107a,2,23,198
14621b,鹿,1107b,2,7,198
13720,駒,1108a,2,2,187
13720b,駒,1108b,2,1,187
14645,麗,1109a,2,7,198
14645b,麗,1109b,2,4,198
00843,劍,1110a,3,3,018
00843b,劍,1110b,3,3,018
00843c,劍,1110c,3,1,018
01961,夷,1111a,3,9,037
01961b,夷,1111b,3,1,037
01961c,夷,1111c,3,1,037
06861,焉,1112a,3,3,086
06861b,焉,1112b,3,1,086
06861c,焉,1112c,3,1,086
S00066,々,1113,1,17,000
05702,殄,1114,0,1,078
