カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典
0111,屬,044,0,,,,02515
0112,岸,046,0,,,,02564
0113,崑,046,0,,,,02614
0114,崙,046,0,,,,02623
0115,嶺,046,0,,,,02734
0116,川,047,0,,,,02762
0117,市,050,0,,,,02799
0118,布,050,0,,,,02800
0119,帛,050,0,,,,02819
0120,02984x,053,0,,,,02984x
0121,幼,052,0,,,,02909
0122,幽,052,0,,,,02912
0123,床,053,0,,,,02924
0124,序,053,0,,,,02928
0125,庸,053,0,,,,02963
0126,廟,053,0,,,,02989
0127,廷,054,0,,,,03004
0128,弑,056,0,,,,03039
0129,彈,057,0,,,,03079
0130,彌,057,0,,,,03084
0131,彦,059,0,,,,03106
0132,徒,060,0,,,,03143
0133,徑,060,0,,,,03142
0134,忠,061,0,,,,03203
0135,忽,061,0,,,,03219
0136,思,061,0,,,,03239
0137,急,061,0,,,,03243
0138,性,061,0,,,,03244
0139,恨,061,0,,,,03291
0140,恭,061,0,,,,03297
0141,患,061,0,,,,03329
0142,情,061,0,,,,03348
0143,惑,061,0,,,,03355
0144,惠,061,0,,,,03366
0145,惶,061,0,,,,03376
0146,兪,011,0,,,,00593
0147,愚,061,0,,,,03404
0148,感,061,0,,,,03409
0149,慈,061,0,,,,03439
0150,慰,061,0,,,,03469
0151,懷,061,0,,,,03585
0152,懸,061,0,,,,03586
0153,懼,061,0,,,,03589
0154,懾,061,0,,,,03592
0155,戒,062,0,,,,03612
0156,房,063,0,,,,03646
0157,把,064,0,,,,03700
0158,抱,064,0,,,,03720
0159,拒,064,0,,,,03747
0160,拾,064,0,,,,03778
0161,挺,064,0,,,,03804
0162,挾,064,0,,,,03809
0163,捉,064,0,,,,03818
0164,掃,064,0,,,,03851
0165,掉,064,0,,,,03856
0166,掌,064,0,,,,03858
0167,採,064,0,,,,03872
0168,推,064,0,,,,03880
0169,掩,064,0,,,,03881
0170,換,064,0,,,,03907
0171,揮,064,0,,,,03921
0172,撲,064,0,,,,04072
0173,04095,064,0,,,,04095
0174,擬,064,0,,,,04122
0175,擅,064,0,,,,04084
0176,擲,064,0,,,,04130
0177,敢,066,0,,,,04277
0178,散,066,0,,,,04280
0179,敷,066,0,,,,04296
0180,旅,070,0,,,,04402
0181,旋,070,0,,,,04406
0182,族,070,0,,,,04412
0183,旱,072,0,,,,04461
0184,星,072,0,,,,04499
0185,昵,072,0,,,,04518
0186,晩,072,0,,,,04539
0187,暴,072,0,,,,04608
0188,曳,073,0,,,,04653
0189,曼,073,0,,,,04660
0190,服,074,0,,,,04679
0191,朕,074,0,,,,04688
0192,期,074,0,,,,04699
0193,末,075,0,,,,04712
0194,材,075,0,,,,04738
0195,杜,075,0,,,,04747
0196,析,075,0,,,,04794
0197,林,075,0,,,,04803
0198,板,075,0,,,,04781
0199,枚,075,0,,,,04805
0200,枯,075,0,,,,04813
0201,柁,075,0,,,,04833
0202,柵,075,0,,,,04875
0203,桃,075,0,,,,04930
0204,桙,075,0,,,,m14784
0205,椒,075,0,,,,05087
0206,榮,075,0,,,,05210
0207,槍,075,0,,,,05237
0208,槻,075,0,,,,05272
0209,樂,075,0,,,,05279
0210,橘,075,0,,,,05361
0211,檀,075,0,,,,05391
0212,檮,075,0,,,,05428
0213,欠,076,0,,,,05557
0214,欣,076,0,,,,05561
0215,歎,076,0,,,,05612
0216,殆,078,0,,,,05707
0217,殊,078,0,,,,05717
0218,殘,078,0,,,,05737
0219,05845,081,0,,,,05845
0220,毛,082,0,,,,05850
0221,永,085,0,,,,05957
0222,汁,085,0,,,,05963
0223,決,085,0,,,,06003
0224,泣,085,0,,,,06087
0225,派,085,0,,,,06149
0226,浹,085,0,,,,06184
0227,消,085,0,,,,06192
0228,淨,085,0,,,,06272
0229,淹,085,0,,,,06291
0230,渟,085,0,,,,06316
0231,溝,085,0,,,,06404
0232,溢,085,0,,,,06408
0233,滅,085,0,,,,06432
0234,滑,085,0,,,,06445
0235,漸,085,0,,,,06517
0236,潦,085,0,,,,06541
0237,潛,085,0,,,,06548
0238,潤,085,0,,,,06553
0239,澤,085,0,,,,06603
0240,涜,085,0,,,,06681
0241,火,086,0,,,,06776
0242,灰,086,0,,,,06784
0243,灼,086,0,,,,06791
0244,煮,086,0,,,,06895
0245,照,086,0,,,,06918
0246,煩,086,0,,,,06921
0247,熟,086,0,,,,06949
0248,營,086,0,,,,06984
0249,爛,086,0,,,,07017
0250,牛,093,0,,,,07072
0251,特,093,0,,,,07086
0252,犯,094,0,,,,07112
0253,状,094,0,,,,07122
0254,猪,094,0,,,,07192
0255,猴,094,0,,,,07200
0256,猶,094,0,,,,07203
0257,獵,094,0,,,,07244
0258,獸,094,0,,,,07248
0259,珠,096,0,,,,07291
0260,瑞,096,0,,,,07346
0261,甘,099,0,,,,07456
0262,産,100,0,,,,07464
0263,男,102,0,,,,07483
0264,町,102,0,,,,07487
0265,畜,102,0,,,,07513
0266,疏,103,0,,,,07557
0267,痛,104,0,,,,07613
0268,癈,104,0,,,,07674
0269,癡,104,0,,,,07685
0270,登,105,0,,,,07706
0271,皮,107,0,,,,07739
0272,益,108,0,,,,07759
0273,盛,108,0,,,,07770
0274,盜,108,0,,,,07771
0275,眷,109,0,,,,07839
0276,眼,109,0,,,,07843
0277,睡,109,0,,,,07860
0278,睹,109,0,,,,07870
0279,眞,109,0,,,,07827
0280,矢,111,0,,,,07937
0281,矩,111,0,,,,07944
0282,破,112,0,,,,07986
0283,磐,112,0,,,,08047
0284,禮,113,0,,,,08165
0285,祇,113,0,,,,08107
0286,祝,113,0,,,,08123
0287,祿,113,0,,,,08141
0288,祷,113,0,,,,08167
0289,禹,114,0,,,,08172
0290,禽,114,0,,,,08176
0291,秦,115,0,,,,08204
0292,稜,115,0,,,,08235
0293,稷,115,0,,,,08252
0294,稻,115,0,,,,08256
0295,穗,115,0,,,,08273
0296,究,116,0,,,,08293
0297,穿,116,0,,,,08300
0298,竊,116,0,,,,08353
0299,竟,117,0,,,,08365
0300,豎,151,0,,,,11258
0301,符,118,0,,,,08408
0302,箱,118,0,,,,08483
0303,籠,118,0,,,,08619
0304,粟,119,0,,,,08664
0305,紀,120,0,,,,08735
0306,級,120,0,,,,08759
0307,細,120,0,,,,08779
0308,緑,120,0,,,,08870
0309,縁,120,0,,,,08924
0310,繞,120,0,,,,09020
0311,罵,122,0,,,,09132
0312,義,123,0,,,,09177
0313,羊,123,0,,,,09150
