カード番号,文字,部首,字体数,用例数１,用例数２,用例数３,大字典
0178,妙,038,1,4,,,02045
0179,學,039,1,26,,,02293
0180,子,039,1,6,,,02262
0181,定,040,1,39,,,02325
0182,實,040,1,4,,,02390
0183,宗,040,1,2,,,02322
0185,察,040,1,2,,,02383
0186,對,041,1,8,,,02435
0187,尊,041,1,4,,,02429
0188,尚,042,1,8,,,02446
0189,少,042,1,4,,,02440
0190,差,048,1,7,,,02780
0191,已,049,1,47,,,02783
0192,幾,052,1,3,,,02915
0193,廣,053,1,4,,,02993
0194,引,057,1,5,,,03044
0195,微,060,1,7,,,03165
0196,03157,060,2,5,3,,03157
0197,徳,060,1,15,,,03172
0198,得,060,1,49,,,03145
0199,後,060,1,9,,,03138
0200-0201,彼,060,1,78,,,03124
0202,復,060,1,39,,,03159
0203,想,061,1,16,,,03373
0204,念,061,1,16,,,03214
0205-0206,心,061,1,79,,,03179
0207,應,061,1,20,,,03550
0208-0209,惟,061,1,61,,,03365
0210,忍,061,1,20,,,03184
0211,息,061,1,9,,,03298
0212,意,061,1,3,,,03395
0213,怨,061,1,2,,,03245
0214,必,061,1,4,,,03180
0215,或,062,1,43,,,03617
0216,成,062,1,2,,,03610
0217-0218,所,063,1,69,,,03647
0219,捨,064,1,5,,,03835
0220,損,064,1,2,,,03939
0221,持,064,1,6,,,03780
0222,摩,064,1,2,,,04009
0223,手,064,1,4,,,03659
0224,擔,064,1,2,,,04099
0225-0227,故,066,1,101,,,04243
0228,數,066,1,3,,,04298
0229,敵,066,1,2,,,04293
0230,文,067,1,3,,,04321
0231,斯,069,1,3,,,04373
0232,方,070,1,7,,,04385
0233,於,070,1,14,,,04389
0234,既,071,1,2,,,04442
0235-0243,智,072,1,446,,,04569
0244-0246,時,072,1,115,,,04523
0247,暖,072,1,2,,,04590
0248,是,072,1,39,,,04512
0249,曾,073,1,7,,,04661
0250,更,073,1,6,,,04654
0251-0252,有,074,1,66,,,04674
0253,根,075,1,10,,,04922
0254,樂,075,1,2,,,05279
0255-0257,未,075,1,106,,,04711
0258,染,075,1,36,,,04848
0259,木,075,1,2,,,04707
0260,極,075,1,3,,,05161
0261,次,076,1,29,,,05558
0262-0263,欲,076,1,64,,,05580
0264,此,077,1,37,,,05644
