統合ID,文字,東禪毘婆,字体数,用例数,部首
00282,來,0109,1,81,009
00193,令,0111,1,4,009
00175,今,0112,1,2,009
00243,位,0113,1,14,009
00240,但,0114,1,4,009
00338,俗,0115,1,105,009
00250,何,0118,1,19,009
00183,他,0119,1,64,009
00345,信,0121,1,4,009
00301,依,0122,1,11,009
00256,作,0123,1,51,009
00194,以,0125,1,23,009
00245,住,0126,1,15,009
00321,便,0127,1,2,009
00566,先,0128,1,11,010
00582,入,0129,1,14,011
00597,六,0130,1,8,012
00594,八,0131,1,40,012
00606,具,0132,1,3,012
00605,其,0133,1,4,012
00678,准,0134,1,4,015
00781,刹,0135,1,5,018
00734,分,0136,1,23,018
00759,初,0137a,2,14,018
00759b,初,0137b,2,2,018
00794,前,0138,1,58,018
00735,切,0140,1,8,018
00763,別,0141,1,12,018
00767,利,0142,1,8,018
00729,刀,0143,1,2,018
00893,勝,0144,1,17,019
00857,功,0145,1,20,019
00887,動,0146,1,3,019
00898,勢,0147,1,4,019
00859,劣,0148,1,8,019
00856,力,0149,1,4,019
00858,加,0150,1,69,019
00863,助,0152,1,2,019
00985,十,0153,1,5,024
01049,卽,0154,1,9,026
01111,及,0155,1,12,029
01128,受,0156,1,4,029
01174,同,0157,1,23,030
01296,品,0158,1,4,030
01395,善,0159,1,24,030
01369,問,0160,1,8,030
01175,名,0161,1,2,030
01143,句,0162,1,2,030
01607,四,0163,1,82,031
01611,因,0165,1,29,031
01639,國,0166,1,3,031
01659,在,0167,1,101,032
01853,增,0170,1,7,032
01666,地,0171,1,8,032
01755,執,0172,1,2,032
01938,多,0173,1,5,036
01947,天,0174,1,2,037
01946,大,0175,1,2,037
02031,如,0176,1,46,038
02077,姓,0177,1,2,038
02045,妙,0178,1,4,038
02293,學,0179,1,26,039
02262,子,0180,1,6,039
02325,定,0181,1,39,040
02390,實,0182,1,4,040
02322,宗,0183,1,2,040
02383,察,0185,1,2,040
02435,對,0186,1,8,041
02429,尊,0187,1,4,041
02446,尚,0188,1,8,042
02440,少,0189,1,4,042
02780,差,0190,1,7,048
02783,已,0191,1,47,049
02915,幾,0192,1,3,052
02993,廣,0193,1,4,053
03044,引,0194,1,5,057
03165,微,0195,1,7,060
03157,徧,0196a,2,5,060
03157b,徧,0196b,2,3,060
03172,德,0197,1,15,060
03145,得,0198,1,49,060
03138,後,0199,1,9,060
03124,彼,0200,1,78,060
03159,復,0202,1,39,060
03373,想,0203,1,16,061
03214,念,0204,1,16,061
03179,心,0205,1,79,061
03550,應,0207,1,20,061
03365,惟,0208,1,61,061
03184,忍,0210,1,20,061
03298,息,0211,1,9,061
03395,意,0212,1,3,061
03245,怨,0213,1,2,061
03180,必,0214,1,4,061
03617,或,0215,1,43,062
03610,成,0216,1,2,062
03647,所,0217,1,69,063
03835,捨,0219,1,5,064
03939,損,0220,1,2,064
03780,持,0221,1,6,064
04009,摩,0222,1,2,064
03659,手,0223,1,4,064
04099,擔,0224,1,2,064
04243,故,0225,1,101,066
04298,數,0228,1,3,066
04293,敵,0229,1,2,066
04321,文,0230,1,3,067
04373,斯,0231,1,3,069
04385,方,0232,1,7,070
04389,於,0233,1,14,070
04442,旣,0234,1,2,071
04569,智,0235,1,446,072
04523,時,0244,1,115,072
04590,暖,0247,1,2,072
04512,是,0248,1,39,072
04661,曾,0249,1,7,073
04654,更,0250,1,6,073
04674,有,0251,1,66,074
04922,根,0253,1,10,075
05279,樂,0254,1,2,075
04711,未,0255,1,106,075
04848,染,0258,1,36,075
04707,木,0259,1,2,075
05161,極,0260,1,3,075
05558,次,0261,1,29,076
05580,欲,0262,1,64,076
05644,此,0264,1,37,077
05641,止,0265,1,2,077
05643,正,0266,1,3,077
06487,漏,0267,1,63,085
06074,法,0269,1,160,085
06432,滅,0273,1,36,085
06499,漢,0274,1,12,085
06272,淨,0275,1,5,085
06055,治,0276,1,7,085
06313,減,0277,1,2,085
06058,況,0278,1,9,085
05979,汙,0279,1,3,085
06003,決,0280,1,3,085
06885,然,0281,1,3,086
06949,熟,0282,1,2,086
06872,無,0283,1,194,086
07032,爲,0287,1,65,087
07043,爾,0289,1,13,089
01088,厭,0290,1,5,027
07180,猛,0291,1,6,094
07304,現,0292,1,117,096
07307,理,0295,1,3,096
07262,王,0296,1,2,096
07461,生,0297,1,25,100
07469,用,0298,1,15,101
07522,略,0299,1,2,102
07501,界,0300,1,113,102
07530,異,0303,1,15,102
07479,由,0304,1,4,102
07559,疑,0305,1,3,103
07707,發,0306,1,5,105
07717,皆,0307,1,4,106
07759,益,0308,1,2,108
07779,盡,0309,1,2,108
07801,相,0310,1,21,109
07941,知,0311,1,9,111
08077,礙,0312,1,9,112
08244,種,0313,1,11,115
08296,空,0314,1,7,116
08365,竟,0315,1,2,117
08437,答,0316,1,17,118
08426,等,0317,1,26,118
08412,第,0318,1,18,118
08924,緣,0319,1,105,120
08779,細,0322,1,5,120
08938,練,0323,1,7,120
08807,結,0324,1,97,120
09061,續,0326,1,5,120
09030,繋,0327,1,14,120
08747,納,0328,1,2,120
09144,羅,0329,1,13,122
09177,義,0330,1,13,123
09192,羸,0331,1,4,123
09214,習,0332,1,2,124
09255,者,0333,1,101,125
09264,而,0336,1,6,126
09308,聖,0337,1,14,128
09292,耶,0338,1,18,128
09429,能,0339,1,101,130
09463,脱,0342,1,52,130
09462,脩,0344,1,237,130
09602,自,0349,1,13,132
09610,至,0350,1,14,133
09629,與,0351,1,39,134
09716,色,0352,1,78,139
09788,若,0354,1,46,140
09846,草,0355,1,2,140
10232,蘊,0356,1,7,140
09789,苦,0357,1,36,140
10270,處,0358,1,32,141
10614,行,0359,1,76,144
10822,要,0361,1,6,146
10859,觀,0362,1,22,147
10831,見,0363,1,39,147
10875,解,0364,1,63,148
10936,訶,0366,1,2,149
10928,設,0367,1,2,149
11085,諸,0368,1,34,149
11025,説,0369,1,43,149
11095,謂,0370,1,74,149
10914,記,0372,1,8,149
11072,諦,0373,1,7,149
11155,證,0374,1,2,149
10890,言,0375,1,2,149
11051,諍,0376,1,2,149
11058,論,0377,1,6,149
11253,豈,0378,1,3,151
11334,財,0379,1,3,154
11461,起,0380,1,49,156
11495,足,0381,1,4,157
11715,身,0382,1,2,158
11916,辯,0383,1,2,160
11907,辦,0384,1,2,160
12083,遮,0386,1,2,162
11976,迹,0387,1,11,162
12042,遊,0388,1,2,162
12030,逼,0389,1,2,162
12046,過,0390,1,3,162
12115,邊,0391,1,6,162
12000,通,0392,1,4,162
11948,近,0393,1,2,162
12051,道,0394,1,145,162
12134,那,0397,1,5,163
12139,邪,0398,1,2,163
12373,重,0399,1,2,166
12376,量,0400,1,8,166
12724,間,0401,1,38,169
12855,除,0402,1,43,170
12654,鐵,0403,1,2,167
12830,阿,0404,1,12,170
12914,障,0405,1,3,170
12963,集,0406,1,30,172
13001,離,0407,1,37,172
13103,靜,0408,1,17,174
