統合ID,文字,和寧華38,字体数,用例数,部首
02800,布,0299,1,4,050
02899,平,0300,1,6,051
02907,幻,0301,1,3,052
02946,座,0302,1,3,053
02944,度,0303,1,6,053
03084,彌,0304,1,2,057
03101,形,0305,1,16,059
03145,得,0306,1,50,060
03159,復,0307,1,34,060
03172,德,0308,1,12,060
03138,後,0309,1,7,060
03124,彼,0310,1,8,060
03165,微,0311,1,17,060
03214,念,0312,1,29,061
03462,慧,0313,1,24,061
03244,性,0314,1,17,061
03179,心,0315,1,60,061
03326,悟,0317,1,2,061
03267,恆,0318,1,10,061
03297,恭,0319,1,2,061
03184,忍,0320,1,3,061
03196,忘,0321,1,3,061
03312,悉,0322,1,37,061
03405,愛,0323,1,6,061
03355,惑,0324,1,4,061
03402,愍,0325,1,2,061
03372,惱,0326,1,14,061
03550,應,0327,1,13,061
03335,悲,0328,1,8,061
03239,思,0329,1,10,061
03373,想,0330,1,5,061
03395,意,0331,1,7,061
03439,慈,0332,1,8,061
03610,成,0333,1,27,062
03611,我,0334,1,5,062
03617,或,0335,1,11,062
03647,所,0336,1,76,063
04009,摩,0338,1,9,064
03750,拔,0339,1,2,064
03661,才,0340,1,4,064
03835,捨,0341,1,12,064
03690,承,0342,1,4,064
04192,攝,0343,1,3,064
03896,提,0344,1,2,064
03780,持,0345,1,12,064
04216,支,0346,1,5,065
04298,數,0347,1,17,066
04286,敬,0348,1,3,066
04261,教,0349,1,4,066
04319,變,0350,1,3,066
04233,放,0351,1,5,066
04243,故,0352,1,26,066
04381,斷,0353,1,4,069
04391,施,0354,1,3,070
04385,方,0355,1,10,070
04505,昧,0356,1,12,072
04591,暗,0357,1,4,072
04523,時,0358,1,22,072
04557,普,0359,1,24,072
04485,明,0360,1,22,072
04569,智,0361,1,120,072
04636,曜,0364,1,2,072
04446,日,0365,1,2,072
04654,更,0366,1,6,073
04667,會,0367,1,9,073
04661,曾,0368,1,2,073
04664,最,0369,1,6,073
04674,有,0370,1,48,074
04673,月,0371,1,6,074
04713,本,0372,1,4,075
04806,果,0373,1,4,075
05010,梵,0374,1,10,075
05152,業,0375,1,28,075
05279,樂,0376,1,40,075
04922,根,0377,1,17,075
04849,柔,0378,1,2,075
04803,林,0379,1,12,075
04711,未,0380,1,5,075
05580,欲,0381,1,31,076
05612,歎,0382,1,3,076
05639,歡,0383,1,5,076
05558,次,0384,1,13,076
05609,歌,0385,1,2,076
05644,此,0386,1,64,077
05641,止,0388,1,2,077
05717,殊,0389,1,3,078
05841,比,0390,1,3,081
05850,毛,0391,1,7,082
05935,民,0392,1,2,083
05947,氣,0393,1,3,084
06074,法,0394,1,118,085
06487,漏,0397,1,4,085
05952,水,0398,1,3,085
06432,滅,0399,1,14,085
06553,潤,0400,1,2,085
06476,滿,0401,1,5,085
05983,汝,0402,1,3,085
06272,淨,0403,1,11,085
06490,演,0404,1,15,085
06285,深,0405,1,13,085
06086,波,0406,1,10,085
06290,清,0407,1,6,085
06182,海,0408,1,5,085
06031,沙,0409,1,2,085
05964,求,0410,1,4,085
06055,治,0411,1,3,085
06872,無,0412,1,216,086
06885,然,0417,1,8,086
06949,熟,0418,1,2,086
06918,照,0419,1,9,086
06776,火,0420,1,3,086
06921,煩,0421,1,14,086
06941,熏,0422,1,9,086
07032,爲,0423,1,56,087
07043,爾,0425,1,5,089
07065,牙,0426,1,2,092
07080,物,0427,1,2,093
07203,猶,0428,1,3,094
07230,獨,0429,1,6,094
07241,獲,0430,1,8,094
07262,王,0431,1,21,096
07304,現,0432,1,37,096
07457,甚,0433,1,6,099
07461,生,0434,1,102,100
07469,用,0437,1,4,101
07478,田,0438,1,3,102
07522,略,0439,1,7,102
07535,當,0440,1,5,102
07479,由,0441,1,6,102
07520,畢,0442,1,2,102
07530,異,0443,1,5,102
07503,畏,0444,1,4,102
07501,界,0445,1,57,102
07685,癡,0447,1,2,104
07707,發,0448,1,6,105
07717,皆,0449,1,37,106
07710,百,0450,1,25,106
07779,盡,0451,1,9,108
07759,益,0452,1,8,108
07839,眷,0453,1,2,109
07801,相,0454,1,150,109
07828,眠,0457,1,5,109
07827,眞,0458,1,4,109
07844,眾,0459,1,107,109
07941,知,0462,1,70,111
08077,礙,0464,1,52,112
08162,禪,0466,1,2,113
08116,祕,0467,1,2,113
08097,示,0468,1,15,113
08107,祇,0469,1,8,113
08165,禮,0470,1,2,113
08124,神,0471,1,13,113
08148,福,0472,1,2,113
08239,稠,0473,1,12,115
08244,種,0474,1,60,115
08296,空,0476,1,12,116
08329,窮,0477,1,2,116
08376,端,0478,1,5,117
08354,立,0479,1,2,117
08365,竟,0480,1,3,117
08426,等,0481,1,23,118
08685,精,0482,1,4,119
08924,緣,0483,1,3,120
09061,續,0484,1,6,120
08963,縛,0485,1,5,120
09030,繋,0486,1,2,120
08885,網,0487,1,2,120
08809,絶,0488,1,4,120
08856,經,0489,1,3,120
08993,總,0490,1,3,120
09144,羅,0491,1,30,122
09155,美,0492,1,2,123
09177,義,0493,1,22,123
09214,習,0494,1,20,124
09255,者,0495,1,21,125
09264,而,0496,1,22,126
09328,聲,0497,1,22,128
09315,聞,0498,1,22,128
09335,聽,0499,1,2,128
09314,聚,0500,1,4,128
