カード番号,文字,字体数,用例数1,用例数2,用例数3,部首,大字典
0125,逝,0,,,,162,12001
0126,迦,0,,,,162,11960
0127,迫,0,,,,162,11965
0128,運,0,,,,162,12043
0129,達,0,,,,162,12052
0130,逆,0,,,,162,11986
0131,鐵,0,,,,167,12654
0132,鉢,0,,,,167,12440
0133,鍾,0,,,,167,12563
0134,閻,0,,,,169,12757
0135,闡,0,,,,169,12795
0136,隘,0,,,,170,12903
0137,雜,0,,,,172,12997
0138,震,0,,,,173,13036
0139,露,0,,,,173,13073
0140,M42333,0,,,,173,
0141,響,0,,,,180,13293
0142,類,0,,,,181,13398
0143,顯,0,,,,181,13416
0144,頭,0,,,,181,13346
0145,飾,0,,,,184,13542
0146,香,0,,,,186,13667
0147,鬘,0,,,,190,13999
0148,鼓,0,,,,207,14775
0149,世,2,30,18,,001,00025
0150,上,1,18,,,001,00008
0151,三,1,37,,,001,00007
0152,七,1,3,,,001,00004
0153,下,1,6,,,001,00009
0154-0156,一,1,135,,,001,00001
0157-0159,不,1,110,,,001,00013
0160,中,1,42,,,002,00051
0161,主,1,6,,,003,00070
0162,乘,1,20,,,004,00102
0163,之,1,12,,,004,00088
0164,久,1,2,,,004,00085
0165,乃,1,29,,,004,00078
0166,九,1,9,,,005,00107
0167,事,1,12,,,006,00128
0168,了,1,9,,,006,00125
0169,二,1,10,,,007,00129
0170,五,1,2,,,007,00135
0171,億,1,13,,,009,00520
0172-0173,以,1,62,,,009,00194
0174,令,1,15,,,009,00193
0175,倶,1,9,,,009,00350
0176,今,1,4,,,009,00175
0177-0178,佛,1,88,,,009,00255
0179,來,1,35,,,009,00282
0180,仍,1,2,,,009,00177
0181,人,1,8,,,009,00168
0182,假,1,5,,,009,00405
0183,伏,1,2,,,009,00217
0184,依,1,3,,,009,00301
0185,便,1,4,,,009,00321
0186,他,1,9,,,009,00183
0187,僧,1,9,,,009,00503
0188,信,1,6,,,009,00345
0189,使,1,5,,,009,00279
0190,供,1,13,,,009,00299
0191,侍,1,2,,,009,00288
0192,但,1,4,,,009,00240
0193,住,1,44,,,009,00245
0194,充,1,3,,,010,00562
0195,先,1,3,,,010,00566
0196,光,1,13,,,010,00567
0197,入,1,27,,,011,00582
0198,内,1,2,,,011,00585
0199,其,1,26,,,012,00605
0200,六,1,4,,,012,00597
0201,八,1,13,,,012,00594
0202,共,1,14,,,012,00599
0203,具,1,7,,,012,00606
0204,出,1,12,,,017,00723
0205,初,1,2,,,018,00759
0206,利,1,8,,,018,00767
0207,則,1,8,,,018,00789
0208-0209,別,1,73,,,018,00763
0210,剛,1,7,,,018,00803
0211,分,1,14,,,018,00734
0212,前,1,5,,,018,00794
0213-0214,切,1,66,,,018,00735
0215,加,1,2,,,019,00858
0216,助,1,2,,,019,00863
0217,勝,1,16,,,019,00893
0218,功,1,10,,,019,00857
0219,劫,1,13,,,019,00865
0220,力,1,46,,,019,00856
0221,動,1,13,,,019,00887
0222,勢,1,2,,,019,00898
0223,勤,1,5,,,019,00900
0224,化,1,11,,,021,00938
0225,十,1,11,,,024,00985
0226,千,1,47,,,024,00987
0227,即,1,2,,,026,01049
0228,去,1,2,,,028,01101
0229,及,1,17,,,029,01111
0230,取,1,2,,,029,01127
0231,受,1,22,,,029,01128
0232,又,1,15,,,029,01108
0233,告,1,2,,,030,01219
0234,咸,1,3,,,030,01288
0235-0236,善,1,66,,,030,01395
0237,句,1,2,,,030,01143
0238,周,1,2,,,030,01235
0239,同,1,12,,,030,01174
0240,嚴,1,7,,,030,01581
0241,名,1,19,,,030,01175
0242,可,1,15,,,030,01154
