カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号,留意点
0186-0188,地,1,144,,01666,032,
0189,壽,1,4,,01913,033,
0190-0191,多,1,79,,01938,036,
0192,外,1,4,,01934,036,
0193,天,1,5,,01947,037,
0194,大,1,15,,01946,037,
0195,失,1,11,,01957,037,
0196,妙,1,3,,02045,038,
0197,好,2,2,1,02029,038,
0198,姓,1,19,,02077,038,
0199,妄,1,2,,02033,038,
0200-0201,如,1,66,,02031,038,
0202,子,1,3,,02262,039,
0203,寶,1,2,,02407,040,
0204,家,1,2,,02349,040,
0205,定,1,7,,02325,040,
0206,安,1,7,,02309,040,
0207,寂,1,40,,02357,040,
0208,實,1,2,,02390,040,
0209,尊,1,3,,02429,041,
0210,就,1,2,,02464,043,
0211,尼,1,11,,02473,044,
0212-0213,尸,1,70,,02469,044,
0214,已,1,9,,02783,049,
0215,常,1,40,,02847,050,
0216,布,1,2,,02800,050,
0217,平,1,2,,02899,051,
0218,座,1,2,,02946,053,
0219,廣,1,4,,02993,053,
0220,復,1,17,,03159,060,
0221,往,1,2,,03128,060,
0222-0224,得,1,127,,03145,060,
0225-0226,驕,1,70,,13845,187,
0227-0232,應,1,280,,03550,061,
0233,意,1,13,,03395,061,
0234,愁,1,2,,03387,061,
0235,憂,1,2,,03486,061,
0236,愛,1,2,,03405,061,
0237,性,1,34,,03244,061,
0238,慮,1,4,,03466,061,
0239,悲,1,2,,03335,061,
0240,慈,1,2,,03439,061,
0241,忍,1,2,,03184,061,
0242,必,1,3,,03180,061,
0243,惱,1,4,,03372,061,
0244,念,1,6,,03214,061,
0245,心,1,21,,03179,061,
0246,情,1,8,,03348,061,
0247,忘,1,11,,03196,061,
0248,慧,1,5,,03462,061,
0249,恆,1,11,,03267,061,
0250,思,1,3,,03239,061,
0251,想,1,2,,03373,061,
0252-0254,我,1,111,,03611,062,
0255,戒,1,2,,03612,062,
0256,或,1,2,,03617,062,
0257,成,1,17,,03610,062,
0258-0259,所,1,96,,03647,063,
0260,捨,1,13,,03835,064,
0261,持,1,4,,03780,064,
0262,提,1,10,,01783,064,
0263-0264,摩,1,82,,04009,064,
0265,支,1,4,,04216,065,
0266-0269,故,1,164,,04243,066,
0270,敬,1,2,,04286,066,
0271,數,1,6,,04298,066,
0272,散,1,2,,04280,066,
0273,斷,1,3,,04381,069,
0274-0275,方,1,73,,04385,070,
0276,於,1,8,,04389,070,
0277,施,1,2,,04391,070,
0278-0279,時,1,70,,04523,072,
0280,是,1,34,,04512,072,
0281,智,1,38,,04569,072,
0282,明,1,4,,04485,072,
0283,最,1,2,,04664,073,
0284-0286,有,1,124,,04674,074,
0287,果,1,46,,04806,075,
0288,樂,1,23,,05279,075,
0289,極,1,22,,05161,075,
0290,根,1,2,,04922,075,
0291,槃,1,6,,05228,075,
0292,樹,1,3,,05323,075,
0293,本,1,2,,04713,075,
0294,次,1,19,,05558,076,
0295,欲,1,2,,05580,076,
0296,歎,1,3,,05612,076,
0297,正,1,10,,05643,077,
0298,此,1,22,,05644,077,
0299,05724,1,2,,05724,078,
0300,殊,1,3,,05717,078,
0301,死,1,2,,05686,078,
0302-0304,法,1,121,,06074,085,
0305-0306,波,1,75,,06086,085,
0307,漢,1,33,,06499,085,
0308,沙,1,2,,06031,085,
0309,涅,1,6,,06189,085,
0310,清,1,2,,06290,085,
0311,滿,1,17,,06476,085,
0312,流,1,33,,06151,085,
0313,水,1,2,,05952,085,
0314,滅,1,2,,06432,085,
0315-0319,無,1,216,,06872,086,
0320,焔,1,2,,06882,086,
0321,火,1,2,,06776,086,
0322,煩,1,2,,06921,086,
0323-0324,爲,1,94,,07032,086,
0325,特,1,2,,07086,093,
0326,獨,1,47,,07230,094,
0327,現,1,19,,07304,096,
0328,生,1,36,,07461,100,
0329-0330,當,1,70,,07535,102,
0331,田,1,4,,07478,102,
0332,畏,1,2,,07503,102,
0333,畢,1,3,,07520,102,
0334,異,1,23,,07530,102,
0335-0336,界,1,55,,07501,102,
0337,發,2,3,1,07707,105,
0338,皆,1,2,,07717,106,
0339,百,1,2,,07710,106,
0340,盡,1,4,,07779,108,
0341,眞,1,3,,07827,109,
0342,眼,1,19,,07843,109,
0343-0344,相,1,81,,07801,109,
0345,福,1,5,,08148,113,
0346,神,1,7,,08124,113,
0347,種,1,21,,08244,115,
0348-0349,空,1,89,,08296,116,
0350,礙,1,2,,08077,112,
0351,究,1,3,,08293,116,
0352,竟,1,6,,08365,117,
0353,等,1,28,,08426,118,
0354,第,1,7,,08412,118,
0355,精,1,2,,08685,119,
0356,縁,1,12,,08924,120,
0357-0359,羅,1,124,,09144,122,
0360,義,1,2,,09177,123,
0361,者,1,9,,09255,125,
0362,老,1,2,,09250,125,
0363,而,1,4,,09264,126,
0364,耨,1,3,,09286,127,
0365,耳,1,12,,09290,128,
0366,聖,1,7,,09308,128,
0367,聞,1,15,,09315,128,
0368,脩,1,2,,09462,130,
0369,脱,1,7,,09463,130,
0370,自,1,8,,09602,132,
0371,至,1,28,,09610,133,
0372,舌,1,11,,09636,135,
0373,舍,1,3,,09638,135,
0374,色,1,12,,09716,139,
0375-0383,若,1,434,,09788,140,
0384-0386,菩,1,108,,09919,140,
0387-0390,薩,1,169,,10163,140,
0391,苦,1,26,,09789,140,
0392,藐,1,3,,10192,140,
0393,薄,1,2,,10139,140,
0394,莊,1,5,,09869,140,
0395,虚,1,4,,10272,141,
0396,處,1,16,,10270,141,
0397-0398,蜜,1,75,,10414,142,
0399-0400,行,1,77,,10614,144,
0401,補,1,2,,10714,145,
0402,見,1,3,,10831,147,
0403-0404,覺,1,53,,10856,147,
0405,解,1,8,,10875,148,
0406,觸,1,30,,10887,148,
0407,諸,1,24,,11085,149,
0408,議,1,2,,11195,149,
0409,變,1,4,,04319,149,
0410,言,1,2,,10890,149,
0411,諦,1,5,,11072,149,
0412,足,1,4,,11495,157,
0413,身,1,14,,11715,158,
0414,轉,1,3,,11856,159,
0415,辨,1,13,,11908,160,
0416,辯,1,3,,11916,160,
0417-0418,迦,1,70,,11960,162,
0419,還,1,17,,12108,162,
0420,遠,1,42,,12070,162,
0421,道,1,16,,12051,162,
0422,退,1,2,,11982,162,
0423,邊,1,6,,12115,162,
0424,遊,1,2,,12042,162,
0425,通,1,5,,12000,162,
