カード番号,文字,字体数,用例数,用例数2,用例数3,用例数4,大字典番号,部首番号
0289,赦,0,,,,,11447,155
0290,11450,0,,,,,11450,155
0291,赭,0,,,,,11453,155
0292,超,0,,,,,11467,156
0293,踰,0,,,,,11593,157
0294,踞,0,,,,,11580,157
0295,踏,0,,,,,11568,157
0296,跳,0,,,,,11553,157
0297,蹈,0,,,,,11618,157
0298,躬,0,,,,,11716,158
0299,轉,0,,,,,11856,159
0300,輒,0,,,,,11799,159
0301,辛,0,,,,,11893,160
0302,辜,0,,,,,11896,160
0303,過,0,,,,,12046,162
0304,逃,0,,,,,11984,162
0305,透,0,,,,,11992,162
0306,逮,0,,,,,12019,162
0307,迹,0,,,,,11976,162
0308,遷,0,,,,,12093,162
0309,退,0,,,,,11982,162
0310,遭,0,,,,,12082,162
0311,遨,0,,,,,12077,162
0312,追,0,,,,,11979,162
0313,違,0,,,,,12054,162
0314,逆,0,,,,,11986,162
0315,選,0,,,,,12095,162
0316,遇,0,,,,,12040,162
0317,遙,0,,,,,12062,162
0318,廻,0,,,,,03008,054
0319,酒,0,,,,,12266,164
0320,釀,0,,,,,12360,164
0321,酌,0,,,,,12262,164
0322,醤,0,,,,,12342,164
0323,醜,0,,,,,12327,164
0324,里,0,,,,,12372,166
0325,金,0,,,,,12380,167
0326,鍾,0,,,,,12563,167
0327,鋒,0,,,,,12485,167
0328,鏑,0,,,,,12601,167
0329,鍜,0,,,,,12544,167
0330,闕,0,,,,,12783,169
0331,閑,0,,,,,12722,169
0332,闥,0,,,,,12800,169
0333,閉,0,,,,,12714,169
0334,隅,0,,,,,12883,170
0335,隆,0,,,,,12886,170
0336,陛,0,,,,,12847,170
0337,陰,0,,,,,12862,170
0338,雀,0,,,,,12955,172
0339,隼,0,,,,,12951,172
0340,難,0,,,,,13002,172
0341,雌,0,,,,,12971,172
0342,面,0,,,,,13108,176
0343,鞆,0,,,,,13151,177
0344,靭,0,,,,,13124,177
0345,音,0,,,,,13281,180
0346,頸,0,,,,,13355,181
0347,領,0,,,,,13327,181
0348,預,0,,,,,13313,181
0349,頃,0,,,,,13297,181
0350,類,0,,,,,13398,181
0351,飮,0,,,,,13526,184
0352,食,0,,,,,13503,184
0353,餌,0,,,,,13552,184
0354,餘,0,,,,,13565,184
0355,飢,0,,,,,13508,184
