カード番号,文字,字体数,用例数,用例数2,用例数3,用例数4,大字典番号,部首番号
0856,盡,1,3,,,,07779,108
0857,相,1,14,,,,07801,109
0858,眞,1,7,,,,07827,109
0859,目,1,12,,,,07790,109
0860,矛,1,4,,,,07929,110
0861,知,1,16,,,,07941,111
0862,短,1,2,,,,07948,111
0863,矢,1,24,,,,07937,111
0864,磨,1,7,,,,08057,112
0865,磐,1,20,,,,08047,112
0866,石,1,6,,,,07954,112
0867,碕,1,5,,,,08023,112
0868-0872,神,1,203,,,,08124,113
0873,祭,2,1,1,,,08135,113
0874,禦,1,3,,,,08159,113
0875,禰,1,4,,,,08166,113
0876,祖,1,12,,,,08117,113
0877,稜,1,4,,,,08235,115
0878,移,1,2,,,,08212,115
0879,私,1,3,,,,08180,115
0880,秀,1,2,,,,08179,115
0881,種,1,2,,,,08244,115
0882,稚,1,27,,,,08233,115
0883,稱,1,8,,,,08248,115
0884,秋,1,2,,,,08187,115
0885,穗,1,23,,,,08273,115
0886,空,1,4,,,,08296,116
0887,窮,1,3,,,,08329,116
0888,竊,1,2,,,,08353,116
0889,立,1,13,,,,08354,117
0890,端,1,2,,,,08376,117
0891,竹,1,8,,,,08382,118
0892,籬,2,2,1,,,08631,118
0893,籠,1,6,,,,08619,118
0894,笑,1,2,,,,08396,118
0895,筒,1,3,,,,08435,118
0896,箇,1,10,,,,08461,118
0897,笠,1,4,,,,08404,118
0898,箕,1,2,,,,08468,118
0899,筑,1,3,,,,08434,118
0900,答,2,1,1,,,08437,118
0901,織,1,2,,,,09012,120
0902,經,1,11,,,,08856,120
0903,繩,1,2,,,,09028,120
0904,綿,1,2,,,,08899,120
0905,結,1,2,,,,08807,120
0906,紫,1,3,,,,08773,120
0907,終,1,3,,,,08795,120
0908,素,1,5,,,,08765,120
0909,縁,1,12,,,,08924,120
0910,罪,1,2,,,,09125,122
0911,置,1,7,,,,09128,122
0913,羽,1,9,,,,09195,124
0914,翁,1,11,,,,09201,124
0915,老,1,12,,,,09250,125
0916-0918,而,1,120,,,,09264,126
0919,耐,1,4,,,,09267,126
0920,耶,1,21,,,,09292,128
0921,耳,1,9,,,,09290,128
0922,聞,1,11,,,,09315,128
0923,胸,1,8,,,,09425,130
0924,膂,1,3,,,,09522,130
0925,腰,1,2,,,,09508,130
0926,臍,2,1,1,,,09577,130
0927,背,1,6,,,,09394,130
0928,能,1,17,,,,09429,130
0929,臣,1,2,,,,09596,131
0930,自,1,35,,,,09602,132
0931,致,1,8,,,,09611,133
0932,臺,1,2,,,,09617,133
0933,至,1,25,,,,09610,133
0934,擧,1,7,,,,09632,134
0935,與,1,23,,,,09629,134
0936,船,1,4,,,,09675,137
0937,良,1,2,,,,09714,138
0938,色,1,4,,,,09716,139
0939,葦,1,26,,,,09982,140
0940,薦,1,2,,,,10160,140
0941,落,1,5,,,,09961,140
0942,華,1,4,,,,09921,140
0943,葬,1,3,,,,09985,140
0944,萬,1,9,,,,09954,140
0945,草,1,11,,,,09846,140
0946,苦,1,6,,,,09789,140
0947,若,1,17,,,,09788,140
0948,花,1,4,,,,09758,140
0949,著,1,3,,,,09972,140
0950,芹,1,9,,,,09764,140
0951,茂,2,4,1,,,09807,140
0952,虚,1,3,,,,10272,141
0953,蠅,1,3,,,,10563,142
0954,行,1,19,,,,10614,144
0955,衢,1,3,,,,10636,144
0956,襲,1,3,,,,10806,145
0957,襃,1,3,,,,10774,145
0958,裹,1,4,,,,10729,145
0959,裂,1,2,,,,10698,145
0960,衣,1,2,,,,10637,145
0961,衾,2,4,1,,,10658,145
0962,西,1,2,,,,10820,146
0963,覘,1,2,,,,10840,147
0964-0965,見,1,69,,,,10831,147
0966,親,1,3,,,,10848,147
0967,視,1,7,,,,10837,147
0968,覓,1,6,,,,10834,147
0969,觸,2,1,1,,,10887,148
0970,試,1,5,,,,10975,149
0971,請,1,14,,,,11049,149
0972,謂,1,20,,,,11095,149
0973,誰,1,9,,,,11028,149
0974,詛,1,2,,,,10965,149
0975,諾,1,2,,,,11090,149
0976,誥,1,4,,,,11022,149
0977,訪,1,4,,,,10925,149
0978,訖,1,6,,,,10912,149
0979,誅,1,2,,,,10999,149
0980,誓,1,4,,,,11008,149
0981,語,1,5,,,,11017,149
0982,諸,1,12,,,,11085,149
0983,誨,1,2,,,,11024,149
0984,誠,1,3,,,,11018,149
0985,護,1,2,,,,11200,149
0986,許,1,2,,,,10930,149
0987,言,1,29,,,,10890,149
0988,計,1,4,,,,10896,149
0989,譽,1,5,,,,11205,149
0990,谷,1,2,,,,11234,150
0991,豈,1,5,,,,11253,151
0992,豆,1,7,,,,11250,151
0993,豫,1,3,,,,11283,152
0994,貌,1,4,,,,11311,153
0995,貴,1,11,,,,11355,154
0996,賊,1,2,,,,11377,154
0997,賜,1,9,,,,11393,154
0998,責,1,5,,,,11344,154
0999,貧,1,7,,,,11338,154
1000,贈,1,3,,,,11429,154
1001,赤,1,9,,,,11445,155
1002,起,1,14,,,,11461,156
1003,走,1,3,,,,11454,156
1004,足,1,6,,,,11495,157
1005,躡,1,4,,,,11708,157
1006,疏,1,2,,,,07557,103
1007,路,1,3,,,,11548,157
1008,踉,1,2,,,,11564,157
1009,11614,1,2,,,,11614,157
1010,身,1,8,,,,11715,158
1011,軻,1,2,,,,11782,159
1012,載,1,3,,,,11795,159
1013,輔,1,5,,,,11801,159
1014,辭,1,6,,,,11914,160
1015,辱,1,6,,,,11918,161
1016,造,1,9,,,,12004,162
1017,遠,1,7,,,,12070,162
1018,迅,1,2,,,,11937,162
1019,達,1,4,,,,12052,162
1020,遊,1,11,,,,12042,162
1021,送,1,6,,,,11983,162
1022,連,1,7,,,,12010,162
1023,進,1,11,,,,12022,162
1024,邏,1,3,,,,12120,162
1025,迎,1,4,,,,11947,162
1026,避,1,12,,,,12103,162
1027,途,1,2,,,,11995,162
1028,通,1,2,,,,12000,162
1029,逢,1,2,,,,12009,162
1030,逼,1,3,,,,12030,162
1031,遵,1,4,,,,12091,162
1032,邊,1,10,,,,12115,162
1033,返,1,2,,,,11951,162
1034,遣,1,22,,,,12074,162
1035,遂,1,18,,,,12037,162
1036,速,1,9,,,,12003,162
1037,還,1,32,,,,12108,162
1038,道,1,6,,,,12051,162
1039,部,1,6,,,,12176,163
1040,邪,1,2,,,,12139,163
1041,都,1,3,,,,12188,163
1042,12223,1,4,,,,12223,163
1043,配,1,5,,,,12263,164
1044,酸,1,3,,,,12302,164
1045,酢,1,7,,,,12282,164
1046,野,1,9,,,,12374,166
1047,重,1,10,,,,12373,166
1048,鋺,1,5,,,,12497,167
1049,釣,1,2,,,,12388,167
1050,鏡,1,6,,,,12613,167
1051,鈴,1,2,,,,12418,167
1052,鈿,1,9,,,,12421,167
1053-1054,鉤,1,52,,,,12441,167
1055,針,1,2,,,,12386,167
1056,鋪,1,2,,,,12494,167
1057,長,1,19,,,,12698,168
1058,闌,1,4,,,,12773,169
1059,開,1,5,,,,12716,169
1060,門,1,8,,,,12709,169
1061,間,1,9,,,,12724,169
1062,隈,1,2,,,,12887,170
1063,陵,1,3,,,,12867,170
1064,阿,1,10,,,,12830,170
1065,除,1,2,,,,12855,170
1066,防,1,2,,,,12822,170
1067,陀,1,3,,,,12831,170
1068,陳,1,2,,,,12864,170
1069,陪,1,2,,,,12859,170
1070,陸,1,2,,,,12870,170
1071,隔,1,2,,,,12898,170
1072,集,1,4,,,,12963,172
1073,離,1,5,,,,13001,172
1074,雄,1,2,,,,12961,172
1075,雉,1,14,,,,12965,172
1076,雨,1,2,,,,13012,173
1077,雲,1,8,,,,13020,173
1078,露,1,4,,,,13073,173
1079,非,1,11,,,,13104,175
1080,響,1,2,,,,13293,180
1081,願,1,2,,,,13391,181
1082,顏,1,2,,,,13380,181
1083,頭,1,3,,,,13346,181
1084,順,1,6,,,,13302,181
1085,頗,1,2,,,,13325,181
1086,顧,1,2,,,,13409,181
1087,風,1,13,,,,13423,182
1088,須,1,8,,,,13304,181
1089,飄,1,2,,,,13479,182
1090,飛,1,2,,,,13495,183
1091,饌,1,2,,,,13636,184
1092,饒,1,3,,,,13641,184
1093,飯,1,8,,,,13527,184
1094,養,1,8,,,,13551,184
1095,首,1,3,,,,13661,185
1096,香,1,3,,,,13667,186
1097,驅,2,2,1,,,13839,187
1098,驚,1,3,,,,13852,187
1099,馬,1,2,,,,13680,187
1100,驢,1,2,,,,13864,187
1101,駿,1,4,,,,13771,187
1102,骨,1,2,,,,13873,188
1103-1104,高,1,54,,,,13940,189
1105,鬼,1,2,,,,14061,194
1106,魚,1,13,,,,14101,195
1107,鯛,1,3,,,,14213,195
1108,14356,2,10,3,,,14356,195
1109,鰭,1,3,,,,14279,195
1110,14537,2,6,1,,,14537,196
1111,鳥,1,6,,,,14361,196
1112,鳴,1,3,,,,14379,196
1113,雁,1,2,,,,12957,172
1114,鹽,2,3,2,,,14620,197
1115,麗,2,2,1,,,14645,198
1116,鹿,1,16,,,,14621,198
1117,鼻,2,1,1,,,14809,209
1118,齋,2,6,2,,,14829,210
1119,仰,2,3,1,,,00199,009
1120,初,2,3,2,,,00759,018
1121,哀,2,2,1,,,01295,030
1122,喪,2,8,2,,,01430,030
1123,哭,2,3,1,,,01323,030
1124,坐,2,3,3,,,01682,032
1125,土,2,3,1,,,01654,032
1126,塗,2,1,1,,,01818,032
1127,垂,2,1,1,,,01710,032
1128,壯,2,2,1,,,01905,033
1129,奈,2,4,1,,,01973,037
1130,子,2,51,3,,,02262,039
1132,宜,2,11,5,,,02327,040
1133,宮,2,16,1,,,02342,040
1134-1136,尊,2,78,36,,,02429,041
1137,將,2,25,1,,,02425,041
1138,底,2,1,1,,,02932,053
1139,弟,2,38,4,,,03052,057
1140,彌,2,2,2,,,03084,057
1141,往,2,9,5,,,03128,060
1142,御,2,10,1,,,03153,060
1143,忿,2,3,2,,,03220,061
1144,怪,2,1,1,,,03248,061
1145,拔,2,2,1,,,03750,064
1146,撥,2,2,1,,,04062,064
1147,招,2,1,1,,,03758,064
1148,曾,2,1,1,,,04661,073
1149,棄,2,4,1,,,05014,075
1150,樹,2,14,3,,,05323,075
1151,歎,2,1,1,,,05612,076
1152,歸,2,8,5,,,05676,077
1153,津,2,42,3,,,06128,085
1154,濤,2,2,1,,,06645,085
1155,汚,2,2,1,,,05979,085
1156,熊,1,4,,,,06939,086
1157,照,2,11,4,,,06918,086
1158,焔,2,1,1,,,06882,086
1159,狹,2,18,1,,,07162,094
1160,猿,2,5,1,,,07207,094
1161,状,2,5,1,,,07122,094
1162,猶,2,6,4,,,07203,094
1163,獲,2,1,1,,,07241,094
1164,瓊,2,43,9,,,07394,096
1166,盛,2,4,1,,,07770,108
1167,衆,2,2,1,,,07844,109
1168,矣,1,31,,,,07938,111
1169,祇,2,6,2,,,08107,113
1170,等,2,8,7,,,08426,118
1171,策,2,1,1,,,08438,118
1172,絶,2,3,1,,,08809,120
1173,美,2,12,93,,,09155,123
1174-1176,者,2,92,10,,,09255,125
1177,耜,2,8,1,,,09278,127
1178,聲,2,3,1,,,09328,128
1179,膩,2,2,1,,,09548,130
1180,胤,2,6,1,,,09413,130
1181,臨,2,4,4,,,09601,131
1182,蒼,1,2,,,,10031,140
1183,蓋,2,2,2,,,10040,140
1184,葉,1,3,,,,09966,140
1185,被,2,1,1,,,10683,145
1186,覆,1,5,,,,10826,146
1187,設,2,4,1,,,10928,149
1188,誤,2,3,1,,,11020,149
1189,負,2,1,1,,,11332,154
1190,貳,2,1,1,,,11354,154
1191,迺,2,3,2,,,11977,162
1192,郷,2,5,2,,,12205,163
1193,隨,2,4,3,,,12927,170
1194,隱,2,3,1,,,12935,170
1195,降,2,26,8,,,12838,170
1196,雖,2,4,3,,,12991,172
1197,靈,2,19,9,,,13092,173
1198,顯,2,5,2,,,13416,181
1199,頓,2,3,2,,,13316,181
1200,馭,2,2,1,,,13681,187
1201,14603,2,6,1,,,14603,196
1202,劍,3,3,1,1,,00843,018
1203,屬,3,2,2,1,,02515,044
1204,既,2,7,7,,,04442,071
1205,稻,3,3,3,2,,08256,115
1206,豐,2,17,13,,,11261,151
1207,號,3,26,3,2,,10276,141
1208,葺,3,4,4,1,,09994,140
1209,處,4,10,4,3,2,10270,141
1210,14659,0,,,,,14659,198
