カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0056,空,0 ,,,,,08296,116,1 
0057,竊,0 ,,,,,08353,116,1 
0058,答,0 ,,,,,08437,118,1 
0059,節,0 ,,,,,08493,118,1 
0060,細,0 ,,,,,08779,120,1 
0061,耳,0 ,,,,,09290,128,1 
0062,聚,0 ,,,,,09314,128,1 
0063,聾,0 ,,,,,09336,128,1 
0064,肉,0 ,,,,,09348,130,1 
0065,脇,0 ,,,,,09436,130,1 
0066,脚,0 ,,,,,09447,130,1 
0067,脣,0 ,,,,,09459,130,1 
0068,膳,0 ,,,,,09554,130,1 
0069,菜,0 ,,,,,09910,140,1 
0070,菴,0 ,,,,,09925,140,1 
0071,蒲,0 ,,,,,10026,140,1 
0072,09905,0 ,,,,,09905,140,1 
0073,蔗,0 ,,,,,10075,140,1 
0074,蕀,0 ,,,,,10090,140,1 
0075,薄,0 ,,,,,10139,140,1 
0076,藍,0 ,,,,,10189,140,1 
0077,藏,0 ,,,,,10191,140,1 
0078,蘂,0 ,,,,,10223,140,1 
0079,裸,0 ,,,,,10728,145,1 
0080,覺,0 ,,,,,10856,147,1 
0081,解,0 ,,,,,10875,148,1 
0082,識,0 ,,,,,11171,149,1 
0083,譬,0 ,,,,,11189,149,1 
0084,貴,0 ,,,,,11355,154,1 
0085,路,0 ,,,,,11548,157,1 
0086,長,0 ,,,,,12698,168,1 
0087,開,0 ,,,,,12716,169,1 
0088,閻,0 ,,,,,12757,169,1 
0089,雀,0 ,,,,,12955,172,1 
0090,雙,0 ,,,,,12994,172,1 
0091,離,0 ,,,,,13001,172,1 
0092,靜,0 ,,,,,13103,174,1 
0093,風,0 ,,,,,13423,182,1 
0094,餅,0 ,,,,,13573,184,1 
0095,饌,0 ,,,,,13636,184,1 
0096,驕,0 ,,,,,13845,187,1 
0097,黒,0 ,,,,,14709,203,1 
0098,鼻,0 ,,,,,14809,209,1 
0099,齊,0 ,,,,,14828,210,1 
0100,齧,0 ,,,,,14853,211,1 
0101,一,1 ,24 ,,,,00001,001,1 
0102,上,1 ,33 ,,,,00008,001,1 
0103,下,1 ,3 ,,,,00009,001,1 
0104-0107,不,1 ,170 ,,,,00013,001,4 
0108-0109,世,1 ,77 ,,,,00025,001,2 
0110-0116,丘,1 ,306 ,,,,00026,001,7 
0117,中,1 ,48 ,,,,00051,002,1 
0118,乃,1 ,32 ,,,,00078,004,1 
0119,久,1 ,24 ,,,,00085,004,1 
0120,之,1 ,7 ,,,,00088,004,1 
0121,也,1 ,5 ,,,,00109,005,1 
0122,云,1 ,46 ,,,,00133,007,1 
0123,人,1 ,34 ,,,,00168,009,1 
0124,今,1 ,32 ,,,,00175,009,1 
0125,他,1 ,6 ,,,,00183,009,1 
0126,令,1 ,4 ,,,,00193,009,1 
0127-0128,以,1 ,99 ,,,,00194,009,2 
0129,似,1 ,20 ,,,,00235,009,1 
0130,住,1 ,24 ,,,,00245,009,1 
0131-0132,何,1 ,68 ,,,,00250,009,2 
0133,佛,1 ,25 ,,,,00255,009,1 
0134-0135,作,1 ,69 ,,,,00256,009,2 
0136,來,1 ,5 ,,,,00282,009,1 
0137,供,1 ,12 ,,,,00299,009,1 
0138,便,1 ,26 ,,,,00321,009,1 
0139,僧,1 ,37 ,,,,00503,009,1 
0140,儀,1 ,46 ,,,,00516,009,1 
0141,先,1 ,3 ,,,,00566,010,1 
0142,入,1 ,49 ,,,,00582,011,1 
0143,内,1 ,8 ,,,,00585,011,1 
0144-0145,六,1 ,86 ,,,,00597,012,2 
0146,共,1 ,2 ,,,,00599,012,1 
0147,其,1 ,28 ,,,,00605,012,1 
0148,具,1 ,38 ,,,,00606,012,1 
0149,冷,1 ,2 ,,,,00672,015,1 
0150,分,1 ,2 ,,,,00734,018,1 
0151,初,1 ,48 ,,,,00759,018,1 
0152,到,1 ,19 ,,,,00769,018,1 
0153,制,1 ,24 ,,,,00776,018,1 
0154,刺,1 ,3 ,,,,00782,018,1 
0155,前,1 ,2 ,,,,00794,018,1 
0156,創,1 ,2 ,,,,00824,018,1 
0157,十,1 ,24 ,,,,00985,024,1 
0158,半,1 ,5 ,,,,00994,024,1 
0159,却,1 ,3 ,,,,01038,026,1 
0160,即,1 ,21 ,,,,01049,026,1 
0161,厭,1 ,16 ,,,,01088,027,1 
0162,去,1 ,28 ,,,,01101,028,1 
0163-0164,叉,1 ,57 ,,,,01109,029,2 
0165,及,1 ,2 ,,,,01111,029,1 
0166,取,1 ,26 ,,,,01127,029,1 
0167,口,1 ,16 ,,,,01141,030,1 
0168,句,1 ,24 ,,,,01143,030,1 
0169,右,1 ,18 ,,,,01158,030,1 
0170-0172,吉,1 ,113 ,,,,01172,030,3 
0173,含,1 ,6 ,,,,01197,030,1 
0174,告,1 ,24 ,,,,01219,030,1 
0175,呵,1 ,49 ,,,,01245,030,1 
0176,命,1 ,9 ,,,,01252,030,1 
0177,咲,1 ,9 ,,,,01312,030,1 
0178,問,1 ,4 ,,,,01369,030,1 
0179,01503,1 ,3 ,,,,01503,030,1 
0180,囑,1 ,2 ,,,,01600,030,1 
0181,因,1 ,47 ,,,,01611,031,1 
0182,國,1 ,26 ,,,,01639,031,1 
0183,園,1 ,24 ,,,,01644,031,1 
0184-0185,在,1 ,61 ,,,,01659,032,2 
0186,地,1 ,2 ,,,,01666,032,1 
0187-0188,坐,1 ,77 ,,,,01682,032,2 
0189,坑,1 ,3 ,,,,01683,032,1 
0190,報,1 ,3 ,,,,01796,032,1 
0191,塹,1 ,2 ,,,,01833,032,1 
0192,墮,1 ,3 ,,,,01863,032,1 
0193-0194,士,1 ,76 ,,,,01903,033,2 
0195,外,1 ,17 ,,,,01934,036,1 
0196,多,1 ,37 ,,,,01938,036,1 
0197,夜,1 ,16 ,,,,01939,036,1 
0198,大,1 ,19 ,,,,01946,037,1 
0199,好,1 ,16 ,,,,02029,038,1 
0200-0202,如,1 ,132 ,,,,02031,038,3 
0203,威,1 ,46 ,,,,02105,038,1 
0204,婆,1 ,4 ,,,,02142,038,1 
0205,嫌,1 ,43 ,,,,02203,038,1 
0206,子,1 ,24 ,,,,02262,039,1 
0207,孤,1 ,24 ,,,,02277,039,1 
0208,學,1 ,23 ,,,,02293,039,1 
0209,家,1 ,16 ,,,,02349,040,1 
0210,容,1 ,5 ,,,,02352,040,1 
0211-0212,尊,1 ,76 ,,,,02429,041,2 
0213,小,1 ,3 ,,,,02439,042,1 
0214,少,1 ,29 ,,,,02440,042,1 
0215,就,1 ,16 ,,,,02464,043,1 
0216,尻,1 ,2 ,,,,02472,044,1 
0217-0218,尼,1 ,77 ,,,,02473,044,2 
0219-0220,居,1 ,76 ,,,,02482,044,2 
0221,左,1 ,18 ,,,,02774,048,1 
0222,己,1 ,10 ,,,,02782,049,1 
0223-0224,已,1 ,87 ,,,,02783,049,2 
0225,師,1 ,3 ,,,,02835,050,1 
0226,平,1 ,7 ,,,,02899,051,1 
0227,度,1 ,3 ,,,,02944,053,1 
0228,式,1 ,48 ,,,,03037,056,1 
0229,張,1 ,8 ,,,,03065,057,1 
0230,彌,1 ,48 ,,,,03084,057,1 
0231,形,1 ,2 ,,,,03101,059,1 
0232,彼,1 ,14 ,,,,03124,060,1 
0233-0234,往,1 ,51 ,,,,03128,060,2 
0235,待,1 ,3 ,,,,03132,060,1 
0236,得,1 ,33 ,,,,03145,060,1 
0237,心,1 ,26 ,,,,03179,061,1 
0238,患,1 ,2 ,,,,03329,061,1 
0239,惱,1 ,24 ,,,,03372,061,1 
0240,想,1 ,4 ,,,,03373,061,1 
0241,意,1 ,7 ,,,,03395,061,1 
0242,愛,1 ,2 ,,,,03405,061,1 
0243,愧,1 ,45 ,,,,03414,061,1 
0244,慙,1 ,45 ,,,,03453,061,1 
0245,應,1 ,46 ,,,,03550,061,1 
0246,懺,1 ,25 ,,,,03587,061,1 
0247,我,1 ,22 ,,,,03611,062,1 
0248-0250,戒,1 ,124 ,,,,03612,062,3 
0251-0252,或,1 ,69 ,,,,03617,062,2 
0253-0254,所,1 ,97 ,,,,03647,063,2 
0255,手,1 ,30 ,,,,03659,064,1 
0256,打,1 ,3 ,,,,03666,064,1 
0257,把,1 ,2 ,,,,03700,064,1 
0258,持,1 ,16 ,,,,03780,064,1 
0259,捐,1 ,5 ,,,,03825,064,1 
0260,授,1 ,2 ,,,,03855,064,1 
0261,掉,1 ,7 ,,,,03856,064,1 
0262,揣,1 ,12 ,,,,03912,064,1 
0263,搖,1 ,9 ,,,,03947,064,1 
0264,摩,1 ,19 ,,,,04009,064,1 
0265,擔,1 ,2 ,,,,04099,064,1 
0266,擲,1 ,4 ,,,,04130,064,1 
0267-0268,故,1 ,97 ,,,,04243,066,2 
0269,敢,1 ,4 ,,,,04277,066,1 
0270,數,1 ,23 ,,,,04298,066,1 
0271,斟,1 ,15 ,,,,04353,068,1 
0272,方,1 ,23 ,,,,04385,070,1 
0273,於,1 ,2 ,,,,04389,070,1 
0274,施,1 ,2 ,,,,04391,070,1 
0275,日,1 ,13 ,,,,04446,072,1 
0276,明,1 ,6 ,,,,04485,072,1 
0277-0279,是,1 ,106 ,,,,04512,072,3 
0280-0284,時,1 ,213 ,,,,04523,072,5 
0285,晨,1 ,10 ,,,,04554,072,1 
0286,更,1 ,4 ,,,,04654,073,1 
0287-0289,有,1 ,113 ,,,,04674,074,3 
0290,望,1 ,3 ,,,,04693,074,1 
0291,朝,1 ,10 ,,,,04696,074,1 
0292,未,1 ,38 ,,,,04711,075,1 
0293,村,1 ,3 ,,,,04739,075,1 
0294,案,1 ,3 ,,,,04933,075,1 
0295,梵,1 ,9 ,,,,05010,075,1 
0296,棄,1 ,7 ,,,,05014,075,1 
0297,棘,1 ,2 ,,,,05031,075,1 
0298,樂,1 ,23 ,,,,05279,075,1 
0299,樹,1 ,25 ,,,,05323,075,1 
0300,次,1 ,8 ,,,,05558,076,1 
0301-0302,欲,1 ,66 ,,,,05580,076,2 
0303-0304,正,1 ,60 ,,,,05643,077,2 
0305-0306,此,1 ,90 ,,,,05644,077,2 
0307-0313,比,1 ,320 ,,,,05841,081,7 
0314,水,1 ,4 ,,,,05952,085,1 
0315,求,1 ,2 ,,,,05964,085,1 
0316,汚,1 ,3 ,,,,05979,085,1 
0317-0318,汝,1 ,67 ,,,,05983,085,2 
0319-0320,沙,1 ,70 ,,,,06031,085,2 
0321-0322,法,1 ,58 ,,,,06074,085,2 
0323,泥,1 ,3 ,,,,06088,085,1 
0324,淨,1 ,26 ,,,,06272,085,1 
0325,渠,1 ,2 ,,,,06317,085,1 
0326,渡,1 ,3 ,,,,06318,085,1 
0327,溢,1 ,5 ,,,,06408,085,1 
0328,漏,1 ,22 ,,,,06487,085,1 
0329,烏,1 ,6 ,,,,06835,086,1 
0330-0331,無,1 ,89 ,,,,06872,086,2 
0332,熱,1 ,2 ,,,,06957,086,1 
0333-0334,爲,1 ,91 ,,,,07032,087,2 
0335-0336,爾,1 ,72 ,,,,07043,089,2 
0337,牛,1 ,5 ,,,,07072,093,1 
0338-0341,犯,1 ,192 ,,,,07112,094,4 
0342,狂,1 ,24 ,,,,07125,094,1 
0343,狗,1 ,6 ,,,,07139,094,1 
0344,猪,1 ,6 ,,,,07192,094,1 
0345,獨,1 ,24 ,,,,07230,094,1 
0346,獸,1 ,3 ,,,,07248,094,1 
0347,王,1 ,2 ,,,,07262,096,1 
0348,甘,1 ,2 ,,,,07456,099,1 
0349,生,1 ,2 ,,,,07461,100,1 
0350,用,1 ,7 ,,,,07469,101,1 
0351,疑,1 ,2 ,,,,07559,103,1 
0352,疾,1 ,10 ,,,,07591,104,1 
0353,病,1 ,30 ,,,,07598,104,1 
0354,痛,1 ,25 ,,,,07613,104,1 
0355,癡,1 ,46 ,,,,07685,104,1 
0356-0357,白,1 ,99 ,,,,07709,106,2 
0358,皆,1 ,12 ,,,,07717,106,1 
0359,盜,1 ,2 ,,,,07771,108,1 
0360,盡,1 ,12 ,,,,07779,108,1 
0361,看,2 ,8 ,1 ,,,07817,109,1 
0362,眼,1 ,2 ,,,,07843,109,1 
0363,衆,1 ,11 ,,,,07844,109,1 
0364,瞻,1 ,2 ,,,,07907,109,1 
0365-0366,知,1 ,83 ,,,,07941,111,2 
0367,祇,1 ,24 ,,,,08107,113,1 
0368,禮,1 ,24 ,,,,08165,113,1 
0369-0370,種,1 ,63 ,,,,08244,115,2 
0371,稱,1 ,16 ,,,,08248,115,1 
0372-0374,突,2 ,112 ,1 ,,,08303,116,3 
0375,第,1 ,6 ,,,,08412,118,1 
0376,等,1 ,46 ,,,,08426,118,1 
0377,索,1 ,15 ,,,,08767,120,1 
0378,結,1 ,26 ,,,,08807,120,1 
0379,給,1 ,24 ,,,,08822,120,1 
0380,縁,1 ,47 ,,,,08924,120,1 
0381,縛,1 ,2 ,,,,08963,120,1 
0382,纏,1 ,24 ,,,,09064,120,1 
0383-0385,羅,1 ,147 ,,,,09144,122,3 
0386,美,1 ,3 ,,,,09155,123,1 
0387-0388,羣,1 ,86 ,,,,09175,123,2 
0389,義,1 ,43 ,,,,09177,123,1 
0390-0392,者,1 ,138 ,,,,09255,125,3 
0393,而,1 ,28 ,,,,09264,126,1 
0394,聞,1 ,25 ,,,,09315,128,1 
0395,聲,1 ,13 ,,,,09328,128,1 
0396,聽,1 ,2 ,,,,09335,128,1 
0397,肘,1 ,2 ,,,,09357,130,1 
0398,腰,1 ,9 ,,,,09508,130,1 
0399,臣,1 ,2 ,,,,09596,131,1 
0400-0401,自,1 ,71 ,,,,09602,132,2 
0402-0403,至,1 ,51 ,,,,09610,133,2 
0404,與,1 ,36 ,,,,09629,134,1 
0405,擧,1 ,2 ,,,,09632,134,1 
0406-0407,舍,1 ,83 ,,,,09638,135,2 
0408-0409,若,1 ,83 ,,,,09788,140,2 
0410,菓,1 ,2 ,,,,09904,140,1 
0411,葉,1 ,2 ,,,,09966,140,1 
0412,著,1 ,19 ,,,,09972,140,1 
0413,處,1 ,37 ,,,,10270,141,1 
0414-0416,行,1 ,122 ,,,,10614,144,3 
0417,衞,1 ,24 ,,,,10630,144,1 
0418-0419,衣,1 ,81 ,,,,10637,145,2 
0420,被,1 ,3 ,,,,10683,145,1 
0421,覆,1 ,15 ,,,,10826,146,1 
0422,見,1 ,21 ,,,,10831,147,1 
0423,視,1 ,18 ,,,,10837,147,1 
0424,觸,1 ,2 ,,,,10887,148,1 
0425-0427,言,1 ,104 ,,,,10890,149,3 
0428,詣,1 ,8 ,,,,10974,149,1 
0429,語,1 ,8 ,,,,11017,149,1 
0430-0431,説,1 ,52 ,,,,11025,149,2 
0432,誰,1 ,2 ,,,,11028,149,1 
0433,請,1 ,20 ,,,,11049,149,1 
0434-0436,諸,1 ,105 ,,,,11085,149,3 
0437,謂,1 ,25 ,,,,11095,149,1 
0438,譏,1 ,18 ,,,,11162,149,1 
0439,象,1 ,3 ,,,,11275,152,1 
0440-0441,責,1 ,70 ,,,,11344,154,2 
0442,賊,1 ,3 ,,,,11377,154,1 
0443,走,1 ,2 ,,,,11454,156,1 
0444,11473,1 ,3 ,,,,11473,156,1 
0445,足,1 ,48 ,,,,11495,157,1 
0446,跳,1 ,11 ,,,,11553,157,1 
0447,蹲,1 ,7 ,,,,11662,157,1 
0448,身,1 ,23 ,,,,11715,158,1 
0449,躯,1 ,2 ,,,,11734,158,1 
0450,迦,1 ,29 ,,,,11960,162,1 
0451,逃,1 ,2 ,,,,11984,162,1 
0452,逢,1 ,2 ,,,,12009,162,1 
0453,過,1 ,11 ,,,,12046,162,1 
0454,道,1 ,2 ,,,,12051,162,1 
0455,遙,1 ,3 ,,,,12062,162,1 
0456,遺,1 ,2 ,,,,12097,162,1 
0457,避,1 ,3 ,,,,12103,162,1 
0458,還,1 ,7 ,,,,12108,162,1 
0459,邊,1 ,2 ,,,,12115,162,1 
0460,那,1 ,19 ,,,,12134,163,1 
0461,酌,1 ,15 ,,,,12262,164,1 
0462,釋,1 ,22 ,,,,12371,165,1 
0463,鉢,1 ,44 ,,,,12440,167,1 
0464,門,1 ,25 ,,,,12709,169,1 
0465,闇,1 ,2 ,,,,12768,169,1 
0466,隨,1 ,22 ,,,,12927,170,1 
0467,集,1 ,48 ,,,,12963,172,1 
0468,難,1 ,18 ,,,,13002,172,1 
0469,露,1 ,3 ,,,,13073,173,1 
0470-0472,非,1 ,112 ,,,,13104,175,3 
0473,面,1 ,45 ,,,,13108,176,1 
0474,順,1 ,22 ,,,,13302,181,1 
0475,須,1 ,7 ,,,,13304,181,1 
0476,頭,1 ,46 ,,,,13346,181,1 
0477,顧,1 ,11 ,,,,13409,181,1 
0478-0480,食,1 ,130 ,,,,13503,184,3 
0481,飢,1 ,5 ,,,,13508,184,1 
0482,飮,1 ,15 ,,,,13526,184,1 
0483-0484,飯,1 ,79 ,,,,13527,184,2 
0485,養,1 ,3 ,,,,13551,184,1 
0486,餓,1 ,5 ,,,,13559,184,1 
0487,駝,1 ,5 ,,,,13732,187,1 
0488,駱,1 ,5 ,,,,13755,187,1 
0489,驢,1 ,5 ,,,,13864,187,1 
0490,體,1 ,2 ,,,,13934,188,1 
0491,高,1 ,12 ,,,,13940,189,1 
0492,鳥,2 ,6 ,1 ,,,14361,196,1 
0493,默,1 ,3 ,,,,14720,203,1 
0494,齒,1 ,2 ,,,,14833,211,1 
0495,亂,2 ,23 ,1 ,,,00121,005,1 
0496,亦,2 ,6 ,5 ,,,00154,008,1 
0497-0498,受,2 ,40 ,22 ,,,01128,029,2 
0499,喚,2 ,5 ,1 ,,,01410,030,1 
0500,廻,2 ,2 ,1 ,,,03008,054,1 
0501,惡,2 ,2 ,2 ,,,03367,061,1 
0502,戲,2 ,4 ,3 ,,,03636,062,1 
0503,戻,2 ,2 ,2 ,,,03645,063,1 
0504,最,2 ,31 ,2 ,,,04664,073,1 
0505,桃,2 ,7 ,2 ,,,04930,075,1 
0506,當,2 ,31 ,1 ,,,07535,102,1 
0507,繋,2 ,3 ,1 ,,,09030,120,1 
0508,置,2 ,1 ,1 ,,,09128,122,1 
0509-0510,羹,2 ,63 ,3 ,,,09191,123,2 
0511,耶,2 ,12 ,1 ,,,09292,128,1 
0512,臂,2 ,6 ,2 ,,,09568,130,1 
0513,落,2 ,2 ,2 ,,,09961,140,1 
0514,貪,2 ,2 ,1 ,,,11342,154,1 
0515,遮,2 ,1 ,1 ,,,12083,162,1 
0516,陀,2 ,18 ,5 ,,,12831,170,1 
0517,設,3 ,12 ,3 ,1 ,,10928,149,1 
0518,辨,4 ,13 ,1 ,1 ,1 ,11908,160,1 
