統合ID,文字,正毘178,字体数,用例数,部首
09765,芻,0548,1,7,140
09788,若,0549,1,27,140
09804,苾,0550,1,7,140
09966,葉,0551,1,2,140
09972,著,0552,1,2,140
10137,薀,0553,1,2,140
10139,薄,0554,1,2,140
10163,薩,0555,1,40,140
10189,藍,0556,1,2,140
10191,藏,0557,1,2,140
10270,處,0558,1,18,141
10414,蜜,0559,1,30,142
10614,行,0560,1,26,144
10626,衛,0561,1,5,144
10637,衣,0562,1,6,145
10643,表,0563,1,3,145
10683,被,0564,1,2,145
10714,補,0565,1,4,145
10822,要,0566,1,4,146
10831,見,0567,1,10,147
10856,覺,0568,1,13,147
10859,觀,0569,1,35,147
10875,解,0570,1,11,148
10890,言,0571,1,18,149
10930,許,0572,1,2,149
10936,訶,0573,1,5,149
11017,語,0574,1,3,149
11025,説,0575,1,115,149
11058,論,0578,1,10,149
11085,諸,0579,1,23,149
11090,諾,0580,1,3,149
11095,謂,0581,1,26,149
11155,證,0582,1,2,149
11229,讚,0583,1,6,149
11261,豐,0584,1,2,151
11373,資,0585,1,2,154
11495,足,0586,1,6,157
11593,踰,0587,1,2,157
11715,身,0588,1,22,158
11827,輪,0589,1,9,159
11856,轉,0590,1,20,159
11908,辨,0591,1,10,160
11948,近,0592,1,10,162
11960,迦,0593,1,13,162
12000,通,0594,1,6,162
12009,逢,0595,1,5,162
12022,進,0596,1,5,162
12027,逸,0597,1,2,162
12046,過,0598,1,8,162
12051,道,0599,1,18,162
12052,達,0600,1,2,162
12070,遠,0601,1,2,162
12134,那,0602,1,2,163
12139,邪,0603,1,13,163
12176,部,0604,1,9,163
12188,都,0605,1,2,163
12373,重,0606,1,3,166
12376,量,0607,1,17,166
12380,金,0608,1,12,167
12406,鈍,0609,1,2,167
12674,鑠,0610,1,5,167
12698,長,0611,1,2,168
12709,門,0612,1,3,169
12716,開,0613,1,2,169
12724,間,0614,1,18,169
12830,阿,0615,1,30,170
12831,陀,0616,1,3,170
12855,除,0617,1,3,170
12913,際,0618,1,41,170
12927,隨,0619,1,13,170
12935,隱,0620,1,2,170
12991,雖,0621,1,13,172
13001,離,0622,1,6,172
13002,難,0623,1,3,172
13103,靜,0624,1,20,174
13104,非,0625,1,25,175
13302,順,0626,1,3,181
13359,頻,0627,1,2,181
13391,願,0628,1,57,181
13416,顯,0630,1,5,181
13503,食,0631,1,2,184
13551,養,0632,1,2,184
13661,首,0633,1,3,185
13970,髻,0634,1,2,190
14088,魔,0635,1,2,194
00759,初,0636a,2,7,018
00759b,初,0636b,2,1,018
00803,剛,0637a,2,1,018
00803b,剛,0637b,2,1,018
01088,厭,0638a,2,4,027
01088b,厭,0638b,2,1,027
