カード番号,文字,字体数,用例数1,用例数2,用例数3,用例数4,大字典,部首,枚数
0104,月,0 ,,,,,04673,074,1 
0105,服,0 ,,,,,04679,074,1 
0106,望,0 ,,,,,04693,074,1 
0107,村,0 ,,,,,04739,075,1 
0108,染,0 ,,,,,04848,075,1 
0109,橫,0 ,,,,,05381,075,1 
0110,欣,0 ,,,,,05561,076,1 
0111,歎,0 ,,,,,05612,076,1 
0112,歡,0 ,,,,,05639,076,1 
0113,止,0 ,,,,,05641,077,1 
0114,歸,0 ,,,,,05676,077,1 
0115,殃,0 ,,,,,05699,078,1 
0116,05724,0 ,,,,,05724,078,1 
0117,殺,0 ,,,,,05796,079,1 
0118,母,0 ,,,,,05834,080,1 
0119,毒,0 ,,,,,05839,080,1 
0120,況,0 ,,,,,06058,085,1 
0121,流,0 ,,,,,06151,085,1 
0122,海,0 ,,,,,06182,085,1 
0123,06273,0 ,,,,,06273,085,1 
0124,深,0 ,,,,,06285,085,1 
0125,渇,0 ,,,,,06338,085,1 
0126,滅,0 ,,,,,06432,085,1 
0127,濁,0 ,,,,,06617,085,1 
0128,熏,0 ,,,,,06941,086,1 
0129,熱,0 ,,,,,06957,086,1 
0130,熾,0 ,,,,,06965,086,1 
0131,營,0 ,,,,,06984,086,1 
0132,父,0 ,,,,,07035,088,1 
0133,牛,0 ,,,,,07072,093,1 
0134,牟,0 ,,,,,07074,093,1 
0135,特,0 ,,,,,07086,093,1 
0136,狹,0 ,,,,,07162,094,1 
0137,獄,0 ,,,,,07212,094,1 
0138,獨,0 ,,,,,07230,094,1 
0139,珠,0 ,,,,,07291,096,1 
0140,甚,0 ,,,,,07457,099,1 
0141,田,0 ,,,,,07478,102,1 
0142,疫,0 ,,,,,07578,104,1 
0143,病,0 ,,,,,07598,104,1 
0144,癡,0 ,,,,,07685,104,1 
0145,盛,0 ,,,,,07770,108,1 
0146,目,0 ,,,,,07790,109,1 
0147,眷,0 ,,,,,07839,109,1 
0148,睦,0 ,,,,,07865,109,1 
0149,瞋,0 ,,,,,07878,109,1 
0150,瞬,0 ,,,,,07898,109,1 
0151,磨,0 ,,,,,08057,112,1 
0152,礫,0 ,,,,,08086,112,1 
0153,示,0 ,,,,,08097,113,1 
0154,禮,0 ,,,,,08165,113,1 
0155,竊,0 ,,,,,08353,116,1 
0156,純,0 ,,,,,08753,120,1 
0157,細,0 ,,,,,08779,120,1 
0158,給,0 ,,,,,08822,120,1 
0159,絮,0 ,,,,,08830,120,1 
0160,繕,0 ,,,,,09013,120,1 
0161,罪,0 ,,,,,09125,122,1 
0162,羯,0 ,,,,,09182,123,1 
0163,老,0 ,,,,,09250,125,1 
0164,耳,0 ,,,,,09290,128,1 
0165,耽,0 ,,,,,09296,128,1 
0166,聰,0 ,,,,,09326,128,1 
0167,胝,0 ,,,,,09407,130,1 
0168,脅,0 ,,,,,09438,130,1 
0169,腦,0 ,,,,,09501,130,1 
0170,臺,0 ,,,,,09617,133,1 
0171,興,0 ,,,,,09630,134,1 
0172,舊,0 ,,,,,09633,134,1 
