統合ID,文字,カード番号,字体数,用例数,部首,枚数,
06182,海,0122,0 ,1 ,085,1 ,
06273,06273,0123,0 ,1 ,085,1 ,
06285,深,0124,0 ,1 ,085,1 ,
06338,渇,0125,0 ,1 ,085,1 ,
06432,滅,0126,0 ,1 ,085,1 ,
06617,濁,0127,0 ,1 ,085,1 ,
06941,熏,0128,0 ,1 ,086,1 ,
06957,熱,0129,0 ,1 ,086,1 ,
06965,熾,0130,0 ,1 ,086,1 ,
06984,營,0131,0 ,1 ,086,1 ,
07035,父,0132,0 ,1 ,088,1 ,
07072,牛,0133,0 ,1 ,093,1 ,
07074,牟,0134,0 ,1 ,093,1 ,
07086,特,0135,0 ,1 ,093,1 ,
07162,狹,0136,0 ,1 ,094,1 ,
07212,獄,0137,0 ,1 ,094,1 ,
07230,獨,0138,0 ,1 ,094,1 ,
07291,珠,0139,0 ,1 ,096,1 ,
07457,甚,0140,0 ,1 ,099,1 ,
07478,田,0141,0 ,1 ,102,1 ,
07578,疫,0142,0 ,1 ,104,1 ,
07598,病,0143,0 ,1 ,104,1 ,
07685,癡,0144,0 ,1 ,104,1 ,
07770,盛,0145,0 ,1 ,108,1 ,
07790,目,0146,0 ,1 ,109,1 ,
07839,眷,0147,0 ,1 ,109,1 ,
07865,睦,0148,0 ,1 ,109,1 ,
07878,瞋,0149,0 ,1 ,109,1 ,
07898,瞬,0150,0 ,1 ,109,1 ,
08057,磨,0151,0 ,1 ,112,1 ,
08086,礫,0152,0 ,1 ,112,1 ,
08097,示,0153,0 ,1 ,113,1 ,
08165,禮,0154,0 ,1 ,113,1 ,
08353,竊,0155,0 ,1 ,116,1 ,
08753,純,0156,0 ,1 ,120,1 ,
08779,細,0157,0 ,1 ,120,1 ,
08822,給,0158,0 ,1 ,120,1 ,
08830,絮,0159,0 ,1 ,120,1 ,
09013,繕,0160,0 ,1 ,120,1 ,
09125,罪,0161,0 ,1 ,122,1 ,
09182,羯,0162,0 ,1 ,123,1 ,
09250,老,0163,0 ,1 ,125,1 ,
09290,耳,0164,0 ,1 ,128,1 ,
09296,耽,0165,0 ,1 ,128,1 ,
09326,聰,0166,0 ,1 ,128,1 ,
09407,胝,0167,0 ,1 ,130,1 ,
09438,脅,0168,0 ,1 ,130,1 ,
09501,腦,0169,0 ,1 ,130,1 ,
09617,臺,0170,0 ,1 ,133,1 ,
09630,興,0171,0 ,1 ,134,1 ,
09633,舊,0172,0 ,1 ,134,1 ,
09747,芥,0173,0 ,1 ,140,1 ,
09869,莊,0174,0 ,1 ,140,1 ,
10070,蔑,0175,0 ,1 ,140,1 ,
10276,號,0176,0 ,1 ,141,1 ,
10649,衰,0177,0 ,1 ,145,1 ,
10834,覓,0178,0 ,1 ,147,1 ,
10837,視,0179,0 ,1 ,147,1 ,
10914,記,0180,0 ,1 ,149,1 ,
11008,誓,0181,0 ,1 ,149,1 ,
11038,調,0182,0 ,1 ,149,1 ,
11049,請,0183,0 ,1 ,149,1 ,
11275,象,0184,0 ,1 ,152,1 ,
