統合ID,文字,五一續高,字体数,用例数,部首
04679,服,0952,1,4,074
04674,有,0953,1,56,074
04673,月,0955,1,12,074
04699,期,0956,1,2,074
05361,橘,0957,1,2,075
05310,模,0958,1,3,075
04725,朽,0959,1,3,075
04967,梁,0960,1,4,075
05165,楷,0961,1,2,075
05210,榮,0962,1,4,075
05368,機,0963,1,2,075
04739,村,0964,1,3,075
04922,根,0965,1,2,075
05161,極,0966,1,5,075
04806,果,0967,1,3,075
04803,林,0968,1,4,075
05123,楊,0969,1,3,075
05381,橫,0970,1,2,075
04713,本,0971,1,15,075
04780,松,0972,1,3,075
04765,東,0973,1,6,075
04933,案,0974,1,3,075
05152,業,0975,1,19,075
04813,枯,0976,1,2,075
05529,權,0977,1,2,075
04711,未,0978,1,15,075
04712,末,0979,1,4,075
05279,樂,0980,1,6,075
05580,欲,0981,1,3,076
05561,欣,0982,1,4,076
05639,歡,0983,1,2,076
05676,歸,0984,1,4,077
05643,正,0985,1,14,077
05644,此,0986,1,13,077
05670,歷,0987,1,2,077
05649,武,0988,1,5,077
05686,死,0989,1,7,078
05834,母,0990,1,2,080
05836,每,0991,1,8,080
05841,比,0992,1,3,081
05850,毛,0993,1,2,082
05935,民,0994,1,3,083
05932,氏,0995,1,13,083
05947,氣,0996,1,4,084
05952,水,0997,1,8,085
06641,濟,0998,1,5,085
06074,法,0999,1,47,085
06273,淩,1000,1,2,085
06031,沙,1001,1,10,085
06290,清,1002,1,13,085
06365,湛,1003,1,3,085
05964,求,1004,1,2,085
06063,泉,1005,1,7,085
06086,波,1006,1,2,085
06193,涉,1007,1,2,085
06045,河,1008,1,2,085
06230,涼,1009,1,3,085
06120,洗,1010,1,2,085
06179,浴,1011,1,2,085
06134,洪,1012,1,2,085
05971,汎,1013,1,2,085
06189,涅,1014,1,7,085
06285,深,1015,1,6,085
06462,滯,1016,1,5,085
06091,注,1017,1,4,085
06551,澗,1018,1,2,085
06055,治,1019,1,3,085
06088,泥,1020,1,4,085
06151,流,1021,1,6,085
06326,温,1022,1,4,085
06173,浪,1023,1,2,085
05957,永,1024,1,2,085
05986,池,1025,1,2,085
06872,無,1026,1,37,086
06801,炎,1027,1,2,086
06984,營,1028,1,3,086
07012,爐,1029,1,2,086
06941,熏,1030,1,2,086
06861,焉,1031,1,12,086
06978,燒,1032,1,3,086
07035,父,1033,1,4,088
02924,床,1034,1,2,053
07080,物,1035,1,3,093
07086,特,1036,1,4,093
07203,猶,1037,1,5,094
07122,狀,1038,1,3,094
07248,獸,1039,1,2,094
07256,玄,1040,1,3,095
07259,率,1041,1,3,095
07304,現,1042,1,4,096
07307,理,1043,1,6,096
07262,王,1044,1,3,096
07287,珍,1045,1,3,096
07394,瓊,1046,1,8,096
07461,生,1047,1,15,100
07469,用,1048,1,14,101
07535,當,1049,1,6,102
07479,由,1050,1,6,102
07525,畫,1051,1,2,102
07522,略,1052,1,8,102
07530,異,1053,1,10,102
07508,留,1054,1,3,102
07478,田,1055,1,3,102
07513,畜,1056,1,2,102
07559,疑,1057,1,3,103
07591,疾,1058,1,5,104
07706,登,1059,1,5,105
07707,發,1060,1,7,105
07709,白,1061,1,3,106
07712,皁,1062,1,2,106
07710,百,1063,1,6,106
07717,皆,1064,1,7,106
07759,益,1065,1,2,108
07779,盡,1066,1,6,108
07758,盈,1067,1,4,108
07770,盛,1068,1,3,108
07801,相,1069,1,24,109
07844,眾,1070,1,13,109
07807,省,1071,1,4,109
07817,看,1072,1,3,109
07790,目,1073,1,5,109
07799,直,1074,1,3,109
07827,眞,1075,1,3,109
07796,盲,1076,1,2,109
07941,知,1077,1,10,111
07954,石,1078,1,8,112
08124,神,1079,1,8,113
08108,祈,1080,1,2,113
08162,禪,1081,1,13,113
08117,祖,1082,1,3,113
08097,示,1083,1,2,113
08141,祿,1084,1,2,113
08187,秋,1085,1,6,115
08269,積,1086,1,6,115
08248,稱,1087,1,6,115
08212,移,1088,1,3,115
08279,穢,1089,1,3,115
08179,秀,1090,1,3,115
08323,窟,1091a,2,1,116
08323b,窟,1091b,2,1,116
08296,空,1092,1,3,116
08329,窮,1093,1,2,116
08354,立,1094,1,5,117
08371,童,1095,1,3,117
08376,端,1096,1,4,117
08375,竭,1097,1,3,117
08366,章,1098,1,2,117
05404,檐,1099,1,2,075
08429,筌,1100,1,2,118
08437,答,1101,1,2,118
08497,範,1102,1,2,118
08412,第,1103,1,2,118
08423,筆,1104,1,3,118
08408,符,1105,1,2,118
08426,等,1106,1,6,118
08493,節,1107,1,2,118
08522,篤,1108,1,2,118
08382,竹,1109,1,2,118
M25860,笁,1110,1,2,118
08654,粒,1111,1,2,119
04346,料,1112,1,2,068
12371,釋,1113,1,14,165
08685,精,1114,1,4,119
08795,終,1115,1,21,120
08856,經,1116,1,36,120
08924,緣,1117,1,6,120
08767,索,1118,1,2,120
08735,紀,1119,1,3,120
08972,縣,1120,1,7,120
08778,累,1121,1,4,120
08997,繁,1122,1,3,120
08773,紫,1123,1,2,120
08814,絜,1124,1,3,120
08913,緒,1125,1,2,120
08982,縱,1126,1,2,120
08739,紅,1127,1,2,120
08833,統,1128,1,3,120
08809,絶,1129,1,6,120
08822,給,1130,1,4,120
08747,納,1131,1,3,120
08765,素,1132,1,9,120
08807,結,1133,1,3,120
08738,約,1134,1,3,120
09155,美,1135,1,3,123
09177,義,1136,1,10,123
09128,置,1137,1,4,122
09214,習,1138,1,4,124
09240,翹,1139,1,3,124
09255,者,1140,1,29,125
09250,老,1141,1,4,125
09264,而,1142,1,41,126
09290,耳,1143,1,5,128
09315,聞,1144,1,20,128
09308,聖,1145,1,8,128
09335,聽,1146,1,5,128
09328,聲,1147,1,5,128
09314,聚,1148,1,2,128
09344,肅,1149,1,2,129
09429,能,1150,1,9,130
09486,腐,1151,1,2,130
09462,脩,1152,1,5,130
09459,脣,1153,1,2,130
09348,肉,1154,1,2,130
09425,胸,1155,1,2,130
09572,臆,1156,1,2,130
09599,臥,1157,1,2,131
09602,自,1158,1,32,132
09605,臭,1159,1,3,132
09610,至,1160,1,25,133
09630,興,1161,1,4,134
09636,舌,1162,1,10,135
09638,舍,1163,1,4,135
09716,色,1164,1,5,139
09919,菩,1165,1,2,140
09985,葬,1166,1,4,140
10191,藏,1167,1,12,140
09758,花,1168,1,7,140
09921,華,1169,1,23,140
10189,藍,1170,1,6,140
09886,莫,1171,1,6,140
09954,萬,1172a,2,4,140
09954b,萬,1172b,2,2,140
09972,著,1173,1,2,140
10204,藥,1174,1,2,140
10163,薩,1175,1,3,140
09789,苦,1176,1,3,140
10128,蕭,1177,1,3,140
M31358,萹,1178,1,3,140
10008,蒙,1179,1,2,140
01943,夢,1180,1,2,036
09846,草,1181,1,4,140
10139,薄,1182,1,3,140
09961,落,1183a,2,3,140
09961b,落,1183b,2,1,140
10272,虛,1184,1,4,141
10270,處,1185,1,6,141
10390,蜀,1186,1,2,142
10618,術,1187,1,2,144
10630,衞,1188,1,2,144
10614,行,1189,1,30,144
10643,表,1190,1,4,145
10683,被,1191,1,2,145
10637,衣,1192,1,4,145
10820,西,1193,1,6,146
10822,要,1194,1,10,146
10848,親,1195,1,4,147
10856,覺,1196,1,4,147
10857,覽,1197,1,2,147
10837,視,1198,1,4,147
10831,見,1199,1,14,147
10859,觀,1200,1,21,147
10875,解,1201,1,6,148
11155,證,1202,1,2,149
11029,課,1203,1,2,149
04319,變,1204,1,2,066
11049,請,1205,1,9,149
11002,誌,1206,1,2,149
11171,識,1207,1,7,149
10896,計,1208,1,5,149
11207,讀,1209,1,21,149
10959,詔,1210,1,2,149
11019,誡,1211,1,2,149
10967,詞,1212,1,3,149
10930,許,1213,1,3,149
11017,語,1214,1,4,149
11067,諠,1215,1,2,149
11195,議,1216,1,3,149
11134,謬,1217,1,2,149
11018,誠,1218,1,14,149
11085,諸,1219,1,17,149
10890,言,1220,1,23,149
10984,詳,1221,1,2,149
10912,訖,1222,1,3,149
11025,説,1223,1,5,149
11095,謂,1224,1,6,149
11058,論,1225,1,16,149
11023,誦,1226,1,49,149
11234,谷,1227,1,6,150
11253,豈,1228,1,3,151
11261,豐,1229,1,2,151
11329,貞,1230,1,12,154
11334,財,1231,1,5,154
11355,貴,1232,1,2,154
11398,賣,1233,1,3,154
11397,賢,1234,1,5,154
11332,負,1235,1,3,154
11445,赤,1236,1,2,155
11457,赴,1237,1,2,156
11467,超,1238,1,7,156
11548,路,1239,1,2,157
11461,起,1240,1,6,156
11495,足,1241,1,2,157
07556,疎,1242,1,2,103
07557,疏,1243,1,2,103
11715,身,1244,1,14,158
11823,輦,1245,1,2,159
11802,輕,1246,1,3,159
11817,輟,1247,1,2,159
11856,轉,1248,1,4,159
11795,載,1249,1,3,159
11778,軸,1250,1,2,159
11846,輿,1251,1,2,159
11914,辭,1252,1,4,160
12037,遂,1253,1,17,162
12074,遣,1254,1,4,162
03157,徧,1255,1,14,060
12010,連,1256,1,3,162
12000,通,1257,1,14,162
11995,途,1258,1,3,162
12104,邀,1259,1,2,162
12051,道,1260,1,37,162
12009,逢,1261,1,2,162
12043,運,1262,1,3,162
12022,進,1263,1,2,162
12042,遊,1264,1,7,162
12031,逾,1265,1,2,162
12123,邑,1266,1,8,163
12176,部,1267,1,13,163
11974,迷,1268,1,4,162
12046,過,1269,1,2,162
12001,逝,1270,1,5,162
12019,逮,1271,1,2,162
11947,迎,1272,1,4,162
11968,述,1273,1,2,162
12070,遠,1274,1,11,162
11951,返,1275,1,3,162
11982,退,1276,1,2,162
11979,追,1277,1,3,162
12097,遺,1278,1,6,162
12093,遷,1279,1,3,162
12004,造,1280,1,4,162
12052,達,1281a,2,8,162
12052b,達,1281b,2,1,162
12103,避,1282,1,2,162
12108,還,1283,1,7,162
11948,近,1284,1,2,162
12188,都,1285,1,4,163
12139,邪,1286,1,3,163
12294,酬,1287,1,2,164
12376,量,1288,1,2,166
12373,重,1289,1,7,166
12499,錄,1290,1,2,167
12461,銓,1291,1,2,167
12468,銜,1292,1,2,167
12587,鎭,1293,1,4,167
12380,金,1294,1,3,167
05589,欽,1295,1,3,076
12698,長,1296,1,7,168
12716,開,1297,1,10,169
12709,門,1298,1,17,169
12935,隱,1299,1,5,170
12876,陽,1300,1,5,170
12864,陳,1301,1,4,170
12886,隆,1302,1,4,170
12868,陶,1303,1,2,170
12834,附,1304,1,3,170
12831,陀,1305,1,3,170
12927,隨,1306,1,6,170
12914,障,1307,1,4,170
12870,陸,1308,1,2,170
12890,隋,1309,1,9,170
12963,集,1310,1,6,172
13012,雨,1311,1,3,173
12997,雜,1312,1,2,172
12972,雍,1313,1,5,172
13002,難,1314,1,4,172
12991,雖,1315,1,4,172
12962,雅,1316,1,2,172
13001,離,1317,1,2,172
13032,霄,1318,1,2,173
13073,露,1319,1,3,173
13020,雲,1320,1,4,173
13104,非,1321,1,9,175
13103,靜,1322,1,8,174
13281,音,1323,1,3,180
13409,顧,1324,1,3,181
13316,頓,1325,1,2,181
13325,頗,1326,1,4,181
13391,願,1327,1,5,181
13380,顏,1328,1,2,181
13304,須,1329,1,5,181
13346,頭,1330,1,3,181
13398,類,1331,1,2,181
13376,題,1332,1,2,181
13416,顯,1333,1,4,181
13423,風,1334,1,4,182
13495,飛,1335,1,5,183
13503,食,1336,1,6,184
13526,飮,1337,1,2,184
13565,餘,1338,1,22,184
13667,香,1339,1,9,186
13680,馬,1340,1,4,187
13852,驚,1341,1,3,187
13871,驪,1342,1,2,187
13689,馴,1343,1,2,187
13873,骨,1344,1,5,188
13890,骸,1345,1,4,188
07208,猾,1346,1,2,094
13923,髏,1347,1,2,188
13940,高,1348,1,8,189
14174,鮮,1349,1,2,195
14379,鳴,1350,1,2,196
14693,黃,1351,1,2,201
14829,齋,1352,1,5,210
14828,齊,1353,1,2,210
14850,齡,1354,1,2,211
14876,龍,1355,1,3,212
14880,龕,1356,1,2,212
S00066,々,1357,部外,9,000
00154,亦,1358a,2,4,008
00154b,亦,1358b,2,1,008
00175,今,1359a,2,8,009
00175b,今,1359b,2,3,009
00323,係,1360a,2,1,009
00323b,係,1360b,2,1,009
00405,假,1361a,2,1,009
00405b,假,1361b,2,1,009
00498,僞,1362a,2,1,009
00498b,僞,1362b,2,1,009
00759,初,1363a,2,21,018
00759b,初,1363b,2,2,018
00900,勤,1364a,2,3,019
00900b,勤,1364b,2,2,019
00885,勒,1365,1,3,019
01288,咸,1366,1,8,030
01581,嚴,1367a,2,7,030
01581b,嚴,1367b,2,2,030
01682,坐,1368a,2,11,032
01682b,坐,1368b,2,2,032
02355,宿,1369a,2,2,040
02355b,宿,1369b,2,1,040
02504,屢,1370a,2,2,044
02504b,屡,1370b,2,1,044
02806,希,1371a,2,2,050
02806b,希,1371b,2,1,050
03006,建,1372a,2,4,054
03006b,建,1372b,2,1,054
03008,廻,1373a,2,2,054
03008b,廻,1373b,2,1,054
03145,得,1374a,2,5,060
03145b,得,1374b,2,2,060
03214,念,1375,1,6,061
03292,恩,1376a,2,1,061
03292b,恩,1376b,2,1,061
03450,慕,1377a,2,3,061
03450b,慕,1377b,2,1,061
03750,拔,1378a,2,1,064
03750b,拔,1378b,2,1,064
04224,收,1379a,2,4,066
04224b,收,1379b,2,1,066
04277,敢,1380,1,3,066
04412,族,1381a,2,3,070
04412b,族,1381b,2,2,070
04577,暇,1382a,2,2,072
04577b,暇,1382b,2,1,072
05228,槃,1383a,3,5,075
05228b,槃,1383b,3,1,075
05228c,槃,1383c,3,1,075
05235,構,1384a,2,1,075
05235b,構,1384b,2,1,075
05666,歳,1385a,2,3,077
05666b,歳,1385b,2,1,077
05641,止,1386a,2,9,077
05641b,止,1386b,2,1,077
06272,淨,1387a,2,6,085
06272b,淨,1387b,2,3,085
06015,沈,1388a,2,1,085
06015b,沈,1388b,2,1,085
06885,然,1389a,2,10,086
06885b,然,1389b,2,6,086
07017,爛,1390a,2,1,086
07017b,爛,1390b,2,1,086
07032,爲,1391,1,47,087
07043,爾,1392a,2,3,089
07043b,爾,1392b,2,1,089
07241,獲,1393a,2,4,094
07241b,獲,1393b,2,1,094
07938,矣,1394,1,7,111
08148,福,1395a,2,5,113
08148b,福,1395b,2,2,113
08165,禮,1396a,2,13,113
08165b,禮,1396b,2,1,113
08603,籍,1397a,2,1,118
08603b,籍,1397b,2,1,118
09175,羣,1398a,2,4,123
09175b,羣,1398b,2,1,123
09611,致,1399a,2,2,133
09611b,致,1399b,2,1,133
09665,般,1400a,3,2,137
09665b,般,1400b,3,1,137
09665c,般,1400c,3,1,137
09788,若,1401a,2,9,140
09788b,若,1401b,2,1,140
11119,講,1402a,2,4,149
11119b,講,1402b,2,2,149
10928,設,1403a,2,1,149
10928b,設,1403b,2,1,149
11275,象,1404a,2,5,152
11275b,象,1404b,2,1,152
11519,跏,1405a,2,1,157
11519b,跏,1405b,2,1,157
12083,遮,1406a,2,1,162
12083b,遮,1406b,2,1,162
13092,靈,1407a,2,4,173
13092b,靈,1407b,2,1,173
13551,養,1408a,2,3,184
13551b,養,1408b,2,1,184
13849,驗,1409a,2,4,187
13849b,驗,1409b,2,1,187
14361,鳥,1410,1,5,196
14776,鼔,1411a,2,3,207
14776b,鼔,1411b,2,1,207
12783,闕,1412a,2,1,169
12783b,闕,1412b,2,1,169
09869,莊,1413a,3,2,140
09869b,莊,1413b,3,2,140
09869c,莊,1413c,3,1,140
12205,鄕,1414a,3,3,163
12205b,鄕,1414b,3,3,163
12205c,鄕,1414c,3,1,163
11993,逐,1415,0,1,162
