統合ID,文字,五一續高,字体数,用例数,部首
03704,抑,0196,0,1,064
04072,撲,0197,0,1,064
03892,揆,0198,0,1,064
03851,掃,0199,0,1,064
03720,抱,0200,0,1,064
03939,損,0201,0,1,064
03722,抵,0202,0,1,064
03764,括,0203,0,1,064
04142,擾,0204,1,2,064
03711,折,0205,0,1,064
04009,摩,0206,0,1,064
03865,掘,0207,0,1,064
04008,摧,0208,0,1,064
04258,敘,0209,0,1,066
04281,敦,0210,0,1,066
04251,效,0211,0,1,066
04402,旅,0213,0,1,070
04391,施,0214,0,1,070
04558,景,0216,0,1,072
04619,曄,0217,0,1,072
04505,昧,0218,0,1,072
04461,旱,0219,0,1,072
04620,曆,0220,0,1,072
04636,曜,0221,0,1,072
04587,暑,0222,0,1,072
04623,曉,0223,0,1,072
04575,暄,0224,0,1,072
04499,星,0225,0,1,072
04591,暗,0226,0,1,072
04490,昔,0227,0,1,072
04530,晉,0228,0,1,072
09216,翔,0229,0,1,124
09411,胡,0230,0,1,130
04690,朗,0231,0,1,074
09379,育,0232,0,1,130
04807,枝,0233,0,1,075
04904,校,0234,0,1,075
05285,樊,0236,0,1,075
04781,板,0237,0,1,075
05487,櫬,0238,0,1,075
04977,梓,0239,0,1,075
05014,棄,0240,0,1,075
M14981,棳,0241,0,1,075
05025,棒,0242,0,1,075
04738,材,0243,0,1,075
05302,標,0244,0,1,075
05323,樹,0245,0,1,075
04848,染,0246,0,1,075
04941,桑,0247,0,1,075
05167,楹,0248,0,1,075
05420,檢,0249,0,1,075
05037,棟,0250,0,1,075
04849,柔,0251,0,1,075
04980,梗,0252,0,1,075
04735,李,0253,0,1,075
05588,欻,0254,0,1,076
05591,款,0255,0,1,076
05707,殆,0256,0,1,078
05777,殯,0257,0,1,078
05717,殊,0258,0,1,078
05812,毀,0259,0,1,079
06058,況,0260,0,1,085
06428,滂,0261,0,1,085
06487,漏,0262,0,1,085
06291,淹,0263,0,1,085
06128,津,0264,0,1,085
05963,汁,0265,0,1,085
06439,滌,0266,0,1,085
06548,潛,0267,0,1,085
M17469,,0268,0,1,085
06125,洞,0269,0,1,085
06651,濫,0270,0,1,085
06481,漆,0271,0,1,085
06476,滿,0272,0,1,085
06532,潔,0273,0,1,085
06499,漢,0274,0,1,085
06056,沾,0275,0,1,085
06003,決,0276,0,1,085
06182,海,0277,0,1,085
06084,泠,0278,0,1,085
06175,浮,0279,0,1,085
06029,沖,0280,0,1,085
06286,淳,0281,0,1,085
06381,湯,0282,0,1,085
06404,溝,0283,0,1,085
05996,汲,0284,0,1,085
05983,汝,0285,0,1,085
05985,江,0286,0,1,085
05979,汙,0287,0,1,085
06144,洹,0288,0,1,085
06020,沐,0289,0,1,085
06432,滅,0290,0,1,085
06587,澡,0291,0,1,085
06403,溜,0292,0,1,085
12266,酒,0293,0,1,164
06275,淪,0294,0,1,085
06750,灑,0295,0,1,085
06784,灰,0296,0,1,086
06882,焰,0297,0,1,086
06776,火,0298,0,1,086
06898,煕,0299,0,1,086
06922,煬,0300,0,1,086
06918,照,0301,0,1,086
14039,鬱,0302,0,1,192
07030,爰,0303,0,1,087
07048,片,0304,0,1,091
07063,牖,0305,0,1,091
07134,狎,0306,0,1,094
07162,狹,0307,0,1,094
06617,濁,0308,0,1,085
07180,猛,0309,0,1,094
07165,狼,0310,0,1,094
07346,瑞,0311,0,1,096
07386,環,0312,0,1,096
07261,玉,0314,0,1,096
07339,瑕,0315,0,1,096
07331,瑀,0316,0,1,096
07452,甕,0317,0,1,098
07444,甍,0318,0,1,098
07426,瓶,0319,0,1,098
07456,甘,0320,0,1,099
07457,甚,0321,0,1,099
07464,産,0322,0,1,100
07598,病,0323,0,1,104
07580,疲,0324,0,1,104
07674,癈,0325,0,1,104
07771,盜,0326,0,1,108
07902,瞰,0327,0,1,109
07909,瞽,0328,0,1,109
07843,眼,0329,0,1,109
07981,砭,0330,0,1,112
07986,破,0331,0,1,112
08077,礙,0332,0,1,112
