カード番号,文字,用例数1,用例数2,字体数,大字典番号,部首番号
0090,獄,,,0,07212,094
0091,甘,,,0,07456,099
0092,界,,,0,07501,102
0093,疾,,,0,07591,104
0094,痩,,,0,07654,104
0095,發,,,0,07707,105
0096,皺,,,0,07748,107
0097,盜,,,0,07771,108
0098,目,,,0,07790,109
0099,矣,,,0,07938,111
0100,神,,,0,08124,113
0101,禁,,,0,08143,113
0102,竟,,,0,08365,117
0103,豎,,,0,11258,151
0104,筋,,,0,08428,118
0105,箱,,,0,08483,118
0106,粟,,,0,08664,119
0107,索,,,0,08767,120
0108,結,,,0,08807,120
0109,經,,,0,08856,120
0110,綵,,,0,08889,120
0111,緩,,,0,08929,120
0112,縣,,,0,08972,120
0113,繩,,,0,09028,120
0114,纏,,,0,09064,120
0115,罰,,,0,09130,122
0116,美,,,0,09155,123
0117,腹,,,0,09516,130
0118,臥,,,0,09599,131
0119,臭,,,0,09605,132
0120,擧,,,0,09632,134
0121,苔,,,0,09775,140
0122,莖,,,0,09874,140
0123,菓,,,0,09904,140
0124,落,,,0,09961,140
0125,蓋,,,0,10040,140
0126,薄,,,0,10139,140
0127,莉,,,0,,140
0128,M31622,,,0,,140
0129,蟲,,,0,10549,142
0130,蛾,,,0,10388,142
0131,衣,,,0,10637,145
0132,覆,,,0,10826,146
0133,角,,,0,10860,148
0134,譽,,,0,11205,149
0135,貫,,,0,11343,154
0136,賊,,,0,11377,154
0137,連,,,0,12010,162
0138,邑,,,0,12123,163
0139,那,,,0,12134,163
0140,郡,,,0,12170,163
0141,鉤,,,0,12441,167
0142,銚,,,0,12466,167
0143,鋸,,,0,12496,167
0144,12664,,,0,12664,167
0145,閉,,,0,12714,169
0146,開,,,0,12716,169
0147,閻,,,0,12757,169
0148,雀,,,0,12955,172
0149,離,,,0,13001,172
0150,難,,,0,13002,172
0151,露,,,0,13073,173
0152,願,,,0,13391,181
0153,飯,,,0,13527,184
0154,魔,,,0,14088,194
0155,14420,,,0,14420,196
0156,鴿,,,0,14452,196
0157,鶴,,,0,14528,196
0158,M46926,,,0,,196
0159,鹿,,,0,14621,198
0160,齒,,,0,14833,211
0161,一,24,,1,00001,001
0162,七,44,,1,00004,001
0163,三,17,,1,00007,001
0164,上,26,,1,00008,001
0165,下,13,,1,00009,001
0166-0167,不,58,,1,00013,001
0168,世,8,,1,00025,001
0169-0170,中,87,,1,00051,002
0171,乃,23,,1,00078,004
0172,久,9,,1,00085,004
0173,之,20,,1,00088,004
0174,九,3,,1,00107,005
0175,乾,6,,1,00118,005
0176,亂,10,,1,00121,005
0177,事,3,,1,00128,006
0178,二,17,,1,00129,007
0179,五,9,,1,00135,007
0180,交,3,,1,00152,008
0181,亦,39,,1,00154,008
0182-0184,人,107,,1,00168,009
0185,以,45,,1,00194,009
0186,但,12,,1,00240,009
0187,住,3,,1,00245,009
0188,何,26,,1,00250,009
0189,佛,15,,1,00255,009
0190,作,15,3,2,00256,009
0191,使,13,,1,00279,009
0192,來,2,,1,00282,009
0193,便,14,,1,00321,009
0194,偈,3,,1,00406,009
0195,健,2,,1,00421,009
0196,傷,2,,1,00473,009
0197,僧,6,,1,00503,009
0198,億,5,,1,00520,009
0199,優,2,,1,00542,009
0200,兄,5,,1,00561,010
0201,先,5,,1,00566,010
0202,入,16,,1,00582,011
0203,兩,2,,1,00591,011
0204,八,13,,1,00594,012
0205,六,30,,1,00597,012
0206-0207,其,61,,1,00605,012
0208,冥,2,,1,00651,014
0209,出,33,,1,00723,017
0210,刀,16,,1,00729,018
0211,刃,1,,1,00732,018
0212,分,16,,1,00734,018
0213,切,2,,1,00735,018
0214,利,16,,1,00767,018
0215,刺,12,,1,00782,018
0216,前,9,,1,00794,018
0217,剥,2,,1,00805,018
0218,劫,2,,1,00865,019
0219,勢,4,,1,00898,019
0220,勞,4,,1,00894,019
0221,北,3,,1,00941,021
0222,匝,13,,1,00951,022
0223,十,26,,1,00985,024
0224,廿,9,,1,00988,024
0225,千,16,,1,00987,024
0226,卅,4,,1,00989,024
0227,00997,2,,1,00997,024
0228,南,4,,1,01010,024
0229,即,8,,1,01049,026
0230,去,9,,1,01101,028
0231,及,3,,1,01111,029
0232,受,5,,1,01128,029
0233,口,18,,1,01141,030
0234,句,2,,1,01143,030
0235,可,18,,1,01154,030
0236,吁,7,,1,01166,030
0237,各,33,,1,01168,030
0238,同,2,,1,01174,030
0239-0240,名,61,,1,01175,030
0241,向,4,,1,01179,030
0242,吹,6,,1,01212,030
0243,周,12,,1,01235,030
0244,呵,12,,1,01245,030
0245,命,4,,1,01252,030
0246,和,6,,1,01263,030
0247,咽,3,,1,01293,030
0248,品,2,,1,01296,030
0249,啄,2,,1,01361,030
0250,問,18,,1,01369,030
0251,善,14,,1,01395,030
0252,喉,3,,1,01399,030
0253,喙,2,,1,01409,030
0254,01503,3,,1,01503,030
0255,01527,10,,1,01527,030
0256,01585,13,,1,01585,030
0257,四,38,,1,01607,031
0258,因,10,,1,01611,031
0259,圍,10,,1,01641,031
0260,園,2,,1,01644,031
0261,在,30,,1,01659,032
0262,地,6,,1,01666,032
0263,坐,4,,1,01682,032
0264,垣,3,,1,01727,032
0265,城,8,,1,01740,032
0266,堅,2,,1,01767,032
0267,墮,26,,1,01863,032
0268,壞,2,,1,01895,032
0269,外,3,,1,01934,036
0270,多,8,,1,01938,036
0271,大,32,,1,01946,037
0272,天,8,,1,01947,037
0273,女,2,,1,02022,038
0274,好,10,,1,02029,038
0275,如,25,,1,02031,038
0276,妹,6,,1,02059,038
0277,婆,5,,1,02142,038
0278,婬,9,,1,02159,038
0279,子,15,,1,02262,039
0280,安,5,,1,02309,040
0281,宮,6,,1,02342,040
0282,寒,8,,1,02371,040
0283,實,12,,1,02390,040
0284,審,3,,1,02395,040
0285,寶,15,,1,02407,040
0286,小,3,,1,02439,042
0287,尸,8,,1,02469,044
0288,尼,8,,1,02473,044
0289,屬,5,,1,02515,044
0290,山,6,,1,02528,046
0291,岸,5,,1,02564,046
0292,已,6,,1,02783,049
0293,帝,6,,1,02820,050
0294,常,5,,1,02847,050
