,,sys_S5309,sys_S5309,sys_S5309,
統合ID,見出し文字,代表字形ID,字体数,用例数,部首
07717,皆,0523,1,14,106
07759,益,0524,1,7,108
07779,盡,0525a,2,3,108
07779b,盡,0525b,2,2,108
07799,直,0526,1,3,109
07801,相,0527,1,102,109
07827,眞,0530,1,5,109
07844,眾,0531,1,17,109
07941,知,0532,1,31,111
07954,石,0533,1,2,112
08219,稈,0534,1,2,115
08244,種,0535,1,73,115
08248,稱,0537,1,4,115
08256,稻,0538,1,2,115
08269,積,0539,1,2,115
08279,穢,0540,1,2,115
08291,穴,0541,1,2,116
08296,空,0542,1,6,116
08354,立,0543,1,13,117
08376,端,0544,1,6,117
08412,第,0545a,2,6,118
08412b,第,0545b,2,2,118
08426,等,0546,1,49,118
08437,答,0547,1,5,118
08493,節,0548,1,7,118
08497,範,0549,1,2,118
08685,精,0550,1,6,119
08779,細,0551,1,4,120
08807,結,0552,1,3,120
08938,練,0553,1,3,120
08993,總,0554,1,4,120
09030,繋,0555,1,4,120
09061,續,0556,1,7,120
09064,纏,0557,1,3,120
09085,缺,0558,1,6,121
09125,罪,0559,1,5,122
09132,罵,0560,1,2,122
09144,羅,0561,1,6,122
09214,習,0562,1,15,124
09255,者,0563,1,36,125
09264,而,0564,1,25,126
09265,耎,0565,1,3,126
09290,耳,0566,1,2,128
09308,聖,0567,1,3,128
09315,聞,0568,1,28,128
09328,聲,0569,1,11,128
09335,聽,0570,1,6,128
09348,肉,0571,1,3,130
09429,能,0572,1,56,130
09442,脊,0574,1,2,130
09445x,胮,0575,1,2,130
09462,脩,0576,1,36,130
09470,脹,0577,1,2,130
09565,膿,0578,1,3,130
09599,臥,0579a,2,3,131
09599b,臥,0579b,2,2,131
09602,自,0580,1,21,132
09605,臭,0581,1,2,132
09610,至,0582,1,20,133
09632,擧,0583,1,2,134
09638,舍,0584,1,26,135
09765,芻,0585,1,2,140
10137,薀,0586,1,2,140
09788,若,0587a,2,79,140
09788b,若,0587b,2,7,140
09789,苦,0589,1,10,140
09804,苾,0590,1,2,140
09972,著,0591,1,3,140
10270,處,0592,1,54,141
10272,虛,0594,1,2,141
10347,蛆,0595a,2,1,142
10347b,蛆,0595b,2,1,142
10605,血,0596,1,3,143
10614,行,0597,1,56,144
10714,補,0599,1,3,145
10831,見,0600,1,12,147
10848,親,0601a,2,11,147
10848b,親,0601b,2,4,147
10856,覺,0602,1,14,147
10859,觀,0603,1,15,147
10887,觸,0604,1,7,148
10890,言,0605,1,30,149
10928,設,0606,1,3,149
10957,詐,0607,1,2,149
10967,詞,0608,1,3,149
11017,語,0609,1,5,149
11019,誡,0610,1,3,149
11025,虔,0611,1,35,149
10930,許,0612,1,4,149
11038,調,0613,1,7,149
11049,請,0614,1,6,149
11058,論,0615,1,22,149
11072,諦,0616,1,2,149
11085,諸,0617,1,58,149
11122,謟,0619,1,2,149
11095,謂,0620,1,67,149
11155,證,0622,1,14,149
