統合ID,文字,兼方紀2,字体数,用例数,部首
02262,子,0485,1,54,039
02282,孫,0487,1,84,039
02265,孕,0489,1,2,039
02342,宮,0490,1,17,040
02332,室,0491,1,8,040
02327,宜,0492,1,16,040
02407,寶,0493,1,5,040
02390,實,0494,1,6,040
02331,客,0495,1,6,040
02352,容,0496,1,6,040
02422,射,0497,1,7,041
02429,尊,0498,1,115,041
02430,尋,0501,1,12,041
02425,將,0502,1,25,041
02439,小,0503,1,9,042
02440,少,0504,1,4,042
02464,就,0505,1,8,043
02488,屋,0506,1,21,044
02482,居,0507,1,13,044
02478,尾,0508,1,2,044
02504,屢,0509,1,5,044
02528,山,0510,1,28,046
02640,崩,0511,1,3,046
02589,峯,0512,1,6,046
02607,崇,0513,1,3,046
02540,岐,0514,1,3,046
02762,川,0515,1,5,047
02774,左,0516,1,2,048
02783,已,0517,1,26,049
02782,己,0518,1,13,049
02881,幡,0519,1,13,050
02847,常,0520,1,3,050
02899,平,0521,1,20,051
02903,幸,0522,1,25,051
02932,底,0523,1,2,053
02993,廣,0524,1,3,053
02946,座,0525,1,3,053
03042,弓,0526,1,10,057
03044,引,0527,1,2,057
03065,張,0528,1,2,057
03084,彌,0529,1,4,057
03052,弟,0530,1,42,057
03106,彦,0531,1,112,059
03116,影,0534,1,2,059
03128,往,0535,1,14,060
03142,徑,0536,1,4,060
03132,待,0537,1,6,060
03145,得,0538,1,18,060
03159,復,0539,1,32,060
03172,德,0540,1,2,060
03124,彼,0541,1,13,060
03138,後,0542,1,21,060
03410,慍,0543,1,2,061
03466,慮,0544,1,2,061
03544,懃,0545,1,2,061
03550,應,0546,1,2,061
03179,心,0547,1,10,061
03180,必,0548,1,14,061
03335,悲,0549,1,2,061
03184,忍,0550,1,12,061
03219,忽,0551,1,6,061
03298,息,0552,1,6,061
03453,慙,0553,1,4,061
03243,急,0554,1,5,061
03329,患,0555,1,3,061
03387,愁,0556,1,4,061
03395,意,0557,1,6,061
03183,忌,0558,1,2,061
03348,情,0559,1,4,061
03291,恨,0560,1,9,061
03194,志,0561,1,4,061
03239,思,0562,1,6,061
03220,忿,0563,1,5,061
03320,悔,0564,1,2,061
03534,憶,0565,1,3,061
03486,憂,0566,1,8,061
03405,愛,0567,1,3,061
03229,怒,0568,1,4,061
03365,惟,0569,1,2,061
03362,惚,0570,1,2,061
03611,我,0571,1,31,062
03610,成,0572,1,3,062
03640,戸,0573,1,6,063
03780,持,0574,1,13,064
03659,手,0575,1,15,064
04069,播,0576,1,13,064
03862,排,0577,1,6,064
03911,握,0578,1,2,064
04062,撥,0579,1,3,064
03708,投,0580,1,6,064
03855,授,0581,1,9,064
03858,掌,0582,1,3,064
03939,損,0583,1,2,064
03711,折,0584,1,10,064
03720,抱,0585,1,2,064
03704,抑,0586,1,3,064
03872,採,0587,1,5,064
03751,拕,0588,1,5,064
04106,據,0589,1,5,064
04261,教,0590,1,12,066
04263,救,0591,1,4,066
04277,敢,0592,1,3,066
04233,放,0593,1,5,066
04243,故,0594,1,83,066
04368,斫,0596,1,2,069
04376,新,0597,1,4,069
04385,方,0598,1,7,070
04442,旣,0599,1,13,071
04523,時,0600,1,117,072
04512,是,0603,1,97,072
04446,日,0605,1,43,072
04485,明,0606,1,13,072
04480,昇,0607,1,5,072
04500,映,0608,1,3,072
04490,昔,0609,1,3,072
04489,易,0610,1,4,072
04569,智,0611,1,5,072
04650,曰,0612,1,178,073
04654,更,0616,1,4,073
04667,會,0617,1,4,073
04661,曾,0618,1,2,073
04651,曲,0619,1,4,073
04657,書,0620,1,17,073
04674,有,0621,1,84,074
04693,望,0623,1,2,074
04673,月,0624,1,3,074
04676,朋,0625,1,2,074
04699,期,0626,1,3,074
04747,杜,0627,1,8,075
05236,槌,0628,1,5,075
05279,樂,0629,1,3,075
04758,杪,0630,1,3,075
04806,果,0631,1,5,075
04712,末,0632,1,3,075
04711,未,0633,1,6,075
04803,林,0634,1,2,075
04723,机,0635,1,2,075
04707,木,0636,1,11,075
05323,樹,0637,1,17,075
04807,枝,0638,1,2,075
05080,植,0639,1,2,075
04922,根,0640,1,16,075
05348,橋,0641,1,7,075
04769,杵,0642,1,19,075
05014,棄,0643,1,5,075
05293,樓,0644,1,2,075
05471,櫛,0645,1,3,075
05266,槵,0646,1,6,075
05633,歟,0647,1,10,076
05580,欲,0648,1,20,076
05558,次,0649,1,30,076
05609,歌,0650,1,13,076
05649,武,0651,1,10,077
05686,死,0652,1,5,078
05777,殯,0653,1,2,078
05809,殿,0654,1,4,079
05834,母,0655,1,10,080
05836,每,0656,1,2,080
05841,比,0657,1,6,081
05845,毗,0658,1,2,081
05850,毛,0659,1,5,082
05935,民,0660,1,2,083
05947,氣,0661,1,2,084
05952,水,0662,1,6,085
06381,湯,0663,1,6,085
05962,汀,0664,1,7,085
05983,汝,0665,1,48,085
06182,海,0666,1,74,085
06128,津,0668,1,45,085
06645,濤,0669,1,3,085
06422,溺,0670,1,8,085
05996,汲,0671,1,5,085
06285,深,0672,1,3,085
06145,活,0673,1,3,085
06713,瀨,0674,1,7,085
06312,渚,0675,1,3,085
06087,泣,0676,1,2,085
06611,濃,0677,1,2,085
06023,沒,0678,1,5,085
06507,漬,0679,1,3,085
06086,波,0680,1,12,085
06175,浮,0681,1,8,085
06294,添,0682,1,2,085
06055,治,0683,1,9,085
06658,濱,0684,1,8,085
06074,法,0685,1,2,085
06408,溢,0686,1,5,085
06173,浪,0687,1,2,085
06193,涉,0688,1,2,085
06150,洿,0689,1,2,085
06227,涸,0690,1,10,085
06723,瀲,0691,1,7,085
06015,沈,0692,1,3,085
05957,永,0693,1,4,085
06138,洲,0694,1,2,085
05964,求,0695,1,3,085
06554,潮,0696,1,22,085
06476,滿,0697,1,7,085
06776,火,0698,1,157,086
06956,熯,0702,1,2,086
06918,照,0703,1,15,086
06939,熊,0704,1,4,086
06872,無,0705,1,22,086
06947,熛,0706,1,2,086
06801,炎,0707,1,3,086
06867,焚,0708,1,2,086
06861,焉,0709,1,24,086
06885,然,0710,1,21,086
07032,爲,0711,1,58,087
07035,父,0713,1,13,088
07080,物,0714,1,5,093
07203,猶,0715,1,10,094
07230,獨,0716,1,3,094
07189,猨,0717,1,6,094
07262,王,0718,1,7,096
07261,玉,0719,1,53,096
07394,瓊,0721,1,52,096
07307,理,0723,1,3,096
07275,玲,0724,1,2,096
07346,瑞,0725,1,2,096
07452,甕,0726,1,6,098
07461,生,0727,1,45,100
07464,産,0728,1,40,100
07469,用,0729,1,7,101
07478,田,0730,1,34,102
07535,當,0731,1,51,102
07503,畏,0733,1,2,102
07483,男,0734,1,4,102
07479,由,0735,1,3,102
07591,疾,0736,1,5,104
07685,癡,0737,1,2,104
07706,登,0738,1,6,105
07709,白,0739,1,9,106
07710,百,0740,1,8,106
07717,皆,0741,1,3,106
07718,皇,0742,1,69,106
07779,盡,0744,1,2,108
07781,監,0745,1,3,108
07785,盧,0746,1,2,108
07770,盛,0747,1,5,108
07827,眞,0748,1,7,109
07844,眾,0749,1,3,109
07790,目,0750,1,15,109
07801,相,0751,1,14,109
07929,矛,0752,1,3,110
07941,知,0753,1,16,111
07937,矢,0754,1,24,111
07938,矣,0755,1,32,111
07948,短,0756,1,2,111
07954,石,0757,1,6,112
08057,磨,0758,1,7,112
08023,碕,0759,1,5,112
08124,神,0760,1,203,113
08107,祇,0765,1,8,113
08117,祖,0766,1,12,113
08159,禦,0767,1,3,113
08166,禰,0768,1,4,113
08273,穗,0769,1,23,115
08179,秀,0770,1,2,115
08187,秋,0771,1,2,115
08233,稚,0772,1,29,115
08212,移,0773,1,2,115
08244,種,0774,1,2,115
08256,稻,0775,1,8,115
08296,空,0776,1,4,116
08329,窮,0777,1,3,116
08354,立,0778,1,12,117
08376,端,0779,1,2,117
08382,竹,0780,1,8,118
08404,笠,0781,1,4,118
08619,籠,0782,1,6,118
08468,箕,0783,1,2,118
08631,籬,0784,1,3,118
08434,筑,0785,1,3,118
08461,箇,0786,1,10,118
08437,答,0787,1,2,118
08435,筒,0788,1,3,118
08773,紫,0789,1,3,120
08809,絶,0790,1,4,120
08924,緣,0791,1,12,120
08807,結,0792a,2,1,120
08807b,結,0792b,2,1,120
08856,經,0793,1,12,120
08765,素,0794,1,5,120
08899,綿,0795,1,2,120
08795,終,0796,1,3,120
09012,織,0797,1,2,120
09125,罪,0798,1,2,122
09144,羅,0799,1,2,122
09155,美,0800,1,12,123
09195,羽,0801,1,9,124
09201,翁,0802,1,11,124
09255,者,0803,1,101,125
