カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0576,播,064,1,13,,04069
0577,排,064,1,6,,03862
0578,握,064,1,2,,03911
0579,撥,064,1,3,,04062
0580,投,064,1,6,,03708
0581,授,064,1,9,,03855
0582,掌,064,1,3,,03858
0583,損,064,1,2,,03939
0584,折,064,1,10,,03711
0585,抱,064,1,2,,03720
0586,抑,064,1,3,,03704
0587,採,064,1,5,,03872
0588,03751,064,1,5,,03751
0589,據,064,1,5,,04106
0590,教,066,1,12,,04261
0591,救,066,1,4,,04263
0592,敢,066,1,3,,04277
0593,放,066,1,5,,04233
0594-0595,故,066,1,83,,04243
0596,斫,069,1,2,,04368
0597,新,069,1,4,,04376
0598,方,070,1,7,,04385
0599,既,071,1,13,,04442
0600-0602,時,072,1,117,,04523
0603-0604,是,072,1,97,,04512
0605,日,072,1,43,,04446
0606,明,072,1,13,,04485
0607,昇,072,1,5,,04480
0608,映,072,1,3,,04500
0609,昔,072,1,3,,04490
0610,易,072,1,4,,04489
0611,智,072,1,5,,04569
0612-0615,曰,073,1,178,,04650
0616,更,073,1,4,,04654
0617,會,073,1,4,,04667
0618,曾,073,1,2,,04661
0619,曲,073,1,4,,04651
0620,書,073,1,17,,04657
0621-0622,有,074,1,84,,04674
0623,望,074,1,2,,04693
0624,月,074,1,3,,04673
0625,朋,074,1,2,,04676
0626,期,074,1,3,,04699
0627,杜,075,1,8,,04747
0628,槌,075,1,5,,05236
0629,樂,075,1,3,,05279
0630,杪,075,1,3,,04758
0631,果,075,1,5,,04806
0632,末,075,1,3,,04712
0633,未,075,1,6,,04711
0634,林,075,1,2,,04803
0635,机,075,1,2,,04723
0636,木,075,1,11,,04707
0637,樹,075,1,17,,05323
0638,枝,075,1,2,,04807
0639,植,075,1,2,,05080
0640,根,075,1,16,,04922
0641,橋,075,1,7,,05348
0642,杵,075,1,19,,04769
0643,棄,075,1,5,,05014
0644,樓,075,1,2,,05293
0645,櫛,075,1,3,,05471
0646,05266,075,1,6,,05266
0647,歟,076,1,10,,05633
0648,欲,076,1,20,,05580
0649,次,076,1,30,,05558
0650,歌,076,1,13,,05609
0651,武,077,1,10,,05649
0652,死,078,1,5,,05686
0653,殯,078,1,2,,05777
0654,殿,079,1,4,,05809
0655,母,080,1,10,,05834
0656,毎,080,1,2,,05836
0657,比,081,1,6,,05841
0658,05845,081,1,2,,05845
0659,毛,082,1,5,,05850
0660,民,083,1,2,,05935
0661,氣,084,1,2,,05947
0662,水,085,1,6,,05952
0663,湯,085,1,6,,06381
0664,汀,085,1,7,,05962
0665,汝,085,1,48,,05983
0666-0667,海,085,1,74,,06182
0668,津,085,1,45,,06128
0669,濤,085,1,3,,06645
0670,溺,085,1,8,,06422
0671,汲,085,1,5,,05996
0672,深,085,1,3,,06285
0673,活,085,1,3,,06145
0674,瀬,085,1,7,,06713
0675,渚,085,1,3,,06312
0676,泣,085,1,2,,06087
0677,濃,085,1,2,,06611
0678,沒,085,1,5,,06023
0679,漬,085,1,3,,06507
0680,波,085,1,12,,06086
0681,浮,085,1,8,,06175
0682,添,085,1,2,,06294
0683,治,085,1,9,,06055
0684,濱,085,1,8,,06658
0685,法,085,1,2,,06074
0686,溢,085,1,5,,06408
0687,浪,085,1,2,,06173
0688,渉,085,1,2,,06193
0689,06150,085,1,2,,06150
0690,涸,085,1,10,,06227
0691,瀲,085,1,7,,06723
0692,沈,085,1,3,,06015
0693,永,085,1,4,,05957
0694,洲,085,1,2,,06138
0695,求,085,1,3,,05964
0696,潮,085,1,22,,06554
0697,滿,085,1,7,,06476
0698-0701,火,086,1,157,,06776
0702,06956,086,1,2,,06956
0703,照,086,1,15,,06918
0704,熊,086,1,4,,06939
0705,無,086,1,22,,06872
0706,06947,086,1,2,,06947
0707,炎,086,1,3,,06801
0708,焚,086,1,2,,06867
0709,焉,086,1,24,,06861
0710,然,086,1,21,,06885
0711-0712,爲,087,1,58,,07032
0713,父,088,1,13,,07035
0714,物,093,1,5,,07080
0715,猶,094,1,10,,07203
0716,獨,094,1,3,,07230
0717,07189,094,1,6,,07189
0718,王,096,1,7,,07262
0719-0720,玉,096,1,53,,07261
0721-0722,瓊,096,1,52,,07394
0723,理,096,1,3,,07307
0724,玲,096,1,2,,07275
0725,瑞,096,1,2,,07346
0726,甕,098,1,6,,07452
0727,生,100,1,45,,07461
0728,産,100,1,40,,07464
0729,用,101,1,7,,07469
0730,田,102,1,34,,07478
0731-0732,當,102,1,51,,07535
0733,畏,102,1,2,,07503
0734,男,102,1,4,,07483
0735,由,102,1,3,,07479
0736,疾,104,1,5,,07591
0737,癡,104,1,2,,07685
0738,登,105,1,6,,07706
0739,白,106,1,9,,07709
0740,百,106,1,8,,07710
0741,皆,106,1,3,,07717
0742-0743,皇,106,1,69,,07718
0744,盡,108,1,2,,07779
0745,監,108,1,3,,07781
0746,盧,108,1,2,,07785
0747,盛,108,1,5,,07770
0748,眞,109,1,7,,07827
0749,衆,109,1,3,,07844
0750,目,109,1,15,,07790
0751,相,109,1,14,,07801
0752,矛,110,1,3,,07929
0753,知,111,1,16,,07941
0754,矢,111,1,24,,07937
0755,矣,111,1,32,,07938
0756,短,111,1,2,,07948
0757,石,112,1,6,,07954
0758,磨,112,1,7,,08057
0759,碕,112,1,5,,08023
0760-0764,神,113,1,203,,08124
0765,祇,113,1,8,,08107
0766,祖,113,1,12,,08117
0767,禦,113,1,3,,08159
0768,禰,113,1,4,,08166
0769,穗,115,1,23,,08273
0770,秀,115,1,2,,08179
0771,秋,115,1,2,,08187
0772,稚,115,1,29,,08233
0773,移,115,1,2,,08212
0774,種,115,1,2,,08244
0775,稻,115,1,8,,08256
0776,空,116,1,4,,08296
0777,窮,116,1,3,,08329
0778,立,117,1,12,,08354
0779,端,117,1,2,,08376
0780,竹,118,1,8,,08382
0781,笠,118,1,4,,08404
0782,籠,118,1,6,,08619
0783,箕,118,1,2,,08468
0784,籬,118,1,3,,08631
0785,筑,118,1,3,,08434
0786,箇,118,1,10,,08461
0787,答,118,1,2,,08437
0788,筒,118,1,3,,08435
0789,紫,120,1,3,,08773
0790,絶,120,1,4,,08809
0791,縁,120,1,12,,08924
0792,結,120,2,1,1,08807
0793,經,120,1,12,,08856
0794,素,120,1,5,,08765
0795,綿,120,1,2,,08899
0796,終,120,1,3,,08795
0797,織,120,1,2,,09012
0798,罪,122,1,2,,09125
0799,羅,122,1,2,,09144
0800,美,123,1,12,,09155
0801,羽,124,1,9,,09195
0802,翁,124,1,11,,09201
0803-0805,者,125,1,101,,09255
0806-0808,而,126,1,120,,09264
0809,耐,126,1,3,,09267
0810,耜,127,1,9,,09278
0811,耳,128,1,9,,09290
0812,聞,128,1,11,,09315
0813,聲,128,1,4,,09328
0814,胤,130,1,7,,09413
0815,胸,130,1,7,,09425
0816,臍,130,1,2,,09577
0817,能,130,1,17,,09429
0818,背,130,1,10,,09394
0819,腰,130,1,2,,09508
0820,膂,130,1,3,,09522
0821,膩,130,1,3,,09548
0822,臨,131,1,8,,09601
0823,臣,131,1,2,,09596
0824,自,132,1,31,,09602
0825,至,133,1,25,,09610
0826,致,133,1,8,,09611
0827,擧,134,1,7,,09632
0828,船,137,1,5,,09675
0829,良,138,1,2,,09714
0830,花,140,1,6,,09758
0831,芹,140,1,9,,09764
0832,葦,140,1,26,,09982
0833,葉,140,1,3,,09966
0834,蓋,140,1,5,,10040
0835,葬,140,1,3,,09985
0836,草,140,1,11,,09846
0837,蒼,140,1,2,,10031
0838,落,140,1,5,,09961
0839,茂,140,1,5,,09807
0840,處,141,1,17,,10270
0841,行,144,1,19,,10614
0842,衢,144,1,3,,10636
0843,裂,145,1,2,,10698
0844,衣,145,1,2,,10637
0845,襲,145,1,3,,10806
0846,裹,145,1,4,,10729
0847,衾,145,1,5,,10658
0848,被,145,1,3,,10683
0849,覆,146,1,5,,10826
0850,西,146,1,2,,10820
0851-0852,見,147,1,69,,10831
0853,親,147,1,3,,10848
0854,視,147,1,7,,10837
0855,覘,147,1,2,,10840
0856,觸,148,1,2,,10887
0857,言,149,1,29,,10890
0858,謂,149,1,19,,11095
0859,諸,149,1,12,,11085
0860,誰,149,1,8,,11028
0861,語,149,1,5,,11017
0862,訪,149,1,4,,10925
0863,計,149,1,4,,10896
0864,請,149,1,14,,11049
0865,誠,149,1,3,,11018
0866,誤,149,1,4,,11020
0867,誓,149,1,4,,11008
0868,試,149,1,5,,10975
0869,誅,149,1,2,,10999
0870,誨,149,1,2,,11024
0871,護,149,1,2,,11200
0872,許,149,1,2,,10930
0873,誥,149,1,4,,11022
0874,詛,149,1,2,,10965
0875,譽,149,1,5,,11205
0876,設,149,1,5,,10928
0877,諾,149,1,2,,11090
0878,谷,150,1,2,,11234
0879,豆,151,1,7,,11250
0880,豐,151,1,30,,11261
0881,豈,151,1,5,,11253
0882,豫,152,1,3,,11283
0883,11306,153,1,2,,11306
0884,貴,154,1,11,,11355
0885,責,154,1,5,,11344
0886,貧,154,1,7,,11338
0887,贈,154,1,3,,11429
0888,貳,154,1,2,,11354
0889,賊,154,1,2,,11377
0890,賜,154,1,9,,11393
0891,赤,155,1,9,,11445
0892,起,156,1,13,,11461
0893,躡,157,2,2,2,11708
0894,路,157,1,3,,11548
0895,11614,157,2,1,1,11614
0896,踉,157,2,1,1,11564
0897,蹈,157,1,2,,11618
0898,身,158,1,8,,11715
0899,載,159,1,3,,11795
0900,軻,159,1,2,,11782
0901,輔,159,1,5,,11801
0902,辱,161,1,6,,11918
0903,通,162,1,2,,12000
0904,迺,162,1,5,,11977
0905,遠,162,1,7,,12070
0906,返,162,1,2,,11951
0907,遂,162,1,18,,12037
0908,遊,162,1,11,,12042
0909,遣,162,1,22,,12074
0910,還,162,1,32,,12108
0911,遵,162,1,4,,12091
0912,避,162,1,12,,12103
0913,道,162,1,6,,12051
0914,速,162,1,9,,12003
0915,達,162,1,4,,12052
0916,造,162,1,9,,12004
0917,連,162,1,7,,12010
0918,進,162,1,11,,12022
0919,送,162,1,7,,11983
0920,邏,162,1,2,,12120
0921,迅,162,1,2,,11937
0922,途,162,1,2,,11995
0923,12223,163,1,4,,12223
0924,郷,163,1,7,,12205
0925,都,163,1,3,,12188
0926,部,163,1,5,,12176
0927,酢,164,1,9,,12282
0928,配,164,1,5,,12263
0929,重,166,1,10,,12373
0930,野,166,1,9,,12374
0931,針,167,1,2,,12386
0932,釣,167,1,6,,12388
0933,鈿,167,1,9,,12421
0934,鉤,167,1,48,,12441
0935,鋪,167,1,2,,12494
0936,鈴,167,1,2,,12418
0937,鏡,167,1,6,,12613
0938,鋺,167,1,5,,12497
0939,長,168,1,19,,12698
0940,間,169,1,9,,12724
0941,闌,169,1,4,,12773
0942,門,169,1,8,,12709
0943,開,169,1,5,,12716
0944,防,170,1,2,,12822
0945,隈,170,1,2,,12887
0946,隔,170,1,2,,12898
0947,降,170,1,34,,12838
0948,陸,170,1,2,,12870
0949,除,170,1,2,,12855
0950,阿,170,1,10,,12830
0951,陳,170,1,2,,12864
0952,陀,170,1,3,,12831
0953,離,172,1,5,,13001
0954,雖,172,1,7,,12991
0955,雉,172,1,14,,12965
0956,集,172,1,4,,12963
0957,露,173,1,4,,13073
0958,雲,173,1,8,,13020
0959,雨,173,1,2,,13012
0960,非,175,1,11,,13104
0961,響,180,1,2,,13293
0962,順,181,1,6,,13302
