文字,カード番号,用例数1,用例数2,字体数,大字典番号,部首番号
就,0322,9,,1,02464,043
尼,0323,5,,1,02473,044
山,0324,5,,1,02528,046
已,0325,20,,1,02783,049
希,0326,2,,1,02806,050
師,0327,8,,1,02835,050
常,0328,23,,1,02847,050
幡,0329,6,,1,02881,050
幢,0330,4,,1,02882,050
度,0331,15,,1,02944,053
廣,0332,9,,1,02993,053
弟,0333,8,,1,03052,057
彌,0334,2,,1,03084,057
彼,0335,5,,1,03124,060
後,0336,21,,1,03138,060
得,0337-0338,62,,1,03145,060
從,0339,7,,1,03151,060
御,0340,5,,1,03153,060
03157,0341,10,,1,03157,060
復,0342,14,,1,03159,060
微,0343,2,,1,03165,060
徳,0344,10,,1,03172,060
心,0345,23,,1,03179,061
必,0346,3,,1,03180,061
忍,0347,3,,1,03184,061
志,0348,2,,1,03194,061
忘,0349,3,,1,03196,061
快,0350,2,,1,03208,061
念,0351,16,,1,03214,061
怖,0352,2,,1,03233,061
思,0353,4,,1,03239,061
怠,0354,3,,1,03240,061
恆,0355,6,,1,03267,061
恣,0356,2,,1,03286,061
恭,0357,5,,1,03297,061
悦,0358,2,,1,03309,061
悉,0359,6,,1,03312,061
悔,0360,2,,1,03320,061
悟,0361,2,,1,03326,061
悲,0362,2,,1,03335,061
惟,0363,3,,1,03365,061
惡,0364,10,,1,03367,061
意,0365,4,,1,03395,061
愍,0366,6,,1,03402,061
慈,0367,2,,1,03439,061
慧,0368,14,,1,03462,061
憂,0369,2,,1,03486,061
懃,0370,8,,1,03544,061
應,0371,22,,1,03550,061
懷,0372,3,,1,03585,061
成,0373,20,,1,03610,062
我,0374-0375,65,,1,03611,062
或,0376,3,,1,03617,062
所,0377,49,,1,03647,063
持,0378,29,,1,03780,064
捨,0379,6,,1,03835,064
授,0380,7,,1,03855,064
掌,0381,7,,1,03858,064
提,0382,23,,1,03896,064
摩,0383,4,,1,04009,064
故,0384,20,,1,04243,066
教,0385,12,,1,04261,066
敬,0386,8,,1,04286,066
數,0387,14,,1,04298,066
變,0388,2,,1,04319,066
斯,0389,4,,1,04373,069
新,0390,2,,1,04376,069
方,0391,19,,1,04385,070
於,0392-0393,71,,1,04389,070
既,0394,3,,1,04442,071
日,0395,3,,1,04446,072
明,0396,20,,1,04485,072
昔,0397,3,,1,04490,072
是,0398-0399,90,,1,04512,072
時,0400,36,,1,04523,072
普,0401,6,,1,04557,072
智,0402,21,,1,04569,072
曰,0403,8,,1,04650,073
更,0404,2,,1,04654,073
書,0405,5,,1,04657,073
曾,0406,8,,1,04661,073
會,0407,3,,1,04667,073
有,0408,48,,1,04674,074
服,0409,5,,1,04679,074
未,0410,17,,1,04711,075
末,0411,4,,1,04712,075
本,0412,4,,1,04713,075
杖,0413,2,,1,04743,075
某,0414,2,,1,04845,075
柔,0415,3,,1,04849,075
校,0416,2,,1,04904,075
根,0417,3,,1,04922,075
梵,0418,2,,1,05010,075
樂,0419,8,,1,05279,075
樓,0420,11,,1,05293,075
次,0421,4,,1,05558,076
欲,0422,21,,1,05580,076
歡,0423,12,,1,05639,076
正,0424,19,,1,05643,077
此,0425,46,,1,05644,077
毀,0426,2,,1,05812,079
比,0427,14,,1,05841,081
水,0428,6,,1,05952,085
求,0429,12,1,2,05964,085
汝,0430,18,,1,05983,085
決,0431,5,,1,06003,085
沙,0432,6,,1,06031,085
河,0433,4,,1,06045,085
況,0434,3,,1,06058,085
法,0435-0436,100,,1,06074,085
泥,0437,2,,1,06088,085
海,0438,4,,1,06182,085
涅,0439,4,,1,06189,085
淨,0440,21,,1,06272,085
深,0441,3,,1,06285,085
清,0442,10,,1,06290,085
渇,0443,2,,1,06338,085
滅,0444,17,,1,06432,085
滿,0445,7,,1,06476,085
演,0446,3,,1,06490,085
漢,0447,5,,1,06499,085
06509,0448,2,,1,06509,085
漸,0449,6,,1,06517,085
無,0450-0451,83,,1,06872,086
然,0452,7,,1,06885,086
燒,0453,3,,1,06978,086
爲,0454-0455,64,,1,07032,087
爾,0456,25,,1,07043,089
猶,0457,5,,1,07203,094
獲,0458,3,,1,07241,094
獻,0459,2,,1,07250,094
王,0460,25,,1,07262,096
珞,0461,2,,1,07290,096
珠,0462,7,,1,07291,096
現,0463,12,,1,07304,096
瓦,0464,2,,1,07415,098
甘,0465,2,,1,07456,099
甚,0466,13,,1,07457,099
生,0467,35,,1,07461,100
由,0468,2,,1,07479,102
男,0469,5,,1,07483,102
界,0470,3,,1,07501,102
畏,0471,6,,1,07503,102
異,0472,3,,1,07530,102
當,0473,45,,1,07535,102
疑,0474,5,,1,07559,103
百,0475,7,,1,07710,106
皆,0476,22,,1,07717,106
益,0477,3,,1,07759,108
盡,0478,3,,1,07779,108
相,0479,8,,1,07801,109
眞,0480,2,,1,07827,109
衆,0481-0482,55,,1,07844,109
瞻,0483,3,,1,07907,109
M23523,0484,7,,1,,109
知,0485,45,,1,07941,111
石,0486,2,,1,07954,112
示,0487,8,,1,08097,113
祇,0488,7,,1,08107,113
祕,0489,2,,1,08116,113
神,0490,12,,1,08124,113
禪,0491,2,,1,08162,113
禮,0492,6,,1,08165,113
種,0493,17,,1,08244,115
稱,0494,2,,1,08248,115
空,0495,9,,1,08296,116
穿,0496,2,,1,08300,116
立,0497,5,,1,08354,117
竟,0498,3,,1,08365,117
第,0499,8,,1,08412,118
等,0500,44,,1,08426,118
算,0501,2,,1,08469,118
精,0502,4,,1,08685,119
絡,0503,2,,1,08817,120
經,0504,50,,1,08856,120
縁,0505,5,,1,08924,120
09011,0506,4,,1,09011,120
繋,0507,4,,1,09030,120
纓,0508,3,,1,09072,120
罪,0509,4,,1,09125,122
罵,0510,3,,1,09132,122
羅,0511,47,,1,09144,122
美,0512,2,,1,09155,123
義,0513,9,,1,09177,123
習,0514,2,,1,09214,124
者,0515-0516,51,,1,09255,125
而,0517,48,,1,09264,126
耨,0518,21,,1,09286,127
耶,0519,2,,1,09292,128
聚,0520,2,,1,09314,128
聞,0521,48,,1,09315,128
聲,0522,18,,1,09328,128
聽,0523,7,,1,09335,128
肩,0524,2,,1,09370,130
能,0525,25,,1,09429,130
脩,0526,7,,1,09462,130
脱,0527,3,,1,09463,130
臥,0528,3,,1,09599,131
自,0529,32,,1,09602,132
至,0530,11,,1,09610,133
臾,0531,5,,1,09621,134
艱,0532,3,,1,09715,138
色,0533,3,,1,09716,139
若,0534,45,,1,09788,140
苦,0535,2,,1,09789,140
莊,0536,9,,1,09869,140
菩,0537-0538,52,,1,09919,140
華,0539,29,,1,09921,140
萬,0540,12,,1,09954,140
葉,0541,5,,1,09966,140
著,0542,4,,1,09972,140
蓋,0543,4,,1,10040,140
薩,0544,31,,1,10163,140
藏,0545,9,,1,10191,140
藐,0546,22,,1,10192,140
藥,0547,19,,1,10204,140
處,0548,11,,1,10270,141
號,0549,11,,1,10276,141
行,0550,20,,1,10614,144
衣,0551,17,,1,10637,145
裏,0552,4,,1,10703,145
見,0553,28,,1,10831,147
親,0554,6,,1,10848,147
覺,0555,11,,1,10856,147
觀,0556,2,,1,10859,147
解,0557,14,,1,10875,148
言,0558,18,,1,10890,149
計,0559,3,,1,10896,149
記,0560,18,,1,10914,149
設,0561,2,,1,10928,149
訶,0562,2,,1,10936,149
誦,0563,10,,1,11023,149
説,0564-0565,64,,1,11025,149
調,0566,5,,1,11038,149
諦,0567,3,,1,11072,149
諸,0568-0569,72,,1,11085,149
謂,0570,5,,1,11095,149
識,0571,2,,1,11171,149
譬,0572,3,,1,11189,149
護,0573,19,,1,11200,149
讀,0574,11,,1,11207,149
讚,0575,5,,1,11229,149
貧,0576,3,,1,11338,154
責,0577,2,,1,11344,154
資,0578,2,,1,11373,154
賈,0579,4,,1,11374,154
賢,0580,2,,1,11397,154
起,0581,8,,1,11461,156
足,0582,24,,1,11495,157
踊,0583,3,,1,11565,157
躍,0584,3,,1,11689,157
