統合ID,文字,P2334,字体数,用例数,部首
03208,快,0350,1,2,061
03214,念,0351,1,16,061
03233,怖,0352,1,2,061
03239,思,0353,1,4,061
03240,怠,0354,1,3,061
03267,恆,0355,1,6,061
03286,恣,0356,1,2,061
03297,恭,0357,1,5,061
03309,悦,0358,1,2,061
03312,悉,0359,1,6,061
03320,悔,0360,1,2,061
03326,悟,0361,1,2,061
03335,悲,0362,1,2,061
03365,惟,0363,1,3,061
03367,惡,0364,1,10,061
03395,意,0365,1,4,061
03402,愍,0366,1,6,061
03439,慈,0367,1,2,061
03462,慧,0368,1,14,061
03486,憂,0369,1,2,061
03544,懃,0370,1,8,061
03550,應,0371,1,22,061
03585,懷,0372,1,3,061
03610,成,0373,1,20,062
03611,我,0374,1,65,062
03617,或,0376,1,3,062
03647,所,0377,1,49,063
03780,持,0378,1,29,064
03835,捨,0379,1,6,064
03855,授,0380,1,7,064
03858,掌,0381,1,7,064
03896,提,0382,1,23,064
04009,摩,0383,1,4,064
04243,故,0384,1,20,066
04261,教,0385,1,12,066
04286,敬,0386,1,8,066
04298,數,0387,1,14,066
04319,變,0388,1,2,066
04373,斯,0389,1,4,069
04376,新,0390,1,2,069
04385,方,0391,1,19,070
04389,於,0392,1,71,070
04442,旣,0394,1,3,071
04446,日,0395,1,3,072
04485,明,0396,1,20,072
04490,昔,0397,1,3,072
04512,是,0398,1,90,072
04523,時,0400,1,36,072
04557,普,0401,1,6,072
04569,智,0402,1,21,072
04650,曰,0403,1,8,073
04654,更,0404,1,2,073
04657,書,0405,1,5,073
04661,曾,0406,1,8,073
04667,會,0407,1,3,073
04674,有,0408,1,48,074
04679,服,0409,1,5,074
04711,未,0410,1,17,075
04712,末,0411,1,4,075
04713,本,0412,1,4,075
04743,杖,0413,1,2,075
04845,某,0414,1,2,075
04849,柔,0415,1,3,075
04904,校,0416,1,2,075
04922,根,0417,1,3,075
05010,梵,0418,1,2,075
05279,樂,0419,1,8,075
05293,樓,0420,1,11,075
05558,次,0421,1,4,076
05580,欲,0422,1,21,076
05639,歡,0423,1,12,076
05643,正,0424,1,19,077
05644,此,0425,1,46,077
