カード番号,文字,部首,字体数,用例数１,用例数２,大字典
0406,王,096,1,18,,07262
0407,生,100,1,45,,07461
0408,用,101,1,3,,07469
0409-0410,界,102,1,60,,07501
0411,當,102,1,2,,07535
0412,男,102,1,3,,07483
0413,甲,102,1,2,,07480
0414,由,102,1,10,,07479
0415,發,105,2,13,1,07707
0416,白,106,1,5,,07709
0417,盡,108,1,18,,07779
0418,盛,108,1,2,,07770
0419,益,108,1,11,,07759
0420,盧,108,1,28,,07785
0421,眼,109,1,3,,07843
0422,衆,109,1,5,,07844
0423,相,109,1,6,,07801
0424,眞,109,1,11,,07827
0425,知,111,1,5,,07941
0426,磨,112,1,4,,08057
0427,祕,113,1,3,,08116
0428,神,113,1,17,,08124
0429,禮,113,1,2,,08165
0430,示,113,1,5,,08097
0431,種,115,1,14,,08244
0432,空,116,1,36,,08296
0433,究,116,1,2,,08293
0434,竟,117,1,2,,08365
0435,立,117,1,7,,08354
0436,等,118,1,46,,08426
0437,箭,118,1,5,,08479
0438,笑,118,1,11,,08396
0439,精,119,1,3,,08685
0440,09011,120,1,2,,09011
0441,纔,120,1,19,,09073
0442,羅,122,1,12,,09144
0443,義,123,1,5,,09177
0444,羯,123,1,4,,09182
0445,耀,124,1,4,,09249
0446,者,125,1,5,,09255
0447,而,126,1,21,,09264
0448,聚,128,1,23,,09314
0449,聲,128,1,2,,09328
0450,脱,130,1,3,,09463
0451,胡,130,1,2,,09411
0452,能,130,1,19,,09429
0453-0454,自,132,1,53,,09602
0455,至,133,1,14,,09610
0456,舒,135,1,2,,09643
0457,色,139,1,5,,09716
0458-0461,薩,140,1,156,,10163
0462-0463,菩,140,1,97,,09919
0464,苦,140,1,2,,09789
0465,花,140,1,6,,09758
0466,莊,140,1,2,,09869
0467,藏,140,1,14,,10191
0468,著,140,1,2,,09972
0469,藥,140,1,2,,10204
0470,荼,140,1,3,,09863
0471,蓮,140,1,6,,10050
0472,號,141,1,13,,10276
0473,虚,141,1,23,,10272
0474,處,141,1,2,,10270
0475,行,144,1,5,,10614
0476,觀,147,1,15,,10859
0477,覺,147,1,10,,10856
0478,見,147,1,6,,10831
0479,解,148,1,3,,10875
0480,訶,149,1,42,,10936
0481,言,149,1,26,,10890
0482,請,149,1,13,,11049
0483,證,149,1,12,,11155
0484,説,149,1,27,,11025
0485,詣,149,1,3,,10974
0486,護,149,1,2,,11200
0487,調,149,1,3,,11038
0488,語,149,1,11,,11017
0489,設,149,1,2,,10928
0490,論,149,1,3,,11058
0491,誦,149,1,8,,11023
0492,賢,154,1,15,,11397
0493,質,154,1,2,,11404
0494,趣,156,1,4,,11485
0495-0496,身,158,1,54,,11715
0497,轉,159,1,20,,11856
0498,輪,159,1,46,,11827
0499,速,162,0,,,12003
0500,退,162,1,3,,11982
0501,遊,162,1,12,,12042
0502,遮,162,1,27,,12083
0503,達,162,1,4,,12052
0504,通,162,1,20,,12000
0505,進,162,1,4,,12022
0506,03157,060,1,16,,03157
0507,迦,162,1,4,,11960
0508,邏,162,1,2,,12120
0509,那,163,1,29,,12134
0510,耶,128,1,44,,09292
0511,都,163,1,2,,12188
0512,量,166,1,5,,12376
0513,鉤,167,1,19,,12441
0514,陀,170,1,23,,12831
0515,隨,170,1,13,,12927
0516,阿,170,1,4,,12830
0517,離,172,1,5,,13001
0518,雙,172,1,12,,12994
0519,集,172,1,2,,12963
0520,雲,173,1,2,,13020
0521,音,180,1,4,,13281
0522,須,181,1,2,,13304
0523,頂,181,1,29,,13296
0524,餘,184,1,15,,13565
0525,首,185,1,3,,13661
0526,體,188,1,25,,13934
0527,魔,194,1,2,,14088
0528,麻,200,1,2,,14681
0529,悉,061,2,8,4,03312
0530,明,072,2,9,2,04485
0531,正,077,2,8,1,05643
0532,淨,085,2,13,4,06272
0533,灌,085,2,29,1,06748
0534,無,086,2,32,15,06872
0535,脩,130,2,2,1,09462
0536,與,134,2,14,4,09629
0537-0540,金,167,2,174,15,12380
0541,願,181,2,4,1,13391
0542,02027,038,0,,,02027
0543,諸,149,1,18,,11085
0544,遠,162,0,,,12070
