統合ID,文字,金剛大教,字体数,用例数,部首
10831,見,0478,1,6,147
10875,解,0479,1,3,148
10936,訶,0480,1,42,149
10890,言,0481,1,26,149
11049,請,0482,1,13,149
11155,證,0483,1,12,149
11025,説,0484,1,27,149
10974,詣,0485,1,3,149
11200,護,0486,1,2,149
11038,調,0487,1,3,149
11017,語,0488,1,11,149
10928,設,0489,1,2,149
11058,論,0490,1,3,149
11023,誦,0491,1,8,149
11397,賢,0492,1,15,154
11404,質,0493,1,2,154
11485,趣,0494,1,4,156
11715,身,0495,1,54,158
11856,轉,0497,1,20,159
11827,輪,0498,1,46,159
12003,速,0499,0,1,162
11982,退,0500,1,3,162
12042,遊,0501,1,12,162
12083,遮,0502,1,27,162
12052,達,0503,1,4,162
12000,通,0504,1,20,162
12022,進,0505,1,4,162
03157,徧,0506,1,16,060
11960,迦,0507,1,4,162
12120,邏,0508,1,2,162
12134,那,0509,1,29,163
09292,耶,0510,1,44,128
12188,都,0511,1,2,163
12376,量,0512,1,5,166
12441,鉤,0513,1,19,167
12831,陀,0514,1,23,170
12927,隨,0515,1,13,170
12830,阿,0516,1,4,170
13001,離,0517,1,5,172
12994,雙,0518,1,12,172
12963,集,0519,1,2,172
13020,雲,0520,1,2,173
13281,音,0521,1,4,180
13304,須,0522,1,2,181
13296,頂,0523,1,29,181
13565,餘,0524,1,15,184
13661,首,0525,1,3,185
13934,體,0526,1,25,188
14088,魔,0527,1,2,194
14681,麻,0528,1,2,200
03312,悉,0529a,2,8,061
03312b,悉,0529b,2,4,061
04485,明,0530a,2,9,072
04485b,明,0530b,2,2,072
05643,正,0531a,2,8,077
05643b,正,0531b,2,1,077
06272,淨,0532a,2,13,085
06272b,淨,0532b,2,4,085
06748,灌,0533a,2,29,085
06748b,灌,0533b,2,1,085
06872,無,0534a,2,32,086
06872b,無,0534b,2,15,086
09462,脩,0535a,2,2,130
09462b,脩,0535b,2,1,130
09629,與,0536a,2,14,134
09629b,與,0536b,2,4,134
12380,金,0537a,2,174,167
12380b,金,0537b,2,15,167
13391,願,0541a,2,4,181
13391b,願,0541b,2,1,181
02027,奼,0542,0,1,038
11085,諸,0543,1,18,149
12070,遠,0544,0,1,162
