カード番号,文字,字体数,用例数1,用例数2,大字典番号,部首番号
0085,珍,0,,,07287,096
0086,由,0,,,07479,102
0087,田,0,,,07478,102
0088,畜,0,,,07513,102
0089,疑,0,,,07559,103
0090,疲,0,,,07580,104
0091,瞋,0,,,07878,109
0092,睡,0,,,07860,109
0093,破,0,,,07986,112
0094,福,0,,,08148,113
0095,祇,0,,,08107,113
0096,積,0,,,08269,115
0097,節,0,,,08493,118
0098,練,0,,,08938,120
0099,縁,0,,,08924,120
0100,給,0,,,08822,120
0101,網,0,,,08885,120
0102,聚,0,,,09314,128
0103,耶,0,,,09292,128
0104,興,0,,,09630,134
0105,苞,0,,,09781,140
0106,落,0,,,09961,140
0107,菓,0,,,09904,140
0108,衍,0,,,10615,144
0109,謂,0,,,11095,149
0110,諍,0,,,11051,149
0111,豫,0,,,11283,152
0112,財,0,,,11334,154
0113,超,0,,,11467,156
0114,辱,0,,,11918,161
0115,逸,0,,,12027,162
0116,那,0,,,12134,163
0117,都,0,,,12188,163
0118,邑,0,,,12123,163
0119,重,0,,,12373,166
0120,閻,0,,,12757,169
0121,隱,0,,,12935,170
0122,雄,0,,,12961,172
0123,難,0,,,13002,172
0124,雜,0,,,12997,172
0125,雨,0,,,13012,173
0126,頌,0,,,13307,181
0127,顯,0,,,13416,181
0128,飾,0,,,13542,184
0129,餓,0,,,13559,184
0130,香,0,,,13667,186
0131,體,0,,,13934,188
0132,鬼,0,,,14061,194
0133-0140,一,1,358,,00001,001
0141-0142,世,1,63,,00025,001
0143,上,1,6,,00008,001
0144-0146,不,1,109,,00013,001
0147,三,1,23,,00007,001
0148,中,1,24,,00051,002
0149,乘,1,5,,00102,004
0150,之,1,22,,00088,004
0151,亂,1,3,,00121,005
0152,事,1,4,,00128,006
0153,了,1,12,,00125,006
0154,二,1,3,,00129,007
0155,令,1,45,,00193,009
0156,來,1,27,,00282,009
0157,住,1,35,,00245,009
0158-0159,以,1,68,,00194,009
0160,何,1,2,,00250,009
0161-0162,佛,1,94,,00255,009
0163,便,1,37,,00321,009
0164,伏,1,11,,00217,009
0165,依,1,4,,00301,009
0166,作,1,2,,00256,009
0167,他,1,2,,00183,009
0168,光,1,3,,00567,010
0169,充,1,12,,00562,010
0170,内,1,4,,00585,011
0171,入,1,19,,00582,011
0172,八,1,2,,00594,012
0173,其,1,7,,00605,012
0174,具,1,49,,00606,012
0175,出,1,20,,00723,017
0176,刹,1,25,,00781,018
0177,別,1,32,,00763,018
0178,剛,1,4,,00803,018
0179,前,1,3,,00794,018
0180,分,1,34,,00734,018
0181-0187,切,1,301,,00735,018
0188,劫,1,17,,00865,019
0189,功,1,8,,00857,019
0190,力,1,29,,00856,019
0191,勇,2,3,1,00881,019
0192,勝,1,5,,00893,019
0193,動,1,6,,00887,019
0194,化,1,5,,00938,021
0195,十,1,11,,00985,024
0196,半,1,3,,00994,024
0197,原,1,2,,01074,027
0198,去,1,4,,01101,028
0199,及,1,11,,01111,029
0200,受,2,17,1,01128,029
0201,取,1,10,,01127,029
0202,嚴,1,15,,01581,030
0203,口,1,4,,01141,030
0204,可,1,47,,01154,030
0205,名,1,3,,01175,030
0206,周,1,2,,01235,030
0207-0209,向,1,143,,01179,030
0210-0214,善,1,217,,01395,030
0215,同,1,4,,01174,030
0216,嘆,1,2,,01466,030
0217,喜,1,3,,01412,030
0218,固,1,6,,01627,031
0219,國,1,2,,01639,031
0220,圓,1,2,,01645,031
0221,塵,1,2,,01831,032
0222,報,1,3,,01796,032
0223,堅,1,6,,01767,032
0224,在,1,43,,01659,032
0225,境,1,17,,01839,032
0226,地,1,15,,01666,032
0227,垢,1,4,,01726,032
0228,壞,1,19,,01895,032
0229,夜,1,4,,01939,036
0230,外,1,2,,01934,036
0231,大,1,21,,01946,037
0232,失,1,5,,01957,037
0233-0238,如,1,292,,02031,038
0239,妙,1,16,,02045,038
0240,妄,1,11,,02033,038
0241,婆,1,3,,02142,038
0242,子,1,7,,02262,039
0243,學,1,3,,02293,039
0244,客,1,4,,02331,040
0245,實,1,17,,02390,040
0246,寶,1,4,,02407,040
0247,安,1,23,,02309,040
0248,害,1,2,,02346,040
0249,守,1,2,,02308,040
0250,家,1,3,,02349,040
0251,察,1,2,,02383,040
0252,定,1,2,,02325,040
0253,礙,1,20,,08077,112
0254,就,1,11,,02464,043
0255,尼,1,5,,02473,044
0256,岸,1,2,,02564,046
0257,巧,1,9,,02775,048
0258,師,1,2,,02835,050
0259,常,1,18,,02847,050
0260,平,1,17,,02899,051
0261,年,1,3,,02900,051
0262,底,1,2,,02932,053
0263,廣,1,6,,02993,053
0264,度,1,5,,02944,053
0265-0267,廻,2,135,6,03008,054
0268,御,1,2,,03153,060
0269-0270,得,1,83,,03145,060
0271,復,1,10,,03159,060
0272,徳,1,11,,03172,060
0273,從,1,2,,03151,060
0274,彼,1,19,,03124,060
0275,微,1,5,,03165,060
0276,惓,1,2,,03356,061
0277,想,1,44,,03373,061
0278,慧,1,31,,03462,061
0279,惚,1,8,,03362,061
0280-0281,悉,1,88,,03312,061
0282,懈,2,1,1,03549,061
0283,怠,1,2,,03240,061
0284,悲,0,,,03335,061
0285,息,1,6,,03298,061
0286,惑,1,2,,03355,061
0287,悟,1,4,,03326,061
0288,怨,1,3,,03245,061
0289,愛,1,8,,03405,061
0290,恚,1,3,,03278,061
0291,思,1,16,,03239,061
0292,忘,1,3,,03196,061
0293,應,1,4,,03550,061
0294,惟,1,5,,03365,061
0295,意,1,3,,03395,061
0296,性,1,16,,03244,061
0297-0299,心,1,107,,03179,061
0300,成,1,20,,03610,062
0301,我,1,6,,03611,062
0302,所,1,55,,03647,063
0303,持,1,19,,03780,064
0304,攝,1,16,,04192,064
0305,提,1,10,,03896,064
0306,摩,1,23,,04009,064
0307,捨,1,4,,03835,064
0308,撰,1,2,,04070,064
0309,數,1,11,,04298,066
0310,故,1,15,,04243,066
0311,敵,2,2,1,04293,066
0312,斷,1,5,,04381,069
0313,新,1,2,,04376,069
0314,於,1,49,,04389,070
0315,方,1,46,,04385,070
0316-0317,普,1,65,,04557,072
0318-0319,智,1,62,,04569,072
0320,04616,1,2,,04616,072
0321,日,1,3,,04446,072
0322,晝,1,3,,04542,072
0323,時,1,12,,04523,072
0324,明,1,14,,04485,072
0325,是,1,39,,04512,072
0326,昧,1,9,,04505,072
0327,曾,1,8,,04661,073
0328,月,1,6,,04673,074
0329,有,1,24,,04674,074
0330,染,1,5,,04848,075
0331,業,1,32,,05152,075
0332,樂,1,38,,05279,075
0333,未,1,18,,04711,075
0334-0338,根,1,222,,04922,075
0339,欲,1,5,,05580,076
0340,此,1,38,,05644,077
0341,正,1,27,,05643,077
0342,歳,1,2,,05666,077
0343,死,1,5,,05686,078
0344,比,1,2,,05841,081
0345,毛,1,5,,05850,082
0346,清,1,42,,06290,085
0347,決,1,2,,06003,085
0348,濁,1,2,,06617,085
0349,滿,1,44,,06476,085
0350-0351,淨,1,63,,06272,085
0352,漏,1,2,,06487,085
0353,演,1,3,,06490,085
0354-0356,法,1,139,,06074,085
0357,滅,1,15,,06432,085
0358,求,1,4,,05964,085
0359,海,1,2,,06182,085
0360,永,1,5,,05957,085
0361-0367,無,1,301,,06872,086
0368,燃,1,3,,06969,086
0369,照,2,11,3,06918,086
0370,煩,1,7,,06921,086
0371,熾,1,3,,06965,086
0372,爲,1,15,,07032,086
0373-0374,爾,1,99,,07043,089
0375,厭,1,2,,01088,027
0376,猶,1,5,,07203,094
0377,猛,1,4,,07180,094
0378,王,1,6,,07262,096
0379,現,1,30,,07304,096
0380,甚,1,4,,07457,099
0381-0383,生,1,148,,07461,100
0384,畏,1,5,,07503,102
0385,異,1,3,,07530,102
0386-0387,界,1,71,,07501,102
0388,癡,1,10,,07685,104
0389,發,1,4,,07707,105
0390,皆,1,23,,07717,106
0391,白,1,3,,07709,106
0392,益,1,4,,07759,108
0393,盡,1,31,,07779,108
0394,相,1,18,,07801,109
0395-0397,衆,1,121,,07844,109
0398,眼,1,6,,07843,109
0399,眞,1,10,,07827,109
0400,知,1,14,,07941,111
0401,示,1,18,,08097,113
0402,神,1,21,,08124,113
0403,禮,1,2,,08165,113
0404,種,1,48,,08244,115
0405,究,1,18,,08293,116
0406,窮,1,5,,08329,116
0407,空,1,8,,08296,116
0408,竟,1,18,,08365,117
0409,立,1,3,,08354,117
0410,第,1,5,,08412,118
0411,等,1,43,,08426,118
0412,精,1,4,,08685,119
0413,縛,1,49,,08963,120
0414,繋,1,2,,09030,120
0415,羅,1,6,,09144,122
0416,置,1,3,,09128,122
0417,義,1,5,,09177,123
0418,習,1,26,,09214,124
0419,者,1,4,,09255,125
0420,而,1,15,,09264,126
0421,聞,1,6,,09315,128
0422,聲,1,6,,09328,128
0423-0424,能,1,51,,09429,130
0425-0426,脱,1,52,,09463,130
0427,自,1,43,,09602,132
0428,至,1,7,,09610,133
0429,與,1,2,,09629,134
0430-0431,著,1,62,,09972,140
0432,若,1,6,,09788,140
0433-0435,薩,1,126,,10163,140
0436-0438,菩,1,111,,09919,140
0439,華,1,2,,09921,140
0440,莊,1,12,,09869,140
0441,藏,1,7,,10191,140
0442,虚,1,15,,10272,141
0443,處,1,13,,10270,141
0444-0445,行,1,63,,10614,144
0446,覆,1,2,,10826,146
