統合ID,文字,古麗華20,字体数,用例数,部首
01412,喜,0217,1,3,030
01627,固,0218,1,6,031
01639,國,0219,1,2,031
01645,圓,0220,1,2,031
01831,塵,0221,1,2,032
01796,報,0222,1,3,032
01767,堅,0223,1,6,032
01659,在,0224,1,43,032
01839,境,0225,1,17,032
01666,地,0226,1,15,032
01726,垢,0227,1,4,032
01895,壞,0228,1,19,032
01939,夜,0229,1,4,036
01934,外,0230,1,2,036
01946,大,0231,1,21,037
01957,失,0232,1,5,037
02031,如,0233,1,292,038
02045,妙,0239,1,16,038
02033,妄,0240,1,11,038
02142,婆,0241,1,3,038
02262,子,0242,1,7,039
02293,學,0243,1,3,039
02331,客,0244,1,4,040
02390,實,0245,1,17,040
02407,寶,0246,1,4,040
02309,安,0247,1,23,040
02346,害,0248,1,2,040
02308,守,0249,1,2,040
02349,家,0250,1,3,040
02383,察,0251,1,2,040
02325,定,0252,1,2,040
08077,礙,0253,1,20,112
02464,就,0254,1,11,043
02473,尼,0255,1,5,044
02564,岸,0256,1,2,046
02775,巧,0257,1,9,048
02835,師,0258,1,2,050
02847,常,0259,1,18,050
02899,平,0260,1,17,051
02900,年,0261,1,3,051
02932,底,0262,1,2,053
02993,廣,0263,1,6,053
02944,度,0264,1,5,053
03008,廻,0265a,2,135,054
03008b,廻,0265b,2,6,054
03153,御,0268,1,2,060
03145,得,0269,1,83,060
03159,復,0271,1,10,060
03172,德,0272,1,11,060
03151,從,0273,1,2,060
03124,彼,0274,1,19,060
03165,微,0275,1,5,060
03356,惓,0276,1,2,061
03373,想,0277,1,44,061
03462,慧,0278,1,31,061
03362,惚,0279,1,8,061
03312,悉,0280,1,88,061
03549,懈,0282a,2,1,061
03549b,懈,0282b,2,1,061
03240,怠,0283,1,2,061
03335,悲,0284,0,1,061
03298,息,0285,1,6,061
03355,惑,0286,1,2,061
03326,悟,0287,1,4,061
03245,怨,0288,1,3,061
03405,愛,0289,1,8,061
03278,恚,0290,1,3,061
03239,思,0291,1,16,061
03196,忘,0292,1,3,061
03550,應,0293,1,4,061
03365,惟,0294,1,5,061
03395,意,0295,1,3,061
03244,性,0296,1,16,061
03179,心,0297,1,107,061
03610,成,0300,1,20,062
03611,我,0301,1,6,062
03647,所,0302,1,55,063
03780,持,0303,1,19,064
04192,攝,0304,1,16,064
03896,提,0305,1,10,064
04009,摩,0306,1,23,064
03835,捨,0307,1,4,064
04070,撰,0308,1,2,064
04298,數,0309,1,11,066
04243,故,0310,1,15,066
04293,敵,0311a,2,2,066
04293b,敵,0311b,2,1,066
04381,斷,0312,1,5,069
04376,新,0313,1,2,069
04389,於,0314,1,49,070
04385,方,0315,1,46,070
04557,普,0316,1,65,072
04569,智,0318,1,62,072
04616,曀,0320,1,2,072
04446,日,0321,1,3,072
04542,晝,0322,1,3,072
04523,時,0323,1,12,072
