統一ID,文字,カード番号,字体数,用例数,部首
09972,著,0118,0,1,140
09886,莫,0119,0,1,140
10264,虎,0120,0,1,141
10414,蜜,0121,0,1,142
10637,衣,0122,0,1,145
10857,覽,0123,0,1,147
11132,謨,0124,0,1,149
11090,諾,0125,0,1,149
11311,貌,0126,0,1,153
11461,起,0127,0,1,156
11495,足,0128,0,1,157
11982,退,0129,0,1,162
12095,選,0130,0,1,162
12092,遶,0131,0,1,162
11960,迦,0132,0,1,162
12046,過,0133,0,1,162
12003,速,0134,0,1,162
12287,酥,0135,0,1,164
12383,釘,0136,0,1,167
09315,聞,0137,0,1,128
12800,闥,0138,0,1,169
12867,陵,0139,0,1,170
12955,雀,0140,0,1,172
13024,雹,0141,0,1,173
13015,雪,0142,0,1,173
13023,雷,0143,0,1,173
13359,頻,0144,0,1,181
13355,頸,0145,0,1,181
13820,騰,0146,0,1,187
13934,體,0147,0,1,188
13940,高,0148,0,1,189
14709,黒,0149,0,1,203
M67003,M67003,0150,0,1,字喃
00001,一,0151,1,40,001
00007,三,0152,1,9,001
00025,世,0153,1,3,001
00013,不,0154,1,3,001
00004,七,0155,1,4,001
00008,上,0156,1,4,001
00051,中,0157,1,12,002
00088,之,0158,1,17,004
00078,乃,0159,1,2,004
00109,也,0160,1,7,005
00128,事,0161,1,19,006
00154,亦,0162,1,6,008
00168,人,0163,1,13,009
00323,係,0164,1,2,009
00193,令,0165,1,22,009
00489,像,0166,1,4,009
00256,作,0167,1,26,009
00236,伽,0168,1,6,009
00217,伏,0169,1,4,009
00449,傍,0170,1,2,009
00194,以,0171,1,7,009
00350,倶,0172,1,10,009
00301,依,0173,1,3,009
00202,00202,0174,1,2,009
00299,供,0175,1,3,009
00183,他,0176,1,5,009
00255,佛,0177,1,4,009
00567,光,0178,1,3,010
00582,入,0179,1,10,011
00585,内,0180,1,2,011
00605,其,0181,1,4,012
00723,出,0182,1,3,017
00735,切,0183,1,6,018
00767,利,0184,1,2,018
00803,剛,0185,1,2,018
00781,刹,0186,1,2,018
00794,前,0187,1,6,018
00776,制,0188,1,3,018
00843,劍,0189,1,5,018
00858,加,0190,1,33,019
00864,努,0191,1,2,019
00887,動,0192,1,10,019
00987,千,0193,1,2,024
01049,即,0194,1,28,026
01111,及,0195,1,13,029
01108,又,0196,1,31,029
01109,叉,0197,1,9,029
01256,咄,0198,1,10,030
01175,名,0199,1,2,030
01216,吽,0200,1,4,030
01150,召,0201,1,2,030
01143,句,0202a,2,1,030
01143b,句,0202b,2,1,030
01421,喩,0203,1,4,030
01276,咤,0204,1,6,030
01455,01455,0205,1,2,030
M04101,M04101,0206,1,3,030
M59286,M59286,0207,1,14,030
01172,吉,0208,1,5,030
01594,01594,0209,1,132,030
01556,01556,0212,1,20,030
01319,哩,0213,1,40,030
01415,喞,0214,1,9,030
01237,01237,0215,1,9,030
01174,同,0216,1,3,030
01154,可,0217,1,2,030
05609,哥,0218,1,3,076
M61971,M61971,0219,1,2,字喃
01236,呪,0220,1,2,030
01263,和,0221,1,4,030
01581,嚴,0222,1,3,030
01607,四,0223,1,2,031
01666,地,0224,1,8,032
01755,執,0225,1,4,032
01818,塗,0226,1,9,032
01938,多,0227,1,23,036
01939,夜,0228,1,2,036
01947,天,0229,1,8,037
02022,女,0230,1,2,038
02110,娑,0231,1,17,038
02142,婆,0232,1,12,038
02031,如,0233,1,4,038
02262,子,0234,1,12,039
02332,室,0235,1,5,040
01823,塞,0236,1,2,032
02429,尊,0237,1,2,041
02478,尾,0238,1,20,044
02528,山,0239,1,2,046
02531,屹,0240,1,2,046
02774,左,0241,1,29,048
02780,差,0242,1,3,048
02782,己,0243,1,2,049
02783,已,0244,1,11,049
02820,帝,0245,1,3,050
02800,布,0246,1,2,050
03165,微,0247,1,3,060
03138,後,0248,1,6,060
03157,03157,0249,1,36,060
03145,得,0250,1,14,060
03159,復,0251,1,12,060
03124,彼,0252,1,15,060
03179,心,0253,1,36,061
03379,惹,0254a,2,5,061
03379b,惹,0254b,2,1,061
03236,03236,0255,1,10,061
03298,息,0256,1,6,061
03180,必,0257,1,2,061
03312,悉,0258,1,41,061
03233,怖,0259,1,2,061
03297,恭,0260,1,2,061
03395,意,0261,1,7,061
03617,或,0262,1,10,062
03606,戍,0263,1,2,062
03638,戴,0264,1,3,062
03633,戰,0265,1,2,062
03610,成,0266,1,15,062
03647,所,0267,1,6,063
03835,捨,0268,1,5,064
03773,拶,0269,1,6,064
03783,指,0270,1,2,064
03845,捺,0271,1,30,064
03896,提,0272,1,2,064
03806,03806,0273,1,2,064
03744,拏,0274,1,45,064
04085,擇,0275,1,2,064
04082,擁,0276,1,2,064
03780,持,0277,1,38,064
03837,捫,0278,1,2,064
04069,播,0279,1,6,064
04198,04198,0280,1,7,064
04130,擲,0281,1,6,064
04009,摩,0282,1,15,064
04099,擔,0283,1,2,064
04280,散,0284,1,2,066
04376,新,0285,1,2,069
04385,方,0286,1,3,070
04389,於,0287,1,10,070
04446,日,0288,1,5,072
04512,是,0289,1,2,072
04523,時,0290,1,5,072
04505,昧,0291,1,2,072
04485,明,0292,1,45,072
04670,04670,0293,1,4,073
04650,曰,0294,1,2,073
04653,曳,0295,1,2,073
04674,有,0296,1,6,074
04713,本,0297,1,2,075
04712,末,0298,1,18,075
05110,椿,0299,1,2,075
05293,樓,0300,1,2,075
04807,枝,0301,1,2,075
05391,檀,0302,1,3,075
05641,止,0303,1,8,077
05644,此,0304,1,13,077
05834,母,0305,1,7,080
05839,毒,0306,1,2,080
05845,毘,0307,1,7,081
05850,毛,0308,1,3,082
05952,水,0309,1,3,085
06074,法,0310,1,42,085
06086,波,0311,1,2,085
06532,潔,0312,1,4,085
06031,沙,0313,1,2,085
06476,滿,0314,1,3,085
06776,火,0315,1,4,086
06885,然,0316,1,10,086
06978,燒,0317,1,24,086
06784,灰,0318,1,8,086
06941,熏,0319,1,14,086
06867,焚,0320,1,7,086
07032,爲,0321,1,5,087
07036,07036,0322,1,3,088
07086,特,0323,1,2,093
07281,珂,0324,1,3,096
07347,瑟,0325,1,2,096
07304,現,0326,1,3,096
07426,瓶,0327,1,5,098
07461,生,0328,1,3,100
07469,用,0329,1,33,101
07535,當,0330,1,31,102
07598,病,0331,1,7,104
07655,瘧,0332,1,3,104
07707,發,0333,1,2,105
07709,白,0334,1,15,106
07717,皆,0335,1,5,106
07770,盛,0336,1,3,108
07870,睹,0337,1,3,109
07910,瞿,0338,1,3,109
07844,衆,0339,1,2,109
07801,相,0340,1,4,109
07954,石,0341,1,2,112
08117,祖,0342,1,3,113
08166,禰,0343,1,3,113
08126,祠,0344,1,2,113
08244,種,0345,1,2,115
08296,空,0346,1,2,116
08371,童,0347,1,4,117
08884,綱,0348,1,2,120
08916,線,0349,1,3,120
09144,羅,0350,1,52,122
09238,翳,0352,1,2,124
09255,者,0353,1,36,125
