カード番号,文字,字体数,用例数1,用例数2,用例数3,大字典番号,部首番号
0077,柴,0,,,,04884,075
0078,林,0,,,,04803,075
0079,未,0,,,,04711,075
0080,栗,0,,,,04890,075
0081,榴,0,,,,05215,075
0082,殿,0,,,,05809,079
0083,殺,0,,,,05796,079
0084,比,0,,,,05841,081
0085,民,0,,,,05935,083
0086,潭,0,,,,06545,085
0087,沐,0,,,,06020,085
0088,浴,0,,,,06179,085
0089,汝,0,,,,05983,085
0090,熾,0,,,,06965,086
0091,熱,0,,,,06957,086
0092,熟,0,,,,06949,086
0093,物,0,,,,07080,093
0094,瓦,0,,,,07415,098
0095,疑,0,,,,07559,103
0096,疾,0,,,,07591,104
0097,益,0,,,,07759,108
0098,M23523,0,,,,,109
0099,破,0,,,,07986,112
0100,穀,0,,,,08261,115
0101,穰,0,,,,08289,115
0102,稱,0,,,,08248,115
0103,立,0,,,,08354,117
0104,端,0,,,,08376,117
0105,精,0,,,,08685,119
0106,純,0,,,,08753,120
0107,細,0,,,,08779,120
0108,緊,0,,,,08906,120
0109,08742,0,,,,08742,120
0110,羯,0,,,,09182,123
0111,而,0,,,,09264,126
0112,聲,0,,,,09328,128
0113,聚,0,,,,09314,128
0114,聖,0,,,,09308,128
0115,肢,0,,,,09365,130
0116,脩,0,,,,09462,130
0117,落,0,,,,09961,140
0118,著,0,,,,09972,140
0119,莫,0,,,,09886,140
0120,虎,0,,,,10264,141
0121,蜜,0,,,,10414,142
0122,衣,0,,,,10637,145
0123,覽,0,,,,10857,147
0124,謨,0,,,,11132,149
0125,諾,0,,,,11090,149
0126,貌,0,,,,11311,153
0127,起,0,,,,11461,156
0128,足,0,,,,11495,157
0129,退,0,,,,11982,162
0130,選,0,,,,12095,162
0131,遶,0,,,,12092,162
0132,迦,0,,,,11960,162
0133,過,0,,,,12046,162
0134,速,0,,,,12003,162
0135,酥,0,,,,12287,164
0136,釘,0,,,,12383,167
0137,聞,0,,,,09315,128
0138,闥,0,,,,12800,169
0139,陵,0,,,,12867,170
0140,雀,0,,,,12955,172
0141,雹,0,,,,13024,173
0142,雪,0,,,,13015,173
0143,雷,0,,,,13023,173
0144,頻,0,,,,13359,181
0145,頸,0,,,,13355,181
0146,騰,0,,,,13820,187
0147,體,0,,,,13934,188
0148,高,0,,,,13940,189
0149,黒,0,,,,14709,203
0150,M67003,0,,,,,字喃
0151,一,1,40,,,00001,001
0152,三,1,9,,,00007,001
0153,世,1,3,,,00025,001
0154,不,1,3,,,00013,001
0155,七,1,4,,,00004,001
0156,上,1,4,,,00008,001
0157,中,1,12,,,00051,002
0158,之,1,17,,,00088,004
0159,乃,1,2,,,00078,004
0160,也,1,7,,,00109,005
0161,事,1,19,,,00128,006
0162,亦,1,6,,,00154,008
0163,人,1,13,,,00168,009
0164,係,1,2,,,00323,009
0165,令,1,22,,,00193,009
0166,像,1,4,,,00489,009
0167,作,1,26,,,00256,009
0168,伽,1,6,,,00236,009
0169,伏,1,4,,,00217,009
0170,傍,1,2,,,00449,009
0171,以,1,7,,,00194,009
0172,倶,1,10,,,00350,009
0173,依,1,3,,,00301,009
0174,00202,1,2,,,00202,009
0175,供,1,3,,,00299,009
0176,他,1,5,,,00183,009
0177,佛,1,4,,,00255,009
0178,光,1,3,,,00567,010
0179,入,1,10,,,00582,011
0180,内,1,2,,,00585,011
0181,其,1,4,,,00605,012
0182,出,1,3,,,00723,017
0183,切,1,6,,,00735,018
0184,利,1,2,,,00767,018
0185,剛,1,2,,,00803,018
0186,刹,1,2,,,00781,018
0187,前,1,6,,,00794,018
0188,制,1,3,,,00776,018
0189,劍,1,5,,,00843,018
0190,加,1,33,,,00858,019
0191,努,1,2,,,00864,019
0192,動,1,10,,,00887,019
0193,千,1,2,,,00987,024
0194,即,1,28,,,01049,026
0195,及,1,13,,,01111,029
0196,又,1,31,,,01108,029
0197,叉,1,9,,,01109,029
0198,咄,1,10,,,01256,030
0199,名,1,2,,,01175,030
