カード番号,文字,部首,字体数,用例数1,用例数2,用例数3,大字典,
0097,捨,064,1,8,,,03835,0097
0098,支,065,1,8,,,04216,0098
0099-0108,故,066,1,455,,,04243,0099
0109,散,066,1,2,,,04280,0109
0110,施,070,1,6,,,04391,0110
0111-0120,智,072,1,474,,,04569,0111
0121,明,072,1,6,,,04485,0121
0122,有,074,1,40,,,04674,0122
0123,根,075,1,2,,,04922,0123
0124,本,075,1,2,,,04713,0124
0125,果,075,1,12,,,04806,0125
0126,歎,076,1,6,,,05612,0126
0127,死,078,1,6,,,05686,0127
0128,水,085,1,6,,,05952,0128
0129,波,085,1,12,,,06086,0129
0130,滅,085,1,6,,,06432,0130
0131,漢,085,1,6,,,06499,0131
0132,流,085,1,6,,,06151,0132
0133,法,085,1,41,,,06074,0133
0134-0150,淨,085,1,803,,,06272,0134
0151-0166,清,085,1,798,,,06290,0135
0167,火,086,1,6,,,06776,0167
0168-0178,無,086,1,520,,,06872,0168
0179-0180,爲,087,1,85,,,07032,0169
0181,獨,094,1,6,,,07230,0181
0182-0183,現,096,1,61,,,07304,0182
0184,生,100,1,49,,,07461,0184
0185,畏,102,1,6,,,07503,0185
0186-0188,界,102,1,130,,,07501,0186
0189,異,102,1,4,,,07530,0189
0190,畢,102,1,2,,,07520,0190
0191,眞,109,1,6,,,07827,0191
0192,眼,109,1,28,,,07843,0192
0193,相,109,1,22,,,07801,0193
0194,礙,112,1,2,,,08077,0194
0195,神,113,1,8,,,08124,0195
0196-0201,空,116,1,294,,,08296,0196
0202,竟,117,1,2,,,08365,0202
0203,第,118,1,6,,,08412,0203
0204,等,118,1,10,,,08426,0204
0205,精,119,1,2,,,08685,0205
0206,縁,120,1,45,,,08924,0206
0207,羅,122,1,24,,,09144,0207
0208-0210,義,123,1,109,,,09177,0208
0211,老,125,1,6,,,09250,0211
0212,聲,128,1,12,,,09328,0212
0213,耳,128,1,22,,,09290,0213
0214,聖,128,1,18,,,09308,0214
0215,脱,130,1,18,,,09463,0215
0216,自,132,1,10,,,09602,0216
0217-0218,至,133,1,54,,,09610,0217
0219,舌,135,1,30,,,09636,0219
0220,般,137,1,6,,,09665,0220
0221,色,139,1,26,,,09716,0221
0222,苦,140,1,12,,,09789,0222
0223,薩,140,1,18,,,10163,0223
0224,菩,140,1,24,,,09919,0224
0225-0231,若,140,1,348,,,09788,0225
0232,虚,141,1,4,,,10272,0232
0233,處,141,1,38,,,10270,0233
0234,蜜,142,1,12,,,10414,0234
0235,行,144,1,18,,,10614,0235
0236,覺,147,1,8,,,10856,0236
0237,解,148,1,20,,,10875,0237
0238-0239,觸,148,1,77,,,10887,0238
0240-0241,諸,149,1,51,,,11085,0239
0242,識,149,1,29,,,11171,0242
0243,諦,149,1,12,,,11072,0243
0244,變,066,1,4,,,04319,0244
0245,議,149,1,6,,,11195,0245
0246,訶,149,1,6,,,10936,0246
0247,足,157,1,2,,,11495,0247
0248,身,158,1,30,,,11715,0248
0249,道,162,1,18,,,12051,0249
0250,還,162,1,6,,,12108,0250
0251,通,162,1,6,,,12000,0251
0252,進,162,1,2,,,12022,0252
0253,03157,060,1,6,,,03157,0253
0254,量,166,1,6,,,12376,0254
0255,門,169,1,24,,,12709,0255
0256,際,170,3,2,1,1,12913,0256
0257,陀,170,1,6,,,12831,0257
0258,阿,170,1,6,,,12830,0258
0259,離,172,1,2,,,13001,0259
0260,集,172,1,6,,,12963,0260
0261,靜,174,1,8,,,13103,0261
0262,預,181,1,6,,,13313,0262
0263,願,181,1,6,,,13391,0263
0264,風,182,1,6,,,13423,0264
0265,香,186,1,12,,,13667,0265
0266,鼻,209,1,22,,,14809,0266
0267,喜,030,2,1,1,,01412,0267
0268-0270,斷,069,2,118,2,,04381,0268
0271,正,077,2,7,5,,05643,0271
