統合ID,文字,カード番号,字体数,用例数,部首,枚数,,
10270,處,0413,1 ,37 ,141,1 ,,
10614,行,0414,1 ,121 ,144,3 ,,
10637,衣,0417,1 ,81 ,145,2 ,,
10683,被,0419,1 ,3 ,145,1 ,,
10831,見,0420,1 ,21 ,147,1 ,,
10837,視,0421,1 ,18 ,147,1 ,,
10887,觸,0422,1 ,2 ,148,1 ,,
10890,言,0423,1 ,100 ,149,2 ,,
10928,設,0425,1 ,16 ,149,1 ,,
10974,詣,0426,1 ,8 ,149,1 ,,
11017,語,0427,1 ,8 ,149,1 ,,
11025,説,0428,1 ,51 ,149,2 ,,
11028,誰,0430,1 ,2 ,149,1 ,,
11049,請,0431,1 ,19 ,149,1 ,,
11085,諸,0432,1 ,104 ,149,3 ,,
11095,謂,0435,1 ,25 ,149,1 ,,
11162,譏,0436,1 ,18 ,149,1 ,,
11275,象,0437,1 ,3 ,152,1 ,,
11342,貪,0438,1 ,2 ,154,1 ,,
11344,責,0439,1 ,71 ,154,2 ,,
11377,賊,0441,1 ,3 ,154,1 ,,
11411,頼,0442,1 ,29 ,154,1 ,,
11454,走,0443,1 ,2 ,156,1 ,,
11473,11473,0444,1 ,3 ,156,1 ,,
11495,足,0445,1 ,48 ,157,1 ,,
11662,蹲,0446,1 ,7 ,157,1 ,,
11715,身,0447,1 ,22 ,158,1 ,,
11908,辨,0448,1 ,16 ,160,1 ,,
11984,逃,0449,1 ,2 ,162,1 ,,
12009,逢,0450,1 ,2 ,162,1 ,,
12046,過,0451,1 ,11 ,162,1 ,,
12051,道,0452,1 ,2 ,162,1 ,,
12062,遙,0453,1 ,3 ,162,1 ,,
12083,遮,0454,1 ,2 ,162,1 ,,
12097,遺,0455,1 ,2 ,162,1 ,,
12103,避,0456,1 ,3 ,162,1 ,,
12108,還,0457,1 ,6 ,162,1 ,,
12115,邊,0458,1 ,2 ,162,1 ,,
12134,那,0459,1 ,19 ,163,1 ,,
12262,酌,0460,1 ,15 ,164,1 ,,
12371,釋,0461,1 ,22 ,165,1 ,,
12440,鉢,0462,1 ,44 ,167,1 ,,
12709,門,0463,1 ,25 ,169,1 ,,
12768,闇,0464,1 ,2 ,169,1 ,,
12831,陀,0465,1 ,23 ,170,1 ,,
12927,隨,0466,1 ,22 ,170,1 ,,
12963,集,0467,1 ,48 ,172,1 ,,
13104,非,0468,1 ,111 ,175,3 ,,
13108,面,0471,1 ,45 ,176,1 ,,
13302,順,0472,1 ,22 ,181,1 ,,
13304,須,0473,1 ,7 ,181,1 ,,
13346,頭,0474,1 ,46 ,181,1 ,,
13409,顧,0475,1 ,11 ,181,1 ,,
13503,食,0476,1 ,128 ,184,3 ,,
13526,飮,0479,1 ,9 ,184,1 ,,
13527,飯,0480,1 ,89 ,184,2 ,,
13551,養,0482,1 ,3 ,184,1 ,,
13559,餓,0483,1 ,5 ,184,1 ,,
13732,駝,0484,1 ,5 ,187,1 ,,
13755,駱,0485,1 ,5 ,187,1 ,,
13864,驢,0486,1 ,5 ,187,1 ,,
13940,高,0487,1 ,12 ,189,1 ,,
14361,鳥,0488,1 ,7 ,196,1 ,,
14833,齒,0489,1 ,2 ,211,1 ,,
01128,受,0490a,2 ,48 ,029,2 ,,
01128b,受,0490b,2 ,15 ,029,2 ,,
01611,因,0492a,2 ,44 ,031,1 ,,
01611b,因,0492b,2 ,3 ,031,1 ,,
01682,坐,0493a,2 ,76 ,032,2 ,,
01682b,坐,0493b,2 ,1 ,032,2 ,,
03008,廻,0495a,2 ,2 ,054,1 ,,
03008b,廻,0495b,2 ,1 ,054,1 ,,
03645,戻,0496a,2 ,3 ,063,1 ,,
03645b,戻,0496b,2 ,1 ,063,1 ,,
04298,數,0497a,2 ,15 ,066,1 ,,
04298b,數,0497b,2 ,8 ,066,1 ,,
04353,斟,0498a,2 ,9 ,068,1 ,,
04353b,斟,0498b,2 ,6 ,068,1 ,,
05031,棘,0499a,2 ,2 ,075,1 ,,
05031b,棘,0499b,2 ,1 ,075,1 ,,
05643,正,0500a,2 ,59 ,077,2 ,,
05643b,正,0500b,2 ,1 ,077,2 ,,
06088,泥,0502a,2 ,2 ,085,1 ,,
06088b,泥,0502b,2 ,1 ,085,1 ,,
06272,淨,0503a,2 ,16 ,085,1 ,,
06272b,淨,0503b,2 ,10 ,085,1 ,,
06872,無,0504a,2 ,85 ,086,2 ,,
06872b,無,0504b,2 ,4 ,086,2 ,,
07535,當,0506a,2 ,30 ,102,1 ,,
07535b,當,0506b,2 ,1 ,102,1 ,,
07817,看,0507a,2 ,7 ,109,1 ,,
07817b,看,0507b,2 ,2 ,109,1 ,,
08165,禮,0508a,2 ,23 ,113,1 ,,
08165b,禮,0508b,2 ,1 ,113,1 ,,
08924,縁,0509a,2 ,42 ,120,1 ,,
08924b,縁,0509b,2 ,5 ,120,1 ,,
09292,耶,0510a,2 ,7 ,128,1 ,,
09292b,耶,0510b,2 ,2 ,128,1 ,,
09629,與,0511a,2 ,35 ,134,1 ,,
09629b,與,0511b,2 ,1 ,134,1 ,,
09972,著,0512a,2 ,15 ,140,1 ,,
09972b,著,0512b,2 ,4 ,140,1 ,,
10630,衞,0513a,2 ,20 ,144,1 ,,
10630b,衞,0513b,2 ,4 ,144,1 ,,
10826,覆,0514a,2 ,14 ,146,1 ,,
10826b,覆,0514b,2 ,1 ,146,1 ,,
11553,跳,0515a,2 ,7 ,157,1 ,,
11553b,跳,0515b,2 ,4 ,157,1 ,,
11734,躯,0516a,2 ,1 ,158,1 ,,
11734b,躯,0516b,2 ,1 ,158,1 ,,
13073,露,0517a,2 ,2 ,173,1 ,,
13073b,露,0517b,2 ,1 ,173,1 ,,
13508,飢,0518a,2 ,4 ,184,1 ,,
13508b,飢,0518b,2 ,1 ,184,1 ,,
14720,默,0519a,2 ,2 ,203,1 ,,
14720b,默,0519b,2 ,1 ,203,1 ,,
01088,厭,0520a,3 ,14 ,027,1 ,,
01088b,厭,0520b,3 ,1 ,027,1 ,,
01088c,厭,0520c,3 ,1 ,027,1 ,,
13002,難,0521a,3 ,12 ,172,1 ,,
13002b,難,0521b,3 ,3 ,172,1 ,,
13002c,難,0521c,3 ,3 ,172,1 ,,
01312,咲,0522a,4 ,4 ,030,1 ,,
01312b,咲,0522b,4 ,2 ,030,1 ,,
01312c,咲,0522c,4 ,2 ,030,1 ,,
01312d,咲,0522d,4 ,1 ,030,1 ,,
