統合ID,文字,カード番号,字体数,用例数,部首
03855,授,0263,1,2,064
03856,掉,0264,1,7,064
03939,損,0265,1,3,064
03947,搖,0266,1,9,064
04009,摩,0267,1,19,064
04019,摶,0268,1,12,064
04099,擔,0269,1,2,064
04130,擲,0270,1,4,064
04243,故,0271,1,98,066
04277,敢,0273,1,4,066
04385,方,0274,1,25,070
04389,於,0275,1,2,070
04391,施,0276,1,2,070
04446,日,0277,1,13,072
04485,明,0278,1,6,072
04512,是,0279,1,107,072
04523,時,0282,1,201,072
04554,晨,0287,1,10,072
04654,更,0288,1,4,073
04664,最,0289,1,31,073
04674,有,0290,1,112,074
04693,望,0293,1,3,074
04696,朝,0294,1,10,074
04711,未,0295,1,38,075
04739,村,0296,1,3,075
04806,果,0297,1,2,075
04930,桃,0298,1,5,075
04933,案,0299,1,3,075
05010,梵,0300,1,9,075
05014,棄,0301,1,7,075
05279,樂,0302,1,23,075
05323,樹,0303,1,25,075
05558,次,0304,1,8,076
05580,欲,0305,1,66,076
05644,此,0307,1,89,077
05841,比,0309,1,318,081
05952,水,0316,1,4,085
05964,求,0317,1,2,085
05979,汚,0318,1,3,085
05983,汝,0319,1,67,085
06031,沙,0321,1,70,085
06074,法,0323,1,58,085
06317,渠,0325,1,2,085
06408,溢,0326,1,5,085
06487,漏,0327,1,22,085
06835,烏,0328,1,6,086
06957,熱,0329,1,2,086
07032,爲,0330,1,91,087
07043,爾,0332,1,70,089
07072,牛,0334,1,5,093
07112,犯,0335,1,194,094
07125,狂,0339,1,24,094
07139,狗,0340,1,6,094
07192,猪,0341,1,6,094
07230,獨,0342,1,24,094
07248,獸,0343,1,3,094
07262,王,0344,1,2,096
07456,甘,0345,1,3,099
07461,生,0346,1,2,100
07469,用,0347,1,7,101
07559,疑,0348,1,2,103
07591,疾,0349,1,9,104
07598,病,0350,1,30,104
07613,痛,0351,1,25,104
07649,瘡,0352,1,2,104
07685,癡,0353,1,46,104
07709,白,0354,1,99,106
07717,皆,0356,1,13,106
07771,盜,0357,1,2,108
07779,盡,0358,1,12,108
07843,眼,0359,1,2,109
07844,衆,0360,1,11,109
07907,瞻,0361,1,2,109
07941,知,0362,1,83,111
08107,祇,0364,1,24,113
08244,種,0365,1,63,115
08248,稱,0367,1,16,115
08303,突,0368,1,113,116
08412,第,0371,1,6,118
08426,等,0372,1,46,118
08767,索,0373,1,15,120
08807,結,0374,1,26,120
08822,給,0375,1,24,120
08963,縛,0376,1,2,120
09030,繋,0377,1,4,120
