統合ID,文字,S81,字体数,用例数,部首
09636,舌,0232,0,1,135
09656,舞,0233,0,1,136
09665,般,0234,0,1,137
09742,芝,0235,0,1,140
09846,草,0236,0,1,140
10026,蒲,0237,0,1,140
10040,蓋,0238,0,1,140
10139,薄,0239,0,1,140
10189,藍,0240,0,1,140
10276,號,0241,0,1,141
10500,融,0242,0,1,142
10605,血,0243,0,1,143
10696,裁,0244,0,1,145
10820,西,0245,0,1,146
10826,覆,0246,0,1,146
10837,視,0247,0,1,147
10860,角,0248,0,1,148
11018,誠,0249,0,1,149
11028,誰,0250,0,1,149
11035,誹,0251,0,1,149
11058,論,0252,0,1,149
11072,諦,0253,0,1,149
11229,讚,0254,0,1,149
11250,豆,0255,0,1,151
11261,豐,0256,0,1,151
11293,豹,0257,0,1,153
11338,貧,0258,0,1,154
11340,販,0259,0,1,154
11377,賊,0260,0,1,154
11398,賣,0261,0,1,154
11402,賤,0262,0,1,154
11485,趣,0263,0,1,156
11502,趺,0264,0,1,157
11519,跏,0265,0,1,157
11548,路,0266,0,1,157
11565,踊,0267,0,1,157
11689,躍,0268,0,1,157
11745,軍,0269,0,1,159
11782,軻,0270,0,1,159
11893,辛,0271,0,1,160
11908,辨,0272,0,1,160
11948,近,0273,0,1,162
11965,迫,0274,0,1,162
11967,11967,0275,0,1,162
12001,逝,0276,0,1,162
12019,逮,0277,0,1,162
12054,違,0278,0,1,162
12093,遷,0279,0,1,162
12097,遺,0280,0,1,162
12108,還,0281,0,1,162
12115,邊,0282,0,1,162
12123,邑,0283,0,1,163
12266,酒,0284,0,1,164
12449,鉾,0285,0,1,167
12453,銅,0286,0,1,167
12507,錐,0287,0,1,167
12555,鍮,0288,0,1,167
12613,鏡,0289,0,1,167
12664,鑊,0290,0,1,167
12768,闇,0291,0,1,169
12854,陣,0292,0,1,170
12913,際,0293,0,1,170
12926,隧,0294,0,1,170
12965,雉,0295,0,1,172
12994,雙,0296,0,1,172
13023,雷,0297,0,1,173
13026,電,0298,0,1,173
13036,震,0299,0,1,173
