カード番号,文字,部首,字体数,用例数1,用例数2,大字典
0162,歎,076,0,,,05612
0163,殆,078,0,,,05707
0164,殃,078,0,,,05699
0165,準,085,0,,,06400
0166,汗,085,0,,,05978
0167,06038,085,0,,,06038
0168,濕,085,0,,,06633
0169,滿,085,0,,,06476
0170,沱,085,0,,,06043
0171,清,085,0,,,06290
0172,滕,085,0,,,06448
0173,洌,085,0,,,06112
0174,汲,085,0,,,05996
0175,湯,085,0,,,06381
0176,漏,085,0,,,06487
0177,溺,085,0,,,06422
0178,漫,085,0,,,06506
0180,湊,085,0,,,06355
0181,溝,085,0,,,06404
0182,游,085,0,,,06340
0183,漁,085,0,,,06477
0184,沒,085,0,,,06023
0185,淫,085,0,,,06277
0186,洛,085,0,,,06123
0187,洗,085,0,,,06120
0188,測,085,0,,,06335
0189,營,086,0,,,06984
0190,燕,086,0,,,06981
0191,06845,086,0,,,06845
0192,06956,086,0,,,06956
0193,爛,086,0,,,07017
0194,炳,086,0,,,06824
0195,状,094,0,,,07122
0196,07063,091,0,,,07063
0197,牙,092,0,,,07065
0198,犧,093,0,,,07107
0199,07090,093,0,,,07090
0200,牧,093,0,,,07079
0201,牲,093,0,,,07082
0202,獸,094,0,,,07248
0203,07381,096,0,,,07381
0204,07368,096,0,,,07368
0205,玩,096,0,,,07272
0206,瓜,097,0,,,07403
0207,甕,098,0,,,07452
0208,畢,102,0,,,07520
0209,疇,102,0,,,07550
0210,畭,102,0,,,07527
0211,留,102,0,,,07508
0212,疵,104,0,,,07583
0213,疚,104,0,,,07565
0214,病,104,0,,,07598
0215,痛,104,0,,,07613
0216,瘠,104,0,,,07648
0217,07732,106,0,,,07732
0218,的,106,0,,,07715
0219,盍,108,0,,,07762
0220,盪,108,0,,,07786
0221,眼,109,0,,,07843
0223,矯,111,0,,,07951
0224,禁,113,0,,,08143
0225,社,113,0,,,08101
0226,穀,115,0,,,08261
0227,08221,115,0,,,08221
0228,稷,115,0,,,08252
0229,科,115,0,,,08192
0230,稼,115,0,,,08257
0231,秋,115,0,,,08187
0232,竄,116,0,,,08346
0233,競,117,0,,,08380
0234,竝,117,0,,,08361
0235,算,118,0,,,08469
0236,篇,118,0,,,08500
0237,簪,118,0,,,08576
0238,篤,118,0,,,08522
0239,08443,118,0,,,08443
0240,竹,118,0,,,08382
0241,粹,119,0,,,08679
0242,純,120,0,,,08753
0243,09054,120,0,,,09054
0244,繻,120,0,,,09046
0245,續,120,0,,,09061
0246,絶,120,0,,,08809
0247,綸,120,0,,,08891
0248,綜,120,0,,,08868
0249,縣,120,0,,,08972
0250,縱,120,0,,,08982
0251,紀,120,0,,,08735
0252,紂,120,0,,,08736
0253,08827,120,0,,,08827
0254,08814,120,0,,,08814
0255,罟,122,0,,,09115
0256,翔,124,0,,,09216
0257,翼,124,0,,,09245
0258,翕,124,0,,,09218
0259,09262,125,0,,,09262
0260,耜,127,0,,,09278
0261,09285,127,0,,,09285
0262,耨,127,0,,,09286
0263,肆,129,0,,,09345
0264,脊,130,0,,,09442
0265,背,130,0,,,09394
0266,腓,130,1,2,,09489
0267,09396,130,0,,,09396
0268,09482,130,0,,,09482
